Date,Open,High,Low,Close,Volume,stock_id
2015-10-08,22.55,23.47,22.16,23.12,1239600,5708
2015-10-09,23.18,23.2,22.52,22.52,84300,5708
2015-10-12,22.4,22.62,21.97,22.2,48297,5708
2015-10-13,22.16,22.57,22.16,22.3,32000,5708
2015-10-14,22.28,23.0,22.28,22.35,21500,5708
2015-10-15,22.35,22.92,22.05,22.32,139800,5708
2015-10-16,23.04,23.04,22.02,22.5,19300,5708
2015-10-19,22.44,22.55,22.2,22.5,53300,5708
2015-10-20,22.34,22.4,22.09,22.39,108095,5708
2015-10-21,22.09,22.42,22.05,22.33,96600,5708
2015-10-22,22.11,22.4,22.1,22.16,18600,5708
2015-10-23,22.2,22.39,22.1,22.17,13500,5708
2015-10-26,22.22,22.5,22.06,22.18,50400,5708
2015-10-27,22.08,22.35,22.08,22.1,73000,5708
2015-10-28,22.1,22.5,22.1,22.43,12900,5708
2015-10-29,22.44,23.89,22.23,23.7,42800,5708
2015-10-30,23.75,24.7,22.77,23.18,88500,5708
2015-11-02,23.42,24.48,22.63,23.56,84652,5708
2015-11-03,23.48,24.18,22.9,23.39,25300,5708
2015-11-04,23.15,24.2,23.0,23.276,37816,5708
2015-11-05,23.79,23.79,22.77,23.25,53400,5708
2015-11-06,23.55,23.82,23.01,23.82,36800,5708
2015-11-09,23.2,24.1,23.0,23.09,81733,5708
2015-11-10,23.4,24.03,23.02,23.7,38600,5708
2015-11-11,23.75,24.16,23.37,23.93,18400,5708
2015-11-12,23.79,23.99,23.75,23.89,13600,5708
2015-11-13,23.69,24.0,23.05,23.75,34000,5708
2015-11-16,23.78,23.89,22.25,22.48,60900,5708
2015-11-17,22.63,23.45,22.38,22.64,77100,5708
2015-11-18,23.15,23.31,22.31,22.75,45700,5708
2015-11-19,22.38,22.74,22.31,22.5,12400,5708
2015-11-20,22.3,22.95,22.25,22.6,32500,5708
2015-11-23,22.33,23.63,22.33,23.56,34600,5708
2015-11-24,23.5,23.85,23.01,23.63,23500,5708
2015-11-25,23.44,24.5,23.41,24.49,26200,5708
2015-11-27,24.15,24.62,24.0,24.22,24100,5708
2015-11-30,24.1,24.5,23.56,24.26,25200,5708
2015-12-01,24.17,24.5,24.13,24.47,36368,5708
2015-12-02,24.2,24.457,23.9,24.0,34567,5708
2015-12-03,24.0,24.37,23.93,24.076,25109,5708
2015-12-04,24.25,24.3,23.78,24.14,34100,5708
2015-12-07,24.77,24.77,24.02,24.59,30200,5708
2015-12-08,24.79,27.6,24.385,26.26,46644,5708
2015-12-09,25.99,25.99,24.78,25.34,39900,5708
2015-12-10,24.98,25.25,24.0,24.36,40700,5708
2015-12-11,24.88,24.88,23.61,24.15,96100,5708
2015-12-14,23.81,28.28,23.25,23.58,101737,5708
2015-12-15,24.02,24.48,23.17,23.78,95000,5708
2015-12-16,24.09,24.45,23.53,23.75,165700,5708
2015-12-17,23.28,24.31,23.28,23.99,74300,5708
2015-12-18,23.71,24.23,22.78,22.78,454200,5708
2015-12-21,23.01,23.93,22.66,23.72,48200,5708
2015-12-22,23.77,24.13,23.6,23.9,38883,5708
2015-12-23,23.75,24.0,23.4,23.68,17000,5708
2015-12-24,23.59,23.97,23.2,23.42,13949,5708
2015-12-28,23.82,23.82,22.95,23.15,16563,5708
2015-12-29,23.21,23.5,22.8,23.5,32235,5708
2015-12-30,23.5,23.99,23.21,23.85,13839,5708
2015-12-31,23.715,24.02,23.09,23.65,22567,5708
2016-01-04,23.125,23.3199,22.42,22.81,31877,5708
2016-01-05,22.66,23.49,22.43,23.48,37740,5708
2016-01-06,23.32,23.41,22.85,23.01,31418,5708
2016-01-07,22.51,22.54,22.25,22.4,24786,5708
2016-01-08,22.5,22.5,21.83,22.26,19555,5708
2016-01-11,22.3,22.49,21.76,22.2,98577,5708
2016-01-12,22.19,22.2,21.11,21.28,119522,5708
2016-01-13,21.29,21.29,20.59,20.96,12325,5708
