Date,Open,High,Low,Close,Volume,stock_id
2015-11-02,13.8,15.0,13.8,15.0,1777,2594
2015-11-03,17.5,17.5,15.66,15.66,3700,2594
2015-11-04,15.001,15.05,14.3,14.305,76378,2594
2015-11-05,14.3,14.5,13.99,14.05,147000,2594
2015-11-06,14.16,14.2,14.07,14.15,51100,2594
2015-11-09,14.19,14.35,14.15,14.25,25578,2594
2015-11-10,14.6,14.6,14.22,14.25,16300,2594
2015-11-11,14.25,14.38,14.25,14.3,186400,2594
2015-11-12,14.3,14.3,14.2,14.26,33800,2594
2015-11-13,14.39,15.0,14.16,14.79,212400,2594
2015-11-16,14.85,14.85,14.32,14.53,27500,2594
2015-11-17,14.59,14.89,14.55,14.75,12200,2594
2015-11-18,14.4,14.7,14.25,14.57,67100,2594
2015-11-19,14.3,14.7,14.26,14.5,11000,2594
2015-11-20,14.35,14.35,14.25,14.27,39100,2594
2015-11-23,14.3,14.45,14.3,14.36,34000,2594
2015-11-24,14.2,14.45,14.2,14.45,24300,2594
2015-11-25,14.45,14.45,14.32,14.32,600,2594
2015-11-27,14.3,14.44,14.3,14.35,8200,2594
2015-11-30,14.44,14.45,14.35,14.43,18900,2594
2015-12-01,14.35,14.67,14.35,14.53,24736,2594
2015-12-02,14.7,14.75,14.4,14.52,53079,2594
2015-12-03,14.48,14.75,14.36,14.37,11485,2594
2015-12-04,14.37,14.6,14.36,14.4,15000,2594
2015-12-07,14.36,14.75,14.36,14.69,41800,2594
2015-12-08,14.74,14.75,14.37,14.67,60598,2594
2015-12-09,14.55,14.7,14.54,14.68,31700,2594
2015-12-10,14.62,14.65,14.55,14.64,17300,2594
2015-12-11,14.69,14.69,14.36,14.53,38900,2594
2015-12-14,14.5,14.69,14.17,14.21,596135,2594
2015-12-15,14.24,14.64,14.18,14.48,45400,2594
2015-12-16,14.49,14.75,14.31,14.75,78300,2594
2015-12-17,14.74,14.97,14.43,14.64,87500,2594
2015-12-18,14.7,14.74,14.31,14.65,927100,2594
2015-12-21,14.74,14.74,14.57,14.7,13700,2594
2015-12-22,14.6,14.7,14.6,14.69,8640,2594
2015-12-23,14.74,14.9,14.7,14.89,183100,2594
2015-12-24,14.85,14.96,14.5,14.78,8132,2594
2015-12-28,14.83,14.87,14.47,14.52,20710,2594
2015-12-29,14.6,14.99,14.6,14.93,23370,2594
2015-12-30,14.52,14.84,14.52,14.84,400,2594
2015-12-31,14.87,15.0,14.69,14.98,10578,2594
2016-01-04,14.88,14.9,14.6,14.85,31408,2594
2016-01-05,14.82,14.85,14.36,14.47,56317,2594
2016-01-06,14.26,14.49,14.25,14.49,421993,2594
2016-01-07,14.3,14.45,14.3,14.41,157922,2594
2016-01-08,14.47,14.47,14.16,14.16,42510,2594
