Date,Open,High,Low,Close,Volume,stock_id
2010-08-23,16.388,16.499,16.335,16.448,134698,4291
2010-08-24,16.415,16.58,16.335,16.507,94721,4291
2010-08-25,16.514,16.601,16.396,16.514,91884,4291
2010-08-26,16.507,16.618,16.371,16.521,125191,4291
2010-08-27,16.559,16.685,16.415,16.685,102788,4291
2010-08-30,16.574,16.574,16.171,16.424,122139,4291
2010-08-31,16.328,16.438,16.142,16.408,138247,4291
2010-09-01,16.474,16.55,16.438,16.521,83518,4291
2010-09-02,16.542,16.61,16.499,16.514,94547,4291
2010-09-03,16.559,16.559,16.431,16.461,77034,4291
2010-09-07,16.448,16.574,16.282,16.55,113107,4291
2010-09-08,16.559,16.685,16.559,16.653,144338,4291
2010-09-09,16.685,16.996,16.646,16.966,157252,4291
2010-09-10,16.945,17.144,16.847,17.063,198933,4291
2010-09-13,17.077,17.115,17.018,17.089,182131,4291
2010-09-14,17.031,17.149,17.031,17.115,143506,4291
2010-09-15,17.115,17.262,17.077,17.248,617107,4291
2010-09-16,17.262,17.59,17.226,17.558,533267,4291
2010-09-17,17.539,18.027,17.539,17.777,646361,4291
2010-09-20,17.777,17.871,17.708,17.777,373744,4291
2010-09-21,17.759,17.783,17.308,17.411,495908,4291
2010-09-22,17.375,17.523,17.188,17.3,414485,4291
2010-09-23,17.3,17.447,17.149,17.396,279949,4291
2010-09-24,17.447,17.627,17.433,17.433,147682,4291
2010-09-27,17.42,17.498,17.336,17.381,101191,4291
2010-09-28,17.396,17.612,17.276,17.329,199614,4291
2010-09-29,17.285,17.447,17.188,17.367,263269,4291
2010-09-30,17.352,17.582,17.336,17.36,251026,4291
2010-10-01,17.389,17.404,17.197,17.248,95124,4291
2010-10-04,17.256,17.396,17.21,17.315,132058,4291
2010-10-05,17.285,17.396,17.285,17.367,129728,4291
2010-10-06,17.344,17.389,17.218,17.322,117223,4291
2010-10-07,17.329,17.447,17.294,17.42,79014,4291
2010-10-08,17.344,17.344,17.234,17.322,88072,4291
2010-10-11,17.285,17.36,17.188,17.344,105575,4291
2010-10-12,17.352,17.447,17.285,17.36,1307467,4291
2010-10-13,17.427,17.427,17.294,17.352,129101,4291
2010-10-14,17.352,17.352,17.197,17.234,278551,4291
2010-10-15,17.256,17.294,16.802,16.901,238854,4291
2010-10-18,16.824,16.966,16.796,16.901,52472,4291
2010-10-19,16.81,16.996,16.714,16.81,244899,4291
2010-10-20,16.737,16.818,16.58,16.706,216045,4291
2010-10-21,16.668,16.75,16.61,16.646,159441,4291
2010-10-22,16.661,16.86,16.653,16.781,121833,4291
2010-10-25,16.802,16.842,16.618,16.653,180682,4291
2010-10-26,16.499,16.966,16.499,16.901,304590,4291
2010-10-27,16.901,16.996,16.86,16.952,98439,4291
2010-10-28,16.952,17.038,16.877,17.011,54669,4291
2010-10-29,16.996,17.089,16.927,17.011,109217,4291
2010-11-01,17.018,17.149,17.011,17.137,91871,4291
2010-11-02,17.13,17.262,17.038,17.099,311297,4291
2010-11-03,17.011,17.13,16.927,17.025,173765,4291
2010-11-04,17.071,17.248,17.047,17.144,172763,4291
2010-11-05,17.13,17.262,17.107,17.174,146985,4291
2010-11-08,17.144,17.336,17.122,17.27,151753,4291
2010-11-09,17.21,17.308,17.188,17.27,115177,4291
2010-11-10,17.203,17.285,17.122,17.188,102545,4291
2010-11-11,17.144,17.183,17.038,17.056,96252,4291
2010-11-12,16.973,17.056,16.959,16.987,67776,4291
2010-11-15,16.966,17.047,16.966,16.987,106589,4291
2010-11-16,16.927,16.952,16.631,16.832,166431,4291
2010-11-17,16.706,16.927,16.61,16.818,76014,4291
2010-11-18,16.901,17.063,16.854,17.047,63254,4291
2010-11-19,17.025,17.038,16.937,16.959,62263,4291
2010-11-22,16.937,16.959,16.72,16.892,158261,4291
2010-11-23,16.854,16.854,16.594,16.72,200884,4291
2010-11-24,16.72,17.005,16.72,16.764,141626,4291
2010-11-26,16.743,16.75,16.618,16.714,95958,4291
2010-11-29,16.507,16.526,16.164,16.408,95046,4291
2010-11-30,16.32,16.328,15.964,16.253,160762,4291
2010-12-01,16.379,16.627,16.335,16.335,121075,4291
2010-12-02,16.275,16.335,16.052,16.105,133841,4291
2010-12-03,16.059,16.111,15.979,16.023,92045,4291
2010-12-06,15.964,16.157,15.771,16.111,164512,4291
2010-12-07,16.075,16.194,15.927,16.031,84443,4291
2010-12-08,15.964,16.031,15.867,15.912,61276,4291
2010-12-09,15.912,16.083,15.837,16.0,98389,4291
2010-12-10,15.896,16.157,15.829,16.148,118318,4291
2010-12-13,16.075,16.142,15.964,16.09,81719,4291
2010-12-14,16.0,16.067,15.748,15.748,85256,4291
2010-12-15,15.696,15.876,15.409,15.481,163516,4291
2010-12-16,15.577,15.577,14.937,15.25,306209,4291
2010-12-17,15.273,15.592,15.213,15.487,68686,4291
2010-12-20,15.541,15.57,15.019,15.051,98313,4291
2010-12-21,15.019,15.308,14.924,15.223,117923,4291
2010-12-22,15.103,15.421,15.103,15.324,90107,4291
2010-12-23,15.297,15.421,15.182,15.25,135081,4291
2010-12-27,15.25,15.401,15.145,15.356,73179,4291
2010-12-28,15.367,15.519,15.297,15.519,104829,4291
2010-12-29,15.614,15.712,15.519,15.608,72278,4291
2010-12-30,15.667,15.816,15.555,15.763,57026,4291
2010-12-31,15.876,16.097,15.823,16.067,45685,4291
2011-01-03,16.111,16.164,15.992,16.083,129905,4291
2011-01-04,16.052,16.186,15.918,16.186,164121,4291
2011-01-05,16.186,16.342,16.142,16.268,114460,4291
2011-01-06,16.23,16.357,16.23,16.298,160043,4291
2011-01-07,16.335,16.335,16.097,16.111,64281,4291
2011-01-10,16.157,16.157,15.972,16.09,82734,4291
2011-01-11,16.075,16.164,16.045,16.052,102426,4291
2011-01-12,16.083,16.408,16.052,16.239,121082,4291
2011-01-13,16.223,16.328,16.127,16.148,127925,4291
2011-01-14,16.119,16.328,16.105,16.105,84146,4291
2011-01-18,16.09,16.201,16.007,16.059,48207,4291
2011-01-19,16.015,16.067,15.942,16.0,75217,4291
2011-01-20,15.972,16.045,15.972,16.023,87627,4291
2011-01-21,16.023,16.039,15.896,15.934,64058,4291
2011-01-24,15.979,16.045,15.934,15.947,40519,4291
2011-01-25,15.986,15.986,15.876,15.896,89748,4291
2011-01-26,15.816,15.979,15.808,15.883,736286,4291
2011-01-27,15.934,16.0,15.888,15.992,137237,4291
2011-01-28,15.986,16.0,15.837,15.837,76023,4291
2011-01-31,15.829,16.0,15.8,15.992,564061,4291
2011-02-01,15.964,16.23,15.947,16.201,120580,4291
2011-02-02,16.111,16.396,16.111,16.388,50137,4291
2011-02-03,16.305,16.697,16.298,16.601,103781,4291
2011-02-04,16.653,16.87,16.574,16.691,119588,4291
2011-02-07,16.706,16.796,16.474,16.521,57686,4291
2011-02-08,16.461,16.697,16.461,16.697,113861,4291
2011-02-09,16.714,16.877,16.618,16.743,89924,4291
2011-02-10,16.653,16.959,16.618,16.913,89960,4291
2011-02-11,16.796,17.005,16.773,17.005,62531,4291
2011-02-14,16.945,16.973,16.81,16.842,113169,4291
2011-02-15,16.757,17.025,16.757,16.885,69539,4291
2011-02-16,16.87,17.077,16.87,17.038,123736,4291
2011-02-18,16.937,17.167,16.937,17.159,69870,4291
2011-02-22,16.987,17.063,16.907,16.945,81391,4291
2011-02-23,17.018,17.038,16.842,16.979,95267,4291
2011-02-24,16.966,17.005,16.885,16.966,81608,4291
2011-02-25,16.685,16.72,16.61,16.61,84220,4291
2011-02-28,16.61,16.685,16.594,16.601,76186,4291
2011-03-01,16.618,16.691,16.499,16.499,71542,4291
2011-03-02,16.526,16.526,15.964,16.388,355990,4291
2011-03-03,16.448,16.514,16.431,16.507,70683,4291
2011-03-04,16.49,16.678,16.431,16.668,96906,4291
2011-03-07,16.706,16.75,16.627,16.631,84563,4291
2011-03-08,16.685,16.854,16.618,16.714,83455,4291
2011-03-09,16.757,16.854,16.706,16.802,131643,4291
2011-03-10,16.802,16.854,16.743,16.842,95101,4291
2011-03-11,16.773,17.038,16.668,16.973,198397,4291
2011-03-14,16.901,16.937,16.854,16.92,69366,4291
2011-03-15,16.773,16.86,16.743,16.81,88838,4291
2011-03-16,16.847,16.907,16.757,16.802,63686,4291
2011-03-17,16.854,16.927,16.743,16.743,84435,4291
2011-03-18,16.847,16.959,16.757,16.937,112540,4291
2011-03-21,16.92,16.996,16.802,16.81,84452,4291
2011-03-22,16.847,16.86,16.781,16.81,80889,4291
2011-03-23,16.824,16.92,16.757,16.854,86171,4291
2011-03-24,16.818,16.913,16.788,16.796,84802,4291
2011-03-25,16.773,16.854,16.728,16.728,127542,4291
2011-03-28,16.743,16.781,16.637,16.697,88477,4291
2011-03-29,16.743,16.847,16.706,16.796,58928,4291
2011-03-30,16.781,16.854,16.737,16.737,89109,4291
2011-03-31,16.743,16.945,16.743,16.907,47790,4291
2011-04-01,16.907,17.047,16.847,16.966,44748,4291
2011-04-04,16.937,17.025,16.892,16.945,119793,4291
2011-04-05,16.901,17.13,16.901,17.107,90469,4291
2011-04-06,17.099,17.159,17.077,17.099,47007,4291
2011-04-07,17.077,17.188,17.056,17.063,81463,4291
2011-04-08,17.047,17.115,16.987,17.011,129090,4291
2011-04-11,16.996,17.084,16.987,16.996,56650,4291
2011-04-12,17.005,17.056,16.927,16.937,63648,4291
2011-04-13,16.937,17.011,16.87,16.937,53869,4291
2011-04-14,16.92,16.927,16.847,16.885,42135,4291
2011-04-15,16.913,16.92,16.847,16.854,55253,4291
2011-04-18,16.75,16.802,16.668,16.691,45759,4291
2011-04-19,16.706,16.847,16.691,16.802,55331,4291
2011-04-20,16.885,17.018,16.842,17.018,106923,4291
2011-04-21,16.996,17.031,16.913,17.018,48690,4291
2011-04-25,17.005,17.077,16.927,17.077,92116,4291
2011-04-26,17.018,17.188,16.952,17.167,94367,4291
2011-04-27,17.077,17.248,17.056,17.234,60087,4291
2011-04-28,17.241,17.285,17.203,17.226,53838,4291
2011-04-29,17.226,17.3,17.137,17.27,64559,4291
2011-05-02,17.336,17.352,17.21,17.329,62091,4291
2011-05-03,17.375,17.498,17.375,17.471,75936,4291
2011-05-04,17.404,17.582,17.404,17.488,82289,4291
2011-05-05,17.492,17.582,17.439,17.552,61578,4291
2011-05-06,17.539,17.702,17.517,17.679,56904,4291
2011-05-09,17.656,17.759,17.642,17.702,86190,4291
2011-05-10,17.685,17.819,17.685,17.811,95713,4291
2011-05-11,17.819,17.968,17.797,17.894,119608,4291
2011-05-12,17.843,18.119,17.843,18.05,103422,4291
2011-05-13,18.05,18.182,18.05,18.137,74974,4291
2011-05-16,18.17,18.249,18.014,18.206,125811,4291
2011-05-17,18.137,18.17,17.962,18.034,121708,4291
2011-05-18,18.027,18.137,18.027,18.125,69497,4291
2011-05-19,18.078,18.154,18.007,18.094,80907,4291
2011-05-20,18.072,18.177,18.027,18.177,35871,4291
2011-05-23,18.027,18.189,18.027,18.189,91138,4291
2011-05-24,18.154,18.222,18.137,18.197,51698,4291
2011-05-25,18.214,18.214,18.094,18.125,85054,4291
2011-05-26,18.078,18.258,18.078,18.189,65736,4291
2011-05-27,17.981,17.981,17.827,17.856,147417,4291
2011-05-31,17.862,17.93,17.642,17.708,144946,4291
2011-06-01,17.708,17.819,17.708,17.744,103167,4291
2011-06-02,17.708,17.783,17.685,17.708,83109,4291
2011-06-03,17.708,17.811,17.612,17.767,72482,4291
2011-06-06,17.723,17.843,17.679,17.744,48111,4291
2011-06-07,17.835,17.835,17.731,17.753,65041,4291
2011-06-08,17.805,17.805,17.462,17.498,93393,4291
2011-06-09,17.404,17.462,17.262,17.404,140127,4291
2011-06-10,17.375,17.53,17.36,17.471,65790,4291
2011-06-13,17.523,17.59,17.492,17.558,102556,4291
2011-06-14,17.552,17.693,17.552,17.664,112268,4291
2011-06-15,17.634,17.856,17.634,17.708,191694,4291
2011-06-16,17.612,17.738,17.077,17.144,244486,4291
2011-06-17,17.276,17.42,17.183,17.262,63864,4291
2011-06-20,17.197,17.203,16.901,16.92,94180,4291
2011-06-21,16.892,17.149,16.885,17.084,191658,4291
2011-06-22,17.107,17.256,17.077,17.21,110639,4291
2011-06-23,17.144,17.308,17.025,17.248,116386,4291
2011-06-24,17.226,17.276,17.077,17.137,68228,4291
2011-06-27,17.115,17.183,17.018,17.047,81425,4291
2011-06-28,17.077,17.36,17.077,17.336,49949,4291
2011-06-29,17.344,17.389,17.27,17.294,178576,4291
2011-06-30,17.27,17.618,17.27,17.53,91555,4291
2011-07-01,17.492,17.627,17.457,17.498,54542,4291
2011-07-05,17.498,17.634,17.498,17.634,86958,4291
2011-07-06,17.567,17.716,17.488,17.716,62844,4291
2011-07-07,17.679,17.716,17.65,17.679,52459,4291
2011-07-08,17.582,17.783,17.582,17.767,41533,4291
2011-07-11,17.702,17.744,17.567,17.656,81401,4291
2011-07-12,17.558,17.634,17.411,17.439,76925,4291
2011-07-13,17.396,17.517,17.396,17.439,70263,4291
2011-07-14,17.447,17.447,17.197,17.226,90000,4291
2011-07-15,17.226,17.42,17.137,17.42,60659,4291
2011-07-18,17.294,17.3,17.137,17.137,68391,4291
2011-07-19,17.137,17.248,16.913,17.218,128760,4291
2011-07-20,17.294,17.294,17.071,17.256,65516,4291
2011-07-21,17.315,17.471,17.248,17.27,192800,4291
2011-07-22,17.308,17.389,17.174,17.203,42628,4291
2011-07-25,17.174,17.183,16.901,16.901,55504,4291
2011-07-26,16.966,17.329,16.966,17.077,81621,4291
2011-07-27,16.966,17.084,16.818,16.877,69389,4291
2011-07-28,16.81,16.913,16.737,16.781,55476,4291
2011-07-29,16.788,16.788,16.388,16.627,85188,4291
