Date,Open,High,Low,Close,Volume,stock_id
2013-10-25,10.55,10.86,10.25,10.61,2678805,4711
2013-10-28,10.5,10.7,10.32,10.55,157600,4711
2013-10-29,10.41,10.55,10.31,10.53,94300,4711
2013-10-30,10.53,10.53,10.32,10.4,78100,4711
2013-10-31,10.45,10.54,10.38,10.5,61199,4711
2013-11-01,10.5,10.52,10.46,10.5,35600,4711
2013-11-04,10.49,10.84,10.49,10.82,36786,4711
2013-11-05,11.0,12.08,10.85,11.51,123400,4711
2013-11-06,11.57,12.03,10.84,10.93,63800,4711
2013-11-07,10.76,11.28,10.4,10.42,120700,4711
2013-11-08,10.68,11.0,10.38,10.89,60300,4711
2013-11-11,11.3,11.3,10.88,10.88,19868,4711
2013-11-12,10.63,11.04,10.63,10.67,39200,4711
2013-11-13,10.75,10.99,10.5,10.51,37900,4711
2013-11-14,10.51,10.63,10.45,10.58,212100,4711
2013-11-15,10.61,10.72,10.61,10.7,2500,4711
2013-11-18,10.76,10.76,10.5,10.61,13500,4711
2013-11-19,11.0,11.88,10.8,11.45,168536,4711
2013-11-20,12.04,12.5,11.38,11.84,103500,4711
2013-11-21,12.0,12.43,11.6,11.6,57800,4711
2013-11-22,12.179,12.299,11.621,11.64,34552,4711
2013-11-25,11.64,11.75,11.25,11.25,38500,4711
2013-11-26,11.77,11.77,10.65,10.79,45900,4711
2013-11-27,10.84,11.76,10.6,11.67,23800,4711
2013-11-29,11.26,11.77,11.0,11.25,35509,4711
2013-12-02,11.15,11.68,10.98,11.49,31100,4711
2013-12-03,12.0,12.01,11.57,12.01,92360,4711
2013-12-04,11.7,14.21,11.7,13.6,141800,4711
2013-12-05,13.5,15.66,12.5,14.35,248700,4711
2013-12-06,14.48,16.0,14.48,15.35,348100,4711
2013-12-09,15.51,16.75,14.91,16.0,273962,4711
2013-12-10,16.02,16.73,15.03,15.99,177600,4711
2013-12-11,16.0,16.2,14.62,14.93,97400,4711
2013-12-12,14.93,15.16,14.52,14.95,68387,4711
2013-12-13,15.03,15.2,13.79,14.26,118974,4711
2013-12-16,14.41,14.97,13.56,14.8,118591,4711
2013-12-17,15.06,16.0,14.68,15.73,120700,4711
2013-12-18,15.83,16.34,15.83,16.08,131600,4711
2013-12-19,16.11,16.88,15.6,15.92,102300,4711
2013-12-20,15.98,16.39,15.1,16.39,1195500,4711
2013-12-23,16.69,17.64,16.69,17.08,76500,4711
2013-12-24,17.0,17.78,16.836,16.98,27309,4711
2013-12-26,17.26,17.78,16.794,16.96,32197,4711
2013-12-27,17.0,17.55,17.0,17.38,63800,4711
2013-12-30,17.4,18.31,17.4,17.89,86400,4711
2013-12-31,17.96,18.5,17.65,17.96,80400,4711
2014-01-02,17.92,18.03,17.08,17.26,56028,4711
2014-01-03,17.29,17.69,17.14,17.53,79962,4711
2014-01-06,17.66,18.2,17.51,18.13,39100,4711
2014-01-07,18.25,19.09,18.16,18.93,98300,4711
2014-01-08,19.07,19.58,18.11,18.3,69500,4711
2014-01-09,18.65,20.25,18.58,19.99,221800,4711
2014-01-10,19.99,20.25,19.51,19.82,73100,4711
2014-01-13,19.86,20.23,19.01,19.28,68100,4711
2014-01-14,19.31,21.27,19.31,20.48,125000,4711
2014-01-15,20.43,21.99,20.43,21.46,99200,4711
2014-01-16,21.32,21.734,20.75,21.14,47876,4711
2014-01-17,21.05,21.89,20.56,20.71,67600,4711
2014-01-21,21.0,21.31,20.76,20.92,138400,4711
2014-01-22,21.0,21.02,19.74,20.25,85400,4711
2014-01-23,20.22,20.6,19.63,20.06,31100,4711
2014-01-24,20.26,20.26,18.59,18.71,54200,4711
2014-01-27,19.28,19.5,15.74,16.74,134000,4711
2014-01-28,16.65,17.06,15.03,15.76,180000,4711
2014-01-29,16.51,19.47,15.65,16.73,173000,4711
2014-01-30,18.0,18.0,17.05,17.91,82900,4711
2014-01-31,17.8,18.74,17.54,18.46,72420,4711
2014-02-03,18.28,18.34,16.61,17.0,81835,4711
2014-02-04,16.61,17.81,16.5,17.07,35489,4711
2014-02-05,18.83,18.83,16.87,17.13,52035,4711
2014-02-06,17.28,18.71,16.65,17.97,53717,4711
2014-02-07,18.1,19.15,17.91,18.96,130769,4711
2014-02-10,18.81,18.86,18.09,18.18,63632,4711
2014-02-11,18.12,18.6,18.05,18.37,60439,4711
2014-02-12,18.48,18.71,18.23,18.39,56931,4711
2014-02-13,18.16,18.59,18.16,18.54,68484,4711
2014-02-14,18.5,19.74,18.4,19.26,105201,4711
2014-02-18,19.88,21.3,19.85,20.68,124436,4711
2014-02-19,20.83,21.54,20.1,20.9,98706,4711
2014-02-20,21.02,21.66,20.79,21.25,50197,4711
2014-02-21,21.39,21.39,20.351,21.04,80127,4711
2014-02-24,21.17,21.17,20.0,20.04,124711,4711
2014-02-25,20.0,20.97,20.0,20.57,34189,4711
2014-02-26,21.53,21.83,20.59,21.33,74461,4711
2014-02-27,21.8,24.91,21.011,24.49,167629,4711
