Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,8.25,8.25,7.8,8.0,5915,4117
2005-02-28,7.8,7.8,7.55,7.75,6028,4117
2005-03-01,7.65,7.95,7.65,7.8,3175,4117
2005-03-02,7.95,8.0,7.8,7.85,3475,4117
2005-03-03,7.67,7.95,7.67,7.95,2257,4117
2005-03-04,7.95,8.15,7.45,7.7,3650,4117
2005-03-07,7.8,7.85,7.8,7.84,910,4117
2005-03-08,7.75,7.75,7.3,7.45,5138,4117
2005-03-09,7.5,7.85,7.45,7.45,8490,4117
2005-03-10,7.45,7.8,7.45,7.8,3841,4117
2005-03-11,7.45,7.65,7.45,7.55,1860,4117
2005-03-14,7.55,7.55,7.2,7.25,1964,4117
2005-03-15,7.15,8.0,6.5,7.16,27592,4117
2005-03-16,6.45,7.2,6.45,6.75,14124,4117
2005-03-17,6.5,6.75,6.25,6.5,16726,4117
2005-03-18,6.25,6.65,6.05,6.25,10127,4117
2005-03-21,6.29,6.65,6.25,6.45,7340,4117
2005-03-22,6.6,6.8,6.36,6.8,5139,4117
2005-03-23,7.2,7.2,6.5,6.5,2918,4117
2005-03-24,6.6,6.75,6.48,6.75,660,4117
2005-03-28,6.95,7.45,6.6,7.35,3559,4117
2005-03-29,6.8,7.75,6.8,7.2,10105,4117
2005-03-30,6.85,7.2,6.75,6.9,3196,4117
2005-03-31,6.9,7.95,6.86,7.95,3382,4117
2005-04-01,7.85,7.85,7.1,7.45,3141,4117
2005-04-04,7.0,7.4,6.95,7.15,5100,4117
2005-04-05,7.5,8.15,7.1,7.4,20336,4117
2005-04-06,7.45,8.3,7.45,7.85,17751,4117
2005-04-07,8.4,8.4,7.85,8.25,6673,4117
2005-04-08,7.8,8.3,7.8,7.85,1887,4117
2005-04-11,8.2,8.5,7.4,7.4,6299,4117
2005-04-12,7.75,7.75,7.35,7.55,1991,4117
2005-04-13,8.0,8.0,7.5,7.5,529,4117
2005-04-14,7.75,7.75,6.95,7.25,5891,4117
2005-04-15,7.3,7.3,6.85,6.85,6780,4117
2005-04-18,7.65,7.65,6.75,6.8,4339,4117
2005-04-19,7.0,7.3,6.55,7.1,6930,4117
2005-04-20,7.05,7.27,6.95,7.05,3770,4117
2005-04-21,6.75,7.45,6.75,7.45,11831,4117
2005-04-22,7.3,7.5,6.4,7.15,6815,4117
2005-04-25,6.8,7.1,6.8,7.1,160,4117
2005-04-26,7.45,7.45,7.25,7.25,120,4117
2005-04-27,7.4,7.45,7.15,7.25,3260,4117
