Date,Open,High,Low,Close,Volume,stock_id
2016-04-05,12.14,14.97,12.0,14.52,1183369,1654
2016-04-06,14.45,14.84,14.14,14.38,530827,1654
2016-04-07,14.11,14.51,13.93,14.18,415528,1654
2016-04-08,14.16,14.54,13.6805,13.81,368759,1654
2016-04-11,14.0,14.0,13.34,13.51,789047,1654
2016-04-12,13.78,13.89,12.93,13.44,2382816,1654
2016-04-13,13.49,14.09,13.31,14.02,595914,1654
2016-04-14,14.3,14.3,13.92,14.1,418130,1654
2016-04-15,14.0,14.2,13.83,14.1,260022,1654
2016-04-18,13.82,14.09,13.75,14.06,353483,1654
2016-04-19,14.14,14.265,13.99,14.13,264159,1654
2016-04-20,14.19,14.21,13.98,14.15,1231390,1654
2016-04-21,14.2,14.45,14.06,14.1,511414,1654
2016-04-22,14.25,14.35,14.08,14.21,175796,1654
2016-04-25,14.25,15.23,14.05,14.76,483219,1654
2016-04-26,14.78,15.48,14.64,15.34,227459,1654
2016-04-27,15.33,15.435,14.88,15.07,360924,1654
2016-04-28,15.14,15.3,14.5,14.55,285798,1654
2016-04-29,14.7,14.7,14.4,14.56,373361,1654
2016-05-02,14.73,14.83,14.25,14.55,305504,1654
2016-05-03,14.52,14.91,14.52,14.58,192625,1654
2016-05-04,14.52,14.94,14.52,14.84,155717,1654
2016-05-05,15.0,15.43,14.7,15.26,187581,1654
2016-05-06,15.23,15.55,15.07,15.47,179115,1654
2016-05-09,15.27,16.12,15.27,16.09,268672,1654
2016-05-10,16.08,16.1999,15.89,15.96,109651,1654
2016-05-11,16.01,16.01,15.51,15.68,261904,1654
2016-05-12,15.66,15.85,15.46,15.75,279868,1654
2016-05-13,15.98,16.08,15.59,16.07,131127,1654
2016-05-16,16.09,16.25,15.71,15.76,253942,1654
2016-05-17,15.91,16.32,15.78,16.18,178499,1654
2016-05-18,16.03,16.51,16.03,16.5,453458,1654
2016-05-19,16.32,16.54,15.58,16.01,165816,1654
2016-05-20,16.06,16.25,15.78,15.86,302496,1654
2016-05-23,15.78,16.16,15.72,16.01,141107,1654
2016-05-24,16.15,17.63,15.9,17.55,223298,1654
2016-05-25,17.64,17.8371,16.64,16.74,158059,1654
2016-05-26,16.82,16.9986,16.38,16.39,199558,1654
2016-05-27,16.44,17.232,16.44,17.21,921658,1654
2016-05-31,17.17,17.4,16.48,16.59,267374,1654
2016-06-01,16.57,17.29,16.56,17.1,214406,1654
2016-06-02,16.98,18.02,16.93,17.99,422726,1654
2016-06-03,18.1,18.65,17.75,18.49,142533,1654
2016-06-06,18.55,18.9999,18.49,18.95,205074,1654
2016-06-07,18.93,19.02,18.7811,18.9,173983,1654
2016-06-08,18.94,19.15,18.85,19.15,180284,1654
