Date,Open,High,Low,Close,Volume,stock_id
2015-03-23,25.08,25.17,25.06,25.07,448534,3361
2015-03-24,25.08,25.11,25.03,25.06,478607,3361
2015-03-25,25.08,25.12,25.06,25.07,275311,3361
2015-03-26,25.08,25.14,25.057,25.09,165273,3361
2015-03-27,25.09,25.15,25.09,25.15,102112,3361
2015-03-30,25.17,25.23,25.15,25.19,297977,3361
2015-03-31,25.17,25.2,25.16,25.17,122238,3361
2015-04-01,25.18,25.4,25.14,25.19,89446,3361
2015-04-02,25.2,25.25,25.2,25.22,86918,3361
2015-04-06,25.26,25.28,25.23,25.24,156529,3361
2015-04-07,25.238,25.29,25.22,25.27,143621,3361
2015-04-08,25.29,25.32,25.26,25.29,120079,3361
2015-04-09,25.28,25.32,25.27,25.28,89180,3361
2015-04-10,25.31,25.36,25.28,25.36,72308,3361
2015-04-13,25.32,25.4,25.32,25.37,73953,3361
2015-04-14,25.35,25.4,25.31,25.36,49652,3361
2015-04-15,25.361,25.37,25.3,25.3,109002,3361
2015-04-16,25.32,25.34,25.28,25.31,110595,3361
2015-04-17,25.3,25.41,25.26,25.41,734090,3361
2015-04-20,25.38,25.38,25.32,25.32,67541,3361
2015-04-21,25.37,25.45,25.31,25.45,31205,3361
2015-04-22,25.5,25.54,25.35,25.45,73307,3361
2015-04-23,25.45,25.45,25.4,25.45,20570,3361
2015-04-24,25.5,25.54,25.41,25.54,37823,3361
2015-04-27,25.54,25.69,25.486,25.58,38016,3361
2015-04-28,25.59,25.68,25.5,25.6,51475,3361
2015-04-29,25.53,25.531,25.44,25.484,34140,3361
2015-04-30,25.46,25.53,25.37,25.44,47002,3361
2015-05-01,25.45,25.5,25.331,25.42,31239,3361
2015-05-04,25.5,25.5,25.34,25.49,25010,3361
2015-05-05,25.51,25.51,25.25,25.44,68115,3361
2015-05-06,25.27,25.36,24.66,24.99,168351,3361
2015-05-07,25.03,25.35,24.998,25.27,103715,3361
2015-05-08,25.27,25.43,25.259,25.31,27922,3361
2015-05-11,25.23,25.32,24.82,25.09,88548,3361
2015-05-12,25.119,25.34,25.0,25.34,52019,3361
2015-05-13,25.3,25.5,25.28,25.5,21440,3361
2015-05-14,25.51,25.51,25.393,25.4,23004,3361
2015-05-15,25.5,25.58,25.4,25.48,20545,3361
2015-05-18,25.43,25.49,25.4,25.44,19010,3361
2015-05-19,25.36,25.466,25.36,25.41,27134,3361
2015-05-20,25.5,25.6,25.46,25.5,38107,3361
2015-05-21,25.52,25.65,25.51,25.62,39852,3361
2015-05-22,25.65,25.732,25.61,25.7,26025,3361
2015-05-26,25.74,25.96,25.71,25.81,53307,3361
2015-05-27,25.81,25.85,25.75,25.808,12628,3361
2015-05-28,25.43,25.51,25.138,25.3,130209,3361
2015-05-29,25.3,25.37,25.3,25.35,41172,3361
2015-06-01,25.39,25.45,25.3,25.35,28292,3361
2015-06-02,25.3,25.38,25.11,25.2,106382,3361
2015-06-03,25.2,25.34,25.17,25.17,51051,3361
2015-06-04,25.25,25.372,25.25,25.29,81537,3361
2015-06-05,25.25,25.39,25.25,25.3,62779,3361
2015-06-08,25.35,25.38,25.25,25.272,28117,3361
2015-06-09,25.27,25.275,25.15,25.18,59895,3361
2015-06-10,25.17,25.23,25.1,25.13,25173,3361
2015-06-11,25.22,25.22,24.96,24.98,92390,3361
2015-06-12,25.06,25.09,24.961,25.02,40979,3361
2015-06-15,25.09,25.09,25.0,25.0,6107,3361
2015-06-16,25.09,25.09,25.0,25.05,21997,3361
2015-06-17,25.05,25.08,25.0,25.07,20224,3361
2015-06-18,25.086,25.13,25.05,25.054,31358,3361
2015-06-19,25.08,25.16,25.08,25.08,30776,3361
2015-06-22,25.1,25.12,25.02,25.02,33889,3361
2015-06-23,25.02,25.21,25.02,25.11,87345,3361
2015-06-24,25.11,25.24,25.08,25.16,40186,3361
2015-06-25,25.149,25.25,25.1,25.235,18425,3361
2015-06-26,25.24,25.31,25.2,25.31,20575,3361
2015-06-29,25.2,25.35,25.16,25.16,13903,3361
2015-06-30,25.18,25.24,25.15,25.15,12650,3361
2015-07-01,25.24,25.26,25.15,25.243,21245,3361
2015-07-02,25.25,25.35,25.22,25.329,12944,3361
2015-07-06,25.3,25.35,25.26,25.35,20927,3361
2015-07-07,25.28,25.33,25.27,25.28,19231,3361
2015-07-08,25.3,25.35,25.26,25.33,16239,3361
2015-07-09,25.34,25.34,25.26,25.26,13731,3361
2015-07-10,25.342,25.342,25.25,25.28,26821,3361
2015-07-13,25.26,25.3,25.26,25.3,15053,3361
2015-07-14,25.27,25.33,25.27,25.32,41576,3361
2015-07-15,25.32,25.39,25.31,25.39,29480,3361
2015-07-16,25.4,25.65,25.391,25.65,38595,3361
2015-07-17,25.67,25.83,25.57,25.8,17287,3361
2015-07-20,25.72,25.78,25.65,25.75,18290,3361
2015-07-21,25.78,25.83,25.74,25.8,17635,3361
2015-07-22,25.799,25.799,25.1,25.499,43149,3361
2015-07-23,25.44,25.5,25.31,25.37,30799,3361
2015-07-24,25.4,25.45,25.32,25.4,16720,3361
2015-07-27,25.42,25.42,25.13,25.18,25763,3361
2015-07-28,25.2,25.33,25.161,25.27,12023,3361
2015-07-29,25.27,25.33,25.26,25.29,15143,3361
2015-07-30,25.3,25.32,25.25,25.32,21579,3361
2015-07-31,25.35,25.42,25.34,25.4,10756,3361
2015-08-03,25.43,25.47,25.39,25.45,13585,3361
2015-08-04,25.42,25.47,25.41,25.43,6700,3361
2015-08-05,25.46,25.49,25.44,25.46,11280,3361
2015-08-06,25.48,25.5,25.3,25.46,22393,3361
2015-08-07,25.5,25.5,25.42,25.43,19626,3361
2015-08-10,25.53,25.65,25.53,25.62,11581,3361
2015-08-11,25.51,25.7,25.51,25.625,10755,3361
2015-08-12,25.64,25.64,25.48,25.526,22370,3361
2015-08-13,25.54,25.55,25.5,25.525,9330,3361
2015-08-14,25.5,25.56,25.5,25.51,3226,3361
2015-08-17,25.61,25.61,25.48,25.48,13314,3361
2015-08-18,25.501,25.54,25.45,25.45,19170,3361
2015-08-19,25.53,25.53,25.36,25.39,38333,3361
2015-08-20,25.403,25.413,25.35,25.4,34517,3361
2015-08-21,25.351,25.4,25.3,25.35,53715,3361
2015-08-24,25.26,25.32,24.78,25.0,35160,3361
2015-08-25,25.11,25.3,25.11,25.251,9843,3361
2015-08-26,25.29,25.29,25.2,25.28,11260,3361
2015-08-27,25.21,25.51,25.21,25.51,15600,3361
2015-08-28,25.15,25.21,25.0,25.19,10013,3361
2015-08-31,25.19,25.19,25.09,25.186,13901,3361
2015-09-01,25.164,25.21,25.1,25.19,11954,3361
2015-09-02,25.21,25.3,25.21,25.29,22787,3361
2015-09-03,25.3,25.31,25.25,25.3,8832,3361
2015-09-04,25.289,25.36,25.276,25.345,10308,3361
2015-09-08,25.32,25.36,25.305,25.36,13400,3361
2015-09-09,25.35,25.35,25.09,25.16,33552,3361
2015-09-10,25.16,25.16,24.99,25.12,20156,3361
