Date,Open,High,Low,Close,Volume,stock_id
2006-07-25,19.28,19.28,19.28,19.28,0,2626
2006-07-26,19.28,19.289,19.28,19.28,300394,2626
2006-07-27,19.28,19.311,19.28,19.28,53501,2626
2006-07-28,19.289,19.322,19.28,19.311,53215,2626
2006-07-31,19.322,19.362,19.289,19.362,34791,2626
2006-08-01,19.362,19.362,19.289,19.322,38715,2626
2006-08-02,19.344,19.353,19.28,19.311,47039,2626
2006-08-03,19.3,20.089,19.3,19.632,217157,2626
2006-08-04,19.878,19.931,19.666,19.825,65279,2626
2006-08-07,19.726,19.854,19.46,19.76,39841,2626
2006-08-08,19.609,19.997,19.587,19.76,82210,2626
2006-08-09,19.771,19.771,19.609,19.705,38439,2626
2006-08-10,19.609,19.76,19.609,19.609,47320,2626
2006-08-11,19.62,19.666,19.397,19.419,51343,2626
2006-08-14,19.419,19.666,19.28,19.28,130364,2626
2006-08-15,19.419,19.666,19.311,19.44,66308,2626
2006-08-16,19.44,19.771,19.353,19.666,77159,2626
2006-08-17,19.76,19.961,19.666,19.9,133924,2626
2006-08-18,19.9,20.188,19.782,20.147,73318,2626
2006-08-21,20.147,20.147,19.794,19.951,86603,2626
2006-08-22,19.951,20.209,19.951,20.124,285804,2626
2006-08-23,20.176,20.722,20.062,20.604,224730,2626
2006-08-24,20.241,20.241,19.514,19.997,492678,2626
2006-08-25,19.972,19.997,19.825,19.951,245587,2626
2006-08-28,19.951,19.951,19.688,19.854,179378,2626
2006-08-29,19.931,19.972,19.825,19.951,138037,2626
2006-08-30,19.983,19.997,19.825,19.951,130557,2626
2006-08-31,19.997,20.05,19.889,20.037,107643,2626
2006-09-01,20.05,20.216,20.05,20.124,67894,2626
2006-09-05,20.147,20.176,20.006,20.089,124759,2626
2006-09-06,20.089,20.188,20.018,20.124,128402,2626
2006-09-07,20.101,20.156,19.76,20.156,137665,2626
2006-09-08,20.168,20.188,20.068,20.176,138607,2626
2006-09-11,20.147,20.228,20.05,20.188,146454,2626
2006-09-12,20.147,20.241,20.05,20.188,138320,2626
2006-09-13,20.228,20.433,20.147,20.241,161322,2626
2006-09-14,20.089,20.112,19.878,19.983,126997,2626
2006-09-15,20.037,20.306,20.028,20.124,105589,2626
2006-09-18,20.168,20.168,19.997,20.089,99040,2626
2006-09-19,20.156,20.156,19.878,20.05,140369,2626
2006-09-20,20.079,20.124,19.878,19.997,109890,2626
2006-09-21,19.997,20.006,19.825,19.972,88663,2626
2006-09-22,19.983,20.112,19.9,20.006,94090,2626
2006-09-25,20.168,20.168,19.854,19.911,151599,2626
2006-09-26,19.878,19.911,19.75,19.825,110357,2626
2006-09-27,19.867,19.972,19.688,19.972,87913,2626
2006-09-28,19.931,19.942,19.782,19.794,102126,2626
2006-09-29,19.76,19.9,19.696,19.805,102496,2626
2006-10-02,19.854,19.854,19.587,19.677,86603,2626
2006-10-03,19.666,19.997,19.653,19.997,86037,2626
2006-10-04,19.922,20.037,19.805,20.037,90063,2626
2006-10-05,20.089,20.124,19.854,19.972,104277,2626
2006-10-06,19.983,20.168,19.961,19.961,91653,2626
2006-10-09,19.961,20.209,19.961,20.209,94090,2626
2006-10-10,20.188,20.188,20.037,20.176,115784,2626
2006-10-11,20.176,20.209,20.101,20.136,96797,2626
2006-10-12,20.188,20.315,20.062,20.216,111107,2626
2006-10-13,20.285,20.478,20.176,20.176,84917,2626
2006-10-16,20.216,20.433,20.124,20.4,63406,2626
2006-10-17,20.392,20.53,20.241,20.53,155623,2626
2006-10-18,20.702,20.821,20.392,20.722,159640,2626
2006-10-19,20.68,20.722,20.424,20.616,163385,2626
2006-10-20,20.574,20.722,20.488,20.488,103160,2626
2006-10-23,20.549,20.626,20.392,20.488,131680,2626
2006-10-24,20.496,20.626,20.392,20.626,118866,2626
2006-10-25,20.586,20.604,20.346,20.478,156088,2626
2006-10-26,20.457,20.68,20.4,20.68,100630,2626
2006-10-27,20.722,20.903,20.563,20.903,111107,2626
2006-10-30,20.849,21.064,20.586,20.722,176476,2626
2006-10-31,20.658,20.849,20.634,20.732,108765,2626
2006-11-01,20.767,20.903,20.616,20.784,95765,2626
2006-11-02,20.883,21.011,20.53,20.755,126632,2626
2006-11-03,20.743,20.883,20.626,20.714,84732,2626
2006-11-06,20.702,21.031,20.658,20.874,100349,2626
2006-11-07,20.84,20.967,20.626,20.784,131585,2626
2006-11-08,20.784,20.809,20.702,20.784,67707,2626
2006-11-09,20.784,20.874,20.777,20.84,78658,2626
2006-11-10,20.861,21.041,20.784,21.011,82675,2626
2006-11-13,21.002,21.16,20.925,21.041,137665,2626
2006-11-14,21.086,21.394,20.979,21.394,128218,2626
