Date,Open,High,Low,Close,Volume,stock_id
2011-02-01,13.22,13.5,12.69,13.0,2648710,5988
2011-02-02,13.01,13.24,12.78,12.85,887385,5988
2011-02-03,12.78,13.68,12.65,12.97,978971,5988
2011-02-04,13.14,13.55,13.1,13.5,403467,5988
2011-02-07,13.5,13.82,13.1,13.1,501661,5988
2011-02-08,13.06,13.4,12.81,13.02,408140,5988
2011-02-09,13.35,13.5,12.85,12.9,351399,5988
2011-02-10,12.99,13.1,12.78,12.8,242744,5988
2011-02-11,12.99,12.99,12.51,12.62,259057,5988
2011-02-14,12.61,12.75,12.02,12.42,443808,5988
2011-02-15,12.58,12.69,12.32,12.5,502317,5988
2011-02-16,12.6,12.84,12.5,12.72,205232,5988
2011-02-18,13.0,13.05,12.75,12.86,246878,5988
2011-02-22,12.82,12.9,12.35,12.44,306205,5988
2011-02-23,12.41,12.74,12.05,12.25,356127,5988
2011-02-24,12.21,12.49,11.85,11.99,351530,5988
2011-02-25,12.0,12.2,11.91,12.0,222676,5988
2011-02-28,12.07,12.19,11.95,12.18,241674,5988
2011-03-01,12.38,12.58,12.15,12.38,217273,5988
2011-03-02,12.39,12.6,12.2,12.48,119797,5988
2011-03-03,12.56,13.34,12.5,13.19,458973,5988
2011-03-04,13.06,13.25,12.9,13.16,194885,5988
2011-03-07,13.22,13.22,12.5,12.95,109541,5988
2011-03-08,12.94,12.95,12.61,12.83,44045,5988
2011-03-09,13.05,13.1,12.59,12.76,152263,5988
2011-03-10,12.61,12.86,12.31,12.71,209695,5988
2011-03-11,12.89,13.18,12.7,13.17,544296,5988
2011-03-14,13.15,13.15,12.44,12.53,144028,5988
2011-03-15,12.08,12.48,12.02,12.36,260498,5988
2011-03-16,12.36,12.83,12.25,12.41,198025,5988
2011-03-17,12.55,12.7,12.3,12.59,237507,5988
2011-03-18,12.72,12.95,12.51,12.74,75618,5988
2011-03-21,12.97,13.03,12.8,12.97,175347,5988
2011-03-22,12.93,12.98,12.79,12.79,119892,5988
2011-03-23,12.84,12.85,12.61,12.74,112799,5988
2011-03-24,12.82,12.82,12.4,12.64,490269,5988
2011-03-25,12.73,12.75,12.54,12.73,53558,5988
2011-03-28,12.86,12.92,12.68,12.72,155135,5988
2011-03-29,12.7,12.96,12.65,12.65,97265,5988
