Date,Open,High,Low,Close,Volume,stock_id
2011-02-01,14.52,15.2,14.52,14.85,1612103,229
2011-02-02,14.97,15.35,14.65,14.65,1291394,229
2011-02-03,14.65,14.75,14.45,14.45,961523,229
2011-02-04,14.4,14.48,14.04,14.1,758752,229
2011-02-07,14.13,15.63,14.13,15.17,1368273,229
2011-02-08,15.33,15.87,15.28,15.4,975091,229
2011-02-09,15.2,15.2,14.36,14.55,728588,229
2011-02-10,14.25,14.73,14.25,14.61,447591,229
2011-02-11,14.5,14.79,14.38,14.65,361999,229
2011-02-14,14.6,14.81,14.45,14.56,701818,229
2011-02-15,14.01,14.64,14.01,14.41,455800,229
2011-02-16,14.4,14.63,14.08,14.38,479879,229
2011-02-18,14.32,14.67,14.15,14.17,524320,229
2011-02-22,14.0,14.0,13.36,13.41,765422,229
2011-02-23,13.45,13.52,12.47,13.04,1033853,229
2011-02-24,12.9,13.16,12.62,13.05,401418,229
2011-02-25,13.05,13.24,12.04,12.61,1337347,229
2011-02-28,12.35,12.5,11.6,11.6,1592329,229
2011-03-01,11.65,11.79,11.35,11.7,820763,229
2011-03-02,11.56,12.0,11.51,11.6,382497,229
2011-03-03,11.73,12.18,11.45,11.48,370136,229
2011-03-04,11.89,11.89,11.31,11.6,255567,229
2011-03-07,11.75,11.76,11.26,11.28,281418,229
2011-03-08,11.32,11.53,11.3,11.37,227630,229
2011-03-09,11.62,11.73,11.45,11.56,322455,229
2011-03-10,11.4,11.55,11.21,11.22,343310,229
2011-03-11,11.0,12.08,10.96,12.05,668824,229
2011-03-14,11.8,12.22,11.5,12.11,381512,229
2011-03-15,11.22,12.15,11.2,12.05,542148,229
2011-03-16,12.0,12.35,11.6,11.72,720342,229
2011-03-17,11.72,11.9,11.62,11.7,261653,229
2011-03-18,11.78,12.2,11.4,11.5,596824,229
2011-03-21,11.76,12.34,11.7,12.22,171750,229
2011-03-22,12.21,12.45,11.91,11.95,286376,229
2011-03-23,11.88,12.02,11.69,11.89,248163,229
2011-03-24,11.8,12.0,11.7,11.76,329143,229
2011-03-25,11.59,12.0,11.51,11.77,307939,229
2011-03-28,11.73,12.12,11.62,11.7,559500,229
2011-03-29,11.7,11.87,11.61,11.64,240504,229
2011-03-30,11.7,11.77,11.3,11.44,335409,229
2011-03-31,11.18,11.45,11.1,11.13,711290,229
2011-04-01,11.26,11.3,11.05,11.1,251500,229
2011-04-04,11.05,11.07,10.59,10.78,405905,229
2011-04-05,10.73,11.43,10.73,11.17,254626,229
2011-04-06,11.21,11.38,10.95,11.0,387205,229
2011-04-07,11.0,11.28,10.85,10.92,302911,229
2011-04-08,11.1,11.1,10.89,10.9,194443,229
2011-04-11,11.1,11.1,10.8,10.8,222616,229
2011-04-12,10.69,11.0,10.62,10.97,186573,229
2011-04-13,10.9,10.97,10.7,10.7,145311,229
2011-04-14,10.57,10.7,10.5,10.6,139144,229
2011-04-15,10.55,10.66,10.38,10.55,123606,229
2011-04-18,10.35,10.44,9.99,10.04,253000,229
2011-04-19,10.13,10.2,9.75,9.88,423985,229
2011-04-20,9.89,10.12,9.75,9.75,90729,229
2011-04-21,9.92,9.94,9.63,9.82,225546,229
2011-04-25,9.63,9.68,9.33,9.46,188869,229
2011-04-26,9.3,9.64,9.3,9.4,518578,229
2011-04-27,9.33,9.4,9.07,9.14,189819,229
2011-04-28,9.09,9.3,9.02,9.17,262395,229
2011-04-29,9.08,9.14,8.95,8.98,312595,229
2011-05-02,9.0,9.04,8.65,8.65,312133,229
2011-05-03,8.88,8.9,8.65,8.7,451773,229
2011-05-04,8.95,8.96,8.65,8.89,244140,229
2011-05-05,8.81,9.03,8.71,8.88,353792,229
2011-05-06,8.9,9.35,8.75,9.09,609764,229
2011-05-09,9.39,9.39,8.5,8.61,477179,229
2011-05-10,8.4,8.68,8.33,8.55,570322,229
2011-05-11,8.5,9.4,8.5,9.02,569973,229
2011-05-12,8.95,9.2,8.83,8.98,206138,229
2011-05-13,8.98,9.12,8.6,8.79,342387,229
2011-05-16,8.79,9.14,8.79,8.86,149940,229
2011-05-17,9.05,9.2,8.86,9.12,312131,229
2011-05-18,9.01,9.36,9.0,9.32,231520,229
2011-05-19,9.39,9.39,9.1,9.2,217269,229
2011-05-20,9.07,9.48,9.07,9.29,134564,229
2011-05-23,9.11,9.2,8.92,9.01,1567216,229
2011-05-24,8.96,9.34,8.91,9.06,920221,229
2011-05-25,8.6,9.08,8.51,9.05,2302461,229
2011-05-26,9.02,9.21,8.94,9.05,370725,229
2011-05-27,9.19,9.23,9.06,9.19,120458,229
2011-05-31,9.06,9.2,8.95,9.1,411252,229
2011-06-01,9.05,9.09,8.8,8.96,250775,229
2011-06-02,8.97,9.1,8.96,9.05,283183,229
2011-06-03,8.77,9.05,8.77,8.99,234873,229
2011-06-06,8.87,9.0,8.7,8.74,240194,229
2011-06-07,8.72,8.85,8.72,8.72,158632,229
2011-06-08,8.71,8.89,8.58,8.85,175872,229
2011-06-09,8.85,9.2,8.84,8.99,169318,229
2011-06-10,9.07,9.38,8.85,9.38,213521,229
2011-06-13,9.3,9.48,9.21,9.35,136367,229
2011-06-14,9.35,9.39,9.1,9.27,90319,229
2011-06-15,9.1,9.31,8.99,9.11,135373,229
2011-06-16,9.11,9.29,9.07,9.07,52369,229
2011-06-17,9.1,9.3,9.09,9.21,180815,229
2011-06-20,9.07,9.27,9.05,9.26,43128,229
2011-06-21,9.2,9.6,9.12,9.51,131805,229
2011-06-22,8.75,9.88,8.75,9.67,97659,229
2011-06-23,9.66,9.66,9.4,9.59,198932,229
2011-06-24,9.6,9.74,9.44,9.5,119975,229
2011-06-27,9.5,9.88,9.4,9.77,156630,229
2011-06-28,9.63,9.83,9.63,9.79,51694,229
2011-06-29,9.71,10.13,9.71,9.9,89207,229
2011-06-30,9.9,10.24,9.9,10.2,172464,229
2011-07-01,10.01,10.38,9.99,10.37,142958,229
2011-07-05,10.63,10.64,10.36,10.38,206405,229
2011-07-06,10.15,10.33,10.05,10.15,130043,229
2011-07-07,10.2,10.67,10.2,10.49,484152,229
2011-07-08,10.45,10.58,10.26,10.55,132920,229
2011-07-11,10.36,10.45,9.9,9.99,356348,229
2011-07-12,9.85,10.05,9.8,9.9,226170,229
2011-07-13,9.85,10.2,9.84,10.0,251824,229
2011-07-14,9.9,10.14,9.9,10.05,447822,229
2011-07-15,9.85,10.1,9.85,10.04,479149,229
2011-07-18,9.91,10.15,9.53,10.1,897782,229
2011-07-19,9.91,10.18,9.82,9.98,157213,229
