Date,Open,High,Low,Close,Volume,stock_id
1994-07-22,8.2849,8.3424,8.2849,8.2849,1723895,4730
1994-07-25,8.2849,8.3424,8.2849,8.3424,168795,4730
1994-07-26,8.2849,8.3424,8.2849,8.2849,87078,4730
1994-07-27,8.3424,8.3424,8.2849,8.2849,45427,4730
1994-07-28,8.2849,8.3424,8.2849,8.2849,101691,4730
1994-07-29,8.2849,8.3424,8.2849,8.2849,24236,4730
1994-08-01,8.2849,8.3424,8.2849,8.2849,26425,4730
1994-08-02,8.2849,8.3424,8.2849,8.2849,73073,4730
1994-08-03,8.2849,8.3424,8.2849,8.3424,45670,4730
1994-08-04,8.2849,8.2849,8.1699,8.1699,674456,4730
1994-08-05,8.1699,8.2275,8.1699,8.1699,159056,4730
1994-08-08,8.1699,8.2275,8.1699,8.1699,61748,4730
1994-08-09,8.2275,8.2275,8.1699,8.2275,99501,4730
1994-08-10,8.1699,8.1699,8.0634,8.0634,163196,4730
1994-08-11,8.0634,8.1699,8.0057,8.0057,82450,4730
1994-08-12,8.0634,8.0634,8.0057,8.0634,104372,4730
1994-08-15,8.0057,8.1126,8.0057,8.0634,29471,4730
1994-08-16,8.1699,8.1699,8.0634,8.1126,133846,4730
1994-08-17,8.1126,8.1126,8.0634,8.0634,113015,4730
1994-08-18,8.0634,8.1126,8.0634,8.1126,54685,4730
1994-08-19,8.0634,8.1126,8.0057,8.0634,65763,4730
1994-08-22,8.0634,8.0634,8.0057,8.0634,43965,4730
1994-08-23,8.0057,8.0634,8.0057,8.0057,33125,4730
1994-08-24,8.0057,8.1126,8.0057,8.0634,78431,4730
1994-08-25,8.1126,8.1699,8.0634,8.1126,62475,4730
1994-08-26,8.1126,8.1699,8.1126,8.1699,57848,4730
1994-08-29,8.1699,8.2275,8.1126,8.1699,55168,4730
1994-08-30,8.2275,8.2849,8.1699,8.2849,44208,4730
1994-08-31,8.2849,8.2849,8.2275,8.2275,32152,4730
1994-09-01,8.2849,8.2849,8.1699,8.1699,42381,4730
1994-09-02,8.2275,8.2275,8.1126,8.1699,43353,4730
1994-09-06,8.2275,8.2275,8.0634,8.0634,14124,4730
1994-09-07,8.0634,8.1126,8.0634,8.0634,40435,4730
1994-09-08,8.0634,8.1126,8.0057,8.1126,69664,4730
1994-09-09,8.1126,8.1699,7.8908,8.1699,40314,4730
1994-09-12,8.0634,8.1699,8.0634,8.0634,41895,4730
1994-09-13,8.1126,8.1699,8.0634,8.1126,55168,4730
1994-09-14,8.1126,8.1699,7.9484,7.9484,44087,4730
1994-09-15,8.0057,8.1126,8.0057,8.0634,141393,4730
1994-09-16,8.0634,8.0634,7.9484,7.9484,31175,4730
1994-09-19,7.9484,8.0057,7.8335,7.9484,87201,4730
1994-09-20,7.8908,7.8908,7.7265,7.7758,88418,4730
1994-09-21,7.7265,7.8335,7.6117,7.6692,151624,4730
1994-09-22,7.6692,7.8908,7.6692,7.8908,102057,4730
1994-09-23,7.8908,7.9484,7.8335,7.8335,53343,4730
1994-09-26,7.9484,7.9484,7.8335,7.9484,44816,4730
1994-09-27,7.9484,8.1699,7.8908,7.8908,74167,4730
1994-09-28,7.9484,7.9484,7.8335,7.8335,44087,4730
1994-09-29,7.8335,7.9484,7.7758,7.8908,32152,4730
1994-09-30,7.7758,7.8335,7.7265,7.7758,34345,4730
1994-10-03,7.7265,7.7758,7.6692,7.6692,29716,4730
1994-10-04,7.7265,7.7758,7.3901,7.4966,73922,4730
1994-10-05,7.4966,7.6692,7.4966,7.6692,27769,4730
1994-10-06,7.6117,7.7265,7.6117,7.7265,40067,4730
1994-10-07,7.7265,7.8335,7.6692,7.7758,22653,4730
1994-10-10,7.8908,7.9484,7.8908,7.8908,14737,4730
1994-10-11,8.0057,8.0634,7.9484,8.0057,38241,4730
1994-10-12,8.0634,8.0634,7.9484,8.0057,17415,4730
1994-10-13,8.0057,8.1126,7.9484,8.0057,17415,4730
1994-10-14,8.0057,8.0057,7.9484,7.9484,13395,4730
1994-10-17,7.9484,8.0057,7.8908,8.0057,8890,4730
1994-10-18,7.9484,8.0057,7.8908,7.9484,12790,4730
1994-10-19,7.9484,8.1126,7.9484,8.0634,53585,4730
1994-10-20,8.0634,8.1126,8.0057,8.0634,84643,4730
1994-10-21,8.0634,8.0634,7.9484,8.0634,47985,4730
1994-10-24,8.0634,8.0634,7.9484,7.9484,9502,4730
1994-10-25,7.9484,8.0634,7.9484,8.0057,5968,4730
1994-10-26,7.9484,8.0057,7.9484,7.9484,15590,4730
1994-10-27,7.9484,8.1126,7.9484,8.0634,149433,4730
1994-10-28,8.0634,8.1126,8.0634,8.0634,16075,4730
1994-10-31,8.1126,8.1699,8.0634,8.1699,81840,4730
1994-11-01,8.1126,8.1699,8.0634,8.0634,43353,4730
1994-11-02,8.0634,8.1699,8.0634,8.1126,44816,4730
1994-11-03,8.1126,8.1699,8.0634,8.1126,61988,4730
1994-11-04,8.1126,8.1699,8.0634,8.0634,26062,4730
1994-11-07,8.0634,8.0634,7.9484,8.0057,30450,4730
1994-11-08,8.0223,8.0796,7.9074,8.0223,34345,4730
1994-11-09,8.0796,8.0796,7.9646,7.9646,23264,4730
1994-11-10,7.9646,8.0223,7.9646,8.0223,21312,4730
1994-11-11,7.9646,8.0223,7.9074,7.9646,10353,4730
1994-11-14,7.9646,8.0796,7.9646,7.9646,27278,4730
1994-11-15,7.9646,8.0796,7.9074,8.0796,92438,4730
1994-11-16,8.0223,8.0796,7.9646,8.0223,16806,4730
1994-11-17,8.0223,8.1374,8.0223,8.0796,51272,4730
1994-11-18,8.0796,8.1947,8.0796,8.0796,31786,4730
1994-11-21,8.1947,8.1947,8.0796,8.1374,55047,4730
1994-11-22,8.0796,8.0796,7.8497,7.8497,33735,4730
1994-11-23,7.7923,7.9074,7.6196,7.9074,44087,4730
1994-11-25,7.9074,7.9646,7.8497,7.8497,6090,4730
1994-11-28,7.8497,7.8497,7.7923,7.7923,13153,4730
1994-11-29,7.7348,7.7348,7.5131,7.5703,36781,4730
1994-11-30,7.5703,7.7348,7.5703,7.6775,51151,4730
1994-12-01,7.6775,7.7348,7.6775,7.7348,15834,4730
1994-12-02,7.6775,7.7348,7.6196,7.7348,34100,4730
1994-12-05,7.7348,7.7348,7.6775,7.6775,10353,4730
1994-12-06,7.6775,7.7348,7.5131,7.5131,47618,4730
1994-12-07,7.5703,7.6196,7.4557,7.5131,47131,4730
1994-12-08,7.5131,7.5703,7.5131,7.5131,27526,4730
1994-12-09,7.4557,7.5131,7.3979,7.5131,26303,4730
1994-12-12,7.5131,7.6196,7.5131,7.5131,25818,4730
1994-12-13,7.5131,7.5703,7.4557,7.5703,26671,4730
1994-12-14,7.4557,7.7348,7.4557,7.7348,30206,4730
1994-12-15,7.8497,7.9646,7.7348,7.8497,76483,4730
1994-12-16,7.7923,7.9074,7.7923,7.8497,61018,4730
1994-12-19,7.8497,7.9074,7.8497,7.8497,24477,4730
1994-12-20,7.9074,7.9074,7.8497,7.9074,16318,4730
1994-12-21,7.8497,7.9074,7.7923,7.8497,31175,4730
1994-12-22,7.8497,7.8497,7.7348,7.8497,19485,4730
1994-12-23,7.9074,7.9646,7.9074,7.9074,37751,4730
1994-12-27,7.9074,7.9646,7.9074,7.9646,14371,4730
1994-12-28,7.8497,7.9646,7.8497,7.8497,18390,4730
1994-12-29,7.8497,7.9074,7.7348,7.7923,19730,4730
1994-12-30,7.7348,7.8497,7.5131,7.8497,29593,4730
1995-01-03,7.9074,7.9074,7.8497,7.9074,11569,4730
1995-01-04,7.9074,7.9074,7.8497,7.8497,17660,4730
1995-01-05,7.9074,7.9074,7.8497,7.9074,5725,4730
1995-01-06,7.9074,7.9074,7.8497,7.8497,13395,4730
1995-01-09,7.9074,7.9646,7.8497,7.9074,12178,4730
1995-01-10,7.9074,8.0223,7.8497,8.0223,63816,4730
1995-01-11,8.0223,8.0223,7.9074,7.9646,11569,4730
1995-01-12,7.9646,8.0796,7.9074,7.9074,22653,4730
1995-01-13,7.9646,7.9646,7.7923,7.8497,12790,4730
1995-01-16,7.9074,7.9646,7.8497,7.9646,6452,4730
1995-01-17,7.9074,7.9646,7.8497,7.9074,25697,4730
1995-01-18,7.9074,7.9646,7.8497,7.9074,44574,4730
1995-01-19,7.9074,7.9646,7.9074,7.9646,9863,4730
1995-01-20,7.9646,7.9646,7.8497,7.9074,24968,4730
1995-01-23,7.8497,7.8497,7.7923,7.7923,8405,4730
1995-01-24,7.8497,7.8497,7.7923,7.8497,14248,4730
1995-01-25,7.7923,7.8497,7.7923,7.8497,4996,4730
1995-01-26,7.8497,7.8497,7.7923,7.8497,9135,4730
1995-01-27,7.8497,7.9646,7.8497,7.9646,70635,4730
1995-01-30,8.0223,8.1374,7.9646,8.1374,24356,4730
1995-01-31,8.1947,8.2523,8.1374,8.1374,212151,4730
1995-02-01,8.211,8.2685,8.1533,8.211,31910,4730
1995-02-02,8.1533,8.211,8.1533,8.211,9379,4730
1995-02-03,8.211,8.2685,8.1533,8.2685,74167,4730
1995-02-06,8.211,8.3259,8.211,8.2685,17295,4730
1995-02-07,8.3835,8.5068,8.3259,8.4494,57365,4730
1995-02-08,8.5068,8.6215,8.5068,8.5642,81716,4730
1995-02-09,8.5642,8.5642,8.4494,8.5068,23871,4730
1995-02-10,8.5642,8.5642,8.3259,8.3835,38605,4730
1995-02-13,8.3835,8.3835,8.3259,8.3259,17051,4730
1995-02-14,8.3835,8.5068,8.3835,8.4494,12058,4730
1995-02-15,8.4494,8.5068,8.3259,8.3835,26548,4730
1995-02-16,8.3835,8.3835,8.2685,8.2685,24600,4730
1995-02-17,8.2685,8.3259,8.2685,8.3259,26914,4730
1995-02-21,8.3259,8.3835,8.211,8.2685,34832,4730
1995-02-22,8.3835,8.3835,8.3259,8.3259,18754,4730
1995-02-23,8.3835,8.4494,8.2685,8.3259,27649,4730
1995-02-24,8.2685,8.4494,8.2685,8.4494,42870,4730
1995-02-27,8.3835,8.4494,8.3835,8.3835,14615,4730
1995-02-28,8.4494,8.4494,8.3835,8.3835,16685,4730
1995-03-01,8.5068,8.5068,8.4494,8.4494,28621,4730
1995-03-02,8.4494,8.5068,8.3835,8.3835,20462,4730
1995-03-03,8.3835,8.5068,8.3835,8.3835,33978,4730
1995-03-06,8.4494,8.5068,8.3835,8.4494,11691,4730
1995-03-07,8.3835,8.3835,8.3259,8.3835,11204,4730
1995-03-08,8.4494,8.4494,8.2685,8.3259,51762,4730
1995-03-09,8.3835,8.4494,8.3835,8.3835,70880,4730
1995-03-10,8.3835,8.5068,8.3835,8.3835,62599,4730
1995-03-13,8.4494,8.5068,8.3835,8.4494,31786,4730
1995-03-14,8.4494,8.5642,8.4494,8.5068,46890,4730
1995-03-15,8.5642,8.737,8.5068,8.5068,47131,4730
1995-03-16,8.5068,8.5642,8.5068,8.5068,29716,4730
1995-03-17,8.5642,8.6215,8.5068,8.5642,15953,4730
1995-03-20,8.5642,8.6215,8.5642,8.5642,26914,4730
1995-03-21,8.6215,8.6215,8.5068,8.5068,50906,4730
1995-03-22,8.5642,8.5642,8.4494,8.4494,28010,4730
1995-03-23,8.5642,8.5642,8.5068,8.5068,27278,4730
1995-03-24,8.5068,8.6215,8.3835,8.5068,35196,4730
1995-03-27,8.5068,8.5642,8.4494,8.5068,19365,4730
1995-03-28,8.5642,8.6215,8.5068,8.6215,31910,4730
1995-03-29,8.6215,8.6215,8.5068,8.5642,21922,4730
1995-03-30,8.5642,8.5642,8.5068,8.5642,7673,4730
1995-03-31,8.5068,8.5642,8.5068,8.5068,25941,4730
1995-04-03,8.5642,8.5642,8.4494,8.4494,11081,4730
1995-04-04,8.4494,8.5068,8.3835,8.3835,24846,4730
1995-04-05,8.3835,8.3835,8.3259,8.3259,10230,4730
