Date,Open,High,Low,Close,Volume,stock_id
2005-11-18,0.95,0.95,0.95,0.95,5000,928
2005-11-23,1.05,1.05,1.02,1.05,44600,928
2005-11-25,1.09,1.09,1.09,1.09,3000,928
2005-11-28,1.12,1.14,1.12,1.12,7000,928
2005-11-29,1.12,1.14,1.11,1.12,18400,928
2005-11-30,1.1,1.11,1.1,1.1,2000,928
2005-12-01,1.1,1.1,1.1,1.1,900,928
2005-12-02,1.12,1.12,1.12,1.12,9000,928
2005-12-05,1.23,1.23,1.23,1.23,8000,928
2005-12-07,1.29,1.3,1.29,1.29,1750,928
2005-12-08,1.29,1.34,1.29,1.29,4500,928
2005-12-12,1.38,1.38,1.31,1.38,5170,928
2005-12-14,1.3,1.3,1.3,1.3,4000,928
2005-12-19,1.45,1.49,1.45,1.45,3500,928
2005-12-20,1.5,1.5,1.5,1.5,2000,928
2005-12-23,1.55,1.55,1.55,1.55,4000,928
2005-12-29,1.55,1.55,1.55,1.55,7700,928
2005-12-30,1.6,1.6,1.6,1.6,2000,928
2006-01-03,1.65,1.65,1.61,1.65,28000,928
2006-01-05,1.65,1.65,1.64,1.65,2400,928
2006-01-06,1.57,1.57,1.57,1.57,1000,928
2006-01-09,1.56,1.56,1.55,1.56,2000,928
2006-01-18,1.57,1.57,1.55,1.57,10000,928
2006-01-19,1.57,1.59,1.57,1.57,3000,928
2006-01-23,1.8,1.8,1.8,1.8,100,928
2006-01-24,1.85,1.85,1.85,1.85,3000,928
2006-01-25,2.1,2.1,1.88,2.1,4500,928
2006-01-26,2.1,2.1,2.07,2.1,14000,928
2006-01-30,2.2,2.2,2.1,2.2,30000,928
2006-01-31,2.36,2.4,2.2,2.36,52500,928
2006-02-01,2.36,2.44,2.29,2.36,175586,928
2006-02-02,2.19,2.34,2.14,2.19,80030,928
2006-02-03,1.93,2.19,1.88,1.93,34608,928
2006-02-06,2.06,2.1,2.04,2.06,23935,928
2006-02-07,1.7,2.04,1.54,1.7,32650,928
2006-02-08,1.61,1.75,1.61,1.61,29300,928
2006-02-09,1.75,1.79,1.75,1.75,31740,928
2006-02-10,1.7,1.8,1.64,1.7,42900,928
2006-02-13,1.59,1.75,1.58,1.59,33800,928
2006-02-14,1.6,1.66,1.53,1.6,41350,928
2006-02-15,1.63,1.63,1.5,1.63,22900,928
2006-02-16,1.46,1.56,1.36,1.46,35770,928
2006-02-17,1.57,1.58,1.45,1.57,87860,928
2006-02-21,1.55,1.6,1.51,1.55,71490,928
2006-02-22,1.54,1.57,1.48,1.54,119700,928
2006-02-23,1.53,1.55,1.47,1.53,63650,928
2006-02-24,1.56,1.58,1.51,1.56,169150,928
2006-02-27,1.55,1.59,1.48,1.55,21300,928
2006-02-28,1.57,1.59,1.56,1.57,12600,928
2006-03-01,1.7,1.71,1.57,1.7,17200,928
2006-03-02,1.98,1.98,1.68,1.98,58630,928
2006-03-03,1.95,1.98,1.91,1.95,14500,928
2006-03-06,2.16,2.27,2.13,2.16,14500,928
2006-03-07,2.04,2.1,2.0,2.04,17500,928
2006-03-08,2.0,2.0,1.86,2.0,11400,928
2006-03-09,1.91,1.91,1.87,1.91,8300,928
2006-03-10,1.91,1.91,1.83,1.91,3100,928
2006-03-13,1.91,2.92,1.77,1.91,13500,928
2006-03-14,1.94,1.94,1.94,1.94,1000,928
2006-03-15,1.93,2.01,1.93,1.93,4700,928
2006-03-16,1.94,1.99,1.94,1.94,1500,928
2006-03-17,1.87,1.87,1.87,1.87,6000,928
2006-03-20,1.84,1.88,1.79,1.84,12933,928
2006-03-21,1.7,1.75,1.7,1.7,8900,928
2006-03-22,1.6,1.75,1.5,1.6,16000,928
2006-03-23,1.6,1.6,1.59,1.6,8000,928
2006-03-24,1.52,1.6,1.52,1.52,20400,928
2006-03-27,1.52,1.6,1.52,1.52,16000,928
2006-03-28,1.52,1.59,1.52,1.52,20500,928
2006-03-29,1.5,1.56,1.46,1.5,70200,928
2006-03-30,1.52,1.52,1.47,1.52,4000,928
2006-03-31,1.55,1.55,1.47,1.55,8900,928
2006-04-03,1.75,1.75,1.5,1.75,16690,928
2006-04-06,1.79,1.79,1.75,1.79,8000,928
2006-04-07,1.6,1.77,1.6,1.6,11400,928
2006-04-10,1.86,1.86,1.82,1.86,2300,928
2006-04-11,1.89,1.93,1.82,1.89,5100,928
2006-04-12,1.8,1.8,1.8,1.8,3000,928
2006-04-17,1.69,1.77,1.69,1.69,42500,928
2006-04-18,1.78,1.78,1.78,1.78,500,928
2006-04-19,1.81,1.81,1.76,1.81,52300,928
2006-04-20,1.76,1.8,1.76,1.76,30000,928
2006-04-21,1.77,1.77,1.77,1.77,4000,928
2006-04-24,1.76,1.8,1.76,1.76,11700,928
2006-04-26,1.8,1.8,1.8,1.8,4200,928
2006-04-27,1.88,1.88,1.88,1.88,2400,928
2006-04-28,1.87,1.87,1.87,1.87,500,928
2006-05-01,1.97,2.12,1.94,1.97,10700,928
2006-05-02,2.09,2.1,1.99,2.09,13000,928
2006-05-03,2.02,2.02,1.94,2.02,7200,928
2006-05-04,1.91,2.03,1.91,1.91,11500,928
