Date,Open,High,Low,Close,Volume,stock_id
2011-11-08,26.2,26.5,25.7,26.0,31725,423
2011-11-09,25.8,25.8,23.3,24.7,33286,423
2011-11-10,25.0,25.0,23.7,24.6,9345,423
2011-11-11,25.0,25.6,24.5,25.0,7287,423
2011-11-14,26.0,26.0,23.7,24.0,9395,423
2011-11-15,24.0,24.3,23.4,23.5,18892,423
2011-11-16,23.4,23.4,22.5,22.5,24346,423
2011-11-17,22.1,22.6,21.2,21.5,23458,423
2011-11-18,21.4,22.4,20.9,21.4,9445,423
2011-11-21,20.5,21.3,18.6,19.9,21715,423
2011-11-22,19.7,21.0,19.6,20.4,24739,423
2011-11-23,20.8,20.8,19.7,20.3,19660,423
2011-11-25,20.4,21.2,20.4,20.5,1370,423
2011-11-28,21.4,22.2,20.7,21.3,7625,423
2011-11-29,21.5,21.5,21.1,21.4,6221,423
2011-11-30,21.9,23.4,21.9,23.2,9642,423
2011-12-01,23.0,23.7,23.0,23.3,6861,423
2011-12-02,23.9,24.3,23.7,24.1,6906,423
2011-12-05,23.3,24.4,22.7,22.9,8103,423
2011-12-06,22.9,22.9,22.2,22.8,7637,423
2011-12-07,22.3,22.7,21.7,21.9,4957,423
2011-12-08,22.5,22.5,21.0,21.8,6737,423
2011-12-09,22.0,22.0,21.3,21.5,15160,423
2011-12-12,20.9,20.9,20.2,20.5,5338,423
2011-12-13,20.7,20.8,19.4,19.5,5460,423
2011-12-14,18.1,18.9,17.0,17.9,18119,423
2011-12-15,19.0,19.0,17.0,17.4,18132,423
2011-12-16,18.0,20.6,17.9,19.7,13172,423
2011-12-19,20.4,20.4,18.2,18.2,9777,423
2011-12-20,19.1,19.3,18.5,18.5,9238,423
2011-12-21,19.2,19.8,18.7,19.6,16942,423
2011-12-22,19.1,19.5,18.0,18.0,10228,423
2011-12-23,18.2,18.9,18.2,18.6,6231,423
2011-12-27,19.2,20.0,18.5,19.1,3584,423
2011-12-28,18.4,18.8,17.4,17.7,26193,423
2011-12-29,17.1,18.7,17.1,18.5,9389,423
2011-12-30,18.3,19.4,18.3,18.6,5436,423
2012-01-03,19.7,20.7,19.0,20.6,9892,423
2012-01-04,20.4,21.1,20.0,20.5,12032,423
2012-01-05,19.8,19.8,19.1,19.6,10763,423
2012-01-06,19.4,19.8,19.3,19.8,4513,423
2012-01-09,19.8,20.8,19.7,20.3,8118,423
2012-01-10,21.7,21.7,20.1,20.1,21556,423
2012-01-11,20.9,21.3,20.3,21.2,28113,423
2012-01-12,21.2,21.5,20.8,21.2,16103,423
2012-01-13,21.0,22.3,20.6,21.6,15674,423
2012-01-17,22.3,23.5,22.3,23.0,15202,423
2012-01-18,22.9,23.9,22.4,23.7,9852,423
2012-01-19,23.2,25.5,23.2,25.0,25118,423
2012-01-20,25.0,25.5,24.6,24.9,10619,423
2012-01-23,25.0,25.2,24.5,24.5,3595,423
2012-01-24,24.2,25.0,24.1,25.0,3572,423
2012-01-25,24.9,27.8,24.6,27.3,10891,423
2012-01-26,27.9,28.7,27.1,28.0,9459,423
2012-01-27,27.8,28.2,27.5,28.2,5290,423
2012-01-30,27.8,28.1,27.5,28.0,3016,423
2012-01-31,28.4,28.6,28.0,28.6,8045,423
2012-02-01,28.6,30.0,28.4,30.0,35186,423
2012-02-02,30.0,30.5,29.3,29.8,24193,423
2012-02-03,29.5,29.5,28.9,29.4,6572,423
2012-02-06,29.0,29.2,27.5,28.4,16198,423
2012-02-07,28.5,29.3,28.0,28.5,8086,423
2012-02-08,28.5,28.8,27.8,28.1,6525,423
2012-02-09,28.2,28.5,27.5,27.5,9898,423
2012-02-10,27.5,27.5,25.4,26.8,22709,423
2012-02-13,27.2,27.5,26.8,27.4,6566,423
2012-02-14,27.4,28.0,27.4,27.8,8886,423
2012-02-15,28.3,29.0,28.3,28.6,17008,423
2012-02-16,28.6,28.9,28.2,28.9,7696,423
2012-02-17,28.8,28.8,28.1,28.4,3460,423
2012-02-21,28.5,29.2,28.4,28.4,10739,423
2012-02-22,29.5,29.5,28.6,29.1,7456,423
2012-02-23,29.3,29.6,29.1,29.6,5130,423
2012-02-24,29.5,29.5,29.0,29.3,4903,423
2012-02-27,29.0,29.4,28.5,29.0,4187,423
2012-02-28,29.4,29.5,29.1,29.5,1950,423
2012-02-29,29.7,29.7,28.3,28.8,15718,423
2012-03-01,28.5,29.3,27.9,28.5,9972,423
2012-03-02,28.1,29.0,28.1,28.3,4230,423
2012-03-05,27.8,27.8,26.2,26.3,4512,423
2012-03-06,25.0,25.5,23.5,24.9,19605,423
2012-03-07,25.3,26.4,25.2,26.1,2543,423
2012-03-08,26.3,26.6,26.3,26.4,1629,423
2012-03-09,25.8,26.7,25.0,25.3,6150,423
2012-03-12,25.0,26.6,25.0,26.2,4043,423
2012-03-13,25.6,26.2,25.6,25.9,1815,423
2012-03-14,25.9,25.9,23.9,24.6,9685,423
2012-03-15,24.3,25.7,24.3,25.7,2997,423
2012-03-16,25.6,26.0,23.1,23.1,23105,423
2012-03-19,23.9,24.5,23.4,23.8,2772,423
2012-03-20,23.0,24.1,22.5,24.0,6781,423
2012-03-21,23.7,24.3,23.0,23.4,3490,423
2012-03-22,22.6,23.0,22.2,22.6,13974,423
2012-03-23,22.7,23.0,22.2,22.3,5327,423
2012-03-26,22.7,25.1,22.7,25.0,4713,423
2012-03-27,25.0,25.9,24.5,25.0,4640,423
2012-03-28,24.6,24.6,23.2,23.7,8446,423
2012-03-29,23.8,23.8,22.7,23.6,4640,423
2012-03-30,23.5,23.5,22.0,22.4,14821,423
2012-04-02,22.5,24.3,22.3,24.3,10160,423
2012-04-03,23.9,23.9,22.7,23.0,10515,423
2012-04-04,23.0,23.0,21.5,22.0,12245,423
2012-04-05,21.8,22.5,21.3,21.7,6832,423
2012-04-09,21.4,21.7,20.7,21.1,12848,423
2012-04-10,21.0,21.4,20.0,21.2,10080,423
2012-04-11,21.9,22.1,21.2,21.7,12721,423
2012-04-12,21.6,22.2,21.6,21.9,7450,423
2012-04-13,22.0,22.0,21.2,22.0,7614,423
2012-04-16,21.6,21.6,20.7,20.9,9300,423
2012-04-17,21.6,21.6,20.4,20.6,10731,423
2012-04-18,20.4,21.4,20.4,21.4,2720,423
2012-04-19,21.4,21.8,20.9,20.9,2930,423
2012-04-20,21.4,21.9,21.3,21.3,4998,423
2012-04-23,20.6,22.3,20.5,21.7,15936,423
2012-04-24,22.0,22.3,21.3,21.9,10984,423
2012-04-25,22.0,22.4,21.3,22.0,4026,423
2012-04-26,22.1,23.4,22.1,22.4,4891,423
2012-04-27,22.9,24.5,22.9,24.5,10084,423
2012-04-30,24.5,24.6,23.5,24.6,6637,423
2012-05-01,24.6,25.3,24.5,25.0,5811,423
2012-05-02,24.5,24.5,24.0,24.0,3314,423
2012-05-03,24.0,24.2,22.4,23.0,4345,423
2012-05-04,23.0,23.6,22.5,22.9,4097,423
2012-05-07,22.5,22.5,22.0,22.0,5115,423
2012-05-08,21.9,21.9,20.4,21.2,10479,423
2012-05-09,21.1,21.4,19.8,21.1,14881,423
2012-05-10,21.1,22.1,21.1,21.9,6110,423
2012-05-11,21.2,21.9,21.2,21.8,2148,423
2012-05-14,21.1,21.7,20.3,21.3,8136,423
2012-05-15,20.6,21.0,17.0,17.6,22677,423
2012-05-16,18.0,18.3,15.5,15.5,38168,423
2012-05-17,15.8,17.5,15.8,17.2,23451,423
2012-05-18,17.6,20.0,16.4,17.3,20793,423
2012-05-21,17.0,17.9,17.0,17.9,11777,423
2012-05-22,17.3,17.3,15.7,16.1,19757,423
2012-05-23,15.5,16.0,14.5,15.9,27126,423
2012-05-24,16.4,16.7,15.4,16.1,18115,423
2012-05-25,16.2,16.2,15.6,15.9,5637,423
2012-05-29,15.7,16.4,15.4,16.2,7231,423
2012-05-30,15.8,15.8,15.1,15.5,6397,423
2012-05-31,15.5,16.9,15.1,16.8,8284,423
2012-06-01,17.8,20.3,17.1,18.6,22390,423
2012-06-04,18.8,18.9,17.3,17.5,11321,423
2012-06-05,17.8,18.7,17.8,18.6,9941,423
2012-06-06,19.7,19.7,18.2,18.7,23481,423
2012-06-07,19.2,19.2,17.9,19.0,7879,423
2012-06-08,18.5,18.7,18.0,18.6,3054,423
2012-06-11,18.5,18.5,17.3,17.3,4766,423
2012-06-12,17.7,18.0,17.7,17.9,5390,423
2012-06-13,17.9,17.9,17.0,17.0,7741,423
2012-06-14,17.0,18.0,16.9,17.8,5481,423
2012-06-15,17.7,18.4,16.0,17.0,10431,423
2012-06-18,16.5,18.1,16.5,18.0,3731,423
2012-06-19,18.0,18.1,17.3,17.3,9371,423
2012-06-20,17.3,18.4,17.0,18.4,12697,423
2012-06-21,18.3,18.3,17.2,17.8,7405,423
2012-06-22,17.8,18.1,16.9,17.5,3818,423
2012-06-25,17.5,18.4,17.5,17.6,6508,423
2012-06-26,17.9,18.3,17.5,18.3,7656,423
2012-06-27,18.0,18.0,16.5,17.5,4541,423
2012-06-28,17.0,18.0,17.0,18.0,4022,423
2012-06-29,18.4,18.7,18.0,18.3,5939,423
2012-07-02,18.5,18.5,18.0,18.0,1184,423
2012-07-03,18.4,19.5,17.9,19.5,2346,423
2012-07-05,19.5,19.7,18.1,19.2,4118,423
2012-07-06,19.1,19.1,18.1,19.0,698,423
2012-07-09,18.8,19.0,18.4,19.0,1253,423
2012-07-10,18.5,18.5,17.6,18.1,4891,423
2012-07-11,17.7,18.2,17.7,17.8,935,423
2012-07-12,17.2,17.3,16.1,17.3,5486,423
2012-07-13,17.4,17.6,16.6,17.1,7067,423
2012-07-16,17.3,17.6,16.6,17.0,7700,423
2012-07-17,16.8,17.3,16.6,17.3,3116,423
2012-07-18,17.5,17.6,16.9,17.5,3199,423
2012-07-19,17.5,17.9,17.2,17.4,3018,423
2012-07-20,17.2,17.3,16.8,17.3,6702,423
2012-07-23,17.0,17.1,16.6,17.1,1748,423
2012-07-24,16.3,16.8,15.8,16.0,7222,423
2012-07-25,16.0,18.0,16.0,18.0,8941,423
2012-07-26,18.0,18.5,17.5,18.5,4902,423
2012-07-27,18.5,18.9,18.1,18.9,2862,423
2012-07-30,18.5,18.8,17.6,17.9,4221,423
2012-07-31,17.9,17.9,17.2,17.8,5512,423
2012-08-01,17.5,18.2,17.5,18.2,3658,423
2012-08-02,18.1,18.1,17.5,17.6,4669,423
2012-08-03,17.8,18.7,17.8,18.3,4201,423
2012-08-06,18.5,19.2,18.5,18.9,6672,423
2012-08-07,19.1,19.9,18.7,19.8,7624,423
2012-08-08,19.9,20.3,19.4,19.8,4944,423
2012-08-09,19.7,22.1,19.7,21.9,20583,423
2012-08-10,22.1,22.1,21.0,21.5,8137,423
2012-08-13,21.6,22.5,21.1,21.3,11090,423
2012-08-14,21.4,21.6,20.6,21.6,3117,423
2012-08-15,22.0,22.0,20.9,21.0,4228,423
2012-08-16,21.1,22.2,20.9,22.2,12305,423
2012-08-17,22.4,22.4,21.5,22.1,10334,423
2012-08-20,21.9,22.2,21.3,22.2,4861,423
2012-08-21,22.8,23.2,22.4,22.4,5666,423
2012-08-22,22.4,23.0,21.5,22.9,7453,423
2012-08-23,23.2,23.2,22.0,22.0,5156,423
2012-08-24,22.5,22.8,21.9,22.8,7785,423
2012-08-27,23.2,23.5,22.8,22.9,20148,423
2012-08-28,22.8,23.8,22.8,23.2,7180,423
2012-08-29,23.8,23.8,22.6,22.9,6346,423
2012-08-30,22.8,22.8,22.1,22.6,4792,423
2012-08-31,22.8,25.4,22.8,25.2,14374,423
2012-09-04,24.8,27.0,24.8,25.9,32995,423
2012-09-05,26.1,26.1,25.3,26.0,20341,423
2012-09-06,26.0,27.2,26.0,27.0,20740,423
2012-09-07,27.0,27.9,27.0,27.4,31124,423
2012-09-10,27.6,28.0,26.5,26.6,15301,423
2012-09-11,27.1,28.0,27.0,28.0,22042,423
2012-09-12,28.0,28.4,27.1,27.3,9118,423
2012-09-13,27.3,28.0,27.0,28.0,21331,423
2012-09-14,27.7,28.5,27.6,28.5,14804,423
2012-09-17,28.5,28.5,27.4,27.4,18820,423
2012-09-18,27.6,28.0,26.5,27.7,12541,423
2012-09-19,27.3,29.0,27.3,28.5,19560,423
2012-09-20,28.9,29.5,28.2,29.5,16679,423
2012-09-21,29.9,30.8,29.7,30.4,29337,423
2012-09-24,30.0,30.3,28.3,28.6,23727,423
2012-09-25,28.9,29.3,27.7,27.7,8354,423
2012-09-26,27.1,27.5,25.3,26.7,26090,423
2012-09-27,27.9,29.0,27.5,28.6,14374,423
2012-09-28,28.6,28.9,27.9,28.3,5621,423
2012-10-01,29.0,29.1,27.3,27.7,21611,423
2012-10-02,28.2,28.2,27.7,27.7,6250,423
2012-10-03,27.8,28.3,27.1,27.1,8679,423
2012-10-04,27.6,28.9,27.6,28.6,7346,423
2012-10-05,28.7,28.8,28.3,28.6,4837,423
2012-10-08,28.7,28.7,28.0,28.1,1965,423
2012-10-09,28.6,29.1,28.1,28.1,7466,423
2012-10-10,28.0,28.2,27.0,27.3,15010,423
2012-10-11,27.6,27.9,27.3,27.3,5308,423
2012-10-12,27.4,27.8,26.8,27.6,9419,423
2012-10-15,27.8,28.0,26.6,28.0,9282,423
2012-10-16,27.8,28.6,27.7,28.5,7324,423
2012-10-17,28.4,29.4,28.2,29.3,13055,423
2012-10-18,28.6,29.1,28.5,29.0,5182,423
2012-10-19,28.8,29.0,28.3,28.3,10077,423
2012-10-22,27.6,28.2,27.6,28.1,5515,423
2012-10-23,28.1,28.1,27.4,27.8,8414,423
2012-10-24,27.8,27.8,26.1,26.5,12448,423
2012-10-25,27.1,28.2,26.8,27.9,13555,423
2012-10-26,27.6,27.8,27.5,27.7,2918,423
2012-10-31,28.9,31.0,28.4,30.5,24697,423
2012-11-01,30.6,32.4,30.3,31.4,49639,423
2012-11-02,30.8,31.3,29.6,30.1,15133,423
2012-11-05,30.1,30.6,29.7,29.9,4359,423
2012-11-06,30.3,30.8,29.9,30.7,7752,423
2012-11-07,31.1,32.2,30.1,31.6,12841,423
2012-11-08,32.4,32.7,30.9,32.3,29923,423
2012-11-09,32.6,34.0,32.3,33.6,28062,423
2012-11-12,34.2,34.5,33.1,34.0,22075,423
2012-11-13,34.0,34.7,33.4,34.6,19300,423
2012-11-14,34.6,34.6,30.9,32.0,39116,423
2012-11-15,31.6,31.9,30.1,30.7,27403,423
2012-11-16,30.4,31.7,30.0,31.5,9900,423
2012-11-19,32.6,32.9,32.1,32.1,14837,423
2012-11-20,32.6,33.1,32.5,32.8,12043,423
2012-11-21,32.6,33.4,32.2,32.8,12197,423
2012-11-23,33.3,33.9,33.1,33.8,13821,423
2012-11-26,33.5,33.5,33.0,33.2,10941,423
2012-11-27,33.2,33.2,31.8,32.0,19366,423
2012-11-28,30.9,32.6,30.8,32.6,4748,423
2012-11-29,32.9,32.9,32.0,32.3,7203,423
2012-11-30,32.2,32.5,31.8,31.9,77633,423
2012-12-03,32.0,32.0,31.0,31.3,8791,423
2012-12-04,30.0,30.6,29.5,29.7,21073,423
2012-12-05,30.0,30.2,28.7,29.0,27566,423
2012-12-06,28.7,30.9,28.7,30.4,16419,423
2012-12-07,30.6,30.9,30.2,30.8,8628,423
2012-12-10,30.6,31.6,30.6,31.5,4858,423
2012-12-11,31.5,32.5,31.5,32.2,5973,423
2012-12-12,32.5,33.1,31.7,31.7,14260,423
2012-12-13,31.5,31.6,30.8,31.1,13142,423
2012-12-14,31.1,31.4,30.4,31.2,5446,423
2012-12-17,31.2,32.2,30.8,32.2,11433,423
2012-12-18,32.0,32.1,30.2,30.4,9461,423
2012-12-19,30.3,30.6,29.7,29.8,9330,423
2012-12-20,29.5,29.6,28.3,28.7,16296,423
2012-12-21,28.5,29.6,28.4,29.1,6124,423
2012-12-24,28.9,29.0,28.2,28.5,5173,423
2012-12-26,28.9,29.8,28.8,29.7,2737,423
2012-12-27,28.7,29.8,28.4,29.7,9553,423
2012-12-28,29.6,30.2,29.4,30.1,5615,423
2012-12-31,30.3,30.8,29.9,30.0,19298,423
2013-01-02,30.9,31.5,30.8,31.5,12035,423
2013-01-03,31.2,32.0,30.2,30.3,8930,423
2013-01-04,29.6,30.5,29.2,30.2,6856,423
2013-01-07,30.2,30.5,30.0,30.0,6953,423
2013-01-08,30.0,30.2,30.0,30.2,5873,423
2013-01-09,30.4,30.4,30.1,30.1,4512,423
2013-01-10,30.3,31.0,30.1,30.1,15969,423
2013-01-11,30.6,30.6,28.6,29.6,14897,423
2013-01-14,29.5,30.3,29.1,30.3,8326,423
2013-01-15,30.4,31.4,30.4,31.2,8633,423
2013-01-16,31.0,31.0,30.4,30.4,2796,423
2013-01-17,30.4,30.7,30.1,30.6,3930,423
2013-01-18,30.5,30.6,29.9,30.1,5435,423
2013-01-22,30.1,30.3,30.1,30.2,3601,423
2013-01-23,30.1,30.4,29.6,29.8,9270,423
2013-01-24,29.1,29.4,28.3,28.5,27918,423
2013-01-25,28.5,28.6,26.4,26.5,27222,423
2013-01-28,26.5,26.6,25.4,25.5,9623,423
2013-01-29,26.6,27.1,26.0,26.9,9909,423
2013-01-30,27.3,28.3,27.1,28.3,8074,423
