Date,Open,High,Low,Close,Volume,stock_id
2005-10-06,8.332,8.379,8.214,8.273,49754,6578
2005-10-07,8.214,8.391,8.214,8.261,23439,6578
2005-10-10,8.214,8.261,8.214,8.261,2539,6578
2005-10-11,8.249,8.355,8.214,8.214,38415,6578
2005-10-12,8.285,8.285,8.214,8.214,11254,6578
2005-10-13,8.214,8.273,8.214,8.273,9985,6578
2005-10-14,8.273,8.273,8.214,8.214,9139,6578
2005-10-17,8.214,8.332,8.214,8.214,17685,6578
2005-10-18,8.214,8.332,8.214,8.214,20477,6578
2005-10-19,8.214,8.214,8.214,8.214,22339,6578
2005-10-20,8.214,8.214,8.214,8.214,28600,6578
2005-10-21,8.155,8.285,8.131,8.131,26400,6578
2005-10-24,8.095,8.273,7.977,8.214,34185,6578
2005-10-25,8.273,8.296,8.214,8.225,7615,6578
2005-10-26,8.214,8.32,8.214,8.214,4823,6578
2005-10-27,8.214,8.332,8.214,8.214,12269,6578
2005-10-28,8.225,8.332,8.225,8.32,2708,6578
2005-10-31,8.214,8.308,8.214,8.308,8123,6578
2005-11-01,8.214,8.261,8.214,8.214,9900,6578
2005-11-02,8.214,8.214,8.214,8.214,10408,6578
2005-11-03,8.214,8.214,8.155,8.155,6854,6578
2005-11-04,8.155,8.214,8.155,8.155,15062,6578
2005-11-07,8.155,8.155,8.095,8.095,13285,6578
2005-11-08,8.107,8.119,8.095,8.095,4146,6578
2005-11-09,8.107,8.107,8.095,8.095,4231,6578
2005-11-10,8.095,8.095,8.095,8.095,2285,6578
2005-11-11,8.214,8.214,8.214,8.214,2539,6578
2005-11-14,8.214,8.308,8.214,8.308,2454,6578
2005-11-15,8.155,8.155,8.155,8.155,2962,6578
2005-11-16,8.214,8.214,8.155,8.155,3554,6578
2005-11-17,8.155,8.155,8.095,8.095,6092,6578
2005-11-18,8.273,8.273,8.155,8.155,1269,6578
2005-11-21,8.214,8.214,8.095,8.119,21492,6578
2005-11-22,8.214,8.214,8.095,8.178,17092,6578
2005-11-23,8.214,8.214,8.178,8.178,10408,6578
2005-11-28,8.095,8.107,8.095,8.107,62531,6578
2005-11-29,8.131,8.166,8.119,8.143,9308,6578
2005-11-30,8.119,8.131,8.095,8.131,154254,6578
2005-12-01,8.131,8.131,8.107,8.131,11762,6578
2005-12-02,8.237,8.237,8.178,8.214,9223,6578
2005-12-05,8.155,8.202,8.119,8.119,6939,6578
2005-12-06,8.155,8.155,8.119,8.155,8123,6578
2005-12-07,8.32,8.32,8.155,8.155,4400,6578
2005-12-08,8.214,8.214,8.155,8.155,31646,6578
2005-12-09,8.155,8.202,8.155,8.155,49839,6578
2005-12-12,8.155,8.155,8.155,8.155,16077,6578
2005-12-13,8.237,8.237,8.166,8.166,9308,6578
2005-12-14,8.214,8.249,8.214,8.214,19462,6578
2005-12-15,8.249,8.249,8.214,8.249,4485,6578
2005-12-16,8.214,8.214,8.214,8.214,7615,6578
2005-12-19,8.214,8.273,8.214,8.214,20139,6578
2005-12-20,8.214,8.273,8.214,8.273,24200,6578
2005-12-21,8.155,8.273,8.155,8.261,15569,6578
2005-12-22,8.214,8.273,8.214,8.273,14639,6578
2005-12-23,8.273,8.509,8.225,8.332,10239,6578
2005-12-27,8.32,8.355,8.225,8.355,20223,6578
2005-12-28,8.332,8.391,8.332,8.391,8969,6578
2005-12-29,8.332,8.355,8.273,8.332,9477,6578
2005-12-30,8.214,8.415,8.214,8.415,6854,6578
2006-01-03,8.273,8.391,8.225,8.273,7277,6578
2006-01-04,8.273,8.332,8.273,8.332,15400,6578
2006-01-05,8.273,8.332,8.225,8.332,11000,6578
2006-01-06,8.225,8.273,8.225,8.225,1862,6578
2006-01-09,8.273,8.273,8.237,8.261,6092,6578
2006-01-10,8.261,8.332,8.261,8.332,25892,6578
2006-01-11,8.285,8.285,8.285,8.285,846,6578
2006-01-12,8.285,8.332,8.273,8.273,21577,6578
2006-01-13,8.273,8.273,8.273,8.273,26400,6578
2006-01-17,8.273,8.332,8.273,8.273,5246,6578
2006-01-18,8.273,8.32,8.273,8.273,24454,6578
2006-01-19,8.249,8.332,8.237,8.332,13539,6578
2006-01-20,8.296,8.296,8.273,8.273,9308,6578
2006-01-23,8.32,8.32,8.273,8.273,8800,6578
2006-01-24,8.32,8.332,8.285,8.285,6346,6578
2006-01-25,8.332,8.415,8.332,8.391,10577,6578
2006-01-26,8.438,8.556,8.391,8.391,28092,6578
2006-01-27,8.391,8.391,8.391,8.391,4315,6578
2006-01-30,8.332,8.391,8.332,8.391,7531,6578
2006-01-31,8.426,8.45,8.426,8.45,5415,6578
2006-02-01,8.45,8.45,8.367,8.367,19715,6578
2006-02-02,8.45,8.509,8.45,8.509,2708,6578
2006-02-03,8.568,8.805,8.568,8.627,12777,6578
2006-02-06,8.745,8.97,8.45,8.923,79792,6578
2006-02-07,8.864,8.923,8.864,8.864,25300,6578
2006-02-08,8.864,8.887,8.864,8.864,12439,6578
2006-02-09,8.805,8.864,8.686,8.84,13115,6578
2006-02-10,8.84,8.84,8.745,8.805,9900,6578
2006-02-13,8.805,8.84,8.686,8.84,18192,6578
2006-02-14,8.805,8.805,8.745,8.769,43323,6578
2006-02-15,8.84,8.84,8.722,8.722,12100,6578
2006-02-16,8.805,8.84,8.698,8.84,7869,6578
2006-02-17,8.864,9.053,8.769,8.887,76323,6578
2006-02-21,8.946,8.982,8.887,8.923,55592,6578
2006-02-22,8.923,8.946,8.887,8.923,45015,6578
2006-02-23,8.923,9.041,8.911,8.982,113469,6578
2006-02-24,8.946,8.958,8.946,8.958,5754,6578
2006-02-27,8.958,9.017,8.958,9.017,2962,6578
2006-02-28,9.017,9.041,8.745,8.805,18869,6578
2006-03-01,8.864,8.864,8.734,8.84,14300,6578
2006-03-02,8.816,8.864,8.793,8.793,9223,6578
2006-03-03,8.84,8.97,8.84,8.864,7277,6578
2006-03-06,8.887,8.887,8.568,8.568,15231,6578
2006-03-07,8.627,8.864,8.568,8.686,40531,6578
2006-03-08,8.686,8.698,8.639,8.698,9054,6578
2006-03-09,8.745,9.076,8.745,9.041,84869,6578
2006-03-10,9.041,9.041,9.041,9.041,6939,6578
2006-03-13,8.994,9.218,8.864,9.206,100523,6578
2006-03-14,9.206,10.731,9.195,10.731,88085,6578
2006-03-15,10.589,10.589,9.514,9.632,66762,6578
2006-03-16,9.738,10.045,9.455,9.927,31139,6578
2006-03-17,9.927,9.927,9.632,9.75,11000,6578
2006-03-20,9.75,9.75,9.573,9.573,25215,6578
2006-03-21,9.466,9.632,9.395,9.573,38923,6578
2006-03-22,9.455,9.549,9.336,9.455,6262,6578
2006-03-23,9.455,9.632,9.455,9.632,10492,6578
2006-03-24,9.632,9.75,9.455,9.455,10239,6578
2006-03-27,9.514,9.632,9.514,9.514,5415,6578
2006-03-28,9.514,9.868,9.514,9.868,34692,6578
2006-03-29,9.632,9.691,9.336,9.691,7446,6578
2006-03-30,9.632,9.821,9.573,9.809,26739,6578
2006-03-31,9.774,9.774,9.466,9.691,4992,6578
2006-04-03,9.478,9.667,9.455,9.632,2200,6578
2006-04-04,9.455,9.62,9.455,9.455,5415,6578
2006-04-05,9.455,9.502,9.455,9.455,5162,6578
2006-04-06,9.395,9.455,9.277,9.431,7023,6578
2006-04-07,9.455,9.455,9.336,9.336,2454,6578
2006-04-10,9.455,9.455,9.159,9.455,10915,6578
2006-04-11,9.336,9.455,9.336,9.455,15992,6578
2006-04-12,9.443,9.868,9.443,9.809,68708,6578
2006-04-13,9.75,9.75,9.608,9.691,13623,6578
2006-04-17,9.809,9.809,9.632,9.738,23354,6578
2006-04-18,9.632,9.797,9.455,9.455,9731,6578
2006-04-19,9.455,9.691,9.395,9.525,23354,6578
2006-04-20,9.455,9.455,8.911,8.911,7869,6578
2006-04-21,9.041,9.691,9.041,9.431,161023,6578
2006-04-24,9.218,9.667,9.218,9.514,68285,6578
2006-04-25,9.514,9.797,9.336,9.797,33169,6578
2006-04-26,9.868,9.986,9.573,9.809,9477,6578
2006-04-27,9.75,9.809,9.691,9.75,24454,6578
2006-04-28,9.573,9.809,9.573,9.809,21492,6578
2006-05-01,9.691,9.691,9.336,9.667,9139,6578
2006-05-02,9.632,9.632,9.549,9.549,3131,6578
2006-05-03,9.549,9.632,9.336,9.632,6346,6578
2006-05-04,9.573,9.573,8.745,9.159,38754,6578
2006-05-05,8.864,9.455,8.864,9.455,15908,6578
2006-05-08,9.573,9.573,9.336,9.561,37315,6578
2006-05-09,9.573,9.573,9.348,9.455,7785,6578
2006-05-10,9.455,9.573,9.336,9.573,1185,6578
2006-05-11,9.395,9.691,9.395,9.691,28346,6578
2006-05-12,9.573,9.75,9.455,9.75,26823,6578
2006-05-16,9.632,9.632,9.514,9.514,1015,6578
2006-05-17,9.573,9.632,9.573,9.632,16754,6578
2006-05-18,9.632,9.644,9.514,9.514,40531,6578
2006-05-19,9.573,9.809,9.573,9.809,40869,6578
2006-05-22,9.809,9.809,9.537,9.632,22339,6578
2006-05-23,9.762,9.868,9.514,9.596,20477,6578
2006-05-24,9.466,9.75,9.466,9.75,25639,6578
2006-05-25,9.797,9.868,9.573,9.868,69131,6578
2006-05-26,9.75,9.75,9.514,9.514,2454,6578
2006-05-30,9.514,9.809,9.514,9.691,11508,6578
2006-05-31,9.691,9.927,9.691,9.868,134792,6578
2006-06-01,9.868,9.868,9.774,9.868,90200,6578
2006-06-02,9.868,9.868,9.809,9.809,13877,6578
2006-06-05,9.915,9.915,9.715,9.715,27585,6578
2006-06-06,9.774,9.774,9.455,9.455,7362,6578
2006-06-07,9.573,9.573,9.041,9.395,26485,6578
2006-06-08,9.443,9.49,9.336,9.455,77339,6578
2006-06-09,9.478,9.632,9.431,9.431,79792,6578
2006-06-12,9.514,9.514,8.923,9.455,80046,6578
2006-06-13,9.455,9.455,9.218,9.455,35539,6578
2006-06-14,9.395,9.455,9.336,9.455,67439,6578
2006-06-15,9.431,9.431,9.336,9.431,33846,6578
2006-06-16,9.336,9.455,9.289,9.455,48400,6578
2006-06-19,9.443,9.455,9.218,9.336,19377,6578
2006-06-20,9.23,9.466,9.159,9.455,23692,6578
2006-06-21,9.455,9.455,9.336,9.336,3808,6578
2006-06-22,9.218,9.336,9.218,9.277,50939,6578
2006-06-23,9.23,9.455,9.23,9.395,49415,6578
2006-06-26,9.265,9.455,9.265,9.455,8631,6578
2006-06-27,9.336,9.455,9.336,9.336,46623,6578
2006-06-28,9.348,9.431,9.289,9.289,26400,6578
2006-06-29,9.384,9.431,9.289,9.313,34692,6578
2006-06-30,9.313,9.455,9.277,9.313,18446,6578
2006-07-05,9.336,9.336,9.218,9.218,3892,6578
2006-07-06,9.218,9.455,9.218,9.455,25385,6578
2006-07-07,9.455,9.455,9.336,9.443,56946,6578
2006-07-10,9.431,9.431,9.277,9.277,5246,6578
2006-07-11,9.159,9.384,9.159,9.384,21915,6578
2006-07-12,9.277,9.431,9.1,9.431,13115,6578
2006-07-13,9.336,9.514,9.336,9.395,41123,6578
2006-07-14,9.431,9.431,9.254,9.254,13369,6578
2006-07-17,9.23,9.23,9.23,9.23,423,6578
2006-07-18,9.23,9.395,8.864,9.395,72769,6578
2006-07-19,9.218,9.336,9.159,9.159,7192,6578
2006-07-20,9.1,9.277,8.745,9.017,34100,6578
2006-07-21,9.041,9.041,9.041,9.041,1692,6578
2006-07-24,9.159,9.277,8.935,9.041,29869,6578
2006-07-25,8.982,9.277,8.781,9.277,21492,6578
2006-07-26,9.265,9.325,8.923,9.218,43492,6578
2006-07-27,9.325,9.419,9.112,9.301,9477,6578
2006-07-28,9.313,9.372,9.301,9.301,15315,6578
2006-07-31,9.336,9.336,9.218,9.325,21662,6578
2006-08-01,9.301,9.301,9.183,9.289,11846,6578
2006-08-02,9.277,9.277,9.171,9.171,14046,6578
2006-08-03,9.171,9.171,9.041,9.159,12946,6578
2006-08-04,9.171,9.336,9.171,9.218,15400,6578
2006-08-07,9.277,9.277,9.159,9.159,4231,6578
2006-08-08,9.277,9.336,9.277,9.325,14385,6578
2006-08-09,9.218,9.277,8.958,9.277,25131,6578
2006-08-10,9.277,9.336,9.159,9.159,5077,6578
2006-08-14,9.159,9.159,9.017,9.017,7700,6578
2006-08-15,9.112,9.112,8.911,8.911,5923,6578
2006-08-16,8.923,8.923,8.864,8.864,9308,6578
2006-08-17,8.816,9.159,8.805,8.97,23692,6578
2006-08-18,8.982,9.265,8.84,8.84,23185,6578
2006-08-21,8.84,9.195,8.615,9.195,56269,6578
2006-08-22,9.1,9.277,9.1,9.277,2792,6578
2006-08-23,9.159,9.159,8.982,8.982,2962,6578
2006-08-24,9.1,9.1,9.1,9.1,1439,6578
2006-08-25,8.982,9.005,8.982,9.005,254,6578
2006-08-28,8.982,9.1,8.568,9.1,45946,6578
2006-08-29,8.911,9.112,8.911,9.041,5246,6578
2006-08-30,9.23,9.277,8.994,8.994,3385,6578
2006-08-31,9.065,9.065,9.065,9.065,2454,6578
2006-09-01,8.97,9.041,8.97,9.041,1777,6578
2006-09-05,9.041,9.1,8.864,8.864,48654,6578
2006-09-06,8.911,9.088,8.615,8.651,95108,6578
2006-09-07,8.745,8.745,8.485,8.545,135046,6578
2006-09-08,8.509,8.745,8.509,8.556,10746,6578
2006-09-11,8.568,8.663,8.521,8.521,25469,6578
2006-09-12,8.627,8.675,8.415,8.474,46962,6578
2006-09-13,8.545,8.545,8.426,8.509,176762,6578
2006-09-14,8.533,8.639,8.533,8.533,3808,6578
2006-09-15,8.509,8.627,8.497,8.568,37823,6578
2006-09-18,8.627,8.639,8.545,8.545,3723,6578
2006-09-19,8.627,8.663,8.45,8.627,647223,6578
2006-09-20,8.627,8.627,8.509,8.627,10323,6578
2006-09-21,8.627,8.71,8.545,8.545,14892,6578
2006-09-22,8.568,8.627,8.545,8.627,4739,6578
2006-09-25,8.545,8.686,8.509,8.509,16585,6578
2006-09-26,8.627,8.627,8.509,8.568,15739,6578
2006-09-27,8.568,8.568,8.509,8.509,5754,6578
2006-09-28,8.568,8.568,8.521,8.521,33846,6578
2006-09-29,8.568,8.568,8.521,8.521,3385,6578
2006-10-02,8.639,8.639,8.521,8.521,8631,6578
2006-10-03,8.533,8.533,8.533,8.533,1015,6578
2006-10-04,8.533,8.568,8.533,8.568,3385,6578
2006-10-05,8.568,8.568,8.533,8.533,13285,6578
2006-10-06,8.568,8.627,8.568,8.568,20477,6578
2006-10-09,8.568,8.568,8.568,8.568,4231,6578
2006-10-10,8.604,8.639,8.556,8.556,9731,6578
2006-10-12,8.533,8.568,8.521,8.568,9731,6578
2006-10-13,8.521,8.521,8.509,8.521,6769,6578
2006-10-16,8.509,8.556,8.509,8.556,11339,6578
2006-10-17,8.58,8.58,8.521,8.521,11000,6578
2006-10-18,8.509,8.533,8.509,8.509,5585,6578
2006-10-19,8.509,8.533,8.509,8.509,10492,6578
2006-10-20,8.521,8.521,8.509,8.521,8885,6578
2006-10-23,8.521,8.521,8.509,8.509,4400,6578
2006-10-24,8.509,8.568,8.509,8.509,12862,6578
2006-10-25,8.509,8.509,8.509,8.509,3723,6578
2006-10-26,8.509,8.568,8.403,8.568,16500,6578
2006-10-30,8.521,8.521,8.521,8.521,4992,6578
2006-10-31,8.509,8.568,8.509,8.568,72515,6578
2006-11-01,8.568,8.568,8.568,8.568,846,6578
2006-11-02,8.509,8.568,8.485,8.497,4231,6578
2006-11-03,8.568,8.568,8.415,8.426,4654,6578
2006-11-06,8.438,8.438,8.32,8.391,17769,6578
2006-11-07,8.391,8.391,8.391,8.391,4823,6578
2006-11-08,8.474,8.568,8.45,8.509,4908,6578
2006-11-09,8.556,8.556,8.509,8.556,2200,6578
2006-11-10,8.568,8.627,8.556,8.556,24708,6578
2006-11-13,8.509,8.521,8.509,8.509,30039,6578
2006-11-14,8.556,8.627,8.533,8.627,7277,6578
2006-11-15,8.533,8.639,8.533,8.627,27839,6578
2006-11-16,8.627,8.627,8.58,8.627,6008,6578
2006-11-17,8.592,8.745,8.592,8.627,42815,6578
2006-11-20,8.627,8.627,8.58,8.58,4231,6578
2006-11-21,8.627,8.627,8.615,8.627,12692,6578
2006-11-22,8.627,8.627,8.58,8.604,2200,6578
2006-11-27,8.58,8.615,8.568,8.58,10323,6578
2006-11-28,8.615,8.686,8.58,8.58,5246,6578
2006-11-29,8.521,8.627,8.521,8.627,12100,6578
2006-11-30,8.627,8.686,8.627,8.627,2031,6578
2006-12-01,8.698,8.698,8.686,8.686,2285,6578
2006-12-04,8.627,8.686,8.592,8.686,54831,6578
2006-12-05,8.627,8.745,8.58,8.627,24539,6578
2006-12-06,8.627,8.686,8.627,8.627,1269,6578
2006-12-07,8.627,8.745,8.627,8.627,26400,6578
2006-12-08,8.627,8.639,8.615,8.615,5331,6578
2006-12-11,8.627,8.627,8.627,8.627,5331,6578
2006-12-12,8.627,8.651,8.627,8.627,17685,6578
2006-12-13,8.627,8.745,8.627,8.627,112285,6578
2006-12-14,8.722,8.734,8.627,8.722,119139,6578
2006-12-15,8.745,8.769,8.651,8.686,8123,6578
2006-12-18,8.686,8.745,8.651,8.745,24200,6578
2006-12-19,8.745,8.805,8.745,8.769,120239,6578
2006-12-20,8.805,8.805,8.781,8.793,10577,6578
2006-12-21,8.805,8.805,8.745,8.745,2115,6578
2006-12-22,8.793,8.793,8.745,8.745,12439,6578
2006-12-26,8.745,8.757,8.745,8.757,3977,6578
2006-12-27,8.745,8.793,8.745,8.793,40531,6578
2006-12-28,8.781,8.781,8.745,8.745,41208,6578
2006-12-29,8.745,8.757,8.745,8.757,8292,6578
2007-01-03,8.757,8.911,8.745,8.887,130054,6578
2007-01-04,8.864,8.875,8.816,8.864,12862,6578
2007-01-05,8.852,8.946,8.757,8.816,26823,6578
2007-01-08,8.781,8.923,8.745,8.745,15231,6578
2007-01-09,8.864,8.887,8.864,8.887,592,6578
2007-01-10,8.828,8.887,8.745,8.887,32662,6578
2007-01-11,8.911,8.923,8.911,8.911,1608,6578
2007-01-12,8.923,8.923,8.805,8.816,4062,6578
2007-01-16,8.899,9.088,8.745,8.911,14046,6578
2007-01-17,8.757,8.793,8.71,8.781,10831,6578
2007-01-18,8.757,8.805,8.745,8.805,14215,6578
2007-01-19,8.757,8.816,8.757,8.816,931,6578
2007-01-22,9.455,9.455,8.745,8.745,209762,6578
2007-01-23,8.745,8.887,8.745,8.816,147823,6578
2007-01-24,8.84,8.84,8.698,8.745,131831,6578
2007-01-25,8.722,8.769,8.627,8.734,143677,6578
2007-01-26,8.864,8.864,8.651,8.686,54831,6578
2007-01-29,8.663,8.745,8.627,8.639,71415,6578
2007-01-30,8.639,8.84,8.639,8.793,107885,6578
2007-01-31,8.745,8.97,8.686,8.745,72177,6578
2007-02-01,8.686,9.1,8.639,8.805,45015,6578
2007-02-02,8.698,8.864,8.698,8.805,23269,6578
2007-02-05,8.852,8.887,8.639,8.887,60500,6578
2007-02-06,8.852,8.864,8.639,8.722,82331,6578
2007-02-07,8.698,8.71,8.675,8.675,34608,6578
2007-02-08,8.627,8.734,8.604,8.686,7023,6578
2007-02-09,8.651,8.793,8.627,8.663,19462,6578
2007-02-12,8.698,8.698,8.604,8.627,58131,6578
2007-02-13,8.663,8.805,8.627,8.686,25554,6578
2007-02-14,8.805,9.065,8.805,8.923,67015,6578
2007-02-15,8.911,8.958,8.781,8.864,62446,6578
2007-02-16,8.852,8.982,8.745,8.745,48400,6578
2007-02-20,8.745,8.745,8.686,8.686,15908,6578
2007-02-21,8.686,8.745,8.686,8.745,28600,6578
2007-02-22,8.745,9.005,8.745,8.781,85039,6578
2007-02-23,8.769,8.887,8.769,8.781,15992,6578
2007-02-26,8.769,8.864,8.769,8.769,11000,6578
2007-02-27,8.757,8.84,8.745,8.781,51954,6578
2007-02-28,8.805,8.805,8.769,8.769,45439,6578
2007-03-01,8.769,8.781,8.769,8.781,30969,6578
2007-03-02,8.781,8.781,8.781,8.781,77254,6578
2007-03-05,8.781,8.923,8.781,8.781,69131,6578
2007-03-06,8.793,8.793,8.781,8.781,127769,6578
2007-03-07,8.781,8.793,8.781,8.781,51785,6578
2007-03-08,8.781,8.793,8.781,8.793,13623,6578
2007-03-09,8.793,8.805,8.793,8.793,12946,6578
2007-03-12,8.805,8.828,8.793,8.793,23354,6578
2007-03-13,8.793,8.816,8.793,8.793,51192,6578
2007-03-14,8.745,8.745,8.663,8.722,28600,6578
2007-03-15,8.745,8.745,8.722,8.722,17177,6578
2007-03-16,8.686,8.698,8.675,8.675,27331,6578
2007-03-19,8.663,8.769,8.663,8.769,5669,6578
2007-03-20,8.745,8.864,8.745,8.864,26654,6578
2007-03-21,8.686,8.887,8.686,8.745,60754,6578
2007-03-22,8.781,8.781,8.639,8.745,68031,6578
2007-03-23,8.722,8.745,8.722,8.722,12523,6578
2007-03-26,8.734,8.769,8.734,8.745,51108,6578
2007-03-27,8.698,8.769,8.698,8.722,11085,6578
2007-03-28,8.686,8.745,8.686,8.745,130900,6578
2007-03-29,8.734,8.745,8.722,8.745,12862,6578
2007-03-30,8.71,8.935,8.71,8.734,37485,6578
2007-04-02,8.698,8.71,8.698,8.71,5923,6578
2007-04-03,8.745,8.864,8.745,8.793,6515,6578
2007-04-04,8.864,8.887,8.816,8.887,19885,6578
2007-04-05,8.864,8.864,8.745,8.805,7869,6578
2007-04-09,8.745,8.816,8.745,8.793,5669,6578
2007-04-10,8.793,8.864,8.745,8.781,17854,6578
2007-04-11,8.781,8.781,8.781,8.781,14808,6578
2007-04-12,8.781,8.793,8.781,8.781,5331,6578
2007-04-13,8.769,8.793,8.769,8.781,48231,6578
2007-04-16,8.781,8.864,8.781,8.781,3639,6578
2007-04-17,8.781,8.864,8.686,8.816,72685,6578
2007-04-18,8.745,8.769,8.745,8.769,2539,6578
2007-04-19,8.84,8.864,8.781,8.781,12862,6578
2007-04-20,8.781,8.805,8.781,8.781,20223,6578
2007-04-23,8.805,8.805,8.781,8.793,23692,6578
2007-04-24,8.84,8.864,8.816,8.864,13708,6578
2007-04-25,8.816,8.84,8.816,8.828,12269,6578
2007-04-26,8.84,8.84,8.84,8.84,1269,6578
2007-04-27,8.852,8.923,8.852,8.923,21069,6578
2007-04-30,8.84,8.852,8.84,8.852,3808,6578
2007-05-01,8.816,8.84,8.816,8.84,30885,6578
2007-05-02,8.84,8.923,8.84,8.923,39685,6578
2007-05-03,8.923,8.923,8.828,8.911,111354,6578
2007-05-04,8.923,8.923,8.828,8.923,47554,6578
2007-05-07,8.923,8.923,8.852,8.923,50939,6578
2007-05-08,8.911,8.923,8.864,8.923,71331,6578
2007-05-09,8.864,8.923,8.852,8.923,42223,6578
2007-05-10,8.923,8.923,8.828,8.864,49585,6578
2007-05-11,8.923,8.923,8.84,8.864,59400,6578
2007-05-14,8.911,8.923,8.816,8.923,70992,6578
2007-05-15,8.864,8.923,8.84,8.84,76154,6578
2007-05-16,8.923,8.923,8.852,8.923,24708,6578
2007-05-17,8.923,8.923,8.887,8.887,42731,6578
2007-05-18,8.852,8.923,8.84,8.923,63377,6578
2007-05-21,8.864,8.923,8.852,8.899,374870,6578
2007-05-22,8.899,8.982,8.84,8.982,48992,6578
2007-05-23,8.982,8.982,8.899,8.899,12185,6578
2007-05-24,8.899,8.911,8.887,8.899,32154,6578
2007-05-25,8.935,8.935,8.899,8.899,18954,6578
2007-05-29,8.899,8.899,8.899,8.899,12608,6578
2007-05-30,8.899,8.899,8.899,8.899,423,6578
2007-05-31,8.923,8.982,8.899,8.899,3131,6578
2007-06-01,8.899,8.946,8.899,8.899,5585,6578
2007-06-04,8.899,8.911,8.899,8.899,13115,6578
2007-06-05,8.911,8.946,8.899,8.899,10831,6578
2007-06-06,8.982,8.982,8.923,8.982,9562,6578
2007-06-07,8.982,8.982,8.864,8.899,33085,6578
2007-06-08,8.899,8.935,8.899,8.935,4823,6578
2007-06-11,8.911,8.958,8.911,8.923,160685,6578
2007-06-12,8.911,8.982,8.911,8.982,52546,6578
2007-06-13,8.911,8.911,8.805,8.805,182346,6578
2007-06-14,8.84,8.84,8.828,8.828,9308,6578
2007-06-15,8.84,8.97,8.84,8.887,22592,6578
2007-06-18,8.923,8.97,8.864,8.864,14808,6578
2007-06-19,8.864,8.875,8.864,8.875,6939,6578
2007-06-20,8.887,8.887,8.875,8.875,5077,6578
2007-06-21,8.875,8.887,8.698,8.805,203415,6578
2007-06-22,8.864,8.864,8.793,8.805,2539,6578
