Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,61.4,63.9,61.1,63.7,23300,2307
2005-02-28,64.8,65.2,63.8,64.8,31960,2307
2005-03-01,65.3,65.8,64.8,65.2,29350,2307
2005-03-02,63.2,64.2,62.7,64.0,27530,2307
2005-03-03,64.0,64.8,63.7,64.7,15540,2307
2005-03-04,65.0,65.0,64.2,64.7,17800,2307
2005-03-07,63.9,64.6,63.7,64.3,15270,2307
2005-03-08,64.1,64.5,64.0,64.3,20390,2307
2005-03-09,64.3,64.3,63.2,63.7,14620,2307
2005-03-10,63.8,63.8,63.0,63.6,11830,2307
2005-03-11,63.2,63.4,61.8,62.4,8610,2307
2005-03-14,61.7,62.4,61.6,61.6,11980,2307
2005-03-15,61.0,62.0,59.4,59.7,13530,2307
2005-03-16,59.3,60.0,58.1,58.3,21140,2307
2005-03-17,58.8,60.8,58.6,60.3,17150,2307
2005-03-18,60.4,60.6,58.7,60.0,24280,2307
2005-03-21,60.0,60.0,58.0,59.0,8900,2307
2005-03-22,59.5,61.0,59.4,60.6,8570,2307
2005-03-23,60.6,60.6,59.3,59.7,9180,2307
2005-03-24,60.3,61.3,59.7,61.2,5760,2307
2005-03-28,60.8,62.0,60.1,60.9,14460,2307
2005-03-29,60.9,62.1,60.8,61.5,9510,2307
2005-03-30,61.9,62.3,61.6,62.3,8600,2307
2005-03-31,62.4,62.5,61.3,62.5,13520,2307
2005-04-01,62.0,62.4,61.3,61.8,15510,2307
2005-04-04,61.9,62.0,61.1,61.8,11360,2307
2005-04-05,61.8,62.8,61.5,62.3,12640,2307
2005-04-06,62.3,62.8,61.7,61.8,8710,2307
2005-04-07,61.5,63.2,61.4,63.2,8810,2307
2005-04-08,63.4,63.6,62.1,62.1,6760,2307
2005-04-11,62.2,64.6,62.2,64.5,15940,2307
2005-04-12,65.0,65.8,64.7,65.8,48470,2307
2005-04-13,66.0,66.0,64.9,65.0,15570,2307
2005-04-14,65.1,65.2,64.1,64.1,49560,2307
2005-04-15,64.2,65.0,63.5,63.6,10470,2307
2005-04-18,63.4,64.0,62.0,63.5,19210,2307
2005-04-19,63.2,63.5,60.9,61.8,37690,2307
2005-04-20,60.8,60.9,59.2,59.2,16310,2307
2005-04-21,59.9,62.0,59.3,61.7,14910,2307
2005-04-22,61.5,61.5,60.4,61.5,15110,2307
2005-04-25,61.5,61.5,60.1,60.8,10190,2307
2005-04-26,60.7,60.7,59.5,60.5,14580,2307
2005-04-27,61.0,61.2,60.0,60.8,12860,2307
2005-04-28,60.9,60.9,60.0,60.0,5240,2307
2005-04-29,60.3,60.3,59.1,59.5,8800,2307
2005-05-02,59.9,59.9,58.8,59.8,7160,2307
2005-05-03,59.0,60.4,58.8,59.0,8280,2307
2005-05-04,59.4,59.6,59.1,59.5,9090,2307
2005-05-05,59.9,60.0,58.6,58.7,13070,2307
2005-05-06,58.7,58.8,57.5,57.6,6880,2307
2005-05-09,57.5,57.8,56.5,57.0,11830,2307
2005-05-10,56.5,57.4,56.1,56.8,12520,2307
2005-05-11,58.0,60.4,57.7,60.0,24810,2307
2005-05-12,60.7,61.6,60.2,60.4,20670,2307
2005-05-13,61.1,64.9,60.8,64.7,325460,2307
2005-05-16,64.2,66.1,64.0,65.4,17700,2307
2005-05-17,65.0,65.4,62.8,63.0,50720,2307
2005-05-18,64.0,64.0,62.5,63.0,32870,2307
2005-05-19,63.0,65.0,62.8,64.0,28500,2307
2005-05-20,64.2,65.0,64.0,64.8,17280,2307
2005-05-23,64.7,65.3,64.5,65.0,18150,2307
2005-05-24,64.7,65.4,64.5,64.8,7250,2307
2005-05-25,64.7,65.1,64.5,64.5,19750,2307
2005-05-26,65.0,65.5,64.6,65.0,17730,2307
2005-05-27,64.8,65.4,64.4,65.0,6650,2307
2005-05-31,64.4,64.7,63.5,64.1,7550,2307
2005-06-01,64.1,65.4,63.9,65.4,11650,2307
2005-06-02,65.4,66.0,64.6,65.9,22920,2307
2005-06-03,65.9,66.0,63.1,65.5,15390,2307
2005-06-06,63.7,63.9,63.1,63.6,10730,2307
2005-06-07,64.5,65.2,63.3,64.8,17270,2307
2005-06-08,64.8,66.1,64.5,65.9,20540,2307
2005-06-09,65.5,65.5,63.6,64.6,10750,2307
2005-06-10,64.8,64.8,63.9,64.0,4300,2307
2005-06-13,64.7,65.6,63.7,65.5,20510,2307
2005-06-14,65.8,66.3,65.0,66.0,27320,2307
2005-06-15,66.5,66.6,64.4,66.3,30620,2307
2005-06-16,65.3,67.2,65.2,66.9,14890,2307
2005-06-17,67.3,68.0,67.0,67.1,37260,2307
2005-06-20,66.5,67.4,66.2,67.0,14350,2307
2005-06-21,66.5,67.4,65.9,66.9,8020,2307
2005-06-22,67.9,67.9,65.0,65.2,11100,2307
2005-06-23,65.2,65.2,61.3,61.6,22590,2307
2005-06-24,61.5,62.4,60.3,61.2,53050,2307
2005-06-27,61.7,61.7,58.8,61.0,12360,2307
2005-06-28,61.3,61.3,60.2,60.7,13240,2307
2005-06-29,60.8,60.8,60.0,60.1,10820,2307
2005-06-30,60.2,61.1,60.0,60.1,19520,2307
2005-07-01,60.0,60.3,59.0,59.9,18790,2307
2005-07-05,60.9,60.9,58.2,58.7,17690,2307
