Date,Open,High,Low,Close,Volume,stock_id
2013-06-13,4.5,4.5,4.4,4.4,4000,1454
2013-06-14,4.5,4.54,4.4,4.45,46100,1454
2013-06-17,4.47,4.49,4.4,4.42,39795,1454
2013-06-18,4.42,4.5,4.37,4.5,47241,1454
2013-06-19,4.5,4.74,4.5,4.74,61256,1454
2013-06-20,4.74,4.93,4.72,4.93,81387,1454
2013-06-21,4.91,4.94,4.27,4.27,123754,1454
2013-06-24,4.49,4.64,4.17,4.24,37144,1454
2013-06-25,4.25,4.78,4.24,4.49,51026,1454
2013-06-26,4.45,4.74,4.45,4.5,31613,1454
2013-06-27,4.94,4.94,4.19,4.3,119260,1454
2013-06-28,4.71,4.71,4.23,4.45,78650,1454
2013-07-01,4.359,4.509,4.2,4.4799,20931,1454
2013-07-02,4.5,4.5,4.4,4.4,13800,1454
2013-07-03,4.25,4.789,4.25,4.25,9900,1454
2013-07-05,4.35,4.4,4.26,4.27,1600,1454
2013-07-08,4.251,4.251,3.4,3.83,43552,1454
2013-07-09,3.85,4.09,3.85,4.0,8220,1454
2013-07-10,4.16,4.3,4.149,4.29,25511,1454
2013-07-11,4.38,4.38,3.95,4.079,35573,1454
2013-07-12,4.3,4.3299,3.99,4.162,40600,1454
2013-07-15,4.08,4.24,3.71,4.11,43771,1454
2013-07-16,4.16,4.32,3.72,3.95,40355,1454
2013-07-17,4.0,4.189,3.732,3.99,21530,1454
2013-07-18,4.06,4.06,3.6101,4.06,46852,1454
2013-07-19,4.08,4.1984,3.97,4.0,27421,1454
2013-07-22,3.985,4.0799,3.89,4.03,12371,1454
2013-07-23,4.05,4.14,3.84,3.84,66723,1454
2013-07-24,4.07,4.15,3.9,3.97,28084,1454
2013-07-25,4.15,4.15,3.75,3.75,49124,1454
2013-07-26,3.75,3.849,3.44,3.84,45632,1454
2013-07-29,3.79,3.95,3.4099,3.75,29298,1454
2013-07-30,3.64,3.95,3.39,3.65,17313,1454
2013-07-31,3.57,3.85,3.55,3.85,21078,1454
2013-08-01,3.83,4.0,3.7384,3.93,15111,1454
2013-08-02,3.94,3.97,3.79,3.79,39102,1454
2013-08-05,3.72,3.92,3.5018,3.6257,32791,1454
2013-08-06,3.68,3.9,3.58,3.72,30565,1454
2013-08-07,3.78,3.89,3.66,3.74,23063,1454
2013-08-08,3.73,3.83,3.7,3.71,42016,1454
2013-08-09,3.83,3.83,3.75,3.76,14900,1454
2013-08-12,3.8,3.85,3.551,3.6,53714,1454
2013-08-13,3.6,3.641,3.0,3.45,67052,1454
2013-08-14,3.6,3.6,3.05,3.1,103189,1454
2013-08-15,3.01,3.58,2.64,3.11,135967,1454
2013-08-16,2.48,2.48,2.34,2.47,1387273,1454
2013-08-19,2.47,2.48,2.37,2.45,165828,1454
2013-08-20,2.45,2.45,2.31,2.41,101700,1454
2013-08-21,2.39,2.43,2.31,2.39,181311,1454
2013-08-22,2.4,2.43,2.384,2.4,69734,1454
2013-08-23,2.42,2.55,2.419,2.53,241969,1454
2013-08-26,2.53,2.53,2.39,2.41,55250,1454
2013-08-27,2.42,2.45,2.4,2.42,34823,1454
2013-08-28,2.43,2.45,2.35,2.37,77882,1454
2013-08-29,2.38,2.49,2.35,2.4,79638,1454
2013-08-30,2.44,2.48,2.39,2.41,26679,1454
2013-09-03,2.45,2.45,2.4,2.4,163670,1454
2013-09-04,2.42,2.44,2.38,2.43,138776,1454
2013-09-05,2.43,2.48,2.4,2.46,53070,1454
2013-09-06,2.45,2.46,2.4,2.41,34247,1454
2013-09-09,2.55,2.64,2.5,2.54,907727,1454
2013-09-10,2.56,2.66,2.53,2.62,113337,1454
2013-09-11,2.62,2.72,2.59,2.68,373980,1454
2013-09-12,2.69,2.85,2.69,2.77,637292,1454
2013-09-13,2.75,2.8,2.6,2.63,354457,1454
2013-09-16,2.5701,2.79,2.5701,2.65,133762,1454
2013-09-17,2.7,2.75,2.66,2.73,89749,1454
2013-09-18,2.71,2.75,2.6604,2.69,91542,1454
2013-09-19,2.7,2.84,2.67,2.72,229339,1454
2013-09-20,2.71,2.84,2.71,2.75,359627,1454
2013-09-23,2.759,2.77,2.5801,2.6,111347,1454
2013-09-24,2.59,2.7,2.59,2.64,94428,1454
2013-09-25,2.7,2.78,2.6,2.78,241700,1454
2013-09-26,2.8,2.88,2.73,2.78,182402,1454
2013-09-27,2.76,2.76,2.69,2.73,15300,1454
2013-09-30,2.71,2.72,2.64,2.67,87700,1454
2013-10-01,2.64,2.72,2.6,2.65,295900,1454
2013-10-02,2.67,2.84,2.59,2.83,132500,1454
2013-10-03,2.8,2.84,2.7444,2.75,54778,1454
2013-10-04,2.75,2.78,2.72,2.75,156493,1454
2013-10-07,2.65,2.78,2.65,2.65,43500,1454
2013-10-08,2.72,2.72,2.64,2.64,48000,1454
2013-10-09,2.61,2.67,2.55,2.65,132500,1454
2013-10-10,2.64,2.65,2.55,2.59,33700,1454
2013-10-11,2.57,2.67,2.55,2.67,48600,1454
2013-10-14,2.62,2.78,2.62,2.72,23400,1454
2013-10-15,2.76,2.77,2.65,2.69,30000,1454
2013-10-16,2.66,2.78,2.64,2.72,44700,1454
2013-10-17,2.77,2.84,2.67,2.84,332200,1454
2013-10-18,2.81,2.98,2.8,2.89,524000,1454
2013-10-21,2.96,2.96,2.8,2.9,84100,1454
2013-10-22,2.88,3.07,2.85,2.96,373528,1454
2013-10-23,2.96,3.03,2.94,2.99,109500,1454
2013-10-24,2.92,3.27,2.92,3.19,195929,1454
2013-10-25,3.25,3.29,3.0,3.14,237400,1454
2013-10-28,3.14,3.14,3.03,3.03,77500,1454
2013-10-29,3.0,3.05,2.93,2.93,84400,1454
2013-10-30,3.08,3.08,2.91,2.91,26500,1454
2013-10-31,2.91,2.91,2.68,2.82,99680,1454
2013-11-01,2.7,2.84,2.7,2.72,30400,1454
2013-11-04,2.87,2.95,2.76,2.79,48500,1454
2013-11-05,2.84,2.84,2.69,2.73,93700,1454
2013-11-06,2.71,2.72,2.55,2.59,161647,1454
2013-11-07,2.56,2.58,2.44,2.46,174700,1454
2013-11-08,2.43,2.8799,2.42,2.84,100386,1454
2013-11-11,2.8,2.84,2.7,2.75,61600,1454
2013-11-12,2.9,2.9,2.65,2.76,119600,1454
2013-11-13,2.89,2.92,2.58,2.64,49600,1454
2013-11-14,2.86,2.93,2.6301,2.77,106284,1454
2013-11-15,2.81,2.85,2.681,2.8,70884,1454
2013-11-18,2.72,3.05,2.72,2.87,233700,1454
2013-11-19,2.76,2.85,2.74,2.82,32200,1454
2013-11-20,2.81,2.9,2.62,2.75,83900,1454
2013-11-21,2.72,2.9,2.59,2.73,220900,1454
2013-11-22,2.76,2.76,2.67,2.69,34200,1454
2013-11-25,2.7,2.71,2.5,2.54,134309,1454
2013-11-26,2.56,2.74,2.56,2.64,40500,1454
2013-11-27,2.65,2.65,2.55,2.64,20773,1454
2013-11-29,2.64,2.7175,2.52,2.61,23703,1454
2013-12-02,2.64,2.65,2.57,2.6,4704,1454
2013-12-03,2.54,2.6,2.42,2.48,53300,1454
2013-12-04,2.48,2.48,2.45,2.46,2200,1454
2013-12-05,2.41,2.45,2.36,2.39,48400,1454
2013-12-06,2.55,2.56,2.41,2.43,39900,1454
2013-12-09,2.5,2.5,2.3,2.3,25700,1454
2013-12-10,2.4,2.47,2.35,2.37,93900,1454
2013-12-11,2.35,2.39,2.28,2.31,34721,1454
2013-12-12,2.42,2.42,2.28,2.36,2200,1454
2013-12-13,2.39,2.4,2.29,2.39,18900,1454
2013-12-16,2.4,2.54,2.33,2.45,70600,1454
2013-12-17,2.45,2.7,2.42,2.49,149100,1454
2013-12-18,2.5,2.67,2.48,2.64,136086,1454
2013-12-19,2.64,2.67,2.56,2.59,42700,1454
2013-12-20,2.52,2.8,2.31,2.52,230600,1454
2013-12-23,2.61,2.9,2.55,2.74,120900,1454
2013-12-24,2.75,2.92,2.671,2.78,163891,1454
2013-12-26,2.75,2.75,2.66,2.7,28600,1454
2013-12-27,2.75,2.75,2.4,2.57,108800,1454
2013-12-30,2.71,2.71,2.55,2.59,16921,1454
2013-12-31,2.62,2.72,2.58,2.62,84300,1454
2014-01-02,2.64,2.8,2.64,2.77,40977,1454
2014-01-03,2.5701,2.79,2.5701,2.77,12325,1454
2014-01-06,2.8,2.92,2.72,2.76,178659,1454
2014-01-07,2.77,2.93,2.6,2.88,157400,1454
2014-01-08,2.9,3.1,2.82,3.1,312200,1454
2014-01-09,3.09,3.09,2.9,3.0,118800,1454
2014-01-10,3.0,3.09,2.92,2.99,92400,1454
2014-01-13,3.0,3.0,2.79,2.82,54000,1454
2014-01-14,2.8,2.89,2.67,2.72,272216,1454
2014-01-15,2.76,2.81,2.67,2.81,82100,1454
2014-01-16,2.85,3.26,2.8,3.26,982700,1454
2014-01-17,3.35,3.44,3.18,3.19,325600,1454
2014-01-21,3.18,3.4,3.06,3.38,191881,1454
2014-01-22,3.52,3.95,3.48,3.93,1122106,1454
2014-01-23,3.9,3.9,3.56,3.73,302556,1454
2014-01-24,3.69,3.79,3.64,3.71,192200,1454
2014-01-27,3.67,3.769,3.34,3.3401,132381,1454
2014-01-28,3.37,3.73,3.35,3.62,128700,1454
2014-01-29,3.53,4.05,3.42,3.89,354900,1454
2014-01-30,4.05,4.25,3.79,4.01,447523,1454
2014-01-31,3.99,4.2,3.83,4.17,226100,1454
2014-02-03,4.2,4.2,3.92,4.04,149276,1454
2014-02-04,4.17,4.2,3.99,4.07,140553,1454
2014-02-05,4.1,4.12,3.91,3.98,112894,1454
2014-02-06,4.02,4.08,3.871,3.88,47820,1454
2014-02-07,3.92,3.98,3.75,3.87,118978,1454
2014-02-10,4.05,4.24,4.025,4.2,293256,1454
