Date,Open,High,Low,Close,Volume,stock_id
2007-02-07,18.0,18.0,18.0,18.0,0,4540
2007-02-08,21.0,28.6,20.55,28.47,19190619,4540
2007-02-09,28.5,31.09,27.6,29.25,3288673,4540
2007-02-12,29.6,30.0,27.85,28.55,981015,4540
2007-02-13,29.0,29.4,26.77,27.61,1397968,4540
2007-02-14,27.6,28.2,26.59,26.62,840299,4540
2007-02-15,26.55,27.5,26.05,26.4,694998,4540
2007-02-16,26.49,27.4,26.2,27.25,608356,4540
2007-02-20,27.36,28.03,27.3,27.65,286667,4540
2007-02-21,28.08,28.08,27.35,27.95,316480,4540
2007-02-22,28.0,28.0,26.51,27.27,507231,4540
2007-02-23,27.12,27.4,26.75,27.01,225857,4540
2007-02-26,27.39,27.39,26.42,26.65,318826,4540
2007-02-27,26.04,26.5,25.5,25.76,573192,4540
2007-02-28,25.7,26.3,25.01,25.48,473535,4540
2007-03-01,25.0,25.32,24.06,25.2,641406,4540
2007-03-02,24.88,25.0,24.05,24.25,403660,4540
2007-03-05,24.05,25.14,24.02,24.32,477858,4540
2007-03-06,24.75,24.75,24.0,24.39,288091,4540
2007-03-07,24.48,25.45,24.32,24.61,245750,4540
2007-03-08,24.87,25.27,24.78,24.86,89266,4540
2007-03-09,25.35,26.36,24.5,25.87,341132,4540
2007-03-12,25.99,26.16,25.15,25.5,240082,4540
2007-03-13,25.76,25.96,24.58,24.75,225776,4540
2007-03-14,24.7,25.04,24.5,24.8,214204,4540
2007-03-15,25.05,25.05,24.0,24.51,250821,4540
2007-03-16,21.47,23.72,19.66,23.6,2304591,4540
2007-03-19,23.78,24.15,23.65,24.08,523633,4540
2007-03-20,24.0,24.09,21.66,21.75,1248041,4540
2007-03-21,21.9,21.98,19.79,21.18,1534416,4540
2007-03-22,21.05,22.5,20.73,22.39,761468,4540
2007-03-23,22.44,22.77,22.18,22.7,284712,4540
2007-03-26,22.75,22.75,21.92,22.23,185064,4540
2007-03-27,22.6,23.03,22.3,22.85,172505,4540
2007-03-28,23.07,23.08,22.65,22.85,174656,4540
2007-03-29,23.12,23.19,22.18,22.31,209878,4540
2007-03-30,22.35,25.2,22.15,22.24,1552397,4540
2007-04-02,22.44,22.5,21.66,22.03,397842,4540
2007-04-03,22.3,22.57,21.94,22.41,167545,4540
2007-04-04,22.54,22.7,22.13,22.49,190470,4540
2007-04-05,22.6,23.35,22.34,23.24,206995,4540
2007-04-09,23.48,24.24,22.9,24.03,564359,4540
