Date,Open,High,Low,Close,Volume,stock_id
2014-06-12,9.45,9.45,8.1,9.15,5933,6930
2014-06-13,9.0501,9.3501,8.95,8.95,6131,6930
2014-06-16,9.0,9.0,8.79,8.79,12999,6930
2014-06-17,9.0,9.5,9.0,9.15,11631,6930
2014-06-18,9.15,9.15,8.9,9.03,14488,6930
2014-06-19,9.0,9.1,8.8001,9.0,10654,6930
2014-06-20,9.01,9.15,8.75,9.025,12511,6930
2014-06-23,9.11,9.2,8.95,8.95,7123,6930
2014-06-24,9.0,9.145,8.95,9.0,5433,6930
2014-06-25,9.1,9.27,9.0,9.1,7686,6930
2014-06-26,9.01,9.04,8.9,8.9,1905,6930
2014-06-27,9.1,9.289,8.95,9.0351,2974,6930
2014-06-30,9.04,9.04,8.8499,8.8499,5925,6930
2014-07-01,9.0,9.0,8.8,8.85,8487,6930
2014-07-02,8.97,9.0,8.7,8.77,7700,6930
2014-07-03,9.15,9.2499,8.56,8.6,3136,6930
2014-07-07,8.61,9.16,8.5,8.5,11412,6930
2014-07-08,8.4,8.77,8.4,8.61,4153,6930
2014-07-09,8.97,9.0838,8.7298,9.0838,3185,6930
2014-07-10,9.08,9.08,9.0,9.08,1103,6930
2014-07-11,9.0,9.2,9.0,9.2,4856,6930
2014-07-14,9.0615,9.0615,8.6605,8.9522,4365,6930
2014-07-15,9.045,9.1,9.045,9.1,1521,6930
2014-07-16,8.83,9.09,8.6,8.6,9938,6930
2014-07-17,8.5,8.97,8.5,8.96,3757,6930
2014-07-18,8.87,8.9,7.76,8.38,17172,6930
2014-07-21,8.35,8.5552,8.0,8.3,3752,6930
2014-07-22,8.39,8.89,8.3,8.89,879,6930
2014-07-23,8.85,8.85,8.85,8.85,305,6930
2014-07-24,8.51,8.85,8.5,8.6353,3595,6930
2014-07-25,8.6,8.6,8.55,8.6,600,6930
2014-07-28,8.51,8.52,8.51,8.51,1067,6930
2014-07-29,8.57,8.8399,8.47,8.5,7259,6930
2014-07-30,8.72,8.72,8.5168,8.5168,413,6930
2014-07-31,8.52,8.52,8.434,8.434,1690,6930
2014-08-01,8.4,8.488,8.4,8.4,512,6930
2014-08-04,8.4,8.6701,8.39,8.431,14480,6930
2014-08-05,8.52,8.52,8.4,8.4,1578,6930
2014-08-06,8.42,8.5,8.35,8.5,11716,6930
2014-08-07,8.67,8.68,8.4,8.4499,24575,6930
2014-08-08,8.62,9.15,8.2,8.4601,89442,6930
2014-08-11,8.75,8.75,8.4,8.459,7568,6930
2014-08-12,8.35,8.46,8.15,8.3,4987,6930
2014-08-13,8.3,8.42,8.3,8.32,3957,6930
2014-08-14,8.32,8.5,8.32,8.49,6990,6930
2014-08-15,8.4,9.25,8.02,8.13,62170,6930
2014-08-18,8.75,8.75,8.35,8.5604,6441,6930
2014-08-19,8.42,8.9,8.4,8.65,9978,6930
2014-08-20,8.56,8.9,8.56,8.9,9965,6930
2014-08-22,8.8,9.188,8.8,9.015,1814,6930
2014-08-25,8.91,8.94,8.86,8.94,1464,6930
2014-08-26,9.19,9.19,8.5357,8.97,5598,6930
2014-08-27,8.73,8.96,8.72,8.96,796,6930
2014-08-28,8.7444,9.08,8.7444,9.08,5230,6930
2014-08-29,9.0,9.35,8.9,9.35,5495,6930
2014-09-02,9.02,9.05,8.86,9.04,25113,6930
2014-09-03,8.97,9.019,8.8472,8.89,13495,6930
2014-09-04,9.61,9.99,9.03,9.2,135745,6930
2014-09-05,9.1,9.2,8.91,9.17,21237,6930
2014-09-08,9.15,9.49,8.9101,9.2,48962,6930
2014-09-09,9.32,9.45,9.0801,9.43,31224,6930
2014-09-10,9.6,11.41,9.45,10.34,45833,6930
2014-09-11,10.3,10.74,10.22,10.46,29633,6930
2014-09-12,10.493,10.78,10.32,10.56,16627,6930
2014-09-15,10.57,10.57,10.0,10.08,16688,6930
2014-09-16,10.59,10.59,10.06,10.43,14576,6930
2014-09-17,10.34,10.99,10.3,10.31,27534,6930
2014-09-18,10.57,10.87,10.16,10.52,23082,6930
2014-09-19,10.74,11.0,9.76,9.76,70503,6930
2014-09-22,9.93,9.93,9.1,9.25,30891,6930
2014-09-23,9.27,9.47,8.9,9.15,13914,6930
2014-09-24,9.24,9.4,9.11,9.27,5744,6930
2014-09-25,9.28,9.72,9.28,9.65,5431,6930
2014-09-26,10.538,10.538,9.17,9.66,7651,6930
2014-09-29,9.42,9.9,9.1,9.82,10450,6930
2014-09-30,9.6,9.6,9.45,9.59,20302,6930
2014-10-01,9.27,9.27,8.8503,9.09,15864,6930
2014-10-02,8.8,9.0,8.55,8.78,8174,6930
2014-10-03,8.88,9.15,8.88,9.14,3740,6930
2014-10-06,8.76,9.05,7.65,8.95,19024,6930
2014-10-07,8.69,8.89,8.69,8.82,2877,6930
2014-10-08,8.82,8.84,8.05,8.84,31902,6930
2014-10-09,8.72,8.72,8.36,8.4,4395,6930
2014-10-10,8.0001,8.58,8.0001,8.54,4125,6930
2014-10-13,8.55,8.56,8.2,8.21,10285,6930
2014-10-14,8.27,8.42,8.08,8.14,4934,6930
2014-10-15,8.069,8.21,8.0,8.0301,8281,6930
2014-10-16,8.0,8.1,7.81,7.89,12060,6930
2014-10-17,8.04,8.28,7.81,8.18,15836,6930
2014-10-20,8.05,8.5,8.05,8.3,7517,6930
2014-10-21,8.8,8.93,8.3,8.32,8838,6930
2014-10-22,8.81,8.81,7.73,8.13,15930,6930
2014-10-23,8.27,8.4,8.02,8.3,2985,6930
2014-10-24,8.32,8.43,8.3,8.3,3465,6930
2014-10-27,8.18,8.54,7.66,7.99,3499,6930
2014-10-28,8.0,8.16,7.6701,7.72,6143,6930
2014-10-29,7.62,7.6501,7.6,7.65,1139,6930
2014-10-30,7.69,7.69,7.69,7.69,770,6930
2014-10-31,7.72,7.94,7.72,7.81,1279,6930
2014-11-03,7.81,7.8331,7.7,7.75,7602,6930
2014-11-04,7.8,7.9388,7.8,7.8,1801,6930
2014-11-05,7.95,7.95,7.25,7.71,9481,6930
2014-11-06,7.63,7.89,7.62,7.62,3476,6930
2014-11-07,7.8,7.9,7.54,7.6,3854,6930
2014-11-10,7.6,7.79,7.6,7.65,3047,6930
2014-11-11,7.6,7.6,7.39,7.5,8303,6930
2014-11-12,7.4,7.6499,7.3,7.5,12757,6930
2014-11-13,7.52,7.52,7.4,7.4,2175,6930
2014-11-14,7.4996,7.4996,7.4,7.4,5167,6930
2014-11-17,6.94,7.92,6.8386,6.8425,35726,6930
2014-11-18,6.86,6.98,6.43,6.89,18297,6930
2014-11-19,6.67,7.1,6.67,6.82,9646,6930
2014-11-20,7.13,7.24,6.85,7.0,16088,6930
2014-11-21,7.53,7.53,7.13,7.24,9506,6930
2014-11-24,7.25,7.4899,7.25,7.46,4589,6930
2014-11-25,7.53,7.53,7.25,7.43,2706,6930
2014-11-26,7.23,7.7024,7.211,7.49,14960,6930
2014-11-28,7.5,7.69,7.33,7.5,4662,6930
2014-12-01,7.57,7.57,7.37,7.46,4708,6930
2014-12-02,7.59,7.712,7.4,7.67,11550,6930
2014-12-03,7.55,7.55,7.4,7.5,6875,6930
2014-12-04,7.48,7.61,7.41,7.6,4653,6930
2014-12-05,7.54,7.79,7.54,7.62,2028,6930
2014-12-08,7.52,7.7501,7.52,7.66,880,6930
2014-12-09,7.65,7.76,7.5,7.66,1172,6930
2014-12-10,7.76,8.09,7.52,7.52,67416,6930
2014-12-11,7.5301,7.69,7.51,7.685,9080,6930
2014-12-12,7.57,7.75,7.5,7.55,4332,6930
2014-12-15,7.66,8.22,7.52,7.64,29042,6930
2014-12-16,7.57,7.7755,7.32,7.32,4500,6930
2014-12-17,7.57,7.75,7.32,7.59,9425,6930
2014-12-18,7.65,7.95,7.36,7.57,5008,6930
2014-12-19,7.6,7.86,7.5,7.6,11761,6930
2014-12-22,7.7,7.7399,7.525,7.6,12907,6930
2014-12-23,7.92,7.92,7.41,7.5,9841,6930
2014-12-24,7.59,7.9699,7.49,7.9699,3226,6930
2014-12-26,7.98,7.98,7.62,7.9474,1334,6930
2014-12-29,7.75,7.98,7.6,7.64,4416,6930
2014-12-30,7.64,7.84,7.48,7.53,6573,6930
2014-12-31,7.57,7.77,7.57,7.6,4403,6930
2015-01-02,7.89,7.99,7.68,7.84,10496,6930
2015-01-05,7.67,7.9965,7.67,7.7,18668,6930
2015-01-06,7.75,7.75,7.67,7.69,2693,6930
2015-01-07,7.67,7.83,7.67,7.75,975,6930
2015-01-08,7.96,7.99,7.68,7.772,7426,6930
2015-01-09,7.73,7.82,7.73,7.73,10852,6930
2015-01-12,7.93,8.22,7.68,7.68,10826,6930
2015-01-13,7.75,8.09,7.75,7.95,6917,6930
2015-01-14,7.88,7.88,7.67,7.67,6396,6930
2015-01-15,7.73,7.9,7.7,7.78,1775,6930
2015-01-16,7.6,7.97,7.6,7.6,6086,6930
2015-01-20,7.6,7.97,7.41,7.68,47933,6930
2015-01-21,7.69,7.69,7.5866,7.5866,900,6930
2015-01-22,7.81,7.81,7.54,7.54,7000,6930
2015-01-23,7.52,7.77,7.49,7.53,7400,6930
2015-01-26,7.52,7.9399,7.5,7.7,15517,6930
2015-01-27,7.96,7.96,7.5,7.664,11547,6930
2015-01-28,7.55,7.5999,7.36,7.52,36189,6930
2015-01-29,7.5,7.58,7.4925,7.58,526885,6930
2015-01-30,7.5301,7.5301,7.45,7.45,3581,6930
2015-02-02,7.45,7.45,7.45,7.45,205,6930
2015-02-03,7.55,7.5886,7.45,7.45,801,6930
2015-02-04,7.455,7.49,7.45,7.4899,4639,6930
2015-02-05,7.401,7.494,7.4,7.494,1117,6930
2015-02-06,7.5101,7.59,7.4201,7.56,8754,6930
2015-02-09,7.57,7.57,7.42,7.5,4117,6930
2015-02-10,7.42,7.5,7.41,7.41,2304,6930
2015-02-11,7.4,7.5,6.91,7.5,18191,6930
2015-02-12,7.418,7.51,7.3464,7.43,1450,6930
2015-02-13,7.49,7.67,7.45,7.66,38580,6930
2015-02-17,7.5,7.54,7.4,7.41,7349,6930
2015-02-19,7.56,7.56,7.15,7.251,8129,6930
2015-02-20,7.47,7.5,7.261,7.261,860,6930
2015-02-23,7.47,7.5,7.2,7.5,7801,6930
2015-02-24,7.41,7.45,7.4,7.4,2170,6930
2015-02-25,7.64,7.65,7.42,7.49,17430,6930
2015-02-26,7.4101,7.625,7.4,7.41,4409,6930
2015-02-27,7.4,7.46,7.4,7.4455,3411,6930
2015-03-02,7.48,7.48,7.4,7.4,13600,6930
2015-03-03,7.31,7.35,7.29,7.35,1700,6930
2015-03-04,7.31,7.47,7.31,7.47,2400,6930
2015-03-05,7.52,7.62,7.35,7.47,2800,6930
2015-03-06,7.36,7.4,7.31,7.33,4100,6930
2015-03-09,7.31,7.37,7.3,7.3,5500,6930
2015-03-10,7.32,7.46,7.23,7.23,3000,6930
2015-03-11,7.44,7.44,7.25,7.26,1800,6930
2015-03-12,7.25,7.25,7.19,7.24,4100,6930
2015-03-13,7.19,7.25,7.13,7.19,4200,6930
2015-03-16,7.12,7.24,7.12,7.13,900,6930
2015-03-17,7.2,7.2,7.1,7.19,4800,6930
2015-03-18,7.44,7.44,7.26,7.27,2900,6930
2015-03-19,7.24,7.32,7.05,7.06,16700,6930
2015-03-20,7.39,7.39,7.13,7.13,2400,6930
2015-03-23,7.22,7.22,7.02,7.03,54200,6930
2015-03-24,7.0,7.14,7.0,7.09,2000,6930
2015-03-25,7.14,7.14,6.81,6.89,62100,6930
2015-03-26,6.82,7.06,6.51,6.53,30300,6930
2015-03-27,6.56,6.56,6.17,6.35,79600,6930
2015-03-30,6.23,6.32,6.2,6.26,4900,6930
2015-03-31,6.3,6.43,6.3,6.32,4000,6930
2015-04-01,6.76,6.76,6.6,6.64,3700,6930
2015-04-02,6.7,7.06,6.7,6.86,7300,6930
2015-04-06,6.86,6.97,6.34,6.74,8600,6930
2015-04-07,6.84,6.86,6.73,6.85,5558,6930
2015-04-08,6.95,6.95,6.72,6.85,1700,6930
2015-04-10,6.75,6.78,6.69,6.78,3200,6930
2015-04-13,6.66,6.74,6.66,6.69,1900,6930
2015-04-14,6.72,6.74,6.67,6.74,2000,6930
2015-04-15,6.6601,6.7769,6.6601,6.7769,504,6930
2015-04-16,6.6501,6.67,6.6501,6.67,692,6930
