Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,6.64,6.66,6.5,6.65,489730,3013
2005-02-28,6.68,6.68,6.22,6.35,1251372,3013
2005-03-01,6.3,6.5,6.3,6.5,602327,3013
2005-03-02,6.46,6.83,6.43,6.78,2121743,3013
2005-03-03,6.89,6.93,6.72,6.83,1076559,3013
2005-03-04,6.83,6.89,6.63,6.7,1171309,3013
2005-03-07,6.72,6.78,6.42,6.58,963482,3013
2005-03-08,6.67,6.75,6.38,6.38,1968944,3013
2005-03-09,6.37,6.58,6.3,6.31,798462,3013
2005-03-10,6.33,6.5,6.3,6.39,642861,3013
2005-03-11,6.37,6.47,6.31,6.38,633544,3013
2005-03-14,6.33,6.52,6.32,6.47,527892,3013
2005-03-15,6.55,6.62,6.32,6.4,778039,3013
2005-03-16,6.35,6.47,6.2,6.36,966113,3013
2005-03-17,6.35,6.56,6.33,6.46,1207756,3013
2005-03-18,6.49,6.59,6.41,6.51,1315005,3013
2005-03-21,6.51,6.78,6.47,6.71,1424224,3013
2005-03-22,6.72,6.84,6.64,6.69,1260263,3013
2005-03-23,6.65,6.8,6.52,6.68,853103,3013
2005-03-24,6.7,6.9,6.7,6.85,997340,3013
2005-03-28,6.83,6.91,6.71,6.76,996460,3013
2005-03-29,6.71,6.86,6.58,6.58,1058220,3013
2005-03-30,6.68,6.86,6.66,6.79,795290,3013
2005-03-31,6.76,6.93,6.7,6.91,735749,3013
2005-04-01,6.92,7.12,6.82,6.89,1020933,3013
2005-04-04,6.89,6.92,6.69,6.92,759635,3013
2005-04-05,6.95,6.95,6.82,6.94,841200,3013
2005-04-06,6.98,6.98,6.85,6.91,850913,3013
2005-04-07,6.93,6.94,6.8,6.94,736462,3013
2005-04-08,6.9,7.06,6.76,6.8,662899,3013
2005-04-11,6.85,6.86,6.59,6.68,575655,3013
2005-04-12,6.67,6.8,6.63,6.76,559839,3013
2005-04-13,6.78,6.91,6.74,6.85,1135093,3013
2005-04-14,6.84,6.92,6.78,6.84,1207258,3013
2005-04-15,6.81,6.84,6.54,6.57,934166,3013
2005-04-18,6.55,6.56,6.36,6.44,1181043,3013
2005-04-19,6.42,6.48,6.28,6.45,1239511,3013
2005-04-20,6.4,6.53,6.35,6.44,701113,3013
2005-04-21,6.5,6.91,6.49,6.85,1441490,3013
2005-04-22,6.85,6.85,6.44,6.45,946002,3013
2005-04-25,6.47,7.0,6.45,6.74,811859,3013
2005-04-26,6.76,6.79,6.66,6.71,595688,3013
2005-04-27,6.65,6.79,6.51,6.7,794085,3013
2005-04-28,7.18,7.57,7.11,7.32,6789459,3013
2005-04-29,7.36,7.84,7.31,7.53,2817594,3013
2005-05-02,7.64,7.78,7.52,7.65,2094200,3013
2005-05-03,7.66,7.76,7.57,7.76,1393442,3013
2005-05-04,7.75,7.85,7.6,7.84,1713662,3013
2005-05-05,7.81,7.95,7.39,7.67,1579852,3013
2005-05-06,7.72,7.72,7.43,7.44,952592,3013
2005-05-09,7.4,7.69,7.4,7.57,2034439,3013
2005-05-10,7.44,7.7,7.44,7.7,1236768,3013
2005-05-11,7.7,7.87,7.6,7.85,1072818,3013
2005-05-12,7.84,7.9,7.73,7.84,1264803,3013
2005-05-13,7.83,7.93,7.61,7.72,799316,3013
2005-05-16,7.75,8.09,7.68,8.09,2029223,3013
2005-05-17,8.01,8.33,7.8,8.31,3416671,3013
2005-05-18,8.35,8.68,8.1,8.53,3299803,3013
2005-05-19,8.59,8.66,8.14,8.28,2364709,3013
2005-05-20,8.2,8.39,8.01,8.28,2027820,3013
2005-05-23,8.37,8.54,8.2,8.44,1395726,3013
2005-05-24,8.45,8.6,8.33,8.56,1129884,3013
2005-05-25,8.56,8.6,8.38,8.49,1065421,3013
2005-05-26,8.6,8.74,8.53,8.59,889346,3013
2005-05-27,8.6,8.64,8.4,8.55,1429215,3013
2005-05-31,8.57,8.8,8.5,8.66,2598440,3013
2005-06-01,8.62,8.83,8.55,8.75,1708700,3013
2005-06-02,8.83,8.83,8.4,8.63,1371585,3013
2005-06-03,8.6,8.61,8.28,8.5,907214,3013
2005-06-06,8.45,8.52,8.29,8.33,830486,3013
2005-06-07,8.37,8.42,8.13,8.21,1489180,3013
2005-06-08,8.21,8.33,8.14,8.2,825554,3013
2005-06-09,8.21,8.6,8.21,8.5,1349379,3013
2005-06-10,8.52,8.69,8.25,8.41,1275110,3013
2005-06-13,8.41,8.45,8.24,8.37,1351124,3013
2005-06-14,8.37,8.51,8.32,8.43,1707571,3013
2005-06-15,8.5,8.52,8.3,8.45,2268824,3013
2005-06-16,8.46,8.59,8.26,8.32,2233648,3013
2005-06-17,8.3,8.46,8.28,8.44,1221501,3013
2005-06-20,8.44,8.63,8.35,8.58,805309,3013
2005-06-21,8.54,8.95,8.51,8.88,2149961,3013
2005-06-22,8.95,9.18,8.82,9.04,1966287,3013
2005-06-23,9.03,9.04,8.8,8.8,853317,3013
2005-06-24,8.78,8.8,8.42,8.61,1657590,3013
2005-06-27,8.6,8.6,8.43,8.53,1158398,3013
2005-06-28,8.51,8.71,8.46,8.56,754962,3013
2005-06-29,8.62,8.89,8.54,8.87,840095,3013
2005-06-30,8.91,8.93,8.56,8.71,1334009,3013
2005-07-01,8.65,8.66,8.5,8.66,732088,3013
2005-07-05,8.62,8.99,8.58,8.96,653276,3013
2005-07-06,8.94,9.15,8.8,9.05,1173825,3013
2005-07-07,8.8,9.16,8.8,9.09,1346738,3013
2005-07-08,9.09,9.51,9.08,9.4,1219055,3013
2005-07-11,9.42,9.59,9.31,9.47,1558857,3013
2005-07-12,9.45,9.53,9.3,9.36,1418230,3013
2005-07-13,9.34,9.72,9.34,9.56,1576598,3013
2005-07-14,9.73,9.8,9.6,9.67,1111993,3013
2005-07-15,9.61,9.67,9.34,9.51,876550,3013
2005-07-18,9.51,9.54,9.1,9.22,1135255,3013
2005-07-19,9.25,9.46,9.25,9.42,708839,3013
2005-07-20,9.43,9.83,9.36,9.68,1667483,3013
2005-07-21,9.72,9.72,9.3,9.4,740574,3013
2005-07-22,9.37,9.5,9.27,9.45,847026,3013
2005-07-25,9.41,9.53,9.33,9.46,1072388,3013
2005-07-26,9.47,9.5,9.14,9.42,2226818,3013
2005-07-27,9.41,9.97,9.39,9.89,2878823,3013
2005-07-28,10.6,11.14,10.4,10.93,7615759,3013
2005-07-29,10.97,11.5,10.94,11.04,3736981,3013
2005-08-01,11.28,11.4,11.13,11.4,2729508,3013
2005-08-02,11.49,11.5,10.8,11.07,2726867,3013
2005-08-03,11.01,11.29,10.85,10.96,2289790,3013
2005-08-04,10.96,11.11,10.29,10.36,2388314,3013
2005-08-05,10.4,10.65,10.2,10.32,1491606,3013
2005-08-08,10.35,10.59,10.29,10.31,1005387,3013
2005-08-09,10.39,10.56,10.32,10.39,693827,3013
2005-08-10,10.33,10.51,9.96,10.05,2042958,3013
2005-08-11,9.95,10.42,9.95,10.4,1054541,3013
2005-08-12,10.36,10.44,10.18,10.21,640708,3013
2005-08-15,10.16,10.4,10.06,10.33,968345,3013
2005-08-16,10.34,11.0,10.34,10.62,2952285,3013
2005-08-17,10.62,10.85,10.42,10.5,1371371,3013
2005-08-18,10.45,10.45,10.08,10.23,1365271,3013
2005-08-19,10.2,10.3,9.95,10.1,1464403,3013
2005-08-22,10.2,10.48,10.12,10.43,1217157,3013
2005-08-23,10.4,10.76,10.37,10.66,1660086,3013
2005-08-24,10.7,11.06,10.55,10.74,3547964,3013
2005-08-25,10.8,10.84,10.57,10.77,1373989,3013
2005-08-26,10.69,10.85,10.5,10.64,1115026,3013
2005-08-29,10.66,10.66,10.23,10.46,1152454,3013
2005-08-30,10.43,10.53,10.34,10.48,1046056,3013
2005-08-31,10.45,10.65,10.31,10.49,2015542,3013
2005-09-01,10.57,10.98,10.56,10.74,2457803,3013
2005-09-02,10.84,11.22,10.77,11.1,2284148,3013
2005-09-06,11.24,11.69,11.16,11.66,3370349,3013
2005-09-07,11.69,11.85,11.5,11.64,2965260,3013
2005-09-08,11.58,11.63,11.43,11.54,1817103,3013
2005-09-09,11.5,11.57,11.43,11.5,1384878,3013
2005-09-12,11.51,11.8,11.5,11.67,1847219,3013
2005-09-13,11.68,11.79,11.56,11.72,1206096,3013
2005-09-14,11.78,11.87,11.18,11.26,1585180,3013
2005-09-15,11.3,11.3,11.01,11.12,1642629,3013
2005-09-16,11.21,11.23,10.57,10.92,3979875,3013
2005-09-19,10.97,11.0,10.72,10.92,1614339,3013
2005-09-20,10.96,11.55,10.96,11.25,2651559,3013
2005-09-21,11.25,11.28,10.88,11.0,1601858,3013
2005-09-22,10.86,11.25,10.79,11.05,1326364,3013
2005-09-23,11.08,11.25,10.96,11.19,1446166,3013
2005-09-26,11.23,11.48,10.94,11.1,1356940,3013
2005-09-27,11.05,11.23,10.96,11.15,724877,3013
2005-09-28,11.28,11.28,10.8,11.08,1317232,3013
2005-09-29,11.1,11.2,10.9,11.2,1004521,3013
2005-09-30,11.16,12.17,11.16,11.86,3016327,3013
2005-10-03,11.9,12.29,11.6,12.1,2007912,3013
2005-10-04,12.18,12.79,12.1,12.44,3491650,3013
2005-10-05,12.4,12.47,11.68,11.91,2126345,3013
2005-10-06,11.88,11.95,11.62,11.77,1824034,3013
2005-10-07,11.77,12.05,11.67,11.95,1477516,3013
2005-10-10,11.9,11.99,11.78,11.85,1307428,3013
2005-10-11,11.88,11.91,11.6,11.72,1941897,3013
2005-10-12,11.66,11.78,10.77,10.92,2594696,3013
2005-10-13,10.71,10.74,9.85,10.15,8326942,3013
2005-10-14,10.33,10.5,10.28,10.39,3043791,3013
2005-10-17,10.43,10.5,9.78,9.9,3614178,3013
2005-10-18,9.91,9.91,9.35,9.57,4754973,3013
2005-10-19,9.5,9.81,9.36,9.74,2352900,3013
2005-10-20,9.8,9.83,9.26,9.36,2404311,3013
2005-10-21,9.5,9.6,9.26,9.54,2688573,3013
2005-10-24,9.63,9.73,9.4,9.73,2093863,3013
2005-10-25,9.74,9.74,9.14,9.26,2359702,3013
2005-10-26,9.15,9.21,7.57,8.1,11843858,3013
2005-10-27,7.97,8.09,7.12,7.85,8338148,3013
2005-10-28,7.88,8.24,7.86,7.94,2195215,3013
2005-10-31,7.95,8.32,7.95,8.27,2441421,3013
2005-11-01,8.27,8.47,8.25,8.41,2419634,3013
2005-11-02,8.45,8.97,8.43,8.93,2505985,3013
2005-11-03,8.95,9.23,8.76,9.08,4572941,3013
2005-11-04,9.15,9.29,9.04,9.09,2060166,3013
2005-11-07,9.09,9.09,8.7,8.87,2124357,3013
2005-11-08,8.81,8.94,8.56,8.84,1449659,3013
2005-11-09,8.93,8.93,8.56,8.78,2077842,3013
2005-11-10,8.7,8.78,8.4,8.71,1545908,3013
2005-11-11,8.7,8.71,8.51,8.65,845491,3013
2005-11-14,8.63,8.78,8.55,8.78,1818321,3013
2005-11-15,8.72,8.81,8.47,8.54,1865056,3013
2005-11-16,8.5,8.56,8.18,8.34,1556924,3013
2005-11-17,8.32,8.44,8.19,8.35,1789418,3013
2005-11-18,8.39,8.41,7.99,8.1,4410126,3013
2005-11-21,8.21,8.45,8.09,8.42,2950005,3013
2005-11-22,8.62,8.8,8.48,8.56,3947566,3013
2005-11-23,8.54,9.14,8.54,9.11,3538476,3013
2005-11-25,9.12,9.21,9.0,9.06,404082,3013
2005-11-28,9.11,9.3,9.04,9.25,3522933,3013
2005-11-29,9.34,9.6,9.26,9.48,3348909,3013
2005-11-30,9.5,9.73,9.49,9.72,2394614,3013
2005-12-01,9.72,10.03,9.67,10.02,2219153,3013
2005-12-02,10.03,10.07,9.75,10.0,1825744,3013
2005-12-05,10.03,10.11,9.83,10.0,1733728,3013
2005-12-06,10.07,10.15,9.97,10.05,1286162,3013
2005-12-07,10.05,10.08,9.65,9.82,1407402,3013
2005-12-08,9.81,11.0,9.6,10.61,4227591,3013
2005-12-09,10.53,10.75,10.45,10.61,1122431,3013
2005-12-12,10.62,10.68,10.3,10.64,1039838,3013
2005-12-13,10.68,10.68,10.38,10.41,1749228,3013
2005-12-14,10.4,10.42,9.99,10.23,2554185,3013
2005-12-15,10.26,10.26,9.59,9.96,3641287,3013
2005-12-16,10.0,10.05,9.82,9.9,1664725,3013
2005-12-19,10.04,10.06,9.42,9.55,1938074,3013
2005-12-20,9.67,9.7,9.31,9.51,1381153,3013
2005-12-21,9.59,9.79,9.48,9.6,1298995,3013
2005-12-22,9.67,9.77,9.55,9.73,1304323,3013
2005-12-23,9.76,10.24,9.75,10.18,2049517,3013
2005-12-27,10.2,10.3,9.76,9.81,1144720,3013
2005-12-28,9.77,9.97,9.6,9.69,761814,3013
2005-12-29,9.68,9.76,9.48,9.64,884455,3013
2005-12-30,9.62,9.62,9.43,9.47,713715,3013
2006-01-03,9.63,10.0,9.5,9.9,1677286,3013
2006-01-04,9.91,10.0,9.62,9.74,1626773,3013
2006-01-05,9.77,9.84,9.66,9.77,553078,3013
2006-01-06,9.8,10.07,9.79,10.06,1688562,3013
2006-01-09,10.06,10.39,10.02,10.23,1430786,3013
2006-01-10,10.2,10.59,10.12,10.57,2028688,3013
2006-01-11,10.6,10.7,10.19,10.25,1675903,3013
2006-01-12,10.18,10.46,10.08,10.37,1853237,3013
2006-01-13,10.45,11.23,10.43,10.96,3177652,3013
2006-01-17,10.91,11.36,10.81,11.1,2903782,3013
2006-01-18,10.99,11.21,10.85,11.09,2261301,3013
2006-01-19,11.1,11.23,10.99,11.23,1529645,3013
2006-01-20,11.12,11.25,10.67,10.94,1256183,3013
2006-01-23,10.97,11.05,10.59,10.66,1270249,3013
2006-01-24,10.67,11.01,10.66,11.0,1271491,3013
2006-01-25,11.0,11.06,10.71,10.83,771230,3013
2006-01-26,10.94,11.22,10.91,11.03,1554457,3013
2006-01-27,11.1,11.5,11.07,11.44,1189815,3013
2006-01-30,11.44,11.89,11.44,11.83,1617939,3013
2006-01-31,11.83,11.89,11.49,11.75,1436703,3013
2006-02-01,11.7,12.4,11.62,12.15,2538003,3013
2006-02-02,12.18,12.2,11.16,11.29,3054768,3013
2006-02-03,11.23,11.38,11.0,11.03,1759562,3013
2006-02-06,11.09,11.18,10.7,11.03,1234339,3013
2006-02-07,11.06,11.1,10.77,10.99,953340,3013
2006-02-08,10.99,11.45,10.95,11.19,2232712,3013
2006-02-09,13.76,14.3,12.89,12.92,13959335,3013
2006-02-10,12.65,12.87,12.23,12.84,3237091,3013
2006-02-13,12.83,13.01,12.45,12.61,3926247,3013
2006-02-14,12.69,13.16,12.61,13.03,3235328,3013
2006-02-15,13.05,13.14,12.83,13.01,1948507,3013
2006-02-16,13.08,13.47,12.95,13.17,2368788,3013
2006-02-17,13.12,13.27,12.97,13.04,1238195,3013
2006-02-21,13.12,13.29,12.85,12.92,842528,3013
2006-02-22,12.95,13.25,12.92,13.25,1359728,3013
2006-02-23,13.21,13.36,12.96,13.0,1948051,3013
2006-02-24,13.01,13.22,12.85,12.99,1066832,3013
2006-02-27,13.01,13.1,12.76,12.91,1392314,3013
2006-02-28,12.83,13.06,12.6,12.69,1447059,3013
2006-03-01,12.68,13.57,12.68,13.52,2189966,3013
2006-03-02,13.45,13.74,13.12,13.29,1851601,3013
2006-03-03,13.23,13.38,13.02,13.1,1047737,3013
2006-03-06,13.12,13.45,13.03,13.04,1362719,3013
2006-03-07,12.95,13.1,12.52,12.62,1227679,3013
2006-03-08,12.45,12.56,11.99,12.23,1916787,3013
2006-03-09,12.28,12.49,12.07,12.09,1120025,3013
2006-03-10,12.18,12.3,12.04,12.17,778373,3013
2006-03-13,12.29,12.56,12.2,12.46,1029854,3013
2006-03-14,12.46,12.9,12.4,12.81,1133232,3013
2006-03-15,12.84,13.06,12.67,12.97,1176368,3013
2006-03-16,13.09,13.09,12.71,12.75,664053,3013
2006-03-17,12.81,14.01,12.49,13.83,3942741,3013
2006-03-20,13.85,13.95,13.68,13.81,1523600,3013
2006-03-21,13.81,13.81,13.28,13.52,1592856,3013
2006-03-22,13.59,13.74,13.4,13.65,804601,3013
2006-03-23,13.66,14.29,13.64,13.92,2888733,3013
2006-03-24,13.91,13.98,13.67,13.8,1016521,3013
2006-03-27,13.96,13.97,13.69,13.81,931157,3013
2006-03-28,13.76,13.76,13.3,13.32,1130023,3013
2006-03-29,13.34,13.6,13.33,13.5,1584699,3013
2006-03-30,13.51,13.64,13.1,13.25,1663828,3013
2006-03-31,13.32,13.82,13.32,13.76,2227250,3013
2006-04-03,13.8,13.94,13.63,13.7,1370838,3013
2006-04-04,13.69,14.22,13.69,13.81,2037517,3013
2006-04-05,13.93,14.02,13.59,13.67,2046362,3013
2006-04-06,13.7,13.97,13.52,13.56,1898541,3013
2006-04-07,13.57,13.75,13.24,13.42,873479,3013
2006-04-10,13.41,13.55,13.05,13.13,976829,3013
2006-04-11,13.19,13.48,12.62,12.72,1879840,3013
2006-04-12,12.66,13.1,12.65,13.07,1252005,3013
2006-04-13,13.09,13.38,12.9,13.21,666168,3013
2006-04-17,13.23,13.33,12.76,13.07,1265577,3013
2006-04-18,13.02,13.15,12.71,12.95,2607132,3013
2006-04-19,12.83,13.02,12.67,12.88,2623012,3013
2006-04-20,12.8,13.66,12.77,13.48,1854137,3013
2006-04-21,13.59,13.61,12.91,12.97,1245824,3013
2006-04-24,12.92,13.03,12.51,12.84,1645228,3013
2006-04-25,12.88,13.28,12.82,13.28,1853576,3013
2006-04-26,13.3,13.91,13.25,13.9,4588962,3013
2006-04-27,13.35,13.45,11.48,11.68,9544343,3013
2006-04-28,12.04,12.27,11.75,11.85,3609273,3013
2006-05-01,12.24,12.34,11.52,11.57,2739762,3013
2006-05-02,11.55,12.01,11.51,12.0,2119692,3013
2006-05-03,12.0,12.0,11.69,11.84,1468427,3013
2006-05-04,11.81,12.28,11.8,12.16,1939623,3013
2006-05-05,12.8,12.94,12.55,12.7,4890669,3013
2006-05-08,12.89,12.89,12.43,12.43,1710823,3013
2006-05-09,12.43,12.56,12.34,12.45,1028387,3013
2006-05-10,13.0,13.01,12.72,12.84,2415394,3013
2006-05-11,12.89,12.89,12.12,12.13,1517902,3013
2006-05-12,12.08,12.1,11.57,11.57,1739341,3013
2006-05-15,11.52,11.73,11.33,11.46,1608801,3013
2006-05-16,11.5,11.92,11.5,11.77,1083327,3013
2006-05-17,11.7,11.77,10.8,11.13,3284391,3013
2006-05-18,11.17,11.7,10.73,10.73,1774307,3013
2006-05-19,10.8,11.13,10.66,11.11,2515030,3013
2006-05-22,11.46,12.08,11.46,11.89,3551461,3013
2006-05-23,12.07,12.42,11.55,11.59,1527773,3013
2006-05-24,11.69,11.78,11.25,11.69,2245717,3013
2006-05-25,11.85,11.92,11.44,11.91,965179,3013
2006-05-26,11.97,12.16,11.8,12.04,1228655,3013
2006-05-30,11.98,11.98,11.68,11.74,1339758,3013
2006-05-31,11.78,12.02,11.53,12.02,1783254,3013
2006-06-01,11.95,12.36,11.95,12.28,1963515,3013
2006-06-02,12.37,12.52,12.26,12.42,1501111,3013
2006-06-05,12.42,12.42,11.75,11.78,1327281,3013
2006-06-06,11.99,12.08,11.72,12.04,1520110,3013
2006-06-07,12.03,12.33,11.78,11.89,1324634,3013
2006-06-08,11.78,11.88,11.13,11.65,1842690,3013
2006-06-09,11.69,12.0,11.54,11.63,665426,3013
2006-06-12,11.67,11.69,10.99,11.0,1028585,3013
2006-06-13,11.1,11.35,10.91,10.95,1483957,3013
2006-06-14,11.09,11.28,10.85,11.07,1526020,3013
2006-06-15,11.14,11.83,11.1,11.72,1022589,3013
2006-06-16,11.69,11.76,11.51,11.68,3234490,3013
2006-06-19,11.69,11.94,11.28,11.34,1340478,3013
2006-06-20,11.31,11.49,11.08,11.2,628375,3013
2006-06-21,11.3,11.82,11.17,11.65,1075462,3013
