Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,19.6,19.88,19.46,19.46,30404,1023
2005-02-28,19.32,19.74,19.04,19.18,50109,1023
2005-03-01,19.04,20.3,19.04,19.74,46392,1023
2005-03-02,22.26,22.26,20.58,21.42,291693,1023
2005-03-03,21.7,21.98,20.44,21.0,69417,1023
2005-03-04,20.86,21.0,20.44,20.44,47094,1023
2005-03-07,20.02,20.86,20.02,20.44,30266,1023
2005-03-08,20.44,20.86,20.3,20.44,39898,1023
2005-03-09,20.44,20.72,20.16,20.44,42537,1023
2005-03-10,20.3,20.58,19.32,19.46,57285,1023
2005-03-11,19.6,20.02,19.32,19.46,32892,1023
2005-03-14,19.74,19.88,19.46,19.88,32057,1023
2005-03-15,20.02,20.44,19.46,19.46,42319,1023
2005-03-16,19.46,19.74,19.18,19.32,42313,1023
2005-03-17,19.46,19.6,19.18,19.32,38251,1023
2005-03-18,19.32,19.6,19.04,19.18,35725,1023
2005-03-21,19.04,19.33,17.78,18.34,93769,1023
2005-03-22,18.2,18.48,17.64,17.64,83836,1023
2005-03-23,17.92,18.48,17.78,18.48,39336,1023
2005-03-24,18.62,18.76,18.2,18.2,55298,1023
2005-03-28,18.2,18.9,18.2,18.62,44030,1023
2005-03-29,22.4,24.92,20.44,21.42,1245252,1023
2005-03-30,21.28,21.28,20.02,20.58,154877,1023
2005-03-31,21.14,21.28,19.32,19.46,195452,1023
2005-04-01,20.3,20.3,18.9,19.32,79426,1023
2005-04-04,19.18,20.44,19.18,19.46,116508,1023
2005-04-05,19.46,20.02,19.18,19.46,68112,1023
2005-04-06,20.02,20.16,19.18,19.46,70393,1023
2005-04-07,19.46,19.6,18.76,19.04,68636,1023
2005-04-08,18.9,19.46,18.9,19.32,50191,1023
2005-04-11,19.04,19.32,18.76,18.76,33945,1023
2005-04-12,19.32,19.46,18.9,19.04,64718,1023
2005-04-13,19.04,19.32,18.06,18.34,87510,1023
2005-04-14,18.34,18.76,18.06,18.06,49554,1023
2005-04-15,18.06,18.2,17.08,17.36,82624,1023
2005-04-18,17.36,17.64,16.94,17.5,60238,1023
2005-04-19,17.36,17.92,17.36,17.92,27241,1023
2005-04-20,17.92,19.32,17.64,17.92,56697,1023
2005-04-21,18.06,18.2,17.78,17.78,31833,1023
2005-04-22,18.06,18.06,17.5,17.5,29337,1023
2005-04-25,17.5,17.92,16.94,17.08,43752,1023
2005-04-26,17.22,17.64,17.08,17.08,38794,1023
2005-04-27,17.08,17.5,17.08,17.5,26050,1023
2005-04-28,17.64,17.92,17.08,17.78,44474,1023
2005-04-29,17.78,18.48,17.36,17.5,56050,1023
2005-05-02,17.5,17.65,17.08,17.22,24123,1023
2005-05-03,17.36,17.5,16.94,16.94,20622,1023
2005-05-04,16.94,17.36,16.8,17.36,34787,1023
2005-05-05,17.5,17.92,17.08,17.08,15135,1023
2005-05-06,16.94,17.5,16.94,17.22,25113,1023
2005-05-09,17.08,17.22,16.94,17.22,22709,1023
2005-05-10,17.22,17.92,16.94,17.92,39463,1023
2005-05-11,18.2,18.62,17.08,17.08,88917,1023
