Date,Open,High,Low,Close,Volume,stock_id
2007-01-22,17.0,17.0,17.0,17.0,0,3287
2007-01-23,25.0,26.22,22.6,23.93,6808051,3287
2007-01-24,24.25,24.38,23.7,23.9,770819,3287
2007-01-25,23.99,24.09,23.07,23.6,348829,3287
2007-01-26,23.82,23.9,23.16,23.16,244931,3287
2007-01-29,23.2,23.83,22.77,22.88,339166,3287
2007-01-30,22.81,23.19,22.78,22.95,266951,3287
2007-01-31,23.17,23.53,22.7,22.87,372587,3287
2007-02-01,22.89,22.97,21.9,22.14,384652,3287
2007-02-02,21.93,22.29,21.9,22.07,164488,3287
2007-02-05,21.9,22.1,21.75,21.75,292669,3287
2007-02-06,21.73,22.4,21.52,21.95,220128,3287
2007-02-07,21.81,22.37,21.81,22.05,332466,3287
2007-02-08,22.38,22.4,22.0,22.03,86207,3287
2007-02-09,22.0,22.09,21.63,21.82,180851,3287
2007-02-12,21.83,21.83,21.12,21.25,137143,3287
2007-02-13,21.1,21.75,21.0,21.23,125996,3287
2007-02-14,21.11,21.3,20.87,21.04,180803,3287
2007-02-15,20.86,21.3,20.65,20.82,113011,3287
2007-02-16,20.7,21.17,20.5,21.07,168908,3287
2007-02-20,20.9,22.0,20.9,21.72,160619,3287
2007-02-21,22.5,22.85,21.84,22.13,488264,3287
2007-02-22,22.1,22.98,22.1,22.77,201334,3287
2007-02-23,23.0,23.18,22.53,23.1,111903,3287
2007-02-26,23.25,23.5,22.66,22.75,137912,3287
2007-02-27,22.41,22.48,21.29,21.98,232169,3287
2007-02-28,21.63,21.95,21.2,21.27,220562,3287
2007-03-01,21.08,21.9,20.88,21.75,99165,3287
2007-03-02,21.5,22.25,21.4,22.0,62324,3287
2007-03-05,21.51,21.76,20.9,21.0,188266,3287
2007-03-06,20.91,21.34,20.66,21.01,157138,3287
2007-03-07,21.0,21.05,20.65,20.76,97250,3287
2007-03-08,20.82,21.49,20.71,21.43,111922,3287
2007-03-09,23.27,24.25,22.31,23.5,1033024,3287
2007-03-12,23.91,23.91,22.5,23.49,223440,3287
2007-03-13,22.6,23.85,22.59,23.29,244428,3287
2007-03-14,23.75,23.89,22.62,23.47,98852,3287
2007-03-15,23.9,24.25,23.37,23.5,193408,3287
2007-03-16,23.5,23.61,23.01,23.11,48377,3287
2007-03-19,23.2,24.07,22.96,23.98,98838,3287
2007-03-20,24.0,24.5,23.55,23.77,133688,3287
2007-03-21,23.5,23.95,23.31,23.58,62366,3287
2007-03-22,23.55,23.67,23.15,23.61,69266,3287
2007-03-23,23.7,23.97,23.47,23.82,64157,3287
2007-03-26,23.96,23.96,23.37,23.42,52195,3287
2007-03-27,23.33,23.75,23.22,23.4,78255,3287
2007-03-28,23.25,23.55,22.64,23.21,82614,3287
2007-03-29,23.26,23.73,23.2,23.63,215191,3287
2007-03-30,23.75,23.95,22.8,22.86,628920,3287
2007-04-02,22.77,23.09,21.87,22.4,183741,3287
2007-04-03,22.58,22.96,22.4,22.89,128529,3287
2007-04-04,22.93,23.05,22.77,22.94,64690,3287
2007-04-05,23.0,23.02,22.59,23.0,80352,3287
2007-04-09,22.94,23.12,22.6,22.83,124185,3287
2007-04-10,22.74,23.21,22.63,22.83,90265,3287
