Date,Open,High,Low,Close,Volume,stock_id
2012-11-14,4.2,4.41,4.059,4.41,66183,1747
2012-11-15,4.35,4.49,4.35,4.37,94702,1747
2012-11-16,4.71,4.71,4.22,4.34,367700,1747
2012-11-19,4.25,4.25,4.15,4.21,80274,1747
2012-11-20,4.25,4.26,4.2134,4.24,9075,1747
2012-11-21,4.2,4.38,4.16,4.21,177820,1747
2012-11-23,4.39,4.42,4.18,4.21,19266,1747
2012-11-26,4.2601,4.3304,4.2,4.31,6793,1747
2012-11-27,4.29,4.34,4.2705,4.34,3511,1747
2012-11-28,4.31,4.36,4.3,4.3,11161,1747
2012-11-29,4.3,4.35,4.3,4.32,6978,1747
2012-11-30,4.28,4.4,4.28,4.4,61112,1747
2012-12-03,4.4,4.47,4.27,4.3,37020,1747
2012-12-04,4.29,4.33,4.25,4.28,20002,1747
2012-12-05,4.28,4.3,4.23,4.28,23173,1747
2012-12-06,4.29,4.29,4.21,4.24,11907,1747
2012-12-07,4.24,4.3,4.24,4.24,9808,1747
2012-12-10,4.25,4.27,4.24,4.25,17679,1747
2012-12-11,4.27,4.295,4.22,4.25,89092,1747
2012-12-12,4.24,4.25,4.21,4.21,17604,1747
2012-12-13,4.19,4.2,4.1,4.11,12431,1747
2012-12-14,4.1,4.16,4.03,4.11,43555,1747
2012-12-17,4.05,4.155,4.0201,4.05,40382,1747
2012-12-18,4.05,4.105,4.04,4.07,19663,1747
2012-12-19,4.0501,4.075,4.0,4.0,20018,1747
2012-12-20,4.0,4.05,4.0,4.02,28549,1747
2012-12-21,3.93,4.06,3.52,4.04,136357,1747
2012-12-24,3.96,3.96,3.8101,3.92,5556,1747
2012-12-26,3.91,3.95,3.9,3.9,27545,1747
2012-12-27,3.94,3.94,3.82,3.9,10583,1747
2012-12-28,3.8605,4.0002,3.85,3.96,25864,1747
2012-12-31,4.0,4.03,3.95,3.99,38403,1747
2013-01-02,4.0,4.0,3.95,3.95,10598,1747
2013-01-03,4.0,4.0,3.95,4.0,15627,1747
2013-01-04,3.9999,4.3999,3.95,4.16,166033,1747
2013-01-07,4.2,4.2663,4.05,4.19,31720,1747
2013-01-08,4.15,4.15,3.98,3.98,30931,1747
2013-01-09,3.99,4.1,3.9,3.91,28718,1747
2013-01-10,3.98,4.03,3.95,3.95,30109,1747
2013-01-11,4.08,4.36,4.03,4.21,146234,1747
2013-01-14,4.2001,4.225,4.07,4.13,31822,1747
2013-01-15,4.1,4.1,4.02,4.07,98439,1747
2013-01-16,4.03,4.13,4.03,4.11,27991,1747
2013-01-17,4.15,4.24,4.1,4.17,32114,1747
2013-01-18,4.2805,4.2805,4.1,4.11,7893,1747
2013-01-22,4.02,4.1558,4.0,4.11,14764,1747
2013-01-23,4.05,4.19,3.92,3.95,48500,1747
2013-01-24,3.92,4.0,3.92,3.98,8792,1747
2013-01-25,3.95,3.98,3.94,3.95,17475,1747
2013-01-28,3.98,4.0,3.92,3.92,4125,1747
2013-01-29,3.92,4.05,3.92,3.98,2675,1747
2013-01-30,4.0,4.02,3.92,3.92,6029,1747
2013-01-31,3.92,4.08,3.92,3.95,15506,1747
2013-02-01,3.95,4.013,3.95,3.95,9055,1747
2013-02-04,3.92,3.96,3.92,3.95,10503,1747
2013-02-05,3.96,3.99,3.92,3.95,22300,1747
2013-02-06,3.92,3.99,3.92,3.98,12715,1747
2013-02-07,3.95,3.98,3.93,3.98,5650,1747
2013-02-08,3.94,3.96,3.9,3.9,17218,1747
2013-02-11,3.9,3.92,3.89,3.9,6506,1747
2013-02-12,3.91,4.0,3.9,4.0,36170,1747
2013-02-13,3.94,4.07,3.94,4.07,40022,1747
2013-02-14,4.07,4.2,4.0301,4.1,74767,1747
2013-02-15,4.18,4.24,3.97,3.97,17376,1747
2013-02-19,3.96,4.14,3.96,4.07,21634,1747
2013-02-20,4.08,4.138,4.07,4.07,8871,1747
2013-02-21,4.02,4.12,4.02,4.06,8593,1747
2013-02-22,4.08,4.2,3.99,4.04,21500,1747
2013-02-25,3.96,4.12,3.96,4.04,14353,1747
2013-02-26,3.96,4.045,3.96,4.0,24068,1747
2013-02-27,4.0,4.08,3.98,4.04,11900,1747
2013-02-28,3.961,4.02,3.96,3.985,1937,1747
2013-03-01,3.98,4.03,3.96,3.96,2297,1747
2013-03-04,3.94,4.089,3.94,4.065,44579,1747
2013-03-05,4.02,4.1,3.91,3.91,20174,1747
2013-03-06,3.92,4.08,3.871,3.98,20636,1747
2013-03-07,3.99,4.0,3.88,3.91,16103,1747
2013-03-08,3.91,3.955,3.89,3.92,12107,1747
2013-03-11,3.93,3.95,3.9,3.93,8254,1747
2013-03-12,3.9,3.95,3.88,3.89,16906,1747
2013-03-13,3.9,3.94,3.86,3.87,16700,1747
2013-03-14,3.87,4.1,3.85,4.05,13458,1747
2013-03-15,4.0,4.0,3.94,3.98,10487,1747
2013-03-18,4.01,4.01,3.91,3.93,3639,1747
2013-03-19,3.94,4.0,3.85,3.9,7160,1747
2013-03-20,4.0,4.0,3.8,3.85,70637,1747
2013-03-21,3.8,3.98,3.8,3.98,23408,1747
2013-03-22,3.87,3.99,3.8301,3.99,7977,1747
2013-03-25,3.99,3.99,3.99,3.99,1625,1747
2013-03-26,3.95,3.99,3.87,3.88,21816,1747
2013-03-27,3.97,3.99,3.89,3.99,6932,1747
2013-03-28,3.92,4.08,3.92,4.06,30034,1747
2013-04-01,4.01,4.08,3.961,3.98,6395,1747
2013-04-02,3.93,4.1,3.8944,3.97,18337,1747
2013-04-03,3.94,4.08,3.91,4.05,20040,1747
2013-04-04,4.04,4.1,4.0,4.1,9785,1747
2013-04-05,4.09,4.3,4.0,4.24,57186,1747
2013-04-08,4.3,4.39,4.17,4.23,131397,1747
2013-04-09,4.23,4.31,4.02,4.09,54789,1747
2013-04-10,4.21,4.3,4.02,4.23,50983,1747
2013-04-11,4.2,4.31,4.13,4.27,66749,1747
2013-04-12,4.25,4.35,4.175,4.2,65140,1747
2013-04-15,4.2,4.3,4.01,4.19,102080,1747
2013-04-16,4.17,4.22,4.0,4.18,105596,1747
2013-04-17,4.11,4.24,4.03,4.08,102817,1747
2013-04-18,4.16,4.16,3.94,3.99,39986,1747
2013-04-19,3.93,4.18,3.93,4.17,22401,1747
2013-04-22,4.14,4.24,3.94,4.23,78640,1747
2013-04-23,4.19,4.24,4.09,4.2,14223,1747
2013-04-24,4.2,4.24,4.15,4.24,18952,1747
2013-04-25,4.26,4.3,4.0665,4.15,32850,1747
2013-04-26,4.12,4.24,4.12,4.23,24750,1747
2013-04-29,4.29,4.3,4.23,4.29,49382,1747
2013-04-30,4.28,4.28,4.1,4.2,40028,1747
2013-05-01,4.29,4.29,4.05,4.05,14740,1747
2013-05-02,4.0,4.0,3.84,3.9,181602,1747
2013-05-03,3.81,3.91,3.81,3.81,35868,1747
2013-05-06,3.8,3.92,3.8,3.82,11184,1747
2013-05-07,3.82,3.9,3.8,3.85,15668,1747
2013-05-08,3.8,3.92,3.8,3.86,25778,1747
2013-05-09,3.81,3.93,3.8,3.81,10216,1747
2013-05-10,3.8899,3.8899,3.81,3.84,16924,1747
2013-05-13,3.83,3.872,3.78,3.78,35784,1747
2013-05-14,3.78,3.8199,3.71,3.71,33510,1747
2013-05-15,3.71,3.7988,3.7,3.78,66102,1747
2013-05-16,3.74,3.759,3.61,3.62,54618,1747
2013-05-17,3.61,3.6999,3.6,3.62,36202,1747
2013-05-20,3.62,3.82,3.62,3.72,33737,1747
2013-05-21,3.72,3.799,3.72,3.72,14835,1747
2013-05-22,3.72,3.75,3.64,3.68,51639,1747
2013-05-23,3.6,3.664,3.55,3.57,103576,1747
2013-05-24,3.69,3.79,3.56,3.74,36700,1747
2013-05-28,3.75,3.75,3.55,3.57,110020,1747
2013-05-29,3.58,3.62,3.55,3.58,44226,1747
2013-05-30,3.53,3.72,3.51,3.57,34989,1747
2013-05-31,3.5,3.69,3.5,3.62,43726,1747
2013-06-03,3.58,3.72,3.55,3.62,38081,1747
2013-06-04,3.62,3.64,3.55,3.59,10219,1747
2013-06-05,3.54,3.69,3.51,3.51,21783,1747
2013-06-06,3.5,3.5399,3.5,3.51,29479,1747
2013-06-07,3.51,3.63,3.51,3.54,16629,1747
2013-06-10,3.52,3.59,3.52,3.57,8474,1747
2013-06-11,3.5,3.5,3.47,3.5,37533,1747
2013-06-12,3.47,3.6,3.47,3.53,52927,1747
2013-06-13,3.5,3.5,3.46,3.48,7303,1747
2013-06-14,3.46,3.48,3.46,3.47,6919,1747
2013-06-17,3.45,3.46,3.45,3.46,6627,1747
2013-06-18,3.45,3.48,3.45,3.46,17214,1747
2013-06-19,3.45,3.45,3.34,3.36,25012,1747
2013-06-20,3.35,3.4,3.25,3.25,77676,1747
2013-06-21,3.25,3.25,3.15,3.16,39801,1747
2013-06-24,3.15,3.18,3.1,3.11,19133,1747
2013-06-25,3.05,3.25,3.05,3.1,62715,1747
2013-06-26,3.06,3.25,3.05,3.12,15810,1747
2013-06-27,3.2,3.22,3.12,3.14,23218,1747
2013-06-28,3.01,3.45,3.01,3.45,176067,1747
2013-07-01,3.4,3.44,3.29,3.3,9372,1747
2013-07-02,3.36,3.4346,3.3,3.37,10738,1747
2013-07-03,3.33,3.44,3.33,3.44,3658,1747
2013-07-05,3.335,3.375,3.3,3.3499,11741,1747
2013-07-08,3.23,3.27,3.21,3.23,13474,1747
2013-07-09,3.23,3.26,3.23,3.23,7130,1747
2013-07-10,3.23,3.45,3.2,3.41,13961,1747
2013-07-11,3.4,3.49,3.27,3.27,34964,1747
2013-07-12,3.35,3.35,3.25,3.31,89968,1747
2013-07-15,3.27,3.38,3.27,3.38,15766,1747
2013-07-16,3.3,3.4,3.28,3.32,17645,1747
2013-07-17,3.3,3.49,3.3,3.48,1048401,1747
2013-07-18,3.52,3.65,3.51,3.58,48128,1747
2013-07-19,3.51,3.7,3.51,3.62,16523,1747
2013-07-22,3.65,3.7,3.582,3.61,18874,1747
2013-07-23,3.57,3.65,3.57,3.6,10697,1747
2013-07-24,3.37,3.67,3.37,3.6,47912,1747
2013-07-25,3.63,3.7199,3.57,3.62,3388,1747
