Date,Open,High,Low,Close,Volume,stock_id
2010-10-25,17.05,17.3,16.5,17.3,286532,6818
2010-10-26,17.3,17.47,16.8,17.29,157117,6818
2010-10-27,16.8,17.11,16.71,17.04,217833,6818
2010-10-28,16.91,17.61,16.9,17.47,144597,6818
2010-10-29,17.85,18.3,17.82,18.0,124854,6818
2010-11-01,18.39,18.39,17.5,17.8,86746,6818
2010-11-02,18.03,18.03,17.4,17.62,71941,6818
2010-11-03,17.74,17.74,17.0,17.05,22614,6818
2010-11-04,17.05,17.17,16.8,17.09,59792,6818
2010-11-05,17.25,17.5,16.91,17.33,57154,6818
2010-11-08,17.3,17.75,17.1,17.68,36185,6818
2010-11-09,17.24,17.84,17.24,17.75,90317,6818
2010-11-10,17.37,19.08,17.28,18.78,377540,6818
2010-11-11,18.99,19.31,18.31,18.99,237509,6818
2010-11-12,19.08,19.3,18.63,18.85,22425,6818
2010-11-15,19.0,19.5,18.36,18.92,350493,6818
2010-11-16,18.54,19.0,18.0,18.4,88571,6818
2010-11-17,18.8,18.82,17.8,18.31,299589,6818
2010-11-18,18.57,18.7,17.47,17.47,101348,6818
2010-11-19,17.54,18.0,17.25,17.47,140816,6818
2010-11-22,17.5,17.65,17.23,17.49,23082,6818
2010-11-23,17.39,17.79,16.86,16.87,75781,6818
2010-11-24,17.04,17.16,16.84,17.15,31419,6818
2010-11-26,17.0,17.12,17.0,17.03,7529,6818
2010-11-29,17.25,17.61,16.85,17.54,108831,6818
2010-11-30,17.71,17.81,17.3,17.56,259757,6818
2010-12-01,17.72,17.99,17.22,17.9,414186,6818
2010-12-02,18.04,18.9,17.73,18.72,158291,6818
2010-12-03,18.76,18.98,18.63,18.66,81469,6818
2010-12-06,18.74,19.0,18.58,18.66,94395,6818
2010-12-07,18.89,18.94,18.25,18.32,56248,6818
2010-12-08,18.29,18.36,17.8,18.33,64145,6818
2010-12-09,18.91,18.91,17.98,18.51,53093,6818
2010-12-10,18.01,18.71,18.01,18.58,35536,6818
2010-12-13,18.56,19.97,18.17,19.43,131650,6818
2010-12-14,19.45,20.29,19.3,19.52,91890,6818
2010-12-15,18.5,19.45,18.25,18.98,64303,6818
2010-12-16,19.0,19.37,18.11,18.44,102312,6818
2010-12-17,18.39,19.0,17.58,18.38,442331,6818
2010-12-20,18.97,19.5,18.3,18.43,153600,6818
2010-12-21,18.5,18.5,17.67,18.31,80460,6818
2010-12-22,18.41,19.0,18.01,18.8,74136,6818
2010-12-23,18.95,18.95,18.45,18.71,28994,6818
2010-12-27,18.5,18.97,18.5,18.88,19302,6818
2010-12-28,18.94,19.04,18.67,18.97,44075,6818
2010-12-29,19.0,19.05,18.66,19.01,35310,6818
