Date,Open,High,Low,Close,Volume,stock_id
2013-02-06,25.44,26.75,25.25,26.15,13195961,5348
2013-02-07,26.25,27.49,26.25,27.29,1290981,5348
2013-02-08,27.68,28.08,27.04,27.56,734295,5348
2013-02-11,27.5,27.5,26.27,27.15,685630,5348
2013-02-12,26.75,27.54,26.5,27.48,559593,5348
2013-02-13,27.75,28.0,27.13,27.81,416912,5348
2013-02-14,27.66,27.68,27.34,27.58,415205,5348
2013-02-15,27.75,27.94,27.53,27.94,337800,5348
2013-02-19,28.01,28.43,27.7,27.72,635152,5348
2013-02-20,27.52,27.62,26.64,26.8,331206,5348
2013-02-21,26.32,26.55,26.18,26.31,258929,5348
2013-02-22,26.24,26.88,26.24,26.8,242734,5348
2013-02-25,27.23,27.78,26.9,27.19,78409,5348
2013-02-26,27.26,27.64,26.65,26.65,250329,5348
2013-02-27,27.25,27.25,26.95,27.0,236891,5348
2013-02-28,27.17,27.27,27.0,27.1,85861,5348
2013-03-01,27.11,27.91,27.04,27.46,123878,5348
2013-03-04,27.45,27.82,27.02,27.73,88341,5348
2013-03-05,27.8,28.7,27.8,28.63,321655,5348
2013-03-06,28.6,29.42,28.46,28.95,245382,5348
2013-03-07,28.65,30.73,28.51,30.44,278147,5348
2013-03-08,30.5,30.59,29.51,30.06,221500,5348
2013-03-11,30.0,30.42,29.64,29.69,234924,5348
2013-03-12,29.66,30.22,29.4,29.94,279782,5348
2013-03-13,30.0,30.29,29.53,30.28,176700,5348
2013-03-14,30.3,32.1,30.23,31.8,251075,5348
2013-03-15,32.36,32.77,32.01,32.63,267027,5348
2013-03-18,31.59,32.55,30.94,32.19,628927,5348
2013-03-19,32.3,33.44,31.5,33.28,322230,5348
2013-03-20,33.52,33.67,32.66,33.53,608723,5348
2013-03-21,33.65,33.79,33.29,33.6,152044,5348
2013-03-22,33.85,33.85,32.28,32.9,296571,5348
2013-03-25,33.2,33.49,32.94,33.25,204105,5348
2013-03-26,33.47,33.59,33.13,33.4,310664,5348
2013-03-27,33.2,34.54,33.12,34.19,364223,5348
2013-03-28,34.32,34.48,32.31,33.94,1808098,5348
2013-04-01,33.99,33.99,31.48,31.61,582233,5348
2013-04-02,31.57,31.76,29.62,30.21,593071,5348
2013-04-03,30.25,30.37,29.11,29.3,473458,5348
2013-04-04,29.34,30.4,29.3,30.29,223979,5348
2013-04-05,28.12,30.9,28.12,30.82,453874,5348
2013-04-08,31.04,31.59,31.02,31.57,219472,5348
2013-04-09,31.6,31.99,31.6,31.62,198738,5348
2013-04-10,31.67,32.05,30.5,30.87,355147,5348
2013-04-11,30.77,31.61,30.62,31.19,215627,5348
2013-04-12,30.83,31.17,30.3,30.53,128921,5348
2013-04-15,30.4,30.4,28.75,28.88,212304,5348
2013-04-16,29.11,30.29,29.0,30.27,240015,5348
2013-04-17,30.05,30.23,29.23,29.82,180377,5348
2013-04-18,29.99,30.71,29.52,30.61,212385,5348
2013-04-19,30.61,30.79,29.95,30.27,168188,5348
2013-04-22,31.0,31.99,30.14,31.92,421087,5348
2013-04-23,32.37,33.07,32.0,32.26,190301,5348
2013-04-24,32.57,33.92,32.19,33.6,446963,5348
2013-04-25,33.59,33.72,32.42,32.99,174314,5348
2013-04-26,32.99,33.39,32.22,32.77,164512,5348
2013-04-29,32.98,32.98,31.35,31.55,164544,5348
2013-04-30,31.75,32.03,31.48,32.03,214735,5348
2013-05-01,32.13,32.38,30.86,31.12,260575,5348
2013-05-02,31.19,31.66,30.83,31.04,393320,5348
2013-05-03,31.38,31.67,30.82,30.84,229991,5348
2013-05-06,30.8,30.8,29.26,29.39,522083,5348
2013-05-07,29.52,30.45,29.5,30.19,171565,5348
2013-05-08,30.19,30.25,29.45,30.03,151070,5348
2013-05-09,30.08,30.47,29.97,30.13,123446,5348
2013-05-10,30.18,30.18,29.65,29.95,93959,5348
2013-05-13,29.8,29.95,29.6,29.7,78276,5348
2013-05-14,29.6,30.08,29.6,29.96,351482,5348
2013-05-15,29.96,30.45,29.9,30.18,220425,5348
2013-05-16,30.05,30.25,29.46,29.53,160825,5348
