Date,Open,High,Low,Close,Volume,stock_id
2013-11-06,13.966,13.992,13.282,13.569,7145363,5259
2013-11-07,13.569,13.634,13.361,13.461,387600,5259
2013-11-08,13.461,13.792,13.426,13.728,210454,5259
2013-11-11,13.749,13.82,13.641,13.677,107733,5259
2013-11-12,13.677,13.749,13.496,13.749,100437,5259
2013-11-13,13.805,13.805,13.512,13.712,89578,5259
2013-11-14,13.641,13.712,13.534,13.612,97422,5259
2013-11-15,13.539,13.655,13.505,13.627,87093,5259
2013-11-18,13.496,13.641,13.476,13.527,33183,5259
2013-11-19,13.555,13.555,13.175,13.289,129675,5259
2013-11-20,13.188,13.426,12.736,12.997,291440,5259
2013-11-21,12.672,13.002,12.642,12.958,142074,5259
2013-11-22,12.915,12.989,12.851,12.952,86496,5259
2013-11-25,12.851,12.938,12.708,12.901,68382,5259
2013-11-26,12.938,13.21,12.823,13.11,43960,5259
2013-11-27,13.11,13.712,13.11,13.612,75099,5259
2013-11-29,13.569,13.705,13.275,13.677,10381,5259
2013-12-02,13.461,13.461,12.997,13.059,78502,5259
2013-12-03,12.945,13.125,12.809,12.945,99998,5259
2013-12-04,12.887,13.426,12.817,13.412,112409,5259
2013-12-05,13.461,13.612,13.081,13.382,60850,5259
2013-12-06,13.282,13.405,12.938,13.21,87638,5259
2013-12-09,13.065,13.417,12.965,13.382,276684,5259
2013-12-10,13.261,13.59,12.809,12.965,108840,5259
2013-12-11,12.923,13.054,12.858,12.997,98469,5259
2013-12-12,12.887,13.397,12.868,13.059,81598,5259
2013-12-13,13.282,13.349,12.931,13.232,67101,5259
2013-12-16,13.461,13.461,12.817,12.98,115488,5259
2013-12-17,12.923,13.195,12.858,13.125,121264,5259
2013-12-18,12.989,13.144,12.931,13.11,126396,5259
2013-12-19,13.002,13.022,12.708,12.965,164628,5259
2013-12-20,12.923,12.98,12.693,12.98,929989,5259
2013-12-23,12.98,13.349,12.931,13.289,127900,5259
2013-12-24,13.349,13.353,12.945,13.175,96621,5259
2013-12-26,13.195,13.261,13.059,13.11,80569,5259
2013-12-27,13.175,13.21,12.765,13.138,83718,5259
2013-12-30,13.282,13.282,12.997,13.16,92234,5259
2013-12-31,13.232,13.239,12.997,13.188,129524,5259
2014-01-02,13.21,13.21,12.923,13.015,64057,5259
2014-01-03,13.009,13.282,12.989,13.282,76687,5259
2014-01-06,13.232,13.353,13.167,13.323,132122,5259
2014-01-07,13.21,13.331,13.045,13.117,171693,5259
2014-01-08,13.009,13.102,12.722,12.793,188818,5259
2014-01-09,12.887,15.091,12.607,12.802,97130,5259
2014-01-10,12.76,12.817,12.628,12.708,99124,5259
2014-01-13,12.564,12.915,12.498,12.701,94140,5259
2014-01-14,12.708,12.809,12.628,12.793,45723,5259
2014-01-15,12.743,12.809,12.599,12.672,71016,5259
2014-01-16,12.628,12.701,12.599,12.622,50241,5259
2014-01-17,12.599,12.672,12.048,12.249,164035,5259
2014-01-21,12.268,12.614,12.206,12.579,85560,5259
2014-01-22,12.557,12.628,12.242,12.498,136587,5259
2014-01-23,12.398,12.636,12.255,12.628,92250,5259
2014-01-24,12.541,12.557,12.219,12.507,94940,5259
2014-01-27,12.484,12.484,12.141,12.277,63092,5259
2014-01-28,12.255,12.328,12.219,12.268,28811,5259
2014-01-29,12.277,12.277,12.133,12.141,50006,5259
2014-01-30,12.104,12.37,12.097,12.35,46954,5259
2014-01-31,12.149,12.414,12.133,12.168,78757,5259
2014-02-03,12.097,12.155,11.832,11.882,98392,5259
2014-02-04,11.875,12.033,11.838,11.853,63524,5259
2014-02-05,11.853,11.961,11.818,11.86,39930,5259
2014-02-06,11.832,12.113,11.832,12.011,76727,5259
2014-02-07,12.061,12.419,12.033,12.392,46084,5259
2014-02-10,12.277,12.484,12.149,12.464,40513,5259
2014-02-11,12.464,12.574,12.355,12.492,51936,5259
2014-02-12,12.535,12.585,12.362,12.414,7354,5259
2014-02-13,12.285,12.464,12.234,12.464,21763,5259
2014-02-14,12.484,12.585,12.104,12.176,52387,5259
2014-02-18,12.119,12.206,11.997,12.026,74946,5259
2014-02-19,11.982,12.141,11.982,12.003,29771,5259
2014-02-20,11.99,12.125,11.975,12.097,42277,5259
2014-02-21,12.162,12.206,12.068,12.113,46471,5259
2014-02-24,12.113,12.184,12.061,12.074,36338,5259
2014-02-25,12.141,12.19,12.026,12.074,39651,5259
2014-02-26,12.125,12.277,12.026,12.055,44997,5259
2014-02-27,12.055,12.176,11.99,12.092,64280,5259
2014-02-28,12.039,12.285,12.011,12.242,32130,5259
2014-03-03,12.277,12.355,12.026,12.249,23841,5259
2014-03-04,12.336,12.35,12.141,12.262,58031,5259
2014-03-05,12.219,12.336,12.212,12.242,36806,5259
2014-03-06,12.219,12.312,12.083,12.255,45465,5259
2014-03-07,12.199,12.312,12.141,12.312,23889,5259
2014-03-10,12.249,12.336,12.113,12.226,14381,5259
2014-03-11,12.149,12.262,12.097,12.249,20418,5259
2014-03-12,12.249,12.535,12.097,12.456,78536,5259
2014-03-13,12.464,12.549,12.342,12.456,21413,5259
2014-03-14,12.448,12.701,12.443,12.672,45448,5259
2014-03-17,12.636,13.002,12.636,12.88,116270,5259
2014-03-18,12.952,13.175,12.498,13.16,82570,5259
2014-03-19,13.188,13.282,13.054,13.132,67814,5259
2014-03-20,13.188,13.282,13.031,13.132,38174,5259
2014-03-21,13.132,13.132,12.328,12.328,196813,5259
2014-03-24,12.435,12.535,12.149,12.336,40686,5259
2014-03-25,12.419,12.751,12.277,12.593,47652,5259
2014-03-26,12.686,12.686,12.277,12.285,48332,5259
2014-03-27,12.242,12.328,12.026,12.119,68624,5259
2014-03-28,12.133,12.355,12.133,12.319,29411,5259
2014-03-31,12.342,12.557,12.328,12.484,45978,5259
2014-04-01,12.549,12.809,12.385,12.535,39810,5259
2014-04-02,12.599,12.858,12.435,12.837,42400,5259
2014-04-03,12.931,13.073,12.809,12.958,72026,5259
2014-04-04,13.102,13.49,12.945,13.353,130103,5259
2014-04-07,13.125,13.461,13.031,13.138,51761,5259
2014-04-08,13.102,13.461,13.102,13.282,35712,5259
2014-04-09,13.267,13.712,13.102,13.512,150521,5259
2014-04-10,13.512,13.512,13.102,13.167,44021,5259
2014-04-11,13.153,13.276,12.903,12.926,73406,5259
2014-04-14,13.087,13.459,13.064,13.219,40308,5259
2014-04-15,13.313,13.43,12.818,13.16,24330,5259
2014-04-16,13.32,13.356,12.794,12.911,37073,5259
2014-04-17,12.899,12.95,12.772,12.779,33597,5259
2014-04-21,12.786,13.08,12.786,12.903,29060,5259
2014-04-22,12.962,13.094,12.95,13.043,27484,5259
2014-04-23,13.087,13.219,12.95,13.117,28591,5259
2014-04-24,12.968,13.219,12.918,13.064,141106,5259
2014-04-25,13.006,13.029,12.845,12.95,31738,5259
2014-04-28,12.845,13.137,12.772,12.779,58175,5259
2014-04-29,12.874,12.985,12.772,12.794,53243,5259
2014-04-30,12.772,13.795,12.772,13.546,131509,5259
2014-05-01,13.482,13.831,13.43,13.831,73571,5259
2014-05-02,13.59,13.787,13.32,13.408,22670,5259
2014-05-05,13.219,13.393,13.211,13.378,22531,5259
2014-05-06,13.408,13.831,13.393,13.43,47638,5259
2014-05-07,13.51,13.765,13.393,13.612,39727,5259
2014-05-08,13.525,13.693,13.466,13.474,63773,5259
2014-05-09,13.43,13.517,13.219,13.482,40393,5259
2014-05-12,13.488,13.927,13.488,13.773,47814,5259
2014-05-13,13.92,13.92,13.488,13.684,40084,5259
2014-05-14,13.684,13.684,13.43,13.482,42453,5259
2014-05-15,13.408,13.546,13.335,13.356,29301,5259
2014-05-16,13.3,13.569,13.167,13.335,30136,5259
2014-05-19,13.482,13.482,13.051,13.094,39415,5259
2014-05-20,13.131,13.386,12.772,12.818,46104,5259
2014-05-21,12.818,13.036,12.772,12.918,45185,5259
2014-05-22,12.853,13.014,12.818,12.911,39682,5259
2014-05-23,12.968,12.995,12.874,12.968,10971,5259
2014-05-27,13.064,13.183,12.772,12.899,70795,5259
2014-05-28,12.853,12.985,12.772,12.868,150738,5259
2014-05-29,12.83,13.059,12.818,12.995,24396,5259
2014-05-30,13.029,13.196,12.918,13.094,28744,5259
2014-06-02,13.131,13.153,12.786,12.811,35278,5259
2014-06-03,12.811,13.051,12.772,12.779,33286,5259
2014-06-04,12.786,12.985,12.766,12.962,136105,5259
2014-06-05,12.818,13.175,12.715,13.0,34363,5259
2014-06-06,13.036,13.094,12.918,13.043,27704,5259
2014-06-09,12.985,12.985,12.786,12.868,32267,5259
2014-06-10,12.786,13.094,12.786,13.036,25071,5259
2014-06-11,13.029,13.276,12.899,13.072,57727,5259
2014-06-12,13.101,13.101,12.962,13.029,30829,5259
2014-06-13,12.977,13.087,12.968,12.985,37041,5259
2014-06-16,12.956,13.117,12.956,13.043,31533,5259
2014-06-17,13.043,13.11,12.918,12.956,32254,5259
2014-06-18,12.899,13.064,12.899,13.029,49174,5259
2014-06-19,13.11,13.612,13.11,13.408,62733,5259
2014-06-20,13.482,13.736,13.482,13.663,101732,5259
2014-06-23,13.73,13.73,13.254,13.285,81041,5259
2014-06-24,13.32,13.736,13.175,13.276,56995,5259
2014-06-25,13.211,13.597,13.211,13.37,54003,5259
2014-06-26,13.344,13.707,13.344,13.569,53030,5259
2014-06-27,13.482,13.905,13.313,13.905,702512,5259
2014-06-30,13.927,14.517,13.927,14.38,220864,5259
2014-07-01,14.474,14.582,14.13,14.139,94170,5259
