Date,Open,High,Low,Close,Volume,stock_id
2014-11-19,9.787,9.787,9.787,9.787,736,6468
2014-11-25,9.787,9.787,9.787,9.787,245,6468
2014-12-31,9.911,10.743,9.911,10.743,18675,6468
2015-01-06,10.743,10.743,10.743,10.743,362,6468
2015-02-19,10.743,10.743,10.743,10.743,126,6468
2015-02-27,10.331,10.331,10.331,10.331,485,6468
2015-03-02,10.627,10.627,10.627,10.627,121,6468
2015-03-03,10.471,10.513,10.471,10.513,241,6468
2015-03-05,10.504,10.504,10.504,10.504,121,6468
2015-03-10,10.728,10.728,10.728,10.728,121,6468
2015-03-11,10.743,10.743,10.743,10.743,121,6468
2015-03-16,10.743,10.743,10.495,10.495,362,6468
2015-03-19,10.495,10.495,10.495,10.495,121,6468
2015-03-20,10.495,10.495,10.495,10.495,121,6468
2015-03-25,10.702,10.702,10.702,10.702,121,6468
2015-03-31,10.331,10.711,10.331,10.711,241,6468
2015-04-01,10.743,10.743,10.743,10.743,241,6468
2015-04-06,10.355,10.42,10.355,10.42,241,6468
2015-04-07,10.522,10.522,10.522,10.522,121,6468
2015-04-09,10.182,10.182,10.182,10.182,362,6468
2015-04-14,10.544,10.544,10.544,10.544,121,6468
2015-04-17,10.72,10.743,10.72,10.743,606,6468
2015-04-20,10.331,10.331,9.916,9.916,241,6468
2015-05-04,9.916,9.916,9.916,9.916,121,6468
2015-05-05,9.728,9.75,9.728,9.728,8229,6468
2015-05-06,9.728,9.728,9.728,9.728,435865,6468
2015-05-07,9.728,9.728,9.728,9.728,103,6468
2015-05-11,9.98,9.98,9.963,9.963,2486,6468
2015-05-12,9.879,9.947,9.795,9.795,1090,6468
2015-05-13,9.751,9.98,9.542,9.963,3079,6468
2015-05-15,9.0772,9.2883,8.2664,9.2805,6734,6468
2015-05-18,9.1614,9.4736,9.1614,9.4736,1293,6468
2015-05-19,9.3652,9.3731,9.3652,9.3731,948,6468
2015-05-20,9.3731,9.3731,9.3731,9.3731,119,6468
2015-05-21,9.3731,9.3731,9.3731,9.3731,119,6468
2015-05-26,9.3731,9.3731,9.3731,9.3731,1,6468
2015-05-27,9.3731,9.3731,9.3731,9.3731,119,6468
2015-05-28,9.2961,10.007,9.2961,10.007,2100,6468
2015-06-01,10.007,10.007,10.007,10.007,119,6468
2015-06-04,9.2961,9.3553,9.2883,9.2883,60517,6468
2015-06-05,9.2883,9.2883,9.2805,9.2805,6869,6468
2015-06-08,9.2883,9.2961,9.2533,9.2883,3907,6468
2015-06-09,9.2883,9.2883,9.2883,9.2883,2060,6468
2015-06-10,9.1107,9.4568,9.1107,9.1365,966,6468
2015-06-11,9.1365,9.1365,9.1365,9.1365,1,6468
2015-06-12,9.2805,9.2883,9.2805,9.2883,1658,6468
2015-06-15,9.4322,9.4322,9.4322,9.4322,119,6468
2015-06-16,9.449,9.4568,9.4233,9.449,3079,6468
2015-06-17,9.4411,9.4411,9.4066,9.4066,237,6468
2015-06-18,9.449,9.576,9.449,9.576,2842,6468
2015-06-19,9.331,9.501,9.331,9.4411,710,6468
2015-06-22,9.584,9.584,9.584,9.584,1658,6468
2015-06-23,9.788,9.788,9.591,9.625,2013,6468
2015-06-24,9.635,9.635,9.635,9.635,2961,6468
2015-06-25,9.3553,9.779,9.3553,9.635,2013,6468
2015-06-26,9.625,9.625,9.625,9.625,119,6468
2015-06-29,9.524,9.524,9.4647,9.4647,592,6468
2015-06-30,9.635,9.635,9.635,9.635,157,6468
2015-07-01,9.625,9.625,9.625,9.625,119,6468
2015-07-02,9.635,9.635,9.635,9.635,119,6468
2015-07-06,9.635,9.643,9.635,9.643,5092,6468
2015-07-07,9.643,9.66,9.643,9.66,3315,6468
2015-07-08,10.099,10.133,10.099,10.133,710,6468
2015-07-09,10.133,10.133,10.133,10.133,119,6468
2015-07-10,10.107,10.554,10.031,10.031,9475,6468
2015-07-13,10.252,10.301,10.175,10.301,3315,6468
2015-07-14,10.215,10.554,10.048,10.115,3992,6468
2015-07-15,10.133,10.544,10.133,10.394,4643,6468
2015-07-16,9.972,10.299,9.928,10.137,580,6468
2015-07-17,9.989,10.54,9.989,10.54,1625,6468
2015-07-20,10.54,10.679,10.54,10.679,2319,6468
2015-07-21,10.686,10.686,10.54,10.54,580,6468
2015-07-22,10.54,10.54,10.54,10.54,117,6468
2015-07-23,10.54,10.54,10.54,10.54,117,6468
2015-07-27,9.989,10.343,9.989,10.343,347,6468
2015-07-28,9.815,10.534,9.815,10.343,696,6468
2015-07-29,10.343,10.343,10.343,10.343,117,6468
2015-07-31,10.343,10.343,10.343,10.343,117,6468
2015-08-03,10.212,10.472,10.212,10.472,423,6468
2015-08-04,10.54,10.54,10.429,10.488,464,6468
2015-08-05,10.516,10.686,10.402,10.61,11485,6468
2015-08-06,10.686,10.739,10.686,10.686,3430,6468
2015-08-07,10.773,10.773,10.686,10.773,580,6468
2015-08-10,10.86,10.86,10.86,10.86,347,6468
2015-08-11,10.791,10.791,10.516,10.791,3956,6468
2015-08-12,10.782,10.834,10.782,10.834,3017,6468
2015-08-13,10.834,10.834,10.791,10.791,464,6468
2015-08-14,10.773,10.773,10.773,10.773,580,6468
2015-08-17,10.974,10.974,10.974,10.974,347,6468
2015-08-18,10.87,10.903,10.87,10.903,813,6468
2015-08-19,10.876,10.894,10.86,10.86,464,6468
2015-08-20,10.86,10.86,10.852,10.86,464,6468
2015-08-21,10.86,10.86,10.516,10.516,3712,6468
2015-08-24,10.516,10.516,10.516,10.516,232,6468
2015-08-25,10.686,10.686,10.558,10.558,1044,6468
2015-08-26,10.368,10.368,10.343,10.343,464,6468
2015-08-27,10.343,10.343,10.343,10.343,117,6468
2015-08-31,10.343,10.343,10.343,10.343,117,6468
2015-09-02,10.548,10.548,10.548,10.548,464,6468
2015-09-03,10.548,10.548,10.548,10.548,117,6468
2015-09-08,10.48,10.48,10.343,10.48,696,6468
2015-09-11,10.506,10.548,10.506,10.548,2784,6468
2015-09-14,10.36,10.36,10.309,10.309,232,6468
2015-09-16,10.309,10.309,10.309,10.309,117,6468
2015-09-17,10.256,10.429,10.256,10.429,232,6468
2015-09-18,10.516,10.548,10.497,10.548,1625,6468
2015-09-21,10.548,10.558,10.548,10.558,1277,6468
2015-09-23,10.558,10.679,10.558,10.679,2088,6468
2015-09-24,10.679,10.679,10.679,10.679,59,6468
2015-09-25,10.773,10.894,10.773,10.894,580,6468
2015-09-28,10.516,10.516,10.516,10.516,142,6468
2015-09-29,10.773,10.964,10.773,10.964,4061,6468
2015-10-01,10.964,11.188,10.964,11.188,1394,6468
2015-10-02,11.627,11.627,11.627,11.627,232,6468
2015-10-05,12.067,12.067,11.504,11.504,5943,6468
2015-10-06,11.504,11.504,11.504,11.504,347,6468
2015-10-07,11.498,11.498,11.498,11.498,232,6468
2015-10-08,11.498,11.498,11.498,11.498,813,6468
2015-10-12,11.498,11.498,11.498,11.498,59,6468
2015-10-13,11.609,11.609,11.549,11.549,2205,6468
2015-10-15,11.549,11.575,11.549,11.549,2552,6468
2015-10-16,11.119,11.119,9.912,10.04,42465,6468
2015-10-19,10.343,10.343,9.963,9.998,5337,6468
2015-10-20,9.912,9.998,9.912,9.912,6700,6468
2015-10-21,9.912,9.912,9.0751,9.4805,22393,6468
2015-10-22,9.2659,9.695,9.2659,9.679,12532,6468
2015-10-23,9.791,9.791,9.714,9.739,696,6468
2015-10-26,9.722,9.868,9.523,9.541,16475,6468
2015-10-27,9.541,9.541,9.541,9.541,117,6468
2015-10-28,9.576,9.868,9.55,9.868,7775,6468
2015-10-29,9.835,9.868,9.835,9.868,7078,6468
2015-10-30,9.868,9.868,9.843,9.868,12878,6468
2015-11-02,10.548,11.248,10.516,11.119,61835,6468
2015-11-03,11.119,12.411,11.049,11.746,72631,6468
2015-11-04,11.825,12.505,11.825,12.057,34208,6468
2015-11-05,12.057,12.287,11.687,12.109,13104,6468
2015-11-06,12.067,12.287,12.067,12.139,10826,6468
2015-11-09,12.109,12.109,11.716,11.803,10348,6468
2015-11-10,11.979,11.979,11.725,11.847,5014,6468
2015-11-11,12.154,12.154,12.146,12.146,1253,6468
2015-11-12,12.146,12.146,12.032,12.086,1824,6468
2015-11-16,12.086,12.287,12.057,12.154,9231,6468
2015-11-17,12.287,12.287,12.225,12.287,2280,6468
2015-11-18,12.287,12.287,12.109,12.25,2963,6468
2015-11-19,12.287,12.287,12.146,12.198,456,6468
2015-11-20,12.023,12.023,11.937,11.937,1938,6468
2015-11-23,11.942,12.287,11.937,12.287,1253,6468
2015-11-24,12.216,12.287,12.198,12.198,2166,6468
2015-11-25,12.198,12.198,12.198,12.198,115,6468
2015-11-30,12.287,12.287,11.989,12.161,2963,6468
2015-12-01,12.294,12.303,12.154,12.277,11275,6468
2015-12-02,11.996,12.154,11.996,12.109,4279,6468
2015-12-03,12.594,12.594,12.234,12.234,4775,6468
2015-12-04,12.032,12.032,12.023,12.023,569,6468
2015-12-07,12.023,12.023,12.023,12.023,115,6468
2015-12-08,12.198,12.234,12.198,12.234,2091,6468
2015-12-09,12.287,12.287,12.023,12.032,1596,6468
2015-12-10,12.287,12.287,11.937,11.937,1480,6468
2015-12-11,11.942,11.961,11.937,11.937,569,6468
2015-12-14,12.171,12.383,12.171,12.27,1773,6468
2015-12-15,12.287,12.287,12.287,12.287,569,6468
2015-12-16,12.375,12.566,12.375,12.549,456,6468
