Date,Open,High,Low,Close,Volume,stock_id
2010-08-23,16.475,17.193,16.475,16.86,23020,4659
2010-08-24,16.869,16.923,16.735,16.735,13901,4659
2010-08-25,16.636,16.798,16.636,16.727,34920,4659
2010-08-26,16.807,16.816,16.77,16.77,8346,4659
2010-08-27,16.816,16.995,16.735,16.905,28581,4659
2010-08-30,16.869,16.869,16.689,16.735,17394,4659
2010-08-31,16.727,16.727,16.608,16.636,16732,4659
2010-09-01,16.727,16.905,16.608,16.807,14580,4659
2010-09-02,16.879,17.174,16.879,17.139,19385,4659
2010-09-03,17.139,17.247,17.068,17.174,27848,4659
2010-09-07,17.131,17.174,17.102,17.174,6984,4659
2010-09-08,17.22,17.401,17.22,17.31,6117,4659
2010-09-09,17.417,17.669,17.417,17.535,11342,4659
2010-09-10,17.661,17.661,17.472,17.481,24244,4659
2010-09-13,17.58,17.624,17.445,17.58,10030,4659
2010-09-14,17.508,17.921,17.445,17.669,70036,4659
2010-09-15,17.58,17.867,17.571,17.58,43084,4659
2010-09-16,17.634,17.705,17.283,17.382,50054,4659
2010-09-17,17.319,17.598,17.238,17.328,47305,4659
2010-09-20,17.401,17.49,17.229,17.31,33466,4659
2010-09-21,17.481,17.984,17.435,17.643,484328,4659
2010-09-22,17.697,17.697,17.409,17.535,15096,4659
2010-09-23,17.373,17.589,17.264,17.283,69218,4659
2010-09-24,17.391,17.526,17.319,17.445,90197,4659
2010-09-27,17.445,17.624,17.417,17.472,61469,4659
2010-09-28,17.427,17.543,17.337,17.337,43999,4659
2010-09-29,17.354,17.391,17.256,17.345,21909,4659
2010-09-30,17.264,17.391,17.238,17.337,16557,4659
2010-10-01,17.319,17.409,17.292,17.31,23856,4659
2010-10-04,17.292,17.409,17.264,17.301,60165,4659
2010-10-05,17.337,17.454,17.274,17.292,42837,4659
2010-10-06,17.292,17.463,17.292,17.373,26412,4659
2010-10-07,17.445,17.516,17.166,17.174,47476,4659
2010-10-08,17.229,17.427,17.229,17.427,52341,4659
2010-10-11,17.354,17.463,17.354,17.417,16115,4659
2010-10-12,17.526,17.616,17.445,17.481,27204,4659
2010-10-13,17.58,17.58,17.328,17.373,51792,4659
2010-10-14,17.445,17.553,17.022,17.264,36747,4659
2010-10-15,17.193,17.202,16.518,17.139,37405,4659
2010-10-18,17.04,17.058,16.86,16.995,44360,4659
2010-10-19,17.012,17.183,16.879,16.879,42485,4659
2010-10-20,16.86,16.923,16.518,16.654,35188,4659
2010-10-21,16.798,17.004,16.708,16.86,41507,4659
2010-10-22,16.824,16.941,16.77,16.816,17572,4659
2010-10-25,16.789,16.888,16.5,16.5,16779,4659
2010-10-26,16.456,16.727,16.275,16.727,24563,4659
2010-10-27,16.636,16.923,16.636,16.727,44038,4659
2010-10-28,16.689,16.77,16.555,16.727,33769,4659
2010-10-29,16.727,16.807,16.679,16.789,9631,4659
2010-11-01,16.851,16.851,16.735,16.833,11950,4659
2010-11-02,16.941,16.941,16.824,16.914,26062,4659
2010-11-03,16.897,16.914,16.824,16.914,8522,4659
2010-11-04,16.86,17.068,16.798,16.86,59007,4659
2010-11-05,16.96,17.472,16.96,17.264,122746,4659
2010-11-08,17.256,17.571,17.22,17.562,20612,4659
2010-11-09,17.562,17.624,17.49,17.624,30610,4659
2010-11-10,17.401,17.445,17.301,17.401,14629,4659
2010-11-11,17.435,17.454,17.31,17.354,8618,4659
2010-11-12,17.409,17.49,17.319,17.401,12237,4659
2010-11-15,17.401,17.454,17.345,17.345,23548,4659
2010-11-16,17.445,17.481,17.112,17.264,24764,4659
2010-11-17,17.31,17.328,17.174,17.229,39284,4659
