Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,14.839,15.34,14.653,15.331,606765,4451
2005-02-28,15.275,15.478,14.528,14.824,1052961,4451
2005-03-01,14.882,15.144,14.75,15.119,929197,4451
2005-03-02,14.866,15.306,14.636,14.636,1217402,4451
2005-03-03,14.742,14.742,14.079,14.39,976258,4451
2005-03-04,14.521,14.676,14.219,14.323,542144,4451
2005-03-07,14.285,14.759,14.259,14.323,633502,4451
2005-03-08,14.447,14.447,13.807,13.848,962650,4451
2005-03-09,13.875,13.955,13.613,13.62,689710,4451
2005-03-10,13.613,13.671,13.254,13.467,832840,4451
2005-03-11,13.497,13.563,12.973,13.056,632029,4451
2005-03-14,13.007,13.271,13.007,13.147,591760,4451
2005-03-15,13.202,13.286,12.804,12.858,478342,4451
2005-03-16,12.768,13.154,12.638,12.737,577273,4451
2005-03-17,12.73,12.973,12.73,12.827,492359,4451
2005-03-18,12.849,12.849,12.418,12.516,909969,4451
2005-03-21,12.451,12.705,12.287,12.522,354988,4451
2005-03-22,12.498,12.705,12.287,12.318,458314,4451
2005-03-23,12.369,12.599,12.203,12.31,378932,4451
2005-03-24,12.36,12.59,12.253,12.327,639503,4451
2005-03-28,12.451,12.562,12.157,12.211,397395,4451
2005-03-29,12.253,12.318,11.828,11.877,417149,4451
2005-03-30,11.957,12.427,11.885,12.411,648703,4451
2005-03-31,12.508,12.508,12.253,12.427,692994,4451
2005-04-01,12.581,12.671,12.05,12.123,575699,4451
2005-04-04,12.089,12.157,11.845,12.089,432792,4451
2005-04-05,12.089,12.253,11.868,11.935,406493,4451
2005-04-06,11.957,12.229,11.852,11.852,609788,4451
2005-04-07,11.828,12.237,11.828,12.14,336801,4451
2005-04-08,12.196,12.377,12.008,12.041,402279,4451
2005-04-11,12.166,12.237,12.008,12.05,422746,4451
2005-04-12,12.016,12.097,11.665,12.064,746258,4451
2005-04-13,12.05,12.058,11.288,11.32,594501,4451
2005-04-14,11.288,11.541,11.059,11.166,694052,4451
2005-04-15,11.212,11.255,10.633,10.788,794029,4451
2005-04-18,10.969,11.051,10.714,10.788,823621,4451
2005-04-19,10.816,11.354,10.798,11.354,935760,4451
2005-04-20,11.493,11.624,10.903,10.912,1112461,4451
2005-04-21,11.115,11.624,11.051,11.493,634239,4451
2005-04-22,11.484,11.484,11.019,11.204,553945,4451
2005-04-25,11.288,11.419,11.019,11.182,363797,4451
2005-04-26,11.166,11.419,10.816,10.816,549057,4451
2005-04-27,10.838,11.106,10.658,10.869,619469,4451
2005-04-28,10.927,11.001,10.51,10.529,317845,4451
2005-04-29,10.52,10.641,10.158,10.529,402514,4451
2005-05-02,10.601,10.763,10.42,10.625,256718,4451
2005-05-03,10.633,11.212,10.567,11.212,1274351,4451
2005-05-04,11.158,11.369,10.869,11.288,1088833,4451
2005-05-05,11.221,11.426,10.992,11.106,775312,4451
2005-05-06,11.098,11.246,10.984,11.043,464319,4451
2005-05-09,11.124,11.493,10.952,11.459,536749,4451
2005-05-10,11.32,11.402,11.083,11.133,580562,4451
2005-05-11,11.229,11.493,11.051,11.402,409467,4451
2005-05-12,11.434,11.533,11.204,11.337,342196,4451
2005-05-13,11.387,11.754,11.354,11.665,544450,4451
2005-05-16,11.705,11.838,11.55,11.819,798008,4451
2005-05-17,11.819,11.951,11.641,11.943,701863,4451
2005-05-18,11.974,12.008,11.533,11.705,1295853,4451
2005-05-19,11.632,11.984,11.582,11.804,542390,4451
2005-05-20,11.796,11.845,11.672,11.736,447644,4451
2005-05-23,11.705,11.877,11.624,11.828,493650,4451
2005-05-24,11.712,11.771,11.624,11.763,499102,4451
2005-05-25,11.665,11.796,11.624,11.736,410814,4451
2005-05-26,11.804,12.473,11.804,12.211,609484,4451
2005-05-27,12.166,12.342,12.157,12.327,540035,4451
2005-05-31,12.342,12.572,12.278,12.335,397771,4451
2005-06-01,12.394,12.687,12.36,12.547,602167,4451
2005-06-02,12.482,12.951,12.473,12.768,609276,4451
2005-06-03,12.876,12.876,12.394,12.451,390637,4451
2005-06-06,12.377,12.451,12.244,12.27,712976,4451
2005-06-07,12.287,12.63,12.287,12.434,721617,4451
2005-06-08,12.498,12.656,12.427,12.491,720123,4451
2005-06-09,12.508,12.844,12.295,12.804,503941,4451
2005-06-10,12.811,13.015,12.705,12.909,635864,4451
2005-06-13,12.867,12.989,12.737,12.827,358851,4451
2005-06-14,12.804,12.942,12.804,12.892,540455,4451
2005-06-15,12.957,13.104,12.687,13.095,826062,4451
2005-06-16,13.024,13.177,12.982,13.139,463727,4451
2005-06-17,13.202,13.342,13.08,13.271,644137,4451
2005-06-20,13.286,13.286,13.048,13.122,299975,4451
2005-06-21,13.104,13.342,13.095,13.237,203224,4451
2005-06-22,13.299,13.512,13.024,13.194,404683,4451
2005-06-23,13.177,13.432,13.056,13.087,394736,4451
2005-06-24,13.024,13.104,12.327,12.443,1020609,4451
2005-06-27,12.318,12.335,11.974,12.123,544931,4451
2005-06-28,12.181,12.465,12.131,12.443,539509,4451
2005-06-29,12.394,12.556,12.244,12.318,330313,4451
2005-06-30,12.22,12.473,12.157,12.157,480852,4451
2005-07-01,12.14,12.22,12.041,12.148,184265,4451
2005-07-05,12.166,12.572,12.058,12.482,345215,4451
2005-07-06,12.427,12.687,12.427,12.562,271647,4451
2005-07-07,12.36,12.607,12.237,12.377,330430,4451
2005-07-08,12.36,12.768,12.36,12.759,454688,4451
2005-07-11,12.032,12.539,11.788,12.53,3522911,4451
2005-07-12,12.36,12.656,12.318,12.572,1525891,4451
2005-07-13,12.418,12.59,12.369,12.443,505624,4451
2005-07-14,12.482,12.768,12.434,12.671,1397186,4451
2005-07-15,12.648,12.671,12.482,12.63,339041,4451
2005-07-18,12.59,12.59,12.295,12.402,697014,4451
2005-07-19,12.443,12.819,12.411,12.804,798235,4451
2005-07-20,12.607,13.359,12.607,13.316,1199340,4451
2005-07-21,13.316,13.441,13.122,13.333,1109510,4451
2005-07-22,13.367,13.46,13.211,13.441,678958,4451
2005-07-25,13.392,13.613,13.342,13.46,641068,4451
2005-07-26,13.483,13.588,13.299,13.489,367931,4451
2005-07-27,13.45,13.588,13.202,13.467,892739,4451
2005-07-28,13.423,13.497,13.211,13.45,355955,4451
2005-07-29,13.316,13.588,13.316,13.588,509255,4451
2005-08-01,13.556,13.679,13.483,13.588,646325,4451
2005-08-02,13.237,13.4,13.048,13.333,1065185,4451
2005-08-03,13.316,13.407,13.202,13.286,818006,4451
2005-08-04,13.185,13.211,12.679,12.786,620405,4451
2005-08-05,12.721,12.867,12.53,12.811,359013,4451
2005-08-08,12.819,12.918,12.498,12.498,520779,4451
2005-08-09,12.508,12.648,12.473,12.607,312605,4451
2005-08-10,12.547,12.811,12.261,12.394,417195,4451
2005-08-11,12.377,12.705,12.369,12.656,292760,4451
2005-08-12,12.599,12.687,12.097,12.244,519946,4451
2005-08-15,12.287,12.465,12.032,12.318,463656,4451
2005-08-16,12.318,12.318,11.926,12.025,497608,4451
2005-08-17,12.058,12.451,12.058,12.278,423380,4451
2005-08-18,12.188,12.327,12.131,12.211,307372,4451
2005-08-19,12.244,12.318,12.166,12.229,334841,4451
2005-08-22,12.327,12.335,11.828,11.911,731289,4451
2005-08-23,11.943,11.943,11.665,11.788,318771,4451
2005-08-24,11.838,12.123,11.665,11.745,350619,4451
2005-08-25,11.796,11.845,11.665,11.763,363481,4451
2005-08-26,11.779,11.779,11.281,11.281,674233,4451
2005-08-29,11.296,11.665,11.229,11.665,458056,4451
2005-08-30,11.609,11.647,11.303,11.346,490548,4451
2005-08-31,11.346,11.624,11.237,11.624,469937,4451
2005-09-01,11.656,11.656,11.255,11.442,558709,4451
2005-09-02,11.501,11.55,11.312,11.411,249509,4451
2005-09-06,11.395,11.926,11.378,11.926,536718,4451
2005-09-07,11.86,12.032,11.6,11.712,401033,4451
2005-09-08,11.681,11.838,11.575,11.828,604585,4451
2005-09-09,11.868,11.935,11.754,11.911,293644,4451
2005-09-12,11.911,11.974,11.788,11.911,232857,4451
2005-09-13,11.501,11.509,11.246,11.354,881293,4451
2005-09-14,11.246,11.459,10.936,11.034,466769,4451
2005-09-15,11.091,11.091,10.838,10.936,326258,4451
2005-09-16,11.009,11.264,10.878,11.264,787239,4451
2005-09-19,11.264,11.296,11.059,11.175,527153,4451
2005-09-20,11.212,11.354,10.845,10.952,729955,4451
2005-09-21,10.912,10.936,10.625,10.641,517127,4451
2005-09-22,10.617,10.821,10.468,10.69,620453,4451
2005-09-23,10.706,10.912,10.583,10.845,407295,4451
2005-09-26,10.977,11.091,10.862,10.952,537138,4451
2005-09-27,11.009,11.009,10.641,10.845,617286,4451
2005-09-28,10.821,10.854,10.558,10.731,459985,4451
2005-09-29,10.724,11.034,10.641,10.969,307867,4451
2005-09-30,10.946,11.019,10.69,10.912,475686,4451
2005-10-03,10.845,11.272,10.845,11.133,353820,4451
2005-10-04,11.106,11.32,10.952,11.009,524160,4451
2005-10-05,11.059,11.075,10.664,10.664,436767,4451
2005-10-06,10.74,10.763,10.485,10.601,792359,4451
2005-10-07,10.706,10.992,10.672,10.779,472600,4451
2005-10-10,10.862,10.862,10.55,10.55,350347,4451
2005-10-11,10.658,10.771,10.315,10.411,657737,4451
2005-10-12,10.388,10.485,10.061,10.411,541023,4451
2005-10-13,10.388,10.927,10.354,10.829,641237,4451
2005-10-14,10.927,10.952,10.601,10.894,553911,4451
2005-10-17,10.952,11.051,10.641,10.807,332420,4451
2005-10-18,10.771,10.854,10.529,10.699,272624,4451
2005-10-19,10.641,10.641,10.215,10.354,1455840,4451
2005-10-20,10.411,10.411,10.116,10.215,833728,4451
2005-10-21,10.239,10.411,10.151,10.215,601016,4451
2005-10-24,10.23,10.428,10.051,10.428,391948,4451
