Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,28.248,28.785,27.796,28.654,132801,2840
2005-02-28,28.794,29.555,28.725,29.071,386738,2840
2005-03-01,29.071,29.191,28.239,28.469,304998,2840
2005-03-02,28.38,29.149,28.335,28.7,188161,2840
2005-03-03,28.7,29.847,28.575,29.838,298657,2840
2005-03-04,29.714,30.473,29.643,30.083,319487,2840
2005-03-07,30.083,30.315,29.573,29.856,154875,2840
2005-03-08,29.917,30.437,29.59,30.2,177630,2840
2005-03-09,30.075,30.12,28.98,29.053,198236,2840
2005-03-10,29.053,29.053,28.274,28.274,194616,2840
2005-03-11,28.335,30.404,28.335,30.191,316432,2840
2005-03-14,30.341,31.074,30.288,30.818,397377,2840
2005-03-15,30.871,31.444,30.8,31.021,262089,2840
2005-03-16,31.021,31.127,29.996,30.034,189862,2840
2005-03-17,30.387,30.667,30.253,30.455,157137,2840
2005-03-18,30.518,30.836,29.969,30.676,232882,2840
2005-03-21,30.676,30.686,30.323,30.396,187592,2840
2005-03-22,30.253,30.464,29.661,30.043,308392,2840
2005-03-23,30.034,30.043,29.386,29.537,422512,2840
2005-03-24,29.978,30.2,29.299,29.458,186917,2840
2005-03-28,29.325,29.501,28.902,29.2,248616,2840
2005-03-29,29.209,29.801,28.594,28.76,144911,2840
2005-03-30,28.785,29.173,28.54,29.104,132010,2840
2005-03-31,29.369,29.653,29.131,29.431,230159,2840
2005-04-01,29.564,30.155,29.422,30.043,191556,2840
2005-04-04,30.473,30.528,29.661,30.092,212387,2840
2005-04-05,30.209,30.455,30.043,30.244,186350,2840
2005-04-06,30.341,31.004,30.341,30.852,241823,2840
2005-04-07,30.925,31.057,30.545,30.747,182162,2840
2005-04-08,30.747,30.747,29.547,29.555,185104,2840
2005-04-11,29.555,29.733,29.248,29.431,150234,2840
2005-04-12,29.431,29.671,28.682,29.404,199144,2840
2005-04-13,29.248,29.386,28.512,28.547,143780,2840
2005-04-14,28.594,28.732,27.56,27.628,174348,2840
2005-04-15,27.628,27.719,26.33,26.844,330584,2840
2005-04-18,26.737,27.322,26.348,27.151,187480,2840
2005-04-19,27.331,27.709,27.029,27.701,215330,2840
2005-04-20,27.655,27.665,26.348,26.506,307033,2840
2005-04-21,26.719,27.822,26.719,27.728,182386,2840
2005-04-22,27.796,28.026,26.412,26.825,428397,2840
2005-04-25,26.897,27.611,26.782,27.542,217371,2840
2005-04-26,27.542,27.542,26.533,26.597,171746,2840
2005-04-27,25.792,26.137,24.785,26.109,713247,2840
2005-04-28,26.109,26.225,25.015,25.332,375640,2840
2005-04-29,25.466,25.844,25.29,25.59,242162,2840
2005-05-02,25.5,25.834,25.394,25.785,183408,2840
2005-05-03,25.712,25.817,25.2,25.29,249975,2840
2005-05-04,25.281,25.934,25.281,25.722,300468,2840
2005-05-05,25.852,26.099,25.341,25.889,307712,2840
