Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.88,9.942,9.88,9.927,8641,299
2005-02-28,9.942,9.942,9.849,9.894,23170,299
2005-03-01,9.894,9.934,9.868,9.934,10651,299
2005-03-02,9.949,10.193,9.915,10.193,25189,299
2005-03-03,10.193,10.193,9.997,10.047,14247,299
2005-03-04,10.069,10.096,10.004,10.096,13384,299
2005-03-07,10.026,10.096,10.026,10.039,7782,299
2005-03-08,10.088,10.2,10.047,10.125,14825,299
2005-03-09,10.081,10.264,10.081,10.241,10651,299
2005-03-10,10.227,10.227,9.81,9.934,46056,299
2005-03-11,9.915,9.915,9.849,9.915,6330,299
2005-03-14,9.921,9.942,9.88,9.88,22309,299
2005-03-15,9.88,9.949,9.856,9.949,15114,299
2005-03-16,9.949,10.088,9.949,10.004,6048,299
2005-03-17,9.997,10.055,9.949,9.949,9501,299
2005-03-18,10.017,10.088,9.894,9.894,6902,299
2005-03-21,9.894,9.963,9.824,9.88,9648,299
2005-03-22,9.934,10.062,9.849,9.849,23316,299
2005-03-23,9.841,9.841,9.622,9.667,13098,299
2005-03-24,9.595,9.731,9.595,9.614,5182,299
2005-03-28,9.601,9.601,9.552,9.574,13528,299
2005-03-29,9.574,9.646,9.568,9.638,16553,299
2005-03-30,9.574,9.646,9.574,9.646,11798,299
2005-03-31,9.646,9.692,9.535,9.673,10940,299
2005-04-01,9.74,9.753,9.673,9.673,8641,299
2005-04-04,9.651,9.969,9.651,9.868,17999,299
2005-04-05,9.894,10.264,9.894,10.125,49083,299
2005-04-06,10.131,10.131,10.088,10.096,3025,299
2005-04-07,10.096,10.096,10.096,10.096,4171,299
2005-04-08,10.096,10.096,10.039,10.039,450,299
2005-04-11,10.047,10.18,10.033,10.111,8489,299
2005-04-12,10.111,10.111,10.01,10.017,14537,299
2005-04-13,9.969,9.969,9.921,9.921,3603,299
2005-04-14,9.908,9.969,9.908,9.908,2882,299
2005-04-15,9.976,10.055,9.942,10.017,5328,299
2005-04-18,10.047,10.047,9.915,9.955,17274,299
2005-04-19,9.927,9.985,9.908,9.955,12240,299
2005-04-20,10.125,10.125,9.949,9.963,15692,299
2005-04-21,9.985,9.997,9.955,9.955,4319,299
2005-04-22,9.949,9.955,9.908,9.949,10069,299
2005-04-25,9.901,9.901,9.849,9.849,6330,299
2005-04-26,9.832,9.868,9.781,9.868,11083,299
2005-04-27,9.894,9.894,9.798,9.824,6902,299
2005-04-28,9.832,9.873,9.832,9.873,4027,299
2005-04-29,9.88,9.908,9.832,9.88,9217,299
2005-05-02,9.889,10.075,9.889,10.075,22883,299
2005-05-03,10.096,10.227,10.01,10.111,24180,299
2005-05-04,10.118,10.173,10.118,10.165,5761,299
2005-05-05,10.131,10.151,10.039,10.125,18283,299
2005-05-06,10.125,10.131,10.033,10.081,7912,299
2005-05-09,10.062,10.062,9.976,10.047,13240,299
2005-05-10,10.118,10.118,10.055,10.111,6330,299
2005-05-11,10.136,10.136,10.047,10.125,17999,299
2005-05-12,10.017,10.026,10.01,10.01,1443,299
2005-05-13,10.081,10.081,10.039,10.062,5468,299
2005-05-16,10.088,10.096,10.017,10.055,8933,299
2005-05-17,10.062,10.143,10.062,10.143,13240,299
2005-05-18,10.111,10.253,10.102,10.207,11508,299
2005-05-19,10.258,10.339,10.2,10.296,13528,299
2005-05-20,10.339,10.339,10.214,10.304,9935,299
2005-05-23,10.233,10.325,10.221,10.325,8203,299
2005-05-24,10.325,10.396,10.227,10.317,6769,299
2005-05-25,10.364,10.364,10.258,10.258,7782,299
2005-05-26,10.332,10.396,10.125,10.317,69229,299
2005-05-27,10.364,10.364,10.272,10.272,10358,299
2005-05-31,10.28,10.317,10.18,10.317,9935,299
2005-06-01,10.364,10.637,10.253,10.258,53973,299
2005-06-02,10.332,10.414,10.317,10.414,24035,299
2005-06-03,10.442,10.454,10.364,10.454,17839,299
2005-06-06,10.392,10.392,10.325,10.332,31950,299
2005-06-07,10.396,10.422,10.347,10.403,28356,299
2005-06-08,10.37,10.442,10.364,10.385,24330,299
2005-06-09,10.407,10.407,10.364,10.364,14247,299
2005-06-10,10.364,10.364,10.296,10.355,14247,299
2005-06-13,10.304,10.304,10.227,10.28,14109,299
2005-06-14,10.325,10.325,10.317,10.317,7483,299
2005-06-15,10.317,10.414,10.31,10.414,48645,299
2005-06-16,10.414,10.422,10.407,10.422,14398,299
2005-06-17,10.422,10.422,10.339,10.364,14109,299
2005-06-20,10.364,10.364,10.325,10.364,8068,299
2005-06-21,10.339,10.422,10.31,10.396,16267,299
2005-06-22,10.364,10.46,10.339,10.429,30802,299
2005-06-23,10.429,10.429,10.364,10.414,20584,299
