Date,Open,High,Low,Close,Volume,stock_id
2015-05-01,16.386,16.651,15.403,15.607,20606100,338
2015-05-04,15.512,15.597,14.973,15.188,3640123,338
2015-05-05,15.188,15.597,15.188,15.403,1170716,338
2015-05-06,15.351,15.778,15.068,15.145,1567896,338
2015-05-07,15.145,15.529,15.145,15.154,419735,338
2015-05-08,15.307,15.376,15.145,15.179,725898,338
2015-05-11,15.649,15.863,15.154,15.204,1149330,338
2015-05-12,15.076,15.145,14.845,14.973,470809,338
2015-05-13,14.818,15.188,14.818,14.973,411510,338
2015-05-14,15.118,15.118,14.717,14.742,288909,338
2015-05-15,14.853,14.853,14.443,14.536,532357,338
2015-05-18,14.401,14.495,14.263,14.452,248874,338
2015-05-19,14.298,14.717,14.194,14.511,167712,338
2015-05-20,14.46,14.615,14.366,14.536,204179,338
2015-05-21,14.632,15.05,14.469,14.88,439910,338
2015-05-22,14.698,15.393,14.564,15.393,211189,338
2015-05-26,15.351,15.385,14.991,15.214,185711,338
2015-05-27,15.351,15.393,15.076,15.136,194126,338
2015-05-28,15.589,15.589,15.111,15.351,262580,338
2015-05-29,15.23,15.529,15.145,15.478,40087,338
2015-06-01,15.487,15.487,15.076,15.343,474271,338
2015-06-02,15.435,15.616,15.179,15.343,1055931,338
2015-06-03,15.272,15.445,15.111,15.272,1005573,338
2015-06-04,15.169,15.487,14.787,15.239,1298575,338
2015-06-05,15.315,15.751,15.042,15.574,1357595,338
2015-06-08,15.487,15.529,15.127,15.281,219254,338
2015-06-09,15.376,15.478,15.076,15.256,85772,338
2015-06-10,15.05,15.403,15.05,15.356,110013,338
2015-06-11,15.356,15.366,15.154,15.265,116152,338
2015-06-12,15.299,15.462,15.076,15.163,111847,338
2015-06-15,15.272,15.343,15.058,15.195,120379,338
2015-06-16,15.179,15.334,15.127,15.179,126690,338
2015-06-17,15.169,15.393,15.084,15.084,254549,338
2015-06-18,15.076,15.265,15.05,15.118,503956,338
2015-06-19,15.118,15.195,14.999,15.111,246018,338
2015-06-22,15.195,15.247,15.094,15.247,126690,338
2015-06-23,15.272,15.376,15.23,15.325,135419,338
2015-06-24,15.315,15.334,14.707,14.973,233864,338
2015-06-25,14.88,15.068,14.81,15.068,334373,338
2015-06-26,14.957,15.169,14.957,15.118,26997,338
2015-06-29,15.154,15.188,14.81,14.973,72344,338
2015-06-30,14.973,14.973,14.665,14.734,133630,338
2015-07-01,14.655,14.973,14.605,14.717,104835,338
2015-07-02,14.675,14.751,14.555,14.648,89058,338
2015-07-06,14.579,14.623,14.333,14.434,112198,338
2015-07-07,14.298,14.564,13.955,14.529,238187,338
2015-07-08,14.127,14.588,14.127,14.424,127742,338
2015-07-09,14.41,14.707,13.913,14.203,270911,338
2015-07-10,14.186,14.41,13.955,14.033,74916,338
2015-07-13,14.127,14.144,13.886,14.144,143286,338
2015-07-14,14.084,14.298,13.963,14.288,164288,338
2015-07-15,14.392,14.392,13.93,14.212,99060,338
2015-07-16,14.203,14.333,13.844,13.903,93383,338
2015-07-17,13.852,13.913,13.356,13.486,152051,338
2015-07-20,13.442,13.767,13.27,13.287,469946,338
2015-07-21,13.33,13.4,13.152,13.33,132183,338
2015-07-22,13.287,13.476,13.186,13.467,89058,338
2015-07-23,13.511,13.818,13.434,13.459,172038,338
2015-07-24,13.69,13.717,12.962,13.014,160467,338
2015-07-27,12.996,13.263,12.63,12.646,318947,338
2015-07-28,12.63,13.048,12.424,12.825,176126,338
2015-07-29,12.834,13.048,12.492,12.527,113015,338
2015-07-30,12.449,12.75,12.192,12.192,131248,338
2015-07-31,12.201,12.339,12.047,12.089,114886,338
2015-08-03,12.133,12.484,11.987,12.21,126955,338
2015-08-04,12.192,12.382,12.107,12.345,191673,338
2015-08-05,12.321,12.535,11.807,11.884,101446,338
2015-08-06,11.884,11.894,11.465,11.585,124118,338
2015-08-07,11.594,12.082,11.38,11.509,132885,338
2015-08-10,11.517,11.979,11.517,11.902,49088,338
2015-08-11,11.739,11.97,11.491,11.594,59320,338
2015-08-12,11.354,11.979,11.354,11.688,128678,338
2015-08-13,11.388,11.927,11.38,11.748,99108,338
2015-08-14,11.748,12.595,11.491,12.5,246601,338
2015-08-17,12.75,12.783,12.433,12.553,140714,338
2015-08-18,12.797,12.82,12.353,12.5,50859,338
2015-08-19,12.596,12.596,11.783,12.061,228745,338
2015-08-20,12.278,12.613,11.861,12.33,61954,338
2015-08-21,12.301,12.458,12.043,12.233,184130,338
2015-08-24,11.766,12.311,11.756,12.217,277664,338
2015-08-25,12.476,12.632,12.278,12.476,255332,338
2015-08-26,12.693,12.693,12.311,12.442,133155,338
2015-08-27,12.397,13.157,12.181,12.942,136854,338
2015-08-28,13.003,13.669,12.979,13.505,219038,338
2015-08-31,13.436,13.617,13.219,13.549,236026,338
2015-09-01,13.505,13.773,13.349,13.479,161126,338
2015-09-02,13.601,13.748,13.003,13.496,200659,338
2015-09-03,13.54,14.163,13.324,13.973,193839,338
2015-09-04,13.997,13.997,13.489,13.997,68543,338
2015-09-08,14.016,14.43,13.85,14.041,74900,338
2015-09-09,14.129,14.405,13.997,14.188,79986,338
2015-09-10,14.258,14.449,14.041,14.058,144576,338
2015-09-11,13.86,13.902,13.496,13.496,44732,338
2015-09-14,13.521,13.877,13.063,13.203,47737,338
2015-09-15,13.418,13.489,13.246,13.332,50280,338
2015-09-16,13.324,13.558,12.926,12.959,136854,338
2015-09-17,13.114,13.592,13.114,13.203,113389,338
2015-09-18,13.063,13.227,12.753,13.134,42999,338
2015-09-21,13.193,13.298,12.829,12.926,61145,338
2015-09-22,12.926,13.021,12.718,12.777,34676,338
2015-09-23,12.805,12.987,12.156,12.286,108652,338
2015-09-24,12.121,12.9,12.121,12.596,114084,338
2015-09-25,12.762,12.762,12.217,12.278,61606,338
2015-09-28,12.442,12.596,11.956,12.017,78843,338
2015-09-29,12.146,12.181,11.895,11.982,95011,338
2015-09-30,12.181,12.189,11.575,11.939,122519,338
2015-10-01,12.026,12.493,11.922,12.052,268391,338
2015-10-02,11.905,12.198,11.895,12.112,158698,338
2015-10-05,12.233,12.952,12.233,12.857,111900,338
2015-10-06,12.881,13.721,12.467,13.454,351498,338
2015-10-07,13.436,13.521,13.091,13.193,408366,338
2015-10-08,13.124,13.298,12.926,13.157,136970,338
2015-10-09,13.072,13.237,12.909,13.003,143560,338
2015-10-12,13.091,13.105,12.777,12.969,83184,338
2015-10-13,12.829,13.166,12.562,12.709,74553,338
2015-10-14,12.64,12.777,12.251,12.406,223313,338
2015-10-15,12.51,12.952,12.294,12.665,237529,338
2015-10-16,12.51,12.745,12.217,12.217,253482,338
2015-10-19,12.207,12.345,11.966,12.043,71780,338
2015-10-20,12.104,12.155,12.017,12.061,209519,338
2015-10-21,12.112,12.268,11.895,11.956,70856,338
2015-10-22,12.052,12.189,11.68,12.052,247818,338
2015-10-23,12.095,12.225,11.749,12.112,105531,338
2015-10-26,12.112,12.112,11.185,11.256,306767,338
2015-10-27,11.29,11.298,10.399,10.823,948848,338
2015-10-28,10.866,11.455,10.668,11.308,233484,338
2015-10-29,11.308,11.62,11.195,11.516,229901,338
2015-10-30,11.471,11.878,11.205,11.878,261917,338
2015-11-02,11.87,12.259,11.653,12.129,144992,338
2015-11-03,12.121,12.391,12.121,12.268,174536,338
2015-11-04,12.286,12.458,12.121,12.33,134343,338
2015-11-05,12.372,12.536,12.043,12.485,75594,338
2015-11-06,12.414,12.442,12.068,12.442,112235,338
2015-11-09,12.442,12.613,12.181,12.544,59724,338
2015-11-10,13.031,13.031,12.164,12.353,182742,338
2015-11-11,12.353,12.433,11.594,11.696,215452,338
2015-11-12,11.653,12.301,11.507,12.017,155464,338
2015-11-13,12.017,12.51,11.966,12.391,75479,338
2015-11-16,12.406,12.536,12.259,12.345,82066,338
2015-11-17,12.525,12.525,12.03,12.34,294995,338
2015-11-18,12.312,12.693,12.198,12.586,134564,338
2015-11-19,12.516,12.736,12.445,12.656,89634,338
2015-11-20,12.684,12.693,12.41,12.656,95873,338
2015-11-23,12.664,12.86,12.568,12.832,235542,338
2015-11-24,12.807,13.212,12.736,13.133,117249,338
2015-11-25,13.142,13.653,12.922,13.617,171325,338
2015-11-27,13.609,13.996,13.379,13.943,78288,338
2015-11-30,13.97,14.517,13.943,14.172,401422,338
2015-12-01,14.489,14.489,13.889,14.014,432738,338
2015-12-02,13.889,14.541,12.938,13.617,3656484,338
2015-12-03,13.662,13.678,13.099,13.176,392999,338
2015-12-04,13.061,13.061,12.233,12.621,371809,338
2015-12-07,12.462,12.604,11.776,12.188,523504,338
2015-12-08,12.172,12.332,11.863,11.916,285214,338
2015-12-09,11.829,12.841,11.829,12.718,451798,338
2015-12-10,12.823,13.028,12.693,12.807,236450,338
2015-12-11,12.807,12.86,12.577,12.746,338904,338
2015-12-14,12.789,13.08,12.471,12.718,398852,338
2015-12-15,12.718,13.133,12.684,13.028,272077,338
2015-12-16,12.938,13.089,12.611,12.955,275255,338
2015-12-17,12.955,12.999,12.631,12.807,273552,338
2015-12-18,12.746,13.379,12.664,13.133,689496,338
2015-12-21,13.08,13.22,12.709,12.807,368973,338
2015-12-22,12.841,13.441,12.684,12.779,672203,338
2015-12-23,12.894,13.889,12.693,13.803,717635,338
2015-12-24,13.82,13.943,13.028,13.186,123544,338
2015-12-28,13.212,13.212,12.574,12.841,325992,338
2015-12-29,12.913,13.272,12.322,12.418,281639,338
2015-12-30,12.356,12.684,12.127,12.48,234284,338
2015-12-31,12.34,12.746,12.269,12.718,180168,338
2016-01-04,12.595,13.401,12.533,13.379,163287,338
2016-01-05,13.265,13.889,13.247,13.759,308794,338
2016-01-06,13.538,13.881,12.693,12.762,197381,338
2016-01-07,12.693,13.247,12.41,13.22,244988,338
2016-01-08,13.228,13.528,12.975,13.044,133456,338
2016-01-11,13.052,13.212,12.427,12.471,201406,338
2016-01-12,12.577,12.577,12.048,12.259,256090,338
2016-01-13,12.34,12.49,11.819,12.048,147099,338
2016-01-14,12.092,12.49,11.784,12.269,98173,338
2016-01-15,11.466,12.34,11.457,12.322,128262,338
2016-01-19,12.356,12.356,11.573,11.986,212739,338
2016-01-20,11.809,11.933,11.281,11.766,173867,338
2016-01-21,11.776,12.48,11.58,11.766,118226,338
2016-01-22,12.022,12.287,11.318,11.599,222341,338
2016-01-25,11.511,12.03,11.387,11.475,192734,338
2016-01-26,11.617,11.793,11.356,11.704,97081,338
2016-01-27,11.723,11.978,11.308,11.793,93442,338
2016-01-28,12.058,13.099,11.837,12.41,40780,338
2016-01-29,12.366,12.999,12.058,12.127,39717,338
2016-02-01,11.96,11.96,11.318,11.397,73539,338
2016-02-02,11.29,11.617,10.806,11.114,87909,338
2016-02-03,11.281,11.308,10.77,11.308,106239,338
2016-02-04,11.422,11.851,11.326,11.449,112678,338
2016-02-05,11.457,11.457,11.016,11.114,122985,338
2016-02-08,11.078,11.078,10.189,10.294,300997,338
2016-02-09,10.268,10.268,9.854,10.03,238409,338
2016-02-10,10.207,10.207,9.4389,9.511,260345,338
2016-02-11,10.101,10.286,9.536,9.916,899628,338
2016-02-12,10.093,10.636,9.854,10.453,264842,338
2016-02-16,10.584,10.92,9.969,10.136,229509,338
2016-02-17,10.617,11.22,10.282,10.372,173237,338
2016-02-18,10.372,10.769,10.255,10.426,55216,338
2016-02-19,10.346,10.46,9.877,10.147,124646,338
2016-02-22,10.22,10.867,10.22,10.779,75512,338
2016-02-23,10.851,10.887,10.642,10.823,153475,338
2016-02-24,10.652,10.897,10.408,10.843,78521,338
2016-02-25,10.859,11.113,10.399,11.04,52467,338
2016-02-26,11.149,11.545,10.843,11.075,104875,338
2016-02-29,11.311,11.59,11.113,11.212,278594,338
2016-03-01,11.32,11.536,11.158,11.526,299830,338
2016-03-02,11.545,11.545,10.985,11.419,226365,338
2016-03-03,11.456,11.685,11.274,11.663,113160,338
2016-03-04,11.672,11.942,11.292,11.734,231088,338
2016-03-07,11.86,12.185,11.815,12.05,155976,338
2016-03-08,12.248,12.401,11.717,12.222,250050,338
2016-03-09,12.293,12.5,11.965,12.085,154129,338
2016-03-10,12.222,12.385,12.085,12.123,209654,338
2016-03-11,12.185,12.672,12.123,12.248,399041,338
2016-03-14,12.239,12.519,11.825,12.34,380045,338
2016-03-15,12.277,12.98,12.277,12.907,256261,338
