Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,4.92,5.0,4.9,4.99,32000,2443
2005-02-28,4.9,4.99,4.8,4.99,45700,2443
2005-03-01,4.9,4.91,4.8,4.84,51900,2443
2005-03-02,4.84,4.98,4.84,4.9,32900,2443
2005-03-03,4.9,4.9,4.5,4.56,210500,2443
2005-03-04,4.5,4.6,4.16,4.52,158400,2443
2005-03-07,4.42,4.43,4.06,4.4,187700,2443
2005-03-08,4.3,4.4,4.1,4.2,102100,2443
2005-03-09,4.16,4.4,4.1,4.35,41400,2443
2005-03-10,4.39,4.51,4.33,4.45,79500,2443
2005-03-11,4.6,4.85,4.55,4.55,114000,2443
2005-03-14,4.6,4.63,4.43,4.43,61200,2443
2005-03-15,4.45,4.52,4.39,4.39,59200,2443
2005-03-16,4.4,4.41,4.37,4.37,59100,2443
2005-03-17,4.4,4.46,4.3,4.4,32700,2443
2005-03-18,4.4,4.46,4.35,4.4,21600,2443
2005-03-21,4.36,4.51,4.36,4.5,41000,2443
2005-03-22,4.5,4.54,4.45,4.52,36500,2443
2005-03-23,4.46,4.55,4.46,4.55,33300,2443
2005-03-24,4.6,4.72,4.51,4.65,11600,2443
2005-03-28,4.4,4.49,4.37,4.45,25700,2443
2005-03-29,4.49,4.5,4.25,4.35,41800,2443
2005-03-30,4.33,4.4,4.3,4.4,12200,2443
2005-03-31,4.36,4.36,4.28,4.35,5100,2443
2005-04-01,4.3,4.39,4.29,4.38,5000,2443
2005-04-04,4.28,4.49,4.27,4.33,14900,2443
2005-04-05,4.35,4.36,4.2,4.28,25100,2443
2005-04-06,4.33,4.47,4.3,4.36,15000,2443
2005-04-07,4.37,4.37,4.2,4.25,67900,2443
2005-04-08,4.26,4.35,4.12,4.12,11300,2443
2005-04-11,4.15,4.15,4.0,4.02,51000,2443
2005-04-12,4.01,4.08,4.0,4.0,25700,2443
2005-04-13,4.05,4.1,4.05,4.05,8700,2443
2005-04-14,4.03,4.12,4.03,4.12,32300,2443
2005-04-15,4.05,4.1,4.0,4.04,42400,2443
2005-04-18,4.01,4.03,4.01,4.01,33600,2443
2005-04-19,4.04,4.44,4.04,4.27,14700,2443
2005-04-20,4.27,4.28,4.2,4.2,16100,2443
2005-04-21,4.21,4.21,4.01,4.05,56600,2443
2005-04-22,4.03,4.13,4.03,4.13,11000,2443
2005-04-25,4.05,4.21,4.05,4.21,6500,2443
2005-04-26,4.17,4.25,4.17,4.25,14100,2443
2005-04-27,4.24,4.25,4.21,4.21,9700,2443
2005-04-28,4.2,4.27,4.03,4.04,24900,2443
2005-04-29,4.04,4.05,3.88,4.0,106200,2443
2005-05-02,4.0,4.17,3.93,3.95,42400,2443
2005-05-03,4.0,4.15,4.0,4.15,57200,2443
2005-05-04,4.18,4.31,4.16,4.28,23400,2443
2005-05-05,4.28,4.28,4.0,4.13,35900,2443
2005-05-06,4.05,4.25,4.05,4.15,17100,2443
2005-05-09,4.1,4.11,4.1,4.11,2200,2443
