Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,49.853,49.853,49.437,49.808,1280,4857
2005-02-28,49.315,49.414,49.051,49.414,8144,4857
2005-03-01,48.944,50.689,48.944,49.511,12776,4857
2005-03-02,49.119,50.885,49.051,49.584,6239,4857
2005-03-03,50.172,50.689,49.291,49.829,6382,4857
2005-03-04,50.392,51.299,49.904,51.182,3765,4857
2005-03-07,50.543,51.328,50.151,50.445,3257,4857
2005-03-08,51.031,51.031,49.829,49.853,13697,4857
2005-03-09,49.783,50.908,49.341,49.414,15989,4857
2005-03-10,49.414,49.904,49.024,49.119,4177,4857
2005-03-11,49.708,49.708,48.481,48.873,5296,4857
2005-03-14,48.921,49.341,48.921,49.341,5437,4857
2005-03-15,49.315,49.511,48.433,48.503,3699,4857
2005-03-16,48.433,51.054,48.433,48.552,29719,4857
2005-03-17,48.433,50.595,48.433,49.956,19840,4857
2005-03-18,49.147,50.419,48.731,49.168,23820,4857
2005-03-21,49.215,49.315,48.731,48.921,2559,4857
2005-03-22,48.627,48.969,48.018,48.018,1342,4857
2005-03-23,47.94,48.12,46.985,47.036,1697,4857
2005-03-24,47.086,47.276,46.787,46.89,2822,4857
2005-03-28,46.962,47.525,46.962,47.452,2495,4857
2005-03-29,46.787,48.388,46.151,46.498,4264,4857
2005-03-30,47.306,47.65,46.762,47.65,4047,4857
2005-03-31,47.624,47.65,46.47,47.331,6860,4857
2005-04-01,47.355,47.429,45.759,46.47,6209,4857
2005-04-04,45.739,46.813,45.269,46.813,2025,4857
2005-04-05,46.031,47.751,46.031,47.697,2184,4857
2005-04-06,47.452,48.576,47.429,48.138,2410,4857
2005-04-07,48.481,48.921,48.044,48.849,3125,4857
2005-04-08,48.681,48.731,47.058,47.109,11888,4857
2005-04-11,46.55,46.693,46.35,46.35,2973,4857
2005-04-12,46.101,47.109,45.957,46.937,5634,4857
2005-04-13,46.498,47.086,45.637,45.637,2370,4857
2005-04-14,45.977,46.058,45.152,45.152,9626,4857
2005-04-15,45.467,46.297,44.607,44.637,4731,4857
2005-04-18,44.755,45.637,44.684,45.269,6728,4857
2005-04-19,45.615,45.784,45.072,45.784,5676,4857
2005-04-20,45.299,45.686,45.126,45.637,7543,4857
2005-04-21,45.889,46.867,45.171,46.867,10140,4857
2005-04-22,47.058,47.355,46.101,47.331,9696,4857
2005-04-25,47.843,48.798,47.65,48.503,6547,4857
2005-04-26,48.755,48.798,46.576,46.787,6320,4857
2005-04-27,46.233,46.962,46.031,46.576,3241,4857
2005-04-28,45.977,47.993,45.244,45.244,4474,4857
2005-04-29,46.274,46.47,45.049,46.47,7617,4857
