Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,53.75,55.0,53.5,54.5,4369,5156
2005-02-28,55.0,55.0,53.75,54.5,3142,5156
2005-03-01,53.75,55.0,53.25,54.0,6248,5156
2005-03-02,53.25,54.25,53.0,53.25,3708,5156
2005-03-03,54.5,55.0,53.5,54.0,5008,5156
2005-03-04,54.0,55.0,54.0,54.25,2172,5156
2005-03-07,55.0,55.25,53.75,55.0,4637,5156
2005-03-08,55.0,55.5,54.5,55.25,3272,5156
2005-03-09,55.0,55.75,53.75,54.0,3196,5156
2005-03-10,54.25,55.5,53.5,53.5,2206,5156
2005-03-11,53.0,54.5,52.75,53.0,3329,5156
2005-03-14,54.5,54.5,52.25,52.75,4703,5156
2005-03-15,53.0,53.25,52.0,52.5,5633,5156
2005-03-16,52.0,53.0,51.75,52.25,5959,5156
2005-03-17,51.5,52.02,51.25,51.25,4586,5156
2005-03-18,51.25,52.0,50.75,51.5,3194,5156
2005-03-21,51.5,51.5,49.0,49.1,8288,5156
2005-03-22,48.75,50.5,47.5,48.75,3571,5156
2005-03-23,49.75,49.75,45.0,46.25,6887,5156
2005-03-24,46.75,47.5,46.25,46.5,5127,5156
2005-03-28,46.5,47.5,44.5,46.25,7409,5156
2005-03-29,46.0,46.5,42.5,42.5,12417,5156
2005-03-30,44.75,44.75,41.25,41.25,7135,5156
2005-03-31,41.5,43.25,40.5,42.5,5558,5156
2005-04-01,41.5,43.25,40.5,42.5,6457,5156
2005-04-04,41.5,42.5,41.25,41.5,2543,5156
2005-04-05,41.5,42.75,41.5,42.5,8083,5156
2005-04-06,41.5,42.5,40.75,42.0,3214,5156
2005-04-07,42.5,42.5,41.25,41.75,2225,5156
2005-04-08,42.25,42.5,41.25,41.5,1807,5156
2005-04-11,41.5,48.5,41.0,46.5,9991,5156
2005-04-12,46.5,46.5,43.75,43.75,13734,5156
2005-04-13,44.0,44.25,41.5,42.35,3735,5156
2005-04-14,41.25,43.25,40.5,41.5,3882,5156
2005-04-15,39.25,42.5,38.0,38.0,7929,5156
2005-04-18,37.75,40.0,37.75,38.75,3796,5156
2005-04-19,40.5,41.75,38.75,41.5,5234,5156
2005-04-20,41.0,44.75,41.0,44.25,11890,5156
2005-04-21,43.0,43.0,37.0,37.25,29527,5156
2005-04-22,37.0,38.0,35.25,35.5,11666,5156
2005-04-25,35.5,36.25,35.0,35.5,4910,5156
2005-04-26,35.5,35.75,31.5,32.0,11770,5156
2005-04-27,31.25,32.5,30.25,30.5,9121,5156
2005-04-28,30.5,31.25,30.0,30.25,7867,5156
2005-04-29,28.75,31.5,26.5,31.25,32884,5156
2005-05-02,31.0,32.25,28.75,29.5,8188,5156
2005-05-03,28.75,29.25,27.25,28.4,10119,5156
2005-05-04,29.5,29.75,28.0,28.75,8880,5156
2005-05-05,30.25,30.25,28.25,29.75,11942,5156
2005-05-06,28.75,32.0,28.75,30.5,8264,5156
2005-05-09,31.0,31.0,28.25,28.75,7802,5156
2005-05-10,28.75,29.25,28.0,29.0,6538,5156
2005-05-11,28.75,29.0,28.0,28.25,6013,5156
2005-05-12,27.75,28.5,27.75,28.25,6500,5156
2005-05-13,28.25,29.0,28.0,28.25,6606,5156
2005-05-16,28.25,29.0,28.0,28.75,6524,5156
2005-05-17,29.0,29.25,28.5,29.25,9330,5156
2005-05-18,28.75,30.0,28.75,29.75,11787,5156
2005-05-19,30.0,31.25,29.5,30.0,7812,5156
2005-05-20,30.25,30.5,29.25,30.5,5516,5156
2005-05-23,31.25,32.0,30.5,31.25,7738,5156
2005-05-24,32.25,32.25,30.25,30.25,11076,5156
2005-05-25,30.0,30.75,29.0,29.0,11026,5156
2005-05-26,29.0,32.5,29.0,31.75,17780,5156
2005-05-27,32.5,33.25,31.5,33.25,14025,5156
2005-05-31,35.25,36.25,33.75,35.0,22318,5156
2005-06-01,34.5,36.75,34.0,34.25,16179,5156
2005-06-02,34.25,35.25,34.25,35.25,9787,5156
2005-06-03,36.25,36.25,33.0,33.0,10450,5156
2005-06-06,32.5,34.75,32.5,32.5,7298,5156
2005-06-07,32.5,33.5,31.5,32.0,4559,5156
2005-06-08,32.5,32.75,31.75,32.25,6585,5156
2005-06-09,32.0,32.5,31.5,32.25,5088,5156
2005-06-10,31.75,32.5,31.25,31.25,3859,5156
2005-06-13,30.75,31.25,29.25,30.25,6147,5156
2005-06-14,29.0,30.75,29.0,29.5,7415,5156
2005-06-15,29.5,30.0,29.25,29.5,4898,5156
2005-06-16,29.75,31.5,29.25,31.25,11431,5156
2005-06-17,31.75,31.75,29.75,30.75,3606,5156
2005-06-20,30.75,30.75,30.0,30.25,4667,5156
2005-06-21,29.75,32.25,29.5,31.75,5291,5156
2005-06-22,32.25,32.75,31.75,32.5,5716,5156
2005-06-23,33.0,33.5,30.25,30.25,6424,5156
2005-06-24,29.75,31.25,29.75,30.0,5504,5156
2005-06-27,30.5,32.5,30.0,32.0,8684,5156
2005-06-28,32.0,33.0,30.0,31.75,9307,5156
2005-06-29,31.25,32.25,31.0,31.75,3788,5156
2005-06-30,31.5,32.25,30.5,30.5,4243,5156
2005-07-01,30.5,31.75,30.0,30.5,4117,5156
2005-07-05,30.25,31.25,30.0,31.0,7786,5156
2005-07-06,30.75,31.75,30.5,31.0,5156,5156
2005-07-07,30.25,31.0,30.0,30.25,3363,5156
2005-07-08,30.25,30.75,30.25,30.25,3297,5156
2005-07-11,30.25,31.5,30.25,31.0,7291,5156
2005-07-12,31.25,31.25,30.5,30.75,2752,5156
2005-07-13,30.75,31.0,30.25,31.0,4111,5156
2005-07-14,31.0,33.75,30.75,33.75,23399,5156
2005-07-15,34.5,34.5,33.0,33.5,18199,5156
2005-07-18,33.75,34.0,31.75,33.25,7858,5156
2005-07-19,33.75,33.75,32.5,32.75,6437,5156
2005-07-20,33.5,35.5,32.5,33.75,12036,5156
2005-07-21,33.25,34.25,33.25,34.25,7704,5156
2005-07-22,34.25,34.5,33.5,34.25,4934,5156
2005-07-25,33.75,34.25,32.5,33.0,7327,5156
2005-07-26,24.75,26.75,22.0,23.0,213293,5156
2005-07-27,22.25,22.5,21.0,21.5,73323,5156
2005-07-28,21.25,21.5,20.75,21.0,22531,5156
2005-07-29,20.75,21.5,20.75,21.5,37995,5156
2005-08-01,21.25,21.75,20.25,20.25,22551,5156
2005-08-02,20.75,21.5,20.75,21.25,12785,5156
2005-08-03,21.0,21.75,20.98,21.0,16466,5156
2005-08-04,21.0,21.25,21.0,21.0,10034,5156
2005-08-05,20.5,21.02,20.5,20.75,11251,5156
2005-08-08,21.25,21.25,20.75,20.75,13849,5156
2005-08-09,20.75,21.0,20.5,21.0,15626,5156
2005-08-10,20.75,21.0,20.5,20.5,12147,5156
2005-08-11,20.5,21.0,20.5,20.52,16819,5156
2005-08-12,20.5,20.75,20.47,20.5,15998,5156
2005-08-15,20.5,20.75,20.5,20.5,12062,5156
2005-08-16,20.5,20.75,20.47,20.5,14469,5156
2005-08-17,20.5,20.75,20.5,20.75,10880,5156
2005-08-18,20.5,20.75,20.49,20.5,7544,5156
2005-08-19,20.5,20.75,20.5,20.75,5999,5156
2005-08-22,20.5,20.75,20.5,20.75,6752,5156
2005-08-23,20.5,20.75,20.5,20.75,7263,5156
2005-08-24,20.75,20.75,20.5,20.5,2868,5156
2005-08-25,20.75,20.75,20.5,20.75,10478,5156
2005-08-26,20.5,21.0,20.5,20.5,8268,5156
2005-08-29,20.5,21.0,20.5,20.75,7833,5156
2005-08-30,20.5,21.0,20.5,21.0,4454,5156
2005-08-31,20.5,21.0,20.5,21.0,5045,5156
2005-09-01,20.5,21.0,20.5,20.5,9557,5156
2005-09-02,20.5,20.75,20.5,20.5,4265,5156
2005-09-06,20.75,21.0,20.5,20.75,4689,5156
2005-09-07,20.5,21.0,20.5,20.5,5161,5156
2005-09-08,20.5,21.0,20.5,20.75,12853,5156
2005-09-09,20.5,21.0,20.5,20.75,9226,5156
2005-09-12,20.5,21.0,20.5,20.75,8303,5156
2005-09-13,20.75,21.0,20.5,20.75,7691,5156
2005-09-14,20.75,20.75,20.5,20.5,7555,5156
2005-09-15,20.5,20.75,20.5,20.5,8718,5156
2005-09-16,20.5,20.75,20.5,20.5,5800,5156
2005-09-19,20.75,20.77,20.5,20.5,11601,5156
2005-09-20,20.5,21.0,20.5,21.0,13156,5156
2005-09-21,20.75,21.0,20.5,20.5,4090,5156
2005-09-22,20.5,21.0,20.5,20.75,7380,5156
2005-09-23,20.5,20.75,20.5,20.75,3585,5156
2005-09-26,20.5,20.75,20.5,20.5,5255,5156
2005-09-27,20.5,20.75,20.5,20.5,2670,5156
2005-09-28,20.5,20.75,20.5,20.75,10031,5156
2005-09-29,20.5,20.75,20.5,20.75,5482,5156
2005-09-30,20.5,20.75,20.5,20.5,3107,5156
2005-10-03,20.75,20.75,20.5,20.5,12111,5156
2005-10-04,20.5,20.75,20.5,20.5,8601,5156
2005-10-05,20.5,20.75,20.5,20.5,7624,5156
2005-10-06,20.5,20.75,20.5,20.5,7233,5156
2005-10-07,20.5,20.75,20.5,20.5,8523,5156
