Date,Open,High,Low,Close,Volume,stock_id
2010-08-23,20.843,20.843,20.732,20.775,1199,6854
2010-08-24,20.92,20.92,20.689,20.816,24529,6854
2010-08-25,20.775,20.816,20.775,20.816,11746,6854
2010-08-26,20.86,20.86,20.732,20.816,10254,6854
2010-08-27,20.816,20.902,20.775,20.775,6144,6854
2010-08-30,20.775,20.902,20.775,20.816,25664,6854
2010-08-31,20.816,20.902,20.74,20.902,18470,6854
2010-09-01,20.867,20.92,20.86,20.86,3396,6854
2010-09-02,20.867,20.937,20.867,20.937,3461,6854
2010-09-03,20.937,20.945,20.867,20.945,5582,6854
2010-09-07,20.937,20.937,20.867,20.911,8539,6854
2010-09-08,20.867,20.92,20.86,20.911,8189,6854
2010-09-09,20.937,20.937,20.86,20.902,17890,6854
2010-09-10,20.902,20.979,20.816,20.979,36606,6854
2010-09-13,20.945,21.117,20.945,21.117,6867,6854
2010-09-14,21.117,21.117,20.988,21.117,14803,6854
2010-09-15,21.03,21.107,20.996,21.074,44196,6854
2010-09-16,21.074,21.074,20.971,21.013,34974,6854
2010-09-17,20.996,21.03,20.816,20.843,38899,6854
2010-09-20,20.732,20.783,19.184,20.517,210503,6854
2010-09-21,20.851,20.851,20.56,20.56,5505,6854
2010-09-22,20.543,20.681,20.526,20.681,760,6854
2010-09-23,20.594,20.749,20.594,20.732,15348,6854
2010-09-24,20.783,20.783,20.671,20.689,256754,6854
2010-09-27,20.74,20.74,20.663,20.689,35495,6854
2010-09-28,20.732,20.732,20.603,20.732,26990,6854
2010-09-29,20.732,20.775,20.638,20.732,23523,6854
2010-09-30,20.74,20.74,20.603,20.723,18308,6854
2010-10-01,20.594,20.594,20.313,20.475,69443,6854
2010-10-04,20.475,20.475,20.458,20.475,8072,6854
2010-10-05,20.432,20.517,20.39,20.517,47264,6854
2010-10-06,20.484,20.509,20.406,20.406,5590,6854
2010-10-07,20.517,20.629,20.501,20.501,88132,6854
2010-10-08,20.517,20.723,20.517,20.723,7645,6854
2010-10-11,20.723,20.834,20.671,20.808,5030,6854
2010-10-12,20.714,20.843,20.424,20.689,54503,6854
2010-10-13,20.757,20.757,20.517,20.629,19161,6854
2010-10-14,20.646,20.663,20.536,20.603,9638,6854
2010-10-15,20.526,20.646,20.39,20.646,12080,6854
2010-10-18,20.406,20.765,20.39,20.517,16284,6854
