Date,Open,High,Low,Close,Volume,stock_id
2016-02-09,24.65,24.65,24.1001,24.53,582773,3117
2016-02-10,24.75,24.79,24.46,24.5,589793,3117
2016-02-11,24.6,24.6,23.75,24.09,486474,3117
2016-02-12,24.48,24.49,24.1601,24.3,446502,3117
2016-02-16,24.4,24.69,24.4,24.65,402445,3117
2016-02-17,24.75,24.97,24.7292,24.94,695659,3117
2016-02-18,24.99,25.04,24.9,24.97,607234,3117
2016-02-19,25.01,25.02,24.85,25.0,257305,3117
2016-02-22,25.04,25.1,24.97,24.99,462446,3117
2016-02-23,25.04,25.04,24.83,24.94,251917,3117
2016-02-24,24.9,25.04,24.846,25.01,269164,3117
2016-02-25,25.04,25.11,25.0,25.05,509762,3117
2016-02-26,25.14,25.211,25.1,25.2,687371,3117
2016-02-29,25.21,25.29,25.05,25.09,548606,3117
2016-03-01,25.14,25.19,25.08,25.19,269740,3117
2016-03-02,25.2,25.2148,25.09,25.1,288753,3117
2016-03-03,25.13,25.17,25.07,25.16,191169,3117
2016-03-04,25.18,25.25,25.13,25.24,183515,3117
2016-03-07,25.24,25.25,25.14,25.17,308209,3117
2016-03-08,25.14,25.19,25.12,25.18,228683,3117
2016-03-09,25.2,25.3,25.1899,25.28,233640,3117
2016-03-10,25.33,25.38,25.22,25.29,359716,3117
2016-03-11,25.34,25.4,25.31,25.32,452313,3117
2016-03-14,25.37,25.37,25.28,25.32,167744,3117
2016-03-15,25.31,25.35,25.2201,25.31,183713,3117
2016-03-16,25.3,25.464,25.27,25.45,239262,3117
2016-03-17,25.47,25.51,25.35,25.48,259790,3117
2016-03-18,25.53,25.55,25.45,25.53,162633,3117
2016-03-21,25.58,25.63,25.55,25.55,187859,3117
2016-03-22,25.54,25.594,25.52,25.54,170893,3117
2016-03-23,25.55,25.64,25.5,25.64,368098,3117
2016-03-24,25.61,25.75,25.59,25.75,246530,3117
2016-03-28,25.77,25.8397,25.62,25.81,411617,3117
2016-03-29,25.82,25.91,25.63,25.9,164629,3117
2016-03-30,25.9,25.96,25.81,25.89,187713,3117
2016-03-31,25.9,26.03,24.94,26.02,232380,3117
2016-04-01,25.94,26.04,25.87,25.95,196292,3117
2016-04-04,25.97,25.97,25.89,25.95,317965,3117
2016-04-05,25.91,25.92,25.82,25.89,259808,3117
2016-04-06,25.9,25.98,25.73,25.96,317462,3117
2016-04-07,25.96,25.97,25.85,25.85,207829,3117
2016-04-08,25.96,25.98,25.9,25.96,520820,3117
2016-04-11,25.96,26.0,25.93,25.99,254683,3117
2016-04-12,26.02,26.1,25.97,26.05,363225,3117
2016-04-13,26.09,26.21,26.0,26.15,419192,3117
2016-04-14,26.13,26.2,26.12,26.17,299824,3117
2016-04-15,26.19,26.24,26.02,26.14,2447108,3117
2016-04-18,26.09,26.09,25.92,25.98,308443,3117
2016-04-19,25.99,26.08,25.94,25.97,377982,3117
2016-04-20,26.09,26.09,25.97,25.99,139553,3117
2016-04-21,26.06,26.1,26.0,26.01,341227,3117
2016-04-22,26.08,26.09,26.0267,26.05,75669,3117
2016-04-25,26.06,26.09,25.93,25.96,295504,3117
2016-04-26,25.94,26.04,25.94,26.03,273089,3117
2016-04-27,26.03,26.25,26.01,26.22,329648,3117
2016-04-28,25.8,26.1,25.74,25.86,249829,3117
2016-04-29,25.86,25.86,25.8,25.86,192529,3117
2016-05-02,25.9,25.97,25.8601,25.97,104440,3117
2016-05-03,25.9,25.92,25.83,25.84,185096,3117
2016-05-04,25.92,25.92,25.8,25.84,109595,3117
2016-05-05,25.82,25.85,25.81,25.82,71116,3117
2016-05-06,25.85,25.8855,25.8,25.86,328495,3117
2016-05-09,25.92,25.98,25.88,25.92,110567,3117
2016-05-10,25.87,26.19,25.64,26.16,231503,3117
2016-05-11,26.17,26.19,26.11,26.19,126457,3117
2016-05-12,26.2,26.22,26.16,26.2,160862,3117
2016-05-13,26.2,26.22,26.15,26.16,131837,3117
2016-05-16,26.19,26.29,26.1074,26.25,202418,3117
2016-05-17,26.25,26.37,26.2099,26.27,233851,3117
2016-05-18,26.25,26.25,25.87,25.93,578213,3117
2016-05-19,25.95,25.965,25.63,25.77,322573,3117
2016-05-20,25.86,26.09,25.83,26.01,185354,3117
2016-05-23,26.05,26.2,26.05,26.08,184749,3117
2016-05-24,26.15,26.15,25.82,25.85,319338,3117
2016-05-25,25.9,25.96,25.87,25.92,193990,3117
2016-05-26,25.97,26.04,25.9301,26.0,163144,3117
2016-05-27,26.03,26.08,25.95,26.04,138824,3117
2016-05-31,26.04,26.043,25.9401,25.99,181418,3117
2016-06-01,26.01,26.14,25.95,26.09,155306,3117
2016-06-02,26.09,26.28,26.05,26.2,314191,3117
2016-06-03,26.2,26.27,26.16,26.27,179186,3117
2016-06-06,26.27,26.29,26.2,26.2,155239,3117
2016-06-07,26.28,26.3,26.07,26.16,150582,3117
2016-06-08,26.23,26.23,26.03,26.08,159511,3117
2016-06-09,26.1,26.14,25.98,26.01,163041,3117
2016-06-10,26.05,26.05,25.93,25.95,96200,3117
2016-06-13,25.99,26.0,25.94,26.0,134445,3117
2016-06-14,26.0,26.01,25.86,25.96,131355,3117
2016-06-15,26.03,26.05,25.9824,26.05,135263,3117
2016-06-16,26.1,26.1,25.97,25.99,193008,3117
2016-06-17,26.06,26.09,25.99,26.0,102285,3117
2016-06-20,26.0,26.07,25.9893,26.03,252337,3117
2016-06-21,26.04,26.21,26.02,26.21,243244,3117
2016-06-22,26.23,26.23,26.1635,26.22,92784,3117
2016-06-23,26.23,26.35,26.2056,26.31,152115,3117
2016-06-24,26.11,26.3,25.96,26.19,200894,3117
2016-06-27,26.12,26.12,25.9287,26.01,230809,3117
2016-06-28,26.2,26.32,26.15,26.21,165101,3117
2016-06-29,26.3,26.49,26.29,26.42,182860,3117
2016-06-30,26.48,26.73,26.4,26.7,304023,3117
2016-07-01,26.7,26.7,26.56,26.63,272298,3117
2016-07-05,26.68,26.68,26.57,26.62,156175,3117
2016-07-06,26.63,26.7,26.59,26.7,108432,3117
2016-07-07,26.7,26.8399,26.6501,26.79,128267,3117
2016-07-08,26.87,27.05,26.8154,26.99,160457,3117
2016-07-11,26.97,27.0899,25.66,26.9,119007,3117
2016-07-12,27.02,27.03,26.89,26.89,153296,3117
2016-07-13,27.02,27.02,26.91,26.91,130478,3117
2016-07-14,26.95,27.02,26.88,26.89,187116,3117
2016-07-15,26.87,27.08,26.87,27.07,135644,3117
2016-07-18,27.09,27.21,27.025,27.16,85967,3117
2016-07-19,27.23,27.4,27.11,27.35,150936,3117
2016-07-20,27.4,27.56,27.37,27.56,137775,3117
2016-07-21,27.63,27.63,27.25,27.32,187173,3117
2016-07-22,27.3,27.34,27.21,27.21,153560,3117
2016-07-25,27.35,27.3887,27.13,27.13,211879,3117
2016-07-26,27.2,27.27,27.17,27.17,116023,3117
2016-07-27,27.26,27.29,27.18,27.2,979490,3117
2016-07-28,27.25,27.28,27.21,27.22,368551,3117
2016-07-29,26.93,26.94,26.795,26.8,151576,3117
2016-08-01,26.88,26.88,26.8,26.8,209765,3117
2016-08-02,26.84,26.84,26.72,26.74,183357,3117
2016-08-03,26.88,26.89,26.72,26.81,181363,3117
2016-08-04,26.84,27.11,26.831,26.99,132914,3117
2016-08-05,27.08,27.41,26.96,27.33,156570,3117
2016-08-08,27.4,27.44,27.21,27.28,213672,3117
2016-08-09,27.29,27.45,26.97,27.01,178937,3117
2016-08-10,27.09,27.1,26.99,27.08,87819,3117
2016-08-11,27.08,27.15,27.0,27.0,126001,3117
2016-08-12,27.12,27.12,26.97,27.05,87099,3117
2016-08-15,27.08,27.08,26.89,26.95,77068,3117
2016-08-16,26.9,27.0,26.9,26.96,76497,3117
2016-08-17,26.99,26.99,26.9,26.92,88080,3117
2016-08-18,26.99,27.06,26.95,27.02,61623,3117
2016-08-19,27.05,27.05,27.0,27.03,32222,3117
2016-08-22,27.04,27.06,27.0,27.0,222968,3117
2016-08-23,27.04,27.13,27.01,27.12,114346,3117
2016-08-24,27.13,27.24,27.12,27.22,76030,3117
2016-08-25,27.23,27.29,27.1601,27.29,45578,3117
2016-08-26,27.3,27.48,27.26,27.48,68089,3117
2016-08-29,27.48,27.48,27.31,27.36,102850,3117
2016-08-30,27.4,27.41,27.28,27.32,372918,3117
2016-08-31,27.31,27.36,27.26,27.26,183740,3117
2016-09-01,27.41,27.42,27.23,27.23,44630,3117
