Date,Open,High,Low,Close,Volume,stock_id
2011-11-30,2.49,7.9,2.45,6.1,47575,49
2011-12-01,7.9,18.0,7.5,12.55,236814,49
2011-12-02,14.49,17.41,13.0,13.81,150007,49
2011-12-05,12.56,13.54,9.78,10.8,62605,49
2011-12-06,9.75,12.0,9.75,10.01,25479,49
2011-12-07,10.8,11.91,10.0,11.5,20783,49
2011-12-08,11.07,13.5,10.76,11.71,26515,49
2011-12-09,13.43,13.43,11.37,12.54,10630,49
2011-12-12,13.65,13.8,12.26,12.47,4815,49
2011-12-13,12.47,12.47,11.0,11.5,4448,49
2011-12-14,11.12,11.7,11.0,11.05,5378,49
2011-12-15,10.36,11.8,10.36,11.0,4269,49
2011-12-16,11.0,11.95,10.02,11.05,1000,49
2011-12-19,10.43,11.01,10.39,10.82,3498,49
2011-12-20,10.44,10.6,10.3,10.3,1434,49
2011-12-21,10.09,10.16,10.09,10.09,1225,49
2011-12-22,9.93,10.45,8.61,9.0,21812,49
2011-12-23,8.83,10.09,8.83,9.16,8109,49
2011-12-27,7.85,8.83,7.85,8.45,900,49
2011-12-28,10.15,10.15,8.0,8.15,13617,49
2011-12-29,8.21,10.2,8.15,8.65,3100,49
2011-12-30,8.23,9.989,7.85,8.29,6478,49
2012-01-03,9.95,9.95,9.16,9.32,2104,49
2012-01-04,8.0,8.52,8.0,8.52,900,49
2012-01-06,9.5,10.71,8.57,9.51,9547,49
2012-01-10,8.32,8.32,8.17,8.17,1034,49
2012-01-11,8.33,10.5,8.33,9.0,7958,49
2012-01-12,9.65,10.0,9.35,9.64,2000,49
2012-01-13,9.6,9.64,9.55,9.55,494,49
2012-01-17,9.68,10.0,8.75,10.0,3580,49
2012-01-18,9.5,9.5,9.35,9.35,1187,49
2012-01-19,9.4,9.41,8.85,8.85,1931,49
2012-01-20,9.9,10.0,8.26,9.85,2580,49
2012-01-23,10.99,10.99,8.87,9.97,4126,49
2012-01-24,9.89,9.89,9.16,9.29,340,49
2012-01-26,9.75,9.75,9.05,9.75,636,49
2012-01-27,10.69,10.69,9.2,9.2,989,49
2012-01-31,9.26,9.42,9.2,9.42,600,49
2012-02-01,9.2,9.2,9.2,9.2,201,49
2012-02-02,9.2,9.26,9.2,9.21,1621,49
2012-02-03,9.2,9.2,9.2,9.2,389,49
2012-02-06,9.1,9.1,8.63,8.63,2054,49
2012-02-07,8.52,8.52,8.52,8.52,100,49
2012-02-08,8.83,8.83,8.83,8.83,1411,49
2012-02-09,8.3,9.0,8.3,9.0,2870,49
2012-02-10,8.6,8.61,8.3,8.61,1831,49
2012-02-13,8.45,8.5,8.45,8.45,1473,49
2012-02-14,8.34,8.34,8.04,8.04,1553,49
2012-02-15,8.05,8.05,8.05,8.05,128,49
2012-02-17,8.37,8.37,8.23,8.23,550,49
2012-02-21,7.97,8.24,7.11,7.16,2295,49
2012-02-22,7.1,7.25,6.85,7.0,1250,49
2012-02-24,6.85,6.86,5.85,6.1,6410,49
2012-02-27,6.35,6.35,6.1,6.1,2099,49
2012-02-28,6.28,6.75,6.12,6.65,4100,49
2012-02-29,6.35,6.65,6.13,6.13,1113,49
2012-03-01,5.8,6.47,5.35,6.24,6710,49
2012-03-08,6.01,6.01,5.4,5.49,882,49
2012-03-09,5.43,6.03,5.4,5.4,5769,49
2012-03-12,5.5,5.53,5.0,5.4,1899,49
2012-03-13,5.3,5.3,5.3,5.3,100,49
2012-03-14,6.0,6.0,6.0,6.0,1137,49
2012-03-15,5.5,6.77,5.5,6.77,5119,49
2012-03-16,6.98,8.5,6.79,8.06,4738,49
2012-03-19,8.14,9.0,6.8,6.8,11154,49
2012-03-20,7.1,7.25,6.82,7.25,2732,49
2012-03-21,7.72,8.0,7.72,7.72,3975,49
2012-03-23,7.25,8.45,7.25,7.79,2003,49
2012-03-26,7.99,8.2,7.22,8.2,900,49
2012-03-27,7.35,7.35,7.2,7.23,5655,49
2012-03-28,7.35,7.35,6.8,6.8,702,49
2012-03-29,6.8,7.5,6.04,6.56,3100,49
2012-03-30,7.1,7.4999,7.1,7.4999,350,49
2012-04-02,6.93,6.93,6.53,6.53,1106,49
2012-04-04,6.7,6.7,6.59,6.59,1882,49
2012-04-05,5.82,6.09,5.0,6.09,11305,49
2012-04-10,5.4,5.4,5.01,5.01,1580,49
2012-04-11,5.99,6.0,5.99,6.0,494,49
2012-04-12,5.51,5.77,5.51,5.67,1692,49
2012-04-13,5.67,5.67,5.47,5.48,1327,49
2012-04-16,5.08,5.08,5.08,5.08,150,49
2012-04-17,5.1,5.75,5.1,5.49,1364,49
2012-04-18,5.0,5.0,5.0,5.0,286,49
2012-04-20,6.0,6.07,4.5,5.0,8075,49
2012-04-23,4.69,4.69,4.69,4.69,350,49
2012-04-24,5.25,5.25,5.0,5.06,900,49
2012-04-26,5.65,6.03,4.5,4.85,2451,49
2012-05-01,6.0,6.0,5.88,5.89,4846,49
2012-05-03,5.38,5.4,5.0,5.0,990,49
2012-05-04,4.99,4.99,4.99,4.99,638,49
2012-05-07,4.81,4.85,4.81,4.85,700,49
2012-05-08,5.01,5.01,4.86,4.88,3841,49
2012-05-10,4.95,4.95,4.75,4.75,599,49
2012-05-11,4.7,4.7,4.7,4.7,200,49
2012-05-14,4.5,4.5,4.5,4.5,364,49
2012-05-16,3.82,3.82,3.82,3.82,202,49
2012-05-17,5.09,5.09,5.09,5.09,172,49
2012-05-18,4.95,4.95,4.95,4.95,452,49
2012-05-21,4.66,4.66,3.86,4.06,900,49
2012-05-22,4.7,5.1,3.65,3.65,4590,49
2012-05-23,4.38,4.38,3.6,3.6,1082,49
2012-05-24,4.5,4.5,4.01,4.01,300,49
2012-06-01,4.44,4.51,4.44,4.51,5171,49
2012-06-05,4.36,4.36,3.99,3.99,1865,49
2012-06-06,4.09,4.09,4.09,4.09,200,49
2012-06-07,3.87,3.93,3.61,3.61,2679,49
2012-06-11,4.15,4.15,3.45,3.45,2318,49
2012-06-14,3.38,3.38,3.38,3.38,148,49
2012-06-15,3.89,3.89,3.41,3.41,330,49
2012-06-18,3.31,3.31,3.31,3.31,353,49
2012-06-20,3.07,3.75,3.07,3.07,725,49
2012-06-21,3.1,3.1,3.1,3.1,783,49
2012-06-22,3.13,3.13,3.11,3.11,800,49
2012-06-25,3.02,3.02,2.65,2.65,1869,49
2012-06-27,2.67,2.69,2.66,2.69,701,49
2012-06-28,2.91,2.91,2.65,2.65,233,49
2012-06-29,2.98,3.0,2.6518,2.6518,6047,49
2012-07-02,3.0,3.0,3.0,3.0,900,49
2012-07-03,3.26,3.26,3.26,3.26,200,49
2012-07-05,3.084,3.14,2.691,2.691,2712,49
2012-07-06,2.73,3.15,2.73,3.05,3224,49
2012-07-09,3.03,3.03,2.75,2.76,405,49
2012-07-10,3.51,5.7,3.46,5.45,36802,49
2012-07-11,5.98,8.25,5.77,8.0,125819,49
2012-07-12,7.99,7.99,6.5,6.6,21232,49
2012-07-13,6.26,7.71,5.5,7.25,39567,49
2012-07-16,7.17,7.5,6.32,7.47,8500,49
2012-07-17,7.75,7.75,6.72,7.19,6003,49
2012-07-18,7.19,7.2,6.66,7.16,4548,49
2012-07-19,7.11,7.5,7.11,7.5,5039,49
2012-07-20,7.4,7.4,6.7001,6.79,2800,49
2012-07-23,7.02,7.02,7.02,7.02,101,49
2012-07-25,5.79,6.16,5.79,6.16,439,49
2012-07-26,6.5,6.8,5.73,5.73,9043,49
2012-07-27,5.73,5.73,5.0,5.14,2597,49
2012-07-30,5.14,5.71,5.14,5.7,1023,49
2012-08-02,5.01,5.01,5.01,5.01,200,49
2012-08-03,5.61,5.61,5.158,5.158,225,49
2012-08-07,5.6999,5.6999,5.6999,5.6999,1000,49
2012-08-08,5.0201,5.918,5.0201,5.87,1350,49
2012-08-14,5.07,5.07,3.75,4.4,12087,49
2012-08-15,4.45,4.7,4.2,4.4,4957,49
2012-08-16,4.35,4.35,4.35,4.35,800,49
2012-08-17,4.27,4.28,4.27,4.28,536,49
2012-08-20,3.6,4.248,3.6,4.248,200,49
2012-08-22,4.03,4.07,3.8,4.07,600,49
2012-08-23,3.88,3.88,3.77,3.8595,3139,49
2012-08-24,3.8,3.8,3.8,3.8,100,49
2012-08-27,3.66,3.72,3.65,3.72,2248,49
2012-08-28,3.65,3.65,3.62,3.62,250,49
2012-08-29,3.66,4.27,3.63,4.27,1404,49
2012-09-04,3.6101,3.6101,3.6101,3.6101,150,49
2012-09-05,3.93,3.93,3.93,3.93,400,49
2012-09-07,3.65,3.65,3.65,3.65,400,49
2012-09-10,3.9,3.9,3.9,3.9,1600,49
2012-09-11,3.64,3.98,3.64,3.7,3638,49
2012-09-12,3.74,3.9999,3.74,3.9999,567,49
2012-09-14,4.0,4.0,4.0,4.0,260,49
2012-09-18,3.9206,3.9206,3.9206,3.9206,100,49
2012-09-21,3.87,3.87,3.87,3.87,200,49
2012-09-24,3.72,3.76,3.72,3.76,500,49
2012-09-25,3.7,3.8984,3.7,3.8984,503,49
2012-09-27,3.79,3.79,3.79,3.79,600,49
2012-09-28,3.77,3.79,3.71,3.74,1353,49
2012-10-01,3.9688,3.9688,3.9688,3.9688,100,49
2012-10-08,3.62,3.63,3.62,3.62,1130,49
2012-10-15,3.61,3.61,3.61,3.61,100,49
2012-10-18,3.73,3.73,3.73,3.73,200,49
2012-10-22,3.73,3.748,3.73,3.748,350,49
2012-10-24,3.59,3.59,3.21,3.4,1010,49
2012-10-25,3.4,3.4,3.4,3.4,300,49
2012-10-26,3.2,3.44,3.2,3.44,700,49
2012-10-31,3.4,3.4,3.4,3.4,120,49
2012-11-01,3.71,3.71,3.71,3.71,100,49
2012-11-02,3.7499,3.7499,3.7499,3.7499,100,49
2012-11-09,3.12,3.3,2.9,3.1,6491,49
2012-11-12,2.99,3.1,2.99,3.0,697,49
2012-11-14,3.1,3.1,3.1,3.1,3006,49
2012-11-15,3.1,3.1,2.77,2.8,3827,49
2012-11-20,2.81,2.87,2.76,2.87,1103,49
2012-11-26,2.94,3.3,2.94,3.01,4219,49
2012-11-27,2.89,3.22,2.89,3.02,8500,49
2012-11-28,3.15,5.98,3.15,4.75,21036,49
2012-11-29,5.61,6.978,5.21,6.0,26150,49
2012-11-30,6.0204,6.4899,5.5,5.82,22815,49
2012-12-03,5.65,5.75,5.2,5.63,11847,49
2012-12-04,5.45,5.88,5.01,5.05,9512,49
2012-12-05,4.75,5.15,4.75,5.13,6136,49
2012-12-06,5.15,5.15,4.81,4.81,6198,49
2012-12-07,5.0,5.0,4.99,4.99,3500,49
2012-12-10,5.88,6.21,5.0,5.26,8909,49
2012-12-11,5.97,5.97,5.4,5.4,8309,49
2012-12-12,5.65,5.67,4.93,5.2,10681,49
2012-12-13,5.3,5.51,5.275,5.47,1011,49
2012-12-14,5.2,5.31,5.16,5.19,3250,49
2012-12-17,4.95,5.2,4.95,5.0,3692,49
2012-12-18,5.0,5.0,5.0,5.0,300,49
2012-12-19,4.87,5.0,4.85,5.0,2227,49
2012-12-20,4.8,4.808,4.49,4.49,1399,49
2012-12-21,4.5,4.5,3.92,4.3999,4264,49
2012-12-26,4.016,4.4,4.016,4.15,500,49
2012-12-31,4.23,4.23,4.23,4.23,174,49
2013-01-02,4.16,4.39,3.85,4.0,2445,49
2013-01-03,4.0,4.03,4.0,4.0,805,49
2013-01-04,4.08,4.15,4.03,4.09,900,49
2013-01-07,4.2185,4.2185,4.06,4.06,1900,49
2013-01-08,4.05,4.05,3.66,4.03,800,49
2013-01-10,4.22,4.25,4.22,4.25,200,49
