Date,Open,High,Low,Close,Volume,stock_id
1970-01-02,1.9382,1.9382,1.8802,1.8883,333249,2049
1970-01-05,1.8883,1.905,1.8802,1.8802,124609,2049
1970-01-06,1.8802,1.8802,1.8304,1.8387,127500,2049
1970-01-07,1.8223,1.8223,1.7724,1.781,243418,2049
1970-01-08,1.781,1.8223,1.7724,1.7889,392651,2049
1970-01-09,1.7889,1.7889,1.7556,1.7556,417283,2049
1970-01-12,1.7556,1.7724,1.7227,1.7394,499870,2049
1970-01-13,1.7475,1.7724,1.7475,1.7643,359328,2049
1970-01-14,1.7643,1.781,1.7394,1.781,310066,2049
1970-01-15,1.781,1.781,1.7556,1.7724,243418,2049
1970-01-16,1.7724,1.7889,1.7556,1.7556,262250,2049
1970-01-19,1.7556,1.7724,1.7394,1.7556,215886,2049
1970-01-20,1.7556,1.7724,1.7394,1.7556,337595,2049
1970-01-21,1.7556,1.7643,1.7227,1.7394,353532,2049
1970-01-22,1.7394,1.7643,1.7308,1.7394,260804,2049
1970-01-23,1.7394,1.781,1.7308,1.7308,298474,2049
1970-01-26,1.7308,1.7308,1.6647,1.6813,239072,2049
1970-01-27,1.6729,1.6729,1.6478,1.6478,246315,2049
1970-01-28,1.6478,1.6813,1.6478,1.6647,333249,2049
1970-01-29,1.6647,1.6895,1.6478,1.6647,291229,2049
1970-01-30,1.6647,1.6895,1.6399,1.6565,660700,2049
1970-02-02,1.6647,1.7227,1.6647,1.6647,208641,2049
1970-02-03,1.6647,1.7227,1.6647,1.6978,973666,2049
1970-02-04,1.6978,1.6978,1.6647,1.6729,418734,2049
1970-02-05,1.6647,1.6647,1.6399,1.6647,334695,2049
1970-02-06,1.6647,1.6813,1.6399,1.6565,237622,2049
1970-02-09,1.6565,1.7143,1.6478,1.6813,105771,2049
1970-02-10,1.6813,1.7143,1.6813,1.6978,286884,2049
1970-02-11,1.6978,1.7556,1.6895,1.7227,292678,2049
1970-02-12,1.7227,1.7227,1.6978,1.6978,218786,2049
1970-02-13,1.6978,1.7143,1.6895,1.6978,679539,2049
1970-02-16,1.6978,1.7227,1.6978,1.6978,189807,2049
1970-02-17,1.6978,1.7061,1.6895,1.6978,201401,2049
1970-02-18,1.6978,1.7227,1.6813,1.7143,1586555,2049
1970-02-19,1.7227,1.7889,1.7227,1.781,951934,2049
1970-02-20,1.781,1.8304,1.7475,1.7889,352087,2049
1970-02-24,1.7889,1.8304,1.781,1.8223,204297,2049
1970-02-25,1.8223,1.847,1.8133,1.8304,273843,2049
1970-02-26,1.8304,1.8304,1.7974,1.8133,107220,2049
1970-02-27,1.8133,1.8304,1.8056,1.8133,120261,2049
1970-03-02,1.8133,1.8965,1.8133,1.8387,360776,2049
1970-03-03,1.8387,1.8718,1.8223,1.8223,554930,2049
1970-03-04,1.8304,1.8802,1.8304,1.8551,320207,2049
1970-03-05,1.8551,1.8802,1.8551,1.8718,262250,2049
1970-03-06,1.8718,1.8883,1.8634,1.8718,308616,2049
1970-03-09,1.8551,1.8551,1.8304,1.847,157929,2049
1970-03-10,1.847,1.847,1.8304,1.8304,110116,2049
1970-03-11,1.8304,1.847,1.8304,1.8304,134749,2049
1970-03-12,1.8304,1.847,1.8223,1.8304,157929,2049
1970-03-13,1.8387,1.847,1.8387,1.847,449162,2049
1970-03-16,1.847,1.847,1.8304,1.8304,160831,2049
1970-03-17,1.8304,1.8634,1.8223,1.8634,995402,2049
1970-03-18,1.8883,1.9544,1.8883,1.9214,979464,2049
1970-03-19,1.9214,1.9465,1.9131,1.9382,169523,2049
1970-03-20,1.9382,1.9382,1.8965,1.905,143439,2049
1970-03-23,1.9131,1.9544,1.9131,1.9382,314416,2049
1970-03-24,1.9382,1.9957,1.9214,1.9382,520159,2049
1970-03-25,1.9382,2.0376,1.9214,2.0043,1202596,2049
1970-03-26,2.0043,2.029,1.9957,2.0123,450612,2049
1970-03-30,2.0123,2.0123,1.9877,2.0043,194157,2049
1970-03-31,2.0043,2.0043,1.9957,1.9957,475244,2049
1970-04-01,1.9957,2.0043,1.9877,1.9877,411490,2049
1970-04-02,1.9877,2.0123,1.9794,1.9957,246315,2049
1970-04-03,1.9957,2.0211,1.9957,2.0123,197052,2049
1970-04-06,2.0123,2.0211,1.9957,2.0123,121711,2049
1970-04-07,1.9957,1.9957,1.9794,1.9877,214437,2049
1970-04-08,1.9877,1.9957,1.9544,1.9712,91281,2049
1970-04-09,1.9712,1.9712,1.9544,1.9712,147789,2049
1970-04-10,1.9631,1.9631,1.9298,1.9631,508567,2049
1970-04-13,1.9631,1.9712,1.9631,1.9631,217334,2049
1970-04-14,1.9631,1.9631,1.9382,1.9631,1060600,2049
1970-04-15,1.9544,1.9544,1.9298,1.9298,165176,2049
1970-04-16,1.9298,1.9382,1.9214,1.9382,99976,2049
1970-04-17,1.9382,1.9382,1.8634,1.8718,792552,2049
1970-04-20,1.847,1.847,1.8223,1.8304,354982,2049
1970-04-21,1.8304,1.8387,1.8133,1.8133,230376,2049
1970-04-22,1.8133,1.8223,1.7974,1.7974,485386,2049
1970-04-23,1.781,1.781,1.7394,1.7724,273843,2049
1970-04-24,1.7724,1.7724,1.7308,1.7724,223133,2049
1970-04-27,1.7724,1.781,1.7394,1.7643,276742,2049
1970-04-28,1.7643,1.7724,1.7308,1.7308,237622,2049
1970-04-29,1.7308,1.8223,1.6978,1.8133,501323,2049
1970-04-30,1.7974,1.7974,1.7308,1.7475,320207,2049
1970-05-01,1.7475,1.8056,1.7061,1.7889,365127,2049
1970-05-04,1.7889,1.8056,1.7227,1.7475,163726,2049
1970-05-05,1.7394,1.7394,1.7227,1.7394,237622,2049
1970-05-06,1.7475,1.7724,1.7475,1.7556,160831,2049
1970-05-07,1.7556,1.7724,1.7394,1.7643,111567,2049
1970-05-08,1.7643,1.7724,1.7556,1.7724,111567,2049
1970-05-11,1.7724,1.7724,1.7394,1.7475,52160,2049
1970-05-12,1.7475,1.7556,1.6647,1.6647,321656,2049
1970-05-13,1.6647,1.6813,1.6399,1.6565,454955,2049
1970-05-14,1.6478,1.6478,1.5901,1.6149,515813,2049
1970-05-15,1.6149,1.6478,1.5819,1.5819,405695,2049
1970-05-18,1.5734,1.5734,1.549,1.5568,191256,2049
1970-05-19,1.5568,1.5734,1.524,1.5568,179666,2049
1970-05-20,1.5568,1.5568,1.4661,1.4909,1822724,2049
1970-05-21,1.4909,1.4991,1.4575,1.4824,310066,2049
1970-05-22,1.4661,1.4661,1.4413,1.4575,446264,2049
1970-05-25,1.4413,1.4413,1.3914,1.3914,170974,2049
1970-05-26,1.3914,1.4575,1.3914,1.4244,649112,2049
1970-05-27,1.4244,1.549,1.4244,1.5404,475244,2049
1970-05-28,1.5404,1.5653,1.5155,1.5653,263701,2049
1970-05-29,1.5653,1.5901,1.5404,1.5901,410042,2049
1970-06-01,1.5901,1.6813,1.5819,1.6813,212992,2049
1970-06-02,1.6813,1.6978,1.6565,1.6978,353532,2049
1970-06-03,1.6978,1.6978,1.6565,1.6813,165176,2049
1970-06-04,1.6813,1.7061,1.6231,1.6895,275291,2049
1970-06-05,1.6813,1.6813,1.6478,1.6729,128954,2049
1970-06-08,1.6647,1.6647,1.6319,1.6478,223133,2049
1970-06-09,1.6478,1.6478,1.6149,1.6231,179666,2049
1970-06-10,1.6231,1.6478,1.6149,1.6231,97076,2049
1970-06-11,1.6068,1.6068,1.5819,1.5901,121711,2049
1970-06-12,1.5901,1.5983,1.5568,1.5734,176767,2049
1970-06-15,1.5734,1.5901,1.5653,1.5819,156482,2049
1970-06-16,1.5819,1.6647,1.5734,1.6319,136197,2049
1970-06-17,1.6319,1.6895,1.6319,1.6319,181114,2049
1970-06-18,1.6319,1.6729,1.6231,1.6399,214437,2049
1970-06-19,1.6399,1.6813,1.6149,1.6399,420182,2049
1970-06-22,1.6399,1.6647,1.6319,1.6478,205746,2049
1970-06-23,1.6478,1.6647,1.6319,1.6399,107220,2049
1970-06-24,1.6399,1.6729,1.6068,1.6399,215886,2049
1970-06-25,1.6399,1.6647,1.6231,1.6231,159381,2049
1970-06-26,1.6231,1.6399,1.6068,1.6068,117362,2049
1970-06-29,1.6068,1.6231,1.5734,1.5734,176767,2049
1970-06-30,1.5734,1.5983,1.5734,1.5734,102874,2049
1970-07-01,1.5734,1.5734,1.5155,1.5322,352087,2049
1970-07-02,1.5322,1.5404,1.4991,1.5155,326004,2049
1970-07-06,1.4824,1.4824,1.4328,1.4494,318761,2049
1970-07-07,1.4494,1.5155,1.4162,1.4162,499870,2049
1970-07-08,1.4162,1.4494,1.3996,1.4413,217334,2049
1970-07-09,1.4494,1.4739,1.4494,1.4494,153587,2049
1970-07-10,1.4494,1.4494,1.4494,1.4494,92730,2049
1970-07-13,1.4494,1.4494,1.4162,1.4162,104323,2049
1970-07-14,1.4162,1.4328,1.3746,1.3746,230376,2049
1970-07-15,1.3746,1.4244,1.3666,1.408,201401,2049
1970-07-16,1.4244,1.5155,1.4244,1.4909,359328,2049
1970-07-17,1.5155,1.5901,1.5155,1.5404,499870,2049
