Date,Open,High,Low,Close,Volume,stock_id
2014-11-04,17.592,17.61,17.592,17.61,2502,269
2014-11-05,17.458,17.592,17.378,17.467,16443,269
2014-11-06,17.369,17.476,17.369,17.458,25616,269
2014-11-07,17.467,17.467,17.388,17.416,17156,269
2014-11-10,17.388,17.416,17.369,17.388,8611,269
2014-11-11,17.44,17.448,17.369,17.448,4857,269
2014-11-12,17.448,17.448,17.369,17.416,8567,269
2014-11-13,17.369,17.416,17.253,17.407,21766,269
2014-11-14,17.407,17.407,17.156,17.156,14034,269
2014-11-17,17.28,17.369,17.28,17.28,6507,269
2014-11-18,17.28,17.299,17.244,17.299,23330,269
2014-11-19,17.388,17.388,17.388,17.388,1135,269
2014-11-20,17.376,17.376,17.28,17.28,2498,269
2014-11-21,17.388,17.814,17.369,17.675,29354,269
2014-11-24,18.706,18.706,17.675,17.675,29036,269
2014-11-25,17.675,18.263,17.637,17.675,1600,269
2014-11-26,17.682,17.971,17.682,17.725,22338,269
2014-12-01,17.814,17.814,17.327,17.661,1184,269
2014-12-02,17.548,17.771,17.369,17.698,2332,269
2014-12-03,17.592,17.725,17.486,17.716,4638,269
2014-12-04,17.725,18.038,17.636,17.725,4668,269
2014-12-05,17.824,17.916,17.807,17.807,2551,269
2014-12-08,17.916,17.916,17.59,17.782,10709,269
2014-12-09,17.916,17.916,17.824,17.888,2383,269
2014-12-10,17.734,17.916,17.734,17.916,1605,269
2014-12-11,17.916,17.951,17.734,17.951,3130,269
2014-12-12,17.916,17.959,17.834,17.834,11066,269
2014-12-15,17.916,17.959,17.384,17.87,12378,269
2014-12-16,17.916,17.916,17.782,17.916,5671,269
2014-12-17,17.744,17.959,17.734,17.898,5218,269
2014-12-18,17.916,17.959,17.744,17.88,8656,269
2014-12-19,17.916,17.916,17.384,17.384,28741,269
2014-12-22,17.916,18.329,17.412,17.87,9655,269
2014-12-23,17.464,17.916,17.464,17.916,638,269
2014-12-24,17.753,17.753,17.753,17.753,990,269
2014-12-26,17.438,17.744,17.438,17.556,776,269
2014-12-29,17.455,17.519,17.421,17.519,13105,269
2014-12-31,17.519,18.006,17.519,17.916,4148,269
2015-01-02,17.916,17.916,17.916,17.916,111,269
2015-01-05,17.556,17.907,17.556,17.907,1761,269
2015-01-06,17.51,17.907,17.51,17.888,2054,269
2015-01-07,17.69,17.88,17.69,17.88,2355,269
2015-01-08,17.574,17.824,17.493,17.824,6710,269
2015-01-09,17.556,17.907,17.556,17.875,1438,269
2015-01-12,17.753,17.847,17.581,17.847,1999,269
2015-01-14,17.59,17.87,17.566,17.843,1777,269
2015-01-15,17.716,17.907,17.421,17.617,4021,269
2015-01-20,17.581,17.725,17.556,17.725,3124,269
2015-01-21,17.474,17.565,17.455,17.455,7299,269
2015-01-23,17.493,17.519,17.421,17.519,19074,269
2015-01-26,17.445,17.626,17.429,17.556,17908,269
2015-01-27,17.645,17.824,17.502,17.824,48569,269
2015-01-28,17.907,17.907,17.782,17.782,6397,269
2015-02-02,17.69,17.69,17.464,17.474,2880,269
2015-02-03,17.69,17.69,17.6,17.665,999,269
2015-02-04,17.807,18.014,17.79,17.922,50705,269
2015-02-05,17.791,17.791,17.79,17.79,1222,269
2015-02-06,17.959,18.005,17.918,17.918,541,269
2015-02-09,17.916,17.964,17.916,17.964,348,269
2015-02-11,17.996,17.996,17.996,17.996,439,269
2015-02-12,18.184,18.184,17.556,18.006,1646,269
2015-02-13,17.79,17.907,17.581,17.782,9082,269
2015-02-17,17.69,17.916,17.69,17.69,10441,269
2015-02-18,17.87,18.268,17.556,17.734,28777,269
2015-02-19,17.69,18.193,17.69,18.193,14390,269
2015-02-20,17.725,18.22,17.725,18.201,18846,269
2015-02-23,17.753,18.25,17.753,18.25,12017,269
2015-02-24,17.898,18.094,17.79,18.094,10044,269
2015-02-25,18.05,18.094,17.987,17.987,9681,269
2015-02-27,18.006,18.006,17.987,17.987,2991,269
2015-03-02,17.807,18.006,17.807,17.898,3554,269
2015-03-03,17.924,18.033,17.744,17.824,12997,269
2015-03-04,17.782,18.094,17.782,18.094,7443,269
2015-03-05,17.924,17.924,17.782,17.88,4887,269
2015-03-06,17.888,18.154,17.888,18.061,5713,269
2015-03-09,18.106,18.106,18.016,18.097,2526,269
2015-03-10,18.016,18.016,17.97,17.97,4835,269
2015-03-11,17.888,18.106,17.833,17.833,9013,269
2015-03-12,17.916,18.052,17.916,17.988,1648,269
2015-03-13,18.052,18.052,17.925,18.052,441,269
2015-03-16,17.933,18.043,17.861,18.043,2088,269
2015-03-17,17.833,18.016,17.833,17.925,4396,269
2015-03-18,17.833,17.925,17.833,17.833,1098,269
2015-03-19,17.762,17.87,17.762,17.833,1098,269
2015-03-20,17.843,18.106,17.789,18.106,9123,269
2015-03-23,18.061,18.061,18.007,18.007,3187,269
2015-03-24,18.061,18.061,17.898,17.898,2199,269
2015-03-25,18.016,18.154,17.898,17.898,3626,269
2015-03-26,17.97,17.97,17.752,17.752,26048,269
2015-03-27,17.988,17.988,17.988,17.988,1098,269
2015-03-30,17.979,17.979,17.898,17.916,2417,269
2015-03-31,17.979,17.979,17.979,17.979,878,269
2015-04-01,17.979,17.979,17.97,17.97,1320,269
2015-04-02,17.96,17.96,17.933,17.933,441,269
2015-04-06,17.898,17.96,17.843,17.843,4946,269
2015-04-07,17.843,17.866,17.843,17.866,3805,269
2015-04-10,17.843,17.843,17.843,17.843,220,269
2015-04-13,18.061,18.061,18.061,18.061,110,269
2015-04-14,18.061,18.061,18.061,18.061,658,269
2015-04-15,18.052,18.061,17.851,17.97,2784,269
2015-04-17,18.016,18.016,17.988,17.988,878,269
2015-04-20,18.061,18.061,18.061,18.061,3000,269
2015-04-21,18.052,18.052,17.981,17.981,1247,269
2015-04-22,18.097,18.097,17.843,17.97,1686,269
2015-04-23,17.951,17.96,17.951,17.96,441,269
2015-04-24,17.933,18.144,17.933,18.144,4396,269
2015-04-27,18.061,18.069,18.061,18.061,7474,269
2015-04-28,18.052,18.097,18.052,18.061,549,269
2015-04-29,18.088,18.097,18.061,18.097,2526,269
2015-04-30,18.106,18.106,18.106,18.106,878,269
2015-05-01,18.144,18.244,18.144,18.154,5933,269
2015-05-04,18.154,18.244,18.154,18.214,7474,269
2015-05-05,18.196,18.652,18.016,18.016,4066,269
2015-05-07,18.154,18.154,18.154,18.154,244,269
2015-05-08,18.289,18.289,18.196,18.244,3737,269
2015-05-11,18.162,18.162,18.106,18.106,1978,269
2015-05-12,18.007,18.035,17.979,18.016,4506,269
2015-05-18,18.043,18.043,18.016,18.016,1186,269
2015-05-19,18.069,18.069,18.052,18.069,658,269
2015-05-20,18.097,18.097,18.016,18.061,10001,269
2015-05-26,18.025,18.286,18.025,18.286,8196,269
2015-05-27,18.324,18.324,18.061,18.061,658,269
2015-05-28,18.106,18.106,18.105,18.106,1758,269
2015-05-29,18.097,18.154,18.097,18.154,2858,269
2015-06-02,18.154,18.154,18.016,18.016,2514,269
2015-06-03,18.097,18.154,18.097,18.106,1648,269
2015-06-04,18.154,18.154,18.154,18.154,2968,269
2015-06-05,18.235,18.235,18.235,18.235,109,269
2015-06-08,18.105,18.345,18.105,18.316,3046,269
2015-06-09,18.383,18.393,18.383,18.383,4425,269
2015-06-10,18.383,18.541,18.383,18.393,4063,269
