Date,Open,High,Low,Close,Volume,stock_id
2015-07-01,14.992,15.63,13.68,15.469,12449647,2086
2015-07-02,15.395,15.469,14.899,15.469,7077860,2086
2015-07-06,14.992,15.16,14.673,15.03,3617264,2086
2015-07-07,14.758,15.104,13.866,14.046,5151833,2086
2015-07-08,13.183,13.212,11.545,12.201,10641014,2086
2015-07-09,12.22,12.396,11.066,11.066,11189998,2086
2015-07-10,11.169,11.479,10.447,10.925,9101431,2086
2015-07-13,10.522,10.925,10.363,10.683,7418838,2086
2015-07-14,10.532,11.955,10.532,11.864,6736220,2086
2015-07-15,11.918,12.771,11.712,12.173,5162941,2086
2015-07-16,12.013,12.339,11.955,12.284,4680118,2086
2015-07-17,12.22,12.275,12.106,12.22,2903396,2086
2015-07-20,12.051,12.116,11.609,11.702,4377665,2086
2015-07-21,11.59,11.76,11.554,11.599,2333497,2086
2015-07-22,11.385,11.666,10.906,11.281,3616625,2086
2015-07-23,11.299,11.442,10.991,11.102,2374903,2086
2015-07-24,10.962,11.019,10.532,10.598,3677030,2086
2015-07-27,10.532,10.541,9.989,10.073,3990155,2086
2015-07-28,9.697,10.598,9.2389,10.588,3407448,2086
2015-07-29,10.344,11.526,10.268,11.423,2942670,2086
2015-07-30,11.333,11.716,11.04,11.373,2451490,2086
2015-07-31,11.264,11.284,10.618,10.716,2715635,2086
2015-08-03,10.687,10.746,10.263,10.44,2518898,2086
2015-08-04,10.302,10.47,9.675,9.783,3653797,2086
2015-08-05,9.577,9.97,9.1555,9.2926,7717465,2086
2015-08-06,9.3808,12.031,9.332,10.892,7603295,2086
2015-08-07,11.0,11.069,10.058,10.806,3660114,2086
2015-08-10,10.854,11.284,10.598,10.892,2979778,2086
2015-08-11,10.796,10.931,10.263,10.489,1670431,2086
2015-08-12,10.068,10.45,9.577,9.833,2501630,2086
2015-08-13,9.724,11.02,9.44,10.588,2420816,2086
2015-08-14,10.421,10.796,10.078,10.411,1314915,2086
2015-08-17,10.382,10.911,10.362,10.776,2193052,2086
2015-08-18,10.578,10.588,9.675,9.833,3848440,2086
2015-08-19,9.744,9.774,9.44,9.577,1864196,2086
2015-08-20,9.843,9.843,9.165,9.44,3101355,2086
2015-08-21,9.3221,9.568,8.8904,9.0277,2054254,2086
2015-08-24,8.6746,9.4102,8.1446,9.0277,2282388,2086
2015-08-25,9.2633,9.3418,8.1446,8.1544,2913436,2086
2015-08-26,8.3802,8.969,8.2036,8.9492,2800728,2086
2015-08-27,9.0473,9.548,8.969,9.3905,2818153,2086
2015-08-28,8.8806,9.528,8.8806,9.4979,1984752,2086
2015-08-31,9.1946,9.636,9.1946,9.4895,1914743,2086
2015-09-01,9.1358,9.4699,9.0866,9.1946,2282323,2086
2015-09-02,9.0277,9.2436,8.4782,8.5077,3162805,2086
2015-09-03,8.6353,9.843,8.547,9.2143,4004156,2086
2015-09-04,9.0964,9.165,8.7924,8.802,1715717,2086
2015-09-08,8.8806,8.9886,8.8217,8.9492,2113972,2086
2015-09-09,9.175,9.45,9.0866,9.1258,3034707,2086
2015-09-10,9.2339,9.3025,8.8904,8.9886,2408165,2086
2015-09-11,9.0572,9.1946,8.8611,8.9002,2265305,2086
2015-09-14,8.9296,8.9296,8.6255,8.7924,1697680,2086
2015-09-15,8.8611,9.2633,8.8611,9.2239,1948066,2086
2015-09-16,9.2732,9.606,9.1847,9.4301,1961925,2086
2015-09-17,9.44,9.675,9.2239,9.2732,1251731,2086
2015-09-18,9.1456,9.1946,8.5567,8.5959,3658179,2086
2015-09-21,8.7727,9.018,8.5666,8.969,2013390,2086
2015-09-22,8.8315,8.8512,8.3115,8.5274,1606777,2086
2015-09-23,8.4782,8.9787,7.7425,7.8306,2662440,2086
2015-09-24,7.7914,7.8208,7.0652,7.4381,4495978,2086
2015-09-25,7.5755,7.5953,6.9181,6.9279,3480247,2086
2015-09-28,6.8689,6.9083,6.3196,6.3587,4146139,2086
2015-09-29,6.4372,6.5746,6.0349,6.0643,4124712,2086
2015-09-30,6.1329,6.3683,5.8288,6.3489,4704667,2086
2015-10-01,6.3783,6.5058,6.1921,6.447,2257866,2086
2015-10-02,6.3783,7.0847,6.3393,6.9474,2941156,2086
2015-10-05,7.0947,7.6147,7.0161,7.4184,4547769,2086
2015-10-06,7.4283,8.3017,7.4087,8.0564,4017199,2086
2015-10-07,8.0957,8.4392,7.605,7.7227,4394665,2086
2015-10-08,8.1053,8.4194,6.8689,8.2722,6750463,2086
2015-10-09,8.3899,8.5176,7.7816,7.8797,3008516,2086
2015-10-12,7.8797,7.9974,7.654,7.8993,1322378,2086
2015-10-13,7.7816,7.8404,7.183,7.2027,1615949,2086
2015-10-14,7.2124,7.291,6.9965,7.075,2180618,2086
2015-10-15,7.0652,7.0652,6.7708,6.9377,2200594,2086
2015-10-16,6.9671,7.0359,6.2311,6.2704,2728781,2086
2015-10-19,6.2704,6.3393,5.8387,5.9662,2688630,2086
2015-10-20,5.9957,6.3489,5.8976,6.29,1926125,2086
2015-10-21,6.3783,6.4273,6.084,6.1428,1399600,2086
2015-10-22,6.2801,6.4176,6.1134,6.2311,1464718,2086
2015-10-23,6.2998,6.5353,6.2213,6.4372,1366479,2086
2015-10-26,6.6236,6.6236,6.2998,6.3293,1141467,2086
2015-10-27,6.3097,6.447,6.0937,6.4372,1164906,2086
2015-10-28,6.5156,6.7021,6.4077,6.5353,1795920,2086
2015-10-29,6.5156,6.82,6.4668,6.7808,1384008,2086
2015-10-30,6.6531,6.8689,6.5746,6.8004,1434248,2086
2015-11-02,6.7708,7.5755,6.7217,7.4577,2110830,2086
2015-11-03,7.2124,8.5567,7.2124,8.3213,3866375,2086
2015-11-04,8.2819,8.6353,7.8993,7.9779,4289960,2086
2015-11-05,8.1643,8.488,7.1633,7.3792,2609957,2086
2015-11-06,7.232,7.3597,6.5451,6.604,3054477,2086
2015-11-09,6.4765,6.5549,6.2311,6.3097,1853828,2086
2015-11-10,6.2406,6.3294,6.0138,6.0632,2586926,2086
2015-11-11,6.0927,6.1225,5.8167,5.8167,3581469,2086
2015-11-12,5.8365,5.866,5.6688,5.7674,2197325,2086
2015-11-13,5.7379,5.8167,5.5505,5.6097,1385767,2086
2015-11-16,5.6985,5.8857,5.58,5.7772,1968697,2086
2015-11-17,5.7379,5.925,5.5209,5.5408,5840465,2086
2015-11-18,5.5505,5.8067,5.5308,5.7576,4135594,2086
2015-11-19,5.7674,6.1716,5.7674,5.9547,3787478,2086
2015-11-20,5.9646,6.0533,5.7969,5.9053,2146711,2086
2015-11-23,5.9053,5.935,5.6786,5.8562,2536616,2086
2015-11-24,5.8562,6.1716,5.8562,6.0632,2663949,2086
2015-11-25,6.0632,6.2998,6.0041,6.2209,1368928,2086
2015-11-27,6.28,6.3491,6.2109,6.2504,510913,2086
2015-11-30,6.2209,6.3097,6.1125,6.1619,1172150,2086
2015-12-01,6.1619,6.2504,5.7674,5.9646,2235629,2086
2015-12-02,5.9152,6.1026,5.8167,6.0337,2013615,2086
2015-12-03,6.0435,6.1619,5.7969,5.8857,2802692,2086
2015-12-04,5.866,6.1816,5.7772,6.1225,1955611,2086
2015-12-07,6.0729,6.1225,5.9053,5.925,1651011,2086
2015-12-08,5.8365,5.9152,5.649,5.6985,2425723,2086
2015-12-09,5.7279,6.1915,5.7279,5.9547,2037164,2086
2015-12-10,5.9152,6.142,5.8759,6.0435,1191320,2086
2015-12-11,5.925,6.0138,5.5308,5.6097,2667259,2086
2015-12-14,5.5702,5.6985,5.1167,5.1857,2593861,2086
2015-12-15,5.1857,5.3435,5.176,5.2845,2119121,2086
2015-12-16,5.373,5.7379,5.2941,5.5702,2342678,2086
2015-12-17,5.5013,5.5013,4.5153,4.6533,5305815,2086
2015-12-18,4.6336,6.2012,4.6336,5.8759,7672938,2086
2015-12-21,5.9053,6.0729,5.176,5.4913,4915403,2086
2015-12-22,5.4618,5.8562,5.383,5.649,2146551,2086
2015-12-23,5.649,5.8562,5.5702,5.6786,1809549,2086
2015-12-24,5.6294,5.7674,5.6294,5.6589,445223,2086
2015-12-28,5.6195,5.6195,5.3089,5.3238,1463470,2086
2015-12-29,5.3533,5.4224,5.236,5.4028,1154960,2086
2015-12-30,5.3041,5.3633,5.1365,5.176,1347488,2086
2015-12-31,5.1365,5.4322,5.1167,5.2845,1986264,2086
2016-01-04,5.1265,5.4125,5.1265,5.4028,2822927,2086
2016-01-05,5.4028,5.4125,5.1955,5.3435,3133802,2086
2016-01-06,5.2054,5.235,4.9787,5.0477,3079812,2086
2016-01-07,4.9294,5.1463,4.5745,4.683,3961896,2086
2016-01-08,4.7618,4.9491,4.5449,4.7323,2853519,2086
2016-01-11,4.7323,4.7519,4.2294,4.318,3602734,2086
2016-01-12,4.3773,4.402,3.7661,3.8548,6738819,2086
2016-01-13,3.9139,3.9139,3.1943,3.2534,4311924,2086
2016-01-14,3.2534,3.7956,3.1745,3.4605,6413180,2086
2016-01-15,3.3915,3.9336,3.352,3.9238,3066954,2086
2016-01-19,3.9731,4.1112,3.4505,3.5394,2641294,2086
2016-01-20,3.4309,3.6871,3.1745,3.5984,2697710,2086
2016-01-21,3.5885,4.0655,3.5506,3.5688,2194876,2086
2016-01-22,3.6774,3.8056,3.4801,3.7463,2456220,2086
2016-01-25,3.7364,3.7956,3.4309,3.4407,1520276,2086
2016-01-26,3.4505,3.4606,3.2043,3.2829,3452551,2086
2016-01-27,3.3126,3.352,3.0167,3.0759,3956339,2086
2016-01-28,3.1154,3.2337,3.0759,3.0956,2873845,2086
2016-01-29,3.1253,3.9436,3.1154,3.8845,30703654,2086
2016-02-01,3.9139,4.4266,3.6478,3.8548,4402206,2086
2016-02-02,3.8154,3.9041,3.4999,3.6083,3342140,2086
2016-02-03,3.6578,4.0321,3.6478,3.9436,4051366,2086
2016-02-04,3.9633,4.3675,3.9238,4.3379,2815782,2086
2016-02-05,4.3279,4.3379,3.9929,4.1112,1653107,2086
2016-02-08,4.0027,4.1014,3.8941,4.0816,1912226,2086
2016-02-09,3.9731,4.0618,3.7463,3.9238,2588129,2086
2016-02-10,3.9534,3.9633,3.5491,3.5491,1601404,2086
2016-02-11,3.5394,4.0027,3.4505,3.8154,1603773,2086
2016-02-12,3.9238,3.9336,3.5885,3.8252,1871315,2086
2016-02-16,3.7859,3.8056,3.4703,3.6379,2107280,2086
2016-02-17,3.6871,4.2196,3.6749,4.1014,2741412,2086
2016-02-18,4.121,4.121,3.9041,4.0717,1296126,2086
2016-02-19,3.9929,4.1899,3.8252,4.0717,1600968,2086
2016-02-22,4.1309,4.4069,4.1014,4.1309,1586854,2086
2016-02-23,4.1014,4.2886,3.9633,3.9929,1324369,2086
2016-02-24,3.7661,4.8998,3.7463,4.7225,4430856,2086
2016-02-25,4.6928,5.0773,4.535,4.8407,2925947,2086
2016-02-26,4.9394,5.1167,4.683,4.8308,3028041,2086
2016-02-29,4.8308,5.225,4.7914,5.0577,2887163,2086
2016-03-01,5.1463,5.383,5.1265,5.3238,2550175,2086
2016-03-02,5.4125,5.6688,5.2845,5.6294,2993658,2086
2016-03-03,5.6393,5.9202,5.6195,5.8759,2607623,2086
2016-03-04,5.9053,6.0533,5.6688,5.7084,2566875,2086
2016-03-07,5.7476,6.5364,5.7181,6.4871,2766830,2086
2016-03-08,6.3786,6.4378,5.8167,5.9943,2324626,2086
2016-03-09,6.0635,6.3311,5.8654,6.2517,1739369,2086
2016-03-10,6.222,6.4103,6.0239,6.2814,2262527,2086
2016-03-11,6.3905,6.4797,6.2617,6.4599,1422683,2086
2016-03-14,6.7867,7.0839,6.7174,6.8067,3014944,2086
2016-03-15,6.7372,6.8858,6.6877,6.767,2130546,2086
2016-03-16,6.7472,6.767,6.2716,6.6282,1846295,2086
2016-03-17,6.6381,7.1831,6.5688,7.1533,2834021,2086
2016-03-18,7.2326,7.6784,6.9848,7.401,5563947,2086
2016-03-21,7.6883,7.7675,7.0839,7.1336,2170906,2086
2016-03-22,7.0839,7.1929,6.549,7.1336,2049253,2086
2016-03-23,6.9354,7.1236,6.6381,6.7174,2478419,2086
2016-03-24,6.6877,7.1236,6.44,7.0839,1871207,2086
2016-03-28,7.1137,7.1336,6.856,6.9354,1084533,2086
2016-03-29,6.8462,7.2624,6.6877,7.1137,1488915,2086
2016-03-30,7.1533,7.4308,6.9751,7.1633,2521833,2086
2016-03-31,7.2029,7.3892,6.851,6.9354,1948450,2086
2016-04-01,7.0642,7.4308,6.9552,7.3812,3297817,2086
2016-04-04,7.3218,7.6586,7.0346,7.1336,2012698,2086
2016-04-05,7.0839,7.2822,7.0047,7.0642,1188188,2086
2016-04-06,7.0444,7.3415,7.0047,7.2425,1499858,2086
2016-04-07,7.2029,7.2425,6.9255,6.9751,1973092,2086
2016-04-08,7.0839,7.3019,6.9751,7.1434,1690683,2086
2016-04-11,7.2029,7.4507,7.0839,7.1434,2234662,2086
2016-04-12,7.1533,7.4803,7.0839,7.3812,1816301,2086
2016-04-13,7.4507,7.6784,7.3415,7.5894,1568579,2086
2016-04-14,7.619,7.728,7.3812,7.5101,1734318,2086
2016-04-15,7.4803,8.0749,7.4803,8.055,3423755,2086
2016-04-18,8.0154,8.2651,7.8568,8.1044,1803707,2086
2016-04-19,8.2235,9.1052,8.2136,8.9763,5355826,2086
2016-04-20,8.9863,9.3431,8.917,9.1449,3757422,2086
2016-04-21,9.2042,9.591,9.1249,9.521,3482737,2086
2016-04-22,9.551,9.709,8.5998,8.9863,3401178,2086
2016-04-25,8.9863,9.2439,8.8476,8.917,2526342,2086
2016-04-26,8.917,9.3827,8.8179,9.343,2128102,2086
2016-04-27,9.3727,9.4719,8.9466,9.1052,2034777,2086
2016-04-28,9.0952,9.829,8.9566,9.3727,2827022,2086
2016-04-29,9.4222,9.62,8.8772,9.0358,2703895,2086
2016-05-02,9.0655,9.1745,8.6792,9.1745,3735989,2086
2016-05-03,9.61,10.151,9.512,9.909,5748924,2086
2016-05-04,9.789,9.849,9.3627,9.839,3570604,2086
2016-05-05,9.909,10.283,9.511,9.779,2531685,2086
2016-05-06,9.809,10.195,9.66,10.166,2174174,2086
2016-05-09,10.166,10.166,9.2933,9.3132,3230719,2086
2016-05-10,9.3627,9.879,9.1844,9.849,2398479,2086
2016-05-11,9.889,10.293,9.719,9.967,1839854,2086
2016-05-12,10.116,10.313,9.67,9.759,2784355,2086
2016-05-13,9.729,9.948,9.51,9.749,2808328,2086
2016-05-16,9.709,10.186,9.709,9.978,2197036,2086
2016-05-17,9.988,10.434,9.859,10.375,2578740,2086
2016-05-18,10.335,10.764,10.245,10.345,2874244,2086
2016-05-19,10.275,10.362,9.749,10.186,3573136,2086
2016-05-20,10.225,10.434,9.441,9.909,3694141,2086
2016-05-23,9.819,9.819,8.8845,9.4999,5021617,2086
2016-05-24,9.4999,9.64,8.9939,9.1727,6788344,2086
2016-05-25,9.2523,9.61,9.133,9.52,3790354,2086
2016-05-26,9.51,9.631,9.2025,9.3019,2604969,2086
2016-05-27,9.3019,9.3715,8.9044,9.0932,2405263,2086
2016-05-31,9.123,9.123,8.3877,8.6561,5036871,2086
2016-06-01,8.6262,8.7553,8.3975,8.7453,3427517,2086
2016-06-02,8.5565,8.8051,7.4733,8.8051,25549899,2086
2016-06-03,8.5764,8.5764,8.1092,8.3975,19216034,2086
2016-06-06,8.1789,8.5169,8.1789,8.4274,7343191,2086
2016-06-07,8.2882,8.5268,8.2783,8.4074,3341732,2086
2016-06-08,8.3579,8.6858,8.2783,8.2982,2463855,2086
2016-06-09,8.2484,8.5962,8.2385,8.3975,3525429,2086
2016-06-10,8.2484,8.8845,8.2484,8.7453,4476555,2086
2016-06-13,8.6759,8.815,8.2484,8.328,4768096,2086
2016-06-14,8.2783,8.6062,8.2484,8.5467,4320908,2086
2016-06-15,8.5565,9.0932,8.497,8.8348,3197039,2086
2016-06-16,8.7852,8.8548,8.4174,8.8249,2308749,2086
2016-06-17,8.9144,9.3417,8.7653,8.8646,3105346,2086
2016-06-20,9.0236,9.3715,8.8845,9.143,2500720,2086
2016-06-21,9.143,9.2324,8.9491,9.1627,1779900,2086
2016-06-22,9.0634,9.282,8.8945,9.0137,2566330,2086
2016-06-23,9.123,9.889,9.1067,9.689,3609922,2086
2016-06-24,9.133,9.55,9.133,9.2125,17830390,2086
2016-06-27,9.0932,9.0932,8.2882,8.3877,4377354,2086
2016-06-28,8.6858,8.7155,8.1391,8.3975,2591725,2086
2016-06-29,8.5169,8.5962,8.2783,8.4174,1826732,2086
2016-06-30,8.3877,8.4572,8.0796,8.1889,5120141,2086
2016-07-01,8.1789,8.4473,8.0796,8.4274,3369998,2086
2016-07-05,8.3877,8.3975,7.5231,7.6027,3648790,2086
2016-07-06,7.5231,7.5428,5.7839,5.8932,18479170,2086
2016-07-07,5.9827,6.579,5.9827,6.5192,10436979,2086
2016-07-08,6.5988,8.0298,6.3007,7.6324,14112881,2086
2016-07-11,7.6324,7.8907,7.5131,7.8808,4689135,2086
2016-07-12,7.861,8.1989,7.7218,8.1292,2919387,2086
2016-07-13,8.1491,8.2783,8.02,8.2089,3115746,2086
2016-07-14,8.338,8.8149,8.338,8.7255,3130756,2086
2016-07-15,8.7653,8.9342,8.6461,8.8548,2866623,2086
2016-07-18,8.8051,9.3615,8.7155,9.2919,2322887,2086
2016-07-19,9.2224,9.4112,9.0039,9.0435,1839345,2086
2016-07-20,9.0137,9.1529,8.8845,9.0734,1524474,2086
2016-07-21,9.0734,9.2623,9.0039,9.1032,1554805,2086
2016-07-22,9.0435,9.0784,8.497,8.7852,2780017,2086
2016-07-25,8.7453,8.9144,8.5467,8.7354,1635099,2086
2016-07-26,8.7852,9.719,8.7553,9.2423,6261335,2086
2016-07-27,9.451,9.64,9.2919,9.441,2329252,2086
2016-07-28,9.3914,9.62,9.3218,9.3318,1867123,2086
2016-07-29,9.3318,9.4301,9.0039,9.2423,2440788,2086
2016-08-01,9.2423,9.4013,9.0958,9.2324,2069865,2086
2016-08-02,9.2423,9.3318,8.6561,8.7852,2278109,2086
2016-08-03,8.7056,9.0286,8.5665,8.8745,1995567,2086
2016-08-04,9.0039,9.1826,8.8249,8.8845,1980932,2086
2016-08-05,8.8845,9.1876,8.8052,9.0435,1793487,2086
2016-08-08,9.1032,9.51,9.0634,9.2523,4432562,2086
2016-08-09,9.729,10.744,9.679,10.235,7804149,2086
2016-08-10,10.484,10.922,10.365,10.872,4202142,2086
2016-08-11,10.872,11.697,10.833,11.667,4160274,2086
2016-08-12,11.727,12.035,11.016,11.379,3623282,2086
2016-08-15,11.439,12.404,11.291,12.207,4079508,2086
2016-08-16,12.127,12.449,11.967,12.077,3142975,2086
2016-08-17,12.067,12.335,11.997,12.197,2169225,2086
2016-08-18,12.285,12.434,12.097,12.355,2642540,2086
2016-08-19,12.295,12.404,12.127,12.335,1833986,2086
2016-08-22,12.295,12.434,12.117,12.404,1952959,2086
2016-08-23,12.434,12.724,12.365,12.464,2664638,2086
2016-08-24,12.514,12.804,12.256,12.345,2267269,2086
2016-08-25,12.395,12.944,12.355,12.784,2328296,2086
2016-08-26,12.864,13.293,12.564,12.614,2973320,2086
2016-08-29,12.634,13.372,12.634,13.223,2668004,2086
2016-08-30,13.233,13.601,13.143,13.333,1727150,2086
2016-08-31,13.303,13.431,12.744,13.143,2539247,2086
2016-09-01,13.253,13.531,13.023,13.421,1715600,2086
2016-09-02,13.531,13.8,13.387,13.581,1532209,2086
2016-09-06,13.641,13.75,13.244,13.471,1921117,2086
2016-09-07,13.382,13.682,13.323,13.561,1959142,2086
2016-09-08,13.521,13.671,13.352,13.501,1546119,2086
2016-09-09,13.283,13.392,12.634,12.764,2359458,2086
2016-09-12,12.654,13.382,12.504,13.213,2932346,2086
2016-09-13,12.944,13.093,12.424,12.664,2529272,2086
2016-09-14,12.854,13.661,12.814,13.541,3328919,2086
2016-09-15,13.461,13.919,13.223,13.651,2717413,2086
2016-09-16,13.7,14.548,13.661,14.508,4876178,2086
2016-09-19,14.518,14.712,14.059,14.398,3296541,2086
2016-09-20,14.369,14.548,14.019,14.059,1984655,2086
2016-09-21,14.239,14.787,14.069,14.687,2694325,2086
2016-09-22,14.797,14.986,14.438,14.936,2650388,2086
2016-09-23,14.877,15.235,14.817,15.075,2254045,2086
2016-09-26,14.897,14.986,14.488,14.548,2086579,2086
2016-09-27,14.468,15.095,14.418,14.916,1957623,2086
