Date,Open,High,Low,Close,Volume,stock_id
2007-11-15,27.599,27.599,27.599,27.599,0,2720
2007-11-16,27.599,28.08,26.497,27.418,6130660,2720
2007-11-19,27.325,27.325,23.993,26.92,1192177,2720
2007-11-20,26.92,26.957,24.841,25.946,559269,2720
2007-11-21,25.741,26.461,25.54,26.423,472968,2720
2007-11-23,25.762,27.141,25.762,26.865,137274,2720
2007-11-26,26.885,27.235,26.184,26.682,247980,2720
2007-11-27,26.313,26.865,25.946,26.865,455306,2720
2007-11-28,26.773,27.141,26.682,27.141,251238,2720
2007-11-29,27.214,27.418,26.682,27.325,192113,2720
2007-11-30,27.507,28.54,27.47,28.54,658071,2720
2007-12-03,27.988,28.338,27.804,28.171,248306,2720
2007-12-04,28.171,28.524,27.839,27.895,255317,2720
2007-12-05,28.154,28.154,27.435,28.025,373845,2720
2007-12-06,28.964,28.964,27.729,28.154,187384,2720
2007-12-07,27.235,28.154,27.235,28.061,156080,2720
2007-12-10,28.061,28.43,27.895,28.154,137712,2720
2007-12-11,28.154,28.171,27.196,28.154,172547,2720
2007-12-12,28.889,28.889,27.821,28.006,210916,2720
2007-12-13,27.693,28.154,27.599,28.08,109613,2720
2007-12-14,28.061,28.097,27.839,28.061,73585,2720
2007-12-17,28.154,28.301,28.061,28.061,122658,2720
2007-12-18,28.207,30.215,27.932,29.075,232001,2720
2007-12-19,30.343,31.556,29.717,30.985,847117,2720
2007-12-20,31.261,31.741,30.268,31.741,198096,2720
2007-12-21,31.719,32.626,30.508,31.719,1227074,2720
2007-12-24,32.46,32.626,31.375,32.586,179502,2720
2007-12-26,32.586,32.663,31.41,32.199,205882,2720
2007-12-27,32.292,32.292,31.097,31.505,143417,2720
2007-12-28,32.733,32.733,31.284,32.112,99195,2720
2007-12-31,32.199,32.901,31.319,32.901,159189,2720
2008-01-02,33.36,33.36,31.375,32.608,815894,2720
2008-01-03,32.608,32.956,31.851,32.733,145733,2720
2008-01-04,32.365,32.626,31.393,31.429,317927,2720
2008-01-07,31.597,32.644,31.556,32.496,212495,2720
2008-01-08,32.698,32.698,31.429,31.942,203686,2720
2008-01-09,32.018,32.331,31.319,32.292,126160,2720
2008-01-10,31.981,32.385,31.261,32.018,201812,2720
2008-01-11,31.832,32.272,31.52,31.703,272824,2720
2008-01-14,31.869,32.331,31.52,32.221,126500,2720
2008-01-15,31.851,32.901,31.851,32.199,282216,2720
2008-01-16,32.072,34.652,31.741,32.991,320150,2720
2008-01-17,34.98,34.98,33.16,33.583,307173,2720
2008-01-18,34.519,34.519,32.644,33.619,218489,2720
2008-01-22,32.348,36.415,31.393,36.048,300012,2720
2008-01-23,35.293,36.007,34.189,35.149,388538,2720
2008-01-24,35.986,36.325,33.637,34.925,246911,2720
2008-01-25,35.418,35.418,34.228,34.907,75445,2720
2008-01-28,34.98,36.14,34.189,35.261,183865,2720
2008-01-29,35.532,35.532,34.078,34.959,144476,2720
2008-01-30,34.59,35.281,33.782,35.052,229785,2720
