Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,111.6,112.48,110.24,112.24,55382,2565
2005-02-28,111.76,113.84,111.76,113.2,62010,2565
2005-03-01,113.28,115.36,112.8,114.4,55190,2565
2005-03-02,113.84,115.84,112.88,114.72,62240,2565
2005-03-03,114.24,116.16,113.36,115.36,90091,2565
2005-03-04,115.52,116.0,113.84,114.4,39412,2565
2005-03-07,114.24,114.56,113.2,113.44,40068,2565
2005-03-08,114.08,114.88,112.88,114.4,71914,2565
2005-03-09,113.68,114.4,112.24,112.96,74476,2565
2005-03-10,113.52,115.76,112.56,113.52,64738,2565
2005-03-11,113.6,118.0,113.2,115.28,75184,2565
2005-03-14,115.12,116.32,113.84,115.28,49044,2565
2005-03-15,115.52,117.12,114.96,115.36,42646,2565
2005-03-16,114.8,115.52,112.8,112.96,81415,2565
2005-03-17,113.68,118.16,112.8,117.12,64800,2565
2005-03-18,117.04,117.84,114.56,115.44,91476,2565
2005-03-21,115.44,116.32,114.4,114.8,29082,2565
2005-03-22,114.64,116.0,112.88,113.68,33917,2565
2005-03-23,113.04,114.24,112.56,112.72,23247,2565
2005-03-24,113.28,114.32,112.4,112.56,35462,2565
2005-03-28,112.32,115.04,112.32,113.76,40059,2565
2005-03-29,113.44,114.32,111.04,112.0,37954,2565
2005-03-30,112.4,115.2,112.0,114.24,42566,2565
2005-03-31,113.6,114.8,113.52,114.0,51709,2565
2005-04-01,114.48,115.2,112.24,114.08,35916,2565
2005-04-04,113.36,114.48,111.84,113.44,48196,2565
2005-04-05,113.68,116.72,113.04,116.4,64395,2565
2005-04-06,116.32,117.2,114.72,114.88,67327,2565
2005-04-07,115.04,115.76,112.4,112.88,53392,2565
2005-04-08,112.32,114.4,111.52,111.6,42126,2565
2005-04-11,111.68,112.56,111.36,112.0,48947,2565
2005-04-12,111.76,112.48,110.72,112.0,92497,2565
2005-04-13,111.52,112.72,109.6,110.64,39553,2565
2005-04-14,110.72,110.72,109.2,109.36,40910,2565
2005-04-15,109.36,111.12,108.0,108.0,33988,2565
2005-04-18,108.4,109.92,107.76,108.4,45124,2565
2005-04-19,107.76,110.08,107.76,109.76,35759,2565
2005-04-20,110.16,111.36,107.76,108.72,42748,2565
2005-04-21,108.72,111.36,108.72,109.84,40410,2565
2005-04-22,115.52,115.52,107.2,107.68,127445,2565
2005-04-25,108.8,109.04,106.32,107.2,52074,2565
2005-04-26,106.32,107.6,105.6,105.76,61171,2565
2005-04-27,105.52,107.04,105.12,105.2,26814,2565
2005-04-28,105.2,105.84,103.2,103.36,58796,2565
2005-04-29,104.0,105.04,102.88,103.84,58636,2565
2005-05-02,104.0,106.08,104.0,106.08,54035,2565
2005-05-03,106.24,106.24,95.44,100.16,163099,2565
2005-05-04,100.0,100.56,97.2,100.0,54641,2565
2005-05-05,99.28,101.6,99.28,100.4,45466,2565
2005-05-06,100.72,100.96,99.52,99.6,27473,2565
2005-05-09,99.92,99.92,99.12,99.6,58601,2565
2005-05-10,100.8,101.68,96.48,98.0,81224,2565
2005-05-11,98.24,98.24,94.0,95.04,100758,2565
2005-05-12,95.2,96.0,94.32,94.64,71370,2565
2005-05-13,95.2,95.2,91.68,92.88,110978,2565
2005-05-16,93.04,94.96,92.56,93.68,56119,2565
2005-05-17,92.72,93.92,91.2,92.0,100433,2565
2005-05-18,92.4,97.28,92.08,96.88,199881,2565
2005-05-19,97.04,101.04,96.56,99.52,99168,2565
2005-05-20,99.28,99.68,98.08,98.72,65146,2565
2005-05-23,98.48,100.56,98.48,100.56,58473,2565
2005-05-24,101.12,101.84,100.08,101.2,48731,2565
2005-05-25,100.16,100.56,99.12,99.2,29548,2565
2005-05-26,98.96,100.72,98.8,100.56,38082,2565
2005-05-27,99.68,100.0,98.8,99.12,14227,2565
2005-05-31,98.96,100.64,98.96,99.92,66774,2565
2005-06-01,99.68,102.08,99.44,101.12,50558,2565
2005-06-02,100.56,102.8,99.76,102.32,49349,2565
2005-06-03,102.0,102.88,101.92,102.32,42921,2565
2005-06-06,102.08,104.56,102.08,104.48,62250,2565
2005-06-07,104.64,105.12,103.6,104.32,59338,2565
2005-06-08,104.32,104.32,102.96,103.44,64763,2565
2005-06-09,102.8,102.8,99.28,99.6,99187,2565
2005-06-10,99.28,100.96,97.04,100.96,31749,2565
2005-06-13,100.08,100.8,98.88,100.08,19414,2565
2005-06-14,100.24,103.04,99.12,103.04,41361,2565
2005-06-15,103.2,103.68,101.2,102.0,61386,2565
2005-06-16,101.6,102.8,100.8,101.68,22000,2565
2005-06-17,101.12,101.44,97.04,97.6,149248,2565
