Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,2.9034,3.043,2.9034,3.043,11025,1015
2005-02-28,2.9932,3.053,2.8535,3.0031,16538,1015
2005-03-01,3.1029,3.2725,3.083,3.0929,5913,1015
2005-03-02,3.073,3.073,2.9932,3.0331,9722,1015
2005-03-03,3.0031,3.0131,2.9832,2.9932,34479,1015
2005-03-04,3.0131,3.0231,3.0031,3.0031,1103,1015
2005-03-07,3.0231,3.0929,2.9832,3.0929,9421,1015
2005-03-08,3.0031,3.073,3.0031,3.073,7417,1015
2005-03-09,3.073,3.083,3.073,3.073,13832,1015
2005-03-10,2.9932,2.9932,2.9932,2.9932,702,1015
2005-03-11,3.0929,3.1428,3.0331,3.043,3308,1015
2005-03-14,3.1428,3.3424,2.9932,3.083,20146,1015
2005-03-15,3.1927,3.4521,3.1927,3.2925,10223,1015
2005-03-16,3.2725,3.492,3.2725,3.2925,19444,1015
2005-03-17,3.1927,3.2725,3.0929,3.2027,16437,1015
2005-03-18,3.2825,3.2825,3.2426,3.2426,1303,1015
2005-03-21,3.2925,3.2925,3.2027,3.2526,6816,1015
2005-03-22,3.502,4.5296,3.502,4.5296,396003,1015
2005-03-23,4.5895,5.3877,4.5795,4.6893,319228,1015
2005-03-24,4.7392,4.9886,4.3002,4.7491,149742,1015
2005-03-28,4.7791,5.2879,4.6194,5.2181,178607,1015
2005-03-29,5.1183,5.5772,4.39,4.7192,243656,1015
2005-03-30,4.7092,4.9786,4.2902,4.4997,128192,1015
2005-03-31,4.4997,4.9886,4.4897,4.9786,51317,1015
2005-04-01,4.9886,5.3877,4.9886,5.0485,94816,1015
2005-04-04,4.9886,5.1881,4.8888,4.9387,38788,1015
2005-04-05,4.8489,4.9786,4.7891,4.9088,24756,1015
2005-04-06,4.9287,5.2879,4.9287,5.268,60939,1015
2005-04-07,5.3677,6.3555,5.3677,5.9963,414445,1015
2005-04-08,6.2457,6.6348,6.136,6.4752,306299,1015
2005-04-11,6.565,6.6648,5.7369,5.7768,186926,1015
2005-04-12,5.7868,5.8766,5.1682,5.2879,137313,1015
2005-04-13,5.258,6.2457,5.258,5.9165,245861,1015
2005-04-14,6.0861,6.3455,5.7469,6.0162,90306,1015
2005-04-15,5.7868,6.1659,5.4176,5.7369,104138,1015
2005-04-18,5.687,5.687,4.4897,4.7591,212986,1015
2005-04-19,4.5596,5.4076,4.5596,5.3977,141723,1015
2005-04-20,5.5373,5.8865,5.238,5.2879,68757,1015
2005-04-21,5.238,5.9364,5.238,5.677,124584,1015
2005-04-22,5.7768,5.9364,5.4875,5.5573,62042,1015
2005-04-25,5.5872,6.1759,5.5872,5.7369,70360,1015
2005-04-26,5.8865,6.1759,5.7868,5.9364,130197,1015
2005-04-27,5.9863,6.2557,5.9364,6.116,57932,1015
2005-04-28,6.136,6.6847,6.136,6.4852,102734,1015
2005-04-29,6.4852,6.6348,6.0063,6.1759,152147,1015
2005-05-02,6.1958,6.4752,6.1859,6.4652,73668,1015
2005-05-03,6.4852,6.5351,6.126,6.5351,78780,1015
2005-05-04,6.4852,6.6348,6.3854,6.545,107646,1015
2005-05-05,6.5849,6.6348,6.4353,6.4752,124183,1015
2005-05-06,6.6249,6.8344,6.4952,6.6448,231528,1015
2005-05-09,6.8843,6.984,6.6648,6.8444,212785,1015
2005-05-10,7.4729,7.4829,6.984,7.2335,209478,1015
2005-05-11,7.4829,7.5827,7.2335,7.5627,152949,1015
2005-05-12,8.1314,8.8498,7.6824,8.1314,472678,1015
2005-05-13,8.1713,8.2112,7.2933,7.2933,227820,1015
2005-05-16,8.0217,8.0217,6.7745,7.014,186425,1015
2005-05-17,6.984,7.7822,6.7945,7.6026,164074,1015
2005-05-18,7.7523,8.0316,7.6126,7.6924,194544,1015
2005-05-19,7.882,8.1813,7.8321,8.0316,256184,1015
2005-05-20,8.0316,8.3808,8.0316,8.2312,146835,1015
2005-05-23,8.3709,8.4307,8.1314,8.2012,131901,1015
2005-05-24,8.1314,8.3709,7.3831,8.3609,200457,1015
2005-05-25,8.2611,8.3709,7.7323,8.0915,82789,1015
2005-05-26,8.1015,8.6502,8.1015,8.6003,93213,1015
2005-05-27,8.6303,8.8298,7.9818,8.3709,171090,1015
2005-05-31,8.8398,9.4783,8.6702,9.3786,421562,1015
2005-06-01,9.678,9.907,9.3786,9.818,346591,1015
2005-06-02,9.907,10.426,9.907,10.197,312212,1015
2005-06-03,10.476,10.925,10.217,10.775,254480,1015
2005-06-06,10.975,12.142,10.975,11.913,443812,1015
2005-06-07,12.412,12.97,12.352,12.821,430783,1015
2005-06-08,12.97,12.97,10.087,10.815,1150023,1015
2005-06-09,10.785,11.454,9.4783,10.526,720343,1015
2005-06-10,10.526,11.214,10.336,10.935,244658,1015
2005-06-13,10.975,11.763,10.885,11.574,277533,1015
2005-06-14,11.773,12.442,11.753,12.372,328149,1015
2005-06-15,12.611,12.821,11.783,12.711,315620,1015
2005-06-16,12.711,12.94,12.222,12.412,176803,1015
2005-06-17,12.462,12.471,11.374,11.763,307301,1015
2005-06-20,11.963,11.973,10.686,11.304,282544,1015
2005-06-21,11.504,12.322,11.304,12.042,231127,1015
2005-06-22,12.092,12.352,11.035,11.564,239647,1015
2005-06-23,11.574,11.574,10.676,11.154,203564,1015
2005-06-24,11.154,11.154,9.4783,10.227,410236,1015
2005-06-27,10.197,10.277,9.678,9.808,214489,1015
2005-06-28,9.967,10.666,9.967,10.576,113459,1015
2005-06-29,10.676,10.716,9.798,10.107,107646,1015
2005-06-30,10.077,10.107,9.3386,9.688,108848,1015
2005-07-01,9.4883,9.678,8.73,9.2788,221405,1015
2005-07-05,9.2289,9.2289,8.1314,8.9795,276531,1015
2005-07-06,9.0792,9.967,8.7201,9.728,192339,1015
2005-07-07,9.658,9.758,9.3885,9.588,80283,1015
2005-07-08,9.588,9.957,9.508,9.628,75973,1015
2005-07-11,9.718,10.696,9.688,10.506,170088,1015
2005-07-12,10.606,11.174,10.576,11.174,201860,1015
2005-07-13,11.174,11.314,10.257,10.725,144530,1015
2005-07-14,10.825,11.174,10.296,10.516,76274,1015
2005-07-15,10.416,10.516,10.167,10.406,54324,1015
2005-07-18,10.277,10.676,9.877,10.157,93814,1015
2005-07-19,10.227,10.706,10.167,10.446,87800,1015
2005-07-20,10.346,11.204,10.277,11.075,187227,1015
2005-07-21,11.284,11.743,11.224,11.673,186626,1015
2005-07-22,11.673,11.763,11.125,11.274,71864,1015
2005-07-25,11.284,11.334,8.5405,8.8997,959689,1015
2005-07-26,8.8997,8.9695,8.5804,8.75,197350,1015
2005-07-27,8.75,8.9795,8.5704,8.9196,107646,1015
2005-07-28,8.9196,8.9296,7.9818,8.3709,234234,1015
2005-07-29,8.331,8.331,7.9618,8.0017,194343,1015
2005-08-01,8.0017,8.7201,8.0017,8.5804,212685,1015
2005-08-02,8.1314,8.1314,6.984,7.0339,656097,1015
2005-08-03,6.7346,7.4131,6.7346,7.1337,195145,1015
2005-08-04,7.3332,8.1214,7.3332,7.6824,758330,1015
2005-08-05,7.6824,7.7822,7.4829,7.7423,94215,1015
2005-08-08,7.6824,7.6824,7.0339,7.1038,135910,1015
2005-08-09,7.0838,7.0938,6.6448,6.8743,144530,1015
2005-08-10,6.8144,7.1636,6.7845,6.9441,83992,1015
2005-08-11,6.9441,7.2534,6.9242,7.0838,76775,1015
2005-08-12,7.0339,7.0339,6.8244,6.9741,61941,1015
2005-08-15,6.8843,6.8843,5.9863,6.2856,210280,1015
2005-08-16,6.2357,6.3854,5.9065,6.1559,138015,1015
2005-08-17,6.136,6.2357,5.7868,5.9165,165277,1015
2005-08-18,5.9165,5.9863,5.4875,5.687,187227,1015
2005-08-19,5.687,6.3255,5.5074,6.1859,313114,1015
2005-08-22,6.2856,6.984,6.2856,6.984,460851,1015
2005-08-23,7.0339,7.3831,7.0339,7.1936,255483,1015
2005-08-24,7.2035,7.2035,6.5251,6.6348,248066,1015
2005-08-25,6.5849,6.7346,6.4952,6.7246,84393,1015
2005-08-26,6.7146,6.7146,6.2856,6.555,116867,1015
2005-08-29,6.4552,6.6648,6.0961,6.4353,132803,1015
2005-08-30,6.2956,6.5151,6.1859,6.4054,91609,1015
2005-08-31,6.3056,6.6747,6.1958,6.6249,93112,1015
2005-09-01,6.7346,6.9641,6.5849,6.8344,106042,1015
2005-09-02,6.7845,6.7845,6.3854,6.4952,80484,1015
2005-09-06,6.4852,6.4852,6.2158,6.3654,65048,1015
2005-09-07,6.3854,6.4952,6.3754,6.4552,69258,1015
2005-09-08,6.4054,6.4952,6.3954,6.4852,28465,1015
2005-09-09,6.4952,6.6348,6.3954,6.575,72866,1015
2005-09-12,6.6348,6.6747,6.555,6.6348,44702,1015
2005-09-13,6.6348,6.6348,6.545,6.5949,34479,1015
2005-09-14,6.5351,6.575,6.106,6.2357,106042,1015
2005-09-15,6.2357,6.4652,6.1958,6.4652,49212,1015
2005-09-16,6.4353,6.4353,6.136,6.3255,62042,1015
2005-09-19,6.3754,6.3754,6.0362,6.0861,74069,1015
2005-09-20,6.0362,6.3255,6.0362,6.126,48310,1015
2005-09-21,6.1659,6.1659,5.9863,6.106,72866,1015
2005-09-22,5.9863,6.0861,5.7369,6.0162,65950,1015
2005-09-23,6.0162,6.1659,5.8367,6.1659,54324,1015
2005-09-26,6.1759,6.3156,5.9564,6.0861,30971,1015
2005-09-27,6.0063,6.0761,5.8865,5.9664,26460,1015
2005-09-28,5.9165,5.9564,5.5373,5.677,94516,1015
2005-09-29,5.6471,5.677,5.5174,5.5673,50816,1015
2005-09-30,5.3877,5.7369,5.238,5.6571,37987,1015
2005-10-03,5.6571,5.6571,5.268,5.4276,66652,1015
2005-10-04,5.3877,5.3877,4.9786,5.1881,141824,1015
2005-10-05,5.0884,5.0884,4.5895,4.829,149040,1015
2005-10-06,4.7891,4.8988,4.6893,4.7591,58032,1015
2005-10-07,4.829,4.9287,4.6893,4.9287,66852,1015
2005-10-10,4.8888,4.9487,4.8888,4.9387,12929,1015
2005-10-11,4.8888,4.9287,4.809,4.8888,13330,1015
2005-10-12,4.7891,4.799,4.6593,4.7392,28064,1015
2005-10-13,4.6394,4.6394,4.2902,4.4897,70661,1015
2005-10-14,4.4398,4.4498,4.2004,4.39,51417,1015
2005-10-17,4.38,4.38,4.1904,4.2603,46707,1015
2005-10-18,4.2603,4.6593,4.2303,4.6194,80083,1015
2005-10-19,4.6194,4.7192,4.5296,4.6593,50114,1015
2005-10-20,4.6593,4.7392,4.4099,4.5895,39290,1015
2005-10-21,4.8389,4.8888,4.5895,4.6693,49914,1015
2005-10-24,4.829,4.829,4.6693,4.6793,45404,1015
2005-10-25,4.7292,4.799,4.6494,4.7891,24857,1015
2005-10-26,4.8489,4.9786,4.799,4.9188,36684,1015
2005-10-27,4.8489,4.9886,4.8389,4.9487,24556,1015
2005-10-28,4.9188,4.9188,4.6893,4.7192,18843,1015
2005-10-31,4.7192,4.7192,4.4099,4.4398,65249,1015
