Date,Open,High,Low,Close,Volume,stock_id
2012-08-23,21.607,21.607,21.511,21.572,621788,4639
2012-08-24,21.598,21.632,21.519,21.607,598214,4639
2012-08-27,21.607,21.65,21.563,21.623,392088,4639
2012-08-28,21.616,21.668,21.589,21.589,861046,4639
2012-08-29,21.623,21.685,21.623,21.65,573021,4639
2012-08-30,21.677,21.685,21.632,21.668,343532,4639
2012-08-31,21.685,21.693,21.65,21.693,181825,4639
2012-09-04,21.659,21.693,21.641,21.659,455817,4639
2012-09-05,21.677,21.693,21.598,21.616,1144159,4639
2012-09-06,21.641,21.677,21.598,21.668,1164084,4639
2012-09-07,21.668,21.693,21.632,21.693,590050,4639
2012-09-10,21.677,21.685,21.65,21.685,401355,4639
2012-09-11,21.685,21.693,21.659,21.693,575000,4639
2012-09-12,21.693,21.693,21.641,21.677,438540,4639
2012-09-13,21.693,21.693,21.659,21.685,335183,4639
2012-09-14,21.685,21.693,21.607,21.65,493344,4639
2012-09-17,21.65,21.668,21.598,21.616,307815,4639
2012-09-18,21.632,21.641,21.58,21.589,476740,4639
2012-09-19,21.607,21.641,21.519,21.546,417575,4639
2012-09-20,21.554,21.65,21.538,21.65,284734,4639
2012-09-21,21.632,21.632,21.554,21.572,231610,4639
2012-09-24,21.589,21.607,21.529,21.607,272495,4639
2012-09-25,21.607,21.623,21.546,21.563,379963,4639
2012-09-26,21.563,21.58,21.511,21.572,387464,4639
2012-09-27,21.589,21.693,21.58,21.693,293551,4639
2012-09-28,21.685,21.71,21.65,21.71,258295,4639
2012-10-01,22.56,22.56,21.65,21.668,340210,4639
2012-10-02,21.693,21.693,21.65,21.65,701121,4639
2012-10-03,21.693,21.693,21.65,21.677,411400,4639
2012-10-04,21.693,21.729,21.677,21.701,422690,4639
2012-10-05,21.737,21.78,21.737,21.754,295473,4639
2012-10-08,21.78,21.867,21.78,21.867,689127,4639
2012-10-09,21.859,21.953,21.85,21.927,1568871,4639
2012-10-10,21.911,22.023,21.911,21.962,617841,4639
2012-10-11,21.997,22.023,21.953,22.023,520083,4639
2012-10-12,22.023,22.058,21.971,22.023,323742,4639
2012-10-15,22.014,22.023,21.927,22.005,284742,4639
2012-10-16,22.041,22.041,21.962,22.041,960049,4639
2012-10-17,22.066,22.075,21.936,21.962,622149,4639
2012-10-18,21.971,21.997,21.936,21.936,1295776,4639
2012-10-19,21.971,22.023,21.867,21.953,3296465,4639
2012-10-22,21.911,21.936,21.876,21.892,658653,4639
2012-10-23,21.883,21.892,21.841,21.859,147169,4639
2012-10-24,21.883,21.92,21.79,21.798,508533,4639
2012-10-25,21.841,21.859,21.798,21.806,261407,4639
2012-10-26,21.841,21.841,21.754,21.78,277980,4639
