Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,54.5,54.5,54.5,54.5,20,6523
2005-03-01,50.5,50.5,50.5,50.5,50,6523
2005-03-07,50.0,51.0,50.0,51.0,25,6523
2005-03-08,51.0,51.0,45.2,45.2,55,6523
2005-03-09,45.2,45.2,45.1,45.1,40,6523
2005-03-10,48.3,48.3,48.3,48.3,120,6523
2005-03-11,51.0,51.0,50.0,50.0,200,6523
2005-03-14,52.0,52.0,50.5,51.0,110,6523
2005-03-16,52.0,52.0,52.0,52.0,140,6523
2005-03-17,52.0,52.0,52.0,52.0,225,6523
2005-03-21,52.0,52.0,52.0,52.0,10,6523
2005-03-23,52.0,52.0,52.0,52.0,10,6523
2005-03-30,52.5,52.5,47.5,47.5,170,6523
2005-03-31,45.1,45.1,45.1,45.1,70,6523
2005-04-05,51.9,51.9,51.9,51.9,50,6523
2005-04-06,52.0,52.0,52.0,52.0,97,6523
2005-04-07,47.5,51.9,41.0,41.0,860,6523
2005-04-08,35.1,40.4,32.5,32.5,675,6523
2005-04-11,33.5,33.5,30.0,30.0,545,6523
2005-04-12,30.0,30.0,22.5,25.0,495,6523
2005-04-13,25.0,25.0,25.0,25.0,200,6523
2005-04-14,25.0,25.0,25.0,25.0,15,6523
2005-04-19,30.0,30.0,28.0,28.0,500,6523
2005-04-20,28.5,28.5,25.5,25.5,802,6523
2005-04-21,25.5,25.5,25.1,25.1,89,6523
2005-04-25,25.8,25.8,25.8,25.8,30,6523
2005-04-29,25.8,30.0,25.0,25.8,465,6523
2005-05-02,25.0,25.0,23.0,23.0,195,6523
2005-05-03,22.0,23.0,20.0,23.0,40,6523
2005-05-05,25.0,25.0,25.0,25.0,825,6523
2005-05-10,25.0,25.0,25.0,25.0,20,6523
2005-05-11,23.0,23.0,23.0,23.0,20,6523
2005-05-12,23.3,23.3,23.0,23.0,220,6523
2005-05-13,22.0,22.0,22.0,22.0,50,6523
2005-05-16,19.6,19.6,19.6,19.6,100,6523
2005-05-17,19.6,19.6,18.5,19.6,243,6523
2005-05-18,20.0,20.0,20.0,20.0,180,6523
2005-05-19,20.0,20.0,20.0,20.0,25,6523
2005-05-23,18.0,18.0,18.0,18.0,34,6523
2005-05-24,18.0,18.0,18.0,18.0,130,6523
2005-05-25,20.0,20.0,20.0,20.0,30,6523
2005-05-26,20.0,20.0,20.0,20.0,225,6523
2005-05-27,16.1,19.5,16.1,19.5,470,6523
2005-06-02,20.0,20.0,20.0,20.0,110,6523
2005-06-03,19.0,19.0,14.0,14.0,777,6523
2005-06-06,17.0,17.0,17.0,17.0,80,6523
2005-06-07,17.0,17.5,17.0,17.5,301,6523
2005-06-08,17.5,17.5,17.5,17.5,173,6523
2005-06-10,17.5,18.0,17.5,18.0,190,6523
2005-06-14,18.5,18.5,18.5,18.5,10,6523
2005-06-16,20.0,20.0,19.0,19.0,210,6523
2005-06-17,19.0,19.0,18.9,18.9,70,6523
2005-06-20,14.0,14.0,14.0,14.0,10,6523
2005-06-21,14.0,15.0,14.0,15.0,218,6523
2005-06-22,15.0,15.1,15.0,15.0,100,6523
2005-06-27,14.0,17.5,14.0,15.0,279,6523
2005-06-28,16.5,16.5,16.0,16.0,650,6523
2005-06-29,20.0,20.0,16.0,16.0,90,6523
2005-07-01,14.2,14.5,14.2,14.2,1020,6523
2005-07-06,14.2,14.2,14.2,14.2,100,6523
2005-07-07,14.5,14.5,14.5,14.5,120,6523
2005-07-08,14.2,14.2,14.2,14.2,100,6523
2005-07-11,16.8,18.0,16.8,17.5,300,6523
2005-07-12,17.0,17.0,16.8,16.8,121,6523
2005-07-13,16.8,16.8,16.8,16.8,48,6523
2005-07-14,16.8,16.8,16.8,16.8,20,6523
2005-07-15,15.0,15.1,15.0,15.0,400,6523
2005-07-18,14.2,14.5,14.1,14.1,598,6523
2005-07-19,14.1,22.5,14.1,21.0,3340,6523
2005-07-20,20.5,21.0,16.5,18.0,1560,6523
2005-07-21,18.5,19.8,18.0,19.3,1355,6523
2005-07-22,19.8,19.8,19.0,19.8,1111,6523
2005-07-25,20.5,22.5,19.9,22.5,2068,6523
2005-07-26,23.0,31.8,23.0,25.1,6327,6523
2005-07-27,28.0,29.5,28.0,28.1,1614,6523
2005-07-28,29.5,30.1,28.1,30.1,1208,6523
2005-07-29,32.0,32.5,27.5,28.7,2199,6523
2005-08-01,28.8,29.0,22.0,27.0,1231,6523
2005-08-02,27.0,27.5,22.4,23.0,631,6523
2005-08-03,26.9,26.9,22.5,23.0,877,6523
2005-08-04,23.0,23.0,23.0,23.0,60,6523
2005-08-05,23.0,23.1,19.8,20.2,939,6523
2005-08-08,20.5,25.0,20.5,25.0,2010,6523
2005-08-09,26.1,26.1,20.9,25.0,536,6523
2005-08-10,26.2,26.2,21.0,26.0,954,6523
2005-08-11,21.0,24.0,21.0,24.0,216,6523
2005-08-12,25.0,25.0,22.0,25.0,415,6523
2005-08-15,25.0,25.5,21.6,21.6,871,6523
2005-08-16,21.6,24.9,21.6,24.0,75,6523
2005-08-17,22.5,23.3,20.1,21.0,625,6523
2005-08-18,20.0,21.6,20.0,21.6,245,6523
2005-08-19,22.0,23.7,21.5,22.0,485,6523
2005-08-22,22.5,23.6,21.0,23.6,408,6523
2005-08-23,23.6,23.6,23.6,23.6,42,6523
2005-08-24,22.6,22.6,21.5,22.6,210,6523
2005-08-25,25.0,25.0,25.0,25.0,220,6523
2005-08-26,22.0,22.0,20.5,20.5,20,6523
2005-08-29,21.0,28.0,20.5,28.0,1125,6523
2005-08-30,27.0,27.0,25.0,25.0,314,6523
2005-08-31,25.0,26.5,23.0,26.5,905,6523
2005-09-01,26.5,26.5,26.0,26.0,726,6523
2005-09-02,26.5,28.0,26.0,26.0,534,6523
2005-09-06,28.0,28.0,26.0,28.0,484,6523
2005-09-07,28.0,28.5,26.5,26.5,910,6523
2005-09-08,28.5,28.5,27.9,27.9,234,6523
2005-09-09,27.5,28.5,27.5,27.5,365,6523
2005-09-12,28.5,28.5,27.5,27.5,866,6523
2005-09-13,28.0,28.0,25.1,25.1,794,6523
2005-09-14,26.0,26.0,25.1,25.5,173,6523
2005-09-15,25.5,25.5,25.5,25.5,150,6523
2005-09-16,25.5,26.0,25.5,25.5,291,6523
2005-09-19,26.0,27.7,26.0,27.7,636,6523
2005-09-20,26.6,27.7,23.1,27.7,531,6523
2005-09-21,27.7,27.7,27.7,27.7,75,6523
2005-09-27,23.1,25.5,23.1,23.1,329,6523
2005-09-28,23.1,23.5,22.2,22.2,873,6523
2005-09-29,22.2,25.0,22.2,25.0,360,6523
2005-09-30,25.0,25.0,24.5,25.0,672,6523
2005-10-03,23.3,24.9,23.3,24.9,40,6523
2005-10-04,24.0,24.8,24.0,24.8,150,6523
2005-10-05,24.8,24.8,22.5,22.5,340,6523
2005-10-06,22.5,24.0,22.0,24.0,260,6523
2005-10-07,22.1,22.1,21.1,21.1,650,6523
2005-10-10,22.0,24.0,22.0,24.0,275,6523
2005-10-11,24.0,24.0,24.0,24.0,380,6523
2005-10-13,24.3,24.3,20.5,20.5,867,6523
2005-10-14,24.0,24.0,24.0,24.0,10,6523
2005-10-17,24.0,24.0,21.8,21.8,380,6523
2005-10-18,21.9,22.1,20.6,20.6,1112,6523
2005-10-19,21.1,21.1,21.1,21.1,30,6523
2005-10-20,21.1,21.1,20.6,20.6,573,6523
2005-10-21,21.1,21.2,21.1,21.2,248,6523
2005-10-24,23.0,23.0,22.0,22.0,280,6523
2005-10-25,22.0,22.0,22.0,22.0,60,6523
2005-10-26,22.0,22.0,21.6,21.6,28,6523
2005-10-27,21.3,21.3,20.2,21.1,440,6523
2005-10-28,20.9,20.9,20.2,20.8,500,6523
2005-10-31,20.8,21.0,20.8,21.0,200,6523
2005-11-01,20.4,20.4,15.0,17.0,649,6523
2005-11-02,18.0,18.0,16.1,16.1,168,6523
2005-11-03,17.0,17.0,17.0,17.0,193,6523
2005-11-04,18.0,18.1,18.0,18.1,130,6523
2005-11-07,18.1,19.0,18.1,19.0,102,6523
2005-11-08,19.0,19.0,19.0,19.0,450,6523
2005-11-09,19.0,19.0,16.7,17.5,650,6523
2005-11-10,16.1,18.0,16.1,17.0,754,6523
2005-11-11,16.8,17.0,16.8,17.0,505,6523
2005-11-14,17.0,17.0,16.6,17.0,322,6523
2005-11-15,17.0,17.0,16.6,17.0,240,6523
2005-11-16,17.5,19.3,17.5,19.3,95,6523
2005-11-17,19.3,19.3,18.8,19.2,463,6523
2005-11-18,18.4,19.2,18.4,19.2,200,6523
2005-11-21,19.2,19.2,18.1,18.1,552,6523
2005-11-22,18.0,19.5,18.0,19.5,1280,6523
2005-11-23,20.0,21.5,20.0,21.5,250,6523
2005-11-25,21.5,22.0,21.5,21.9,975,6523
2005-11-28,22.0,22.0,21.0,22.0,798,6523
2005-11-29,20.0,22.0,20.0,22.0,290,6523
2005-11-30,21.0,22.0,19.7,22.0,120,6523
2005-12-01,21.5,21.5,19.5,19.5,370,6523
2005-12-05,21.5,22.0,21.5,22.0,97,6523
2005-12-06,22.0,22.0,20.5,20.5,92,6523
2005-12-07,18.5,20.0,18.5,19.0,550,6523
2005-12-08,20.0,20.5,20.0,20.0,200,6523
2005-12-09,19.0,19.0,19.0,19.0,60,6523
2005-12-12,19.0,20.5,19.0,20.0,825,6523
2005-12-13,20.0,20.0,19.0,19.5,420,6523
2005-12-14,19.3,19.3,19.0,19.0,125,6523
2005-12-15,18.5,20.5,18.5,20.0,570,6523
2005-12-16,19.0,19.0,19.0,19.0,130,6523
2005-12-20,19.0,19.0,18.5,18.5,110,6523
2005-12-21,18.5,18.5,17.7,17.7,499,6523
2005-12-22,17.7,17.7,17.7,17.7,115,6523
2005-12-23,17.7,18.0,15.6,18.0,715,6523
2005-12-27,17.0,17.0,16.0,16.3,342,6523
2005-12-28,16.2,16.5,16.2,16.5,20,6523
2005-12-29,17.0,17.0,16.2,16.3,403,6523
2005-12-30,16.5,16.5,16.0,16.0,550,6523
2006-01-04,16.0,16.0,15.4,15.4,195,6523
2006-01-05,16.0,16.2,16.0,16.2,300,6523
2006-01-06,16.0,16.0,15.5,16.0,1589,6523
2006-01-09,16.2,16.2,16.2,16.2,30,6523
2006-01-10,16.3,17.5,16.3,17.5,650,6523
2006-01-11,16.2,17.5,16.2,17.5,773,6523
2006-01-12,16.2,16.2,13.0,14.3,1033,6523
2006-01-13,13.0,16.5,13.0,16.5,2880,6523
2006-01-17,15.0,16.0,15.0,16.0,500,6523
2006-01-18,15.5,15.5,14.6,14.6,110,6523
2006-01-19,15.0,15.0,14.8,14.8,800,6523
2006-01-20,14.3,14.3,12.0,13.0,2121,6523
2006-01-23,12.0,12.5,6.0,9.5,6625,6523
2006-01-24,8.5,10.0,8.0,8.2,4630,6523
2006-01-25,8.5,8.5,8.0,8.0,1107,6523
2006-01-26,8.0,9.0,8.0,8.7,1320,6523
2006-01-27,9.8,10.0,9.2,9.4,10364,6523
2006-01-30,9.8,9.8,8.1,8.6,1935,6523
2006-01-31,9.0,9.0,7.7,7.8,5075,6523
2006-02-01,7.8,9.0,7.8,8.0,1260,6523
2006-02-02,8.0,8.5,6.2,8.0,2140,6523
2006-02-03,7.2,9.4,7.2,8.0,4330,6523
2006-02-06,8.4,8.5,8.0,8.0,1949,6523
2006-02-07,8.0,8.0,7.3,8.0,2637,6523
2006-02-08,7.3,7.3,7.3,7.3,390,6523
2006-02-09,7.3,8.0,6.7,7.1,2009,6523
2006-02-10,7.9,7.9,7.2,7.9,1482,6523
2006-02-13,7.9,7.9,7.2,7.5,4477,6523
2006-02-14,7.5,7.5,6.9,6.9,2950,6523
