Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,43.5,43.55,42.85,42.85,5535,4673
2005-02-28,43.25,43.85,42.75,42.9,5885,4673
2005-03-01,42.95,43.15,41.4,41.6,55097,4673
2005-03-02,42.0,42.0,40.6,40.7,24254,4673
2005-03-03,40.3,40.6,38.8,39.0,27651,4673
2005-03-04,38.75,39.5,37.95,39.5,31255,4673
2005-03-07,37.75,40.4,37.75,39.55,10025,4673
2005-03-08,41.75,41.75,39.7,40.25,18407,4673
2005-03-09,40.15,40.4,39.5,39.9,21897,4673
2005-03-10,39.7,40.0,38.4,38.8,24808,4673
2005-03-11,38.0,39.1,38.0,38.35,15776,4673
2005-03-14,38.75,38.95,36.1,37.3,46298,4673
2005-03-15,37.2,38.25,37.0,37.8,24817,4673
2005-03-16,37.55,38.65,36.95,37.9,26162,4673
2005-03-17,38.2,38.2,32.9,35.15,143076,4673
2005-03-18,32.55,35.0,28.0,33.75,489322,4673
2005-03-21,32.75,33.5,32.25,32.95,49860,4673
2005-03-22,33.5,34.85,32.7,33.95,51003,4673
2005-03-23,33.75,33.85,32.2,32.55,37179,4673
2005-03-24,32.9,33.5,32.5,32.75,16110,4673
2005-03-28,33.55,33.55,31.65,31.75,53323,4673
2005-03-29,31.9,32.6,31.75,32.15,17854,4673
2005-03-30,32.25,32.25,30.85,31.7,82518,4673
2005-03-31,31.2,31.55,30.4,31.0,48634,4673
2005-04-01,31.6,31.85,30.5,31.1,54296,4673
2005-04-04,31.25,32.0,31.25,31.55,30409,4673
2005-04-05,31.25,31.85,31.25,31.5,20940,4673
2005-04-06,31.3,32.0,31.15,32.0,12309,4673
2005-04-07,32.0,32.9,31.3,32.55,101546,4673
2005-04-08,33.35,33.35,32.4,32.65,31791,4673
2005-04-11,33.7,33.7,31.35,31.35,22863,4673
2005-04-12,31.35,32.15,30.65,32.15,18267,4673
2005-04-13,31.35,31.35,30.4,30.75,22434,4673
2005-04-14,31.3,31.3,29.25,29.8,23020,4673
2005-04-15,29.65,30.35,29.3,29.65,37573,4673
2005-04-18,29.95,30.25,28.4,29.15,41663,4673
2005-04-19,28.4,30.25,28.4,30.25,14558,4673
2005-04-20,29.75,29.9,28.7,28.9,18805,4673
2005-04-21,29.05,29.65,28.5,29.65,15931,4673
2005-04-22,29.55,29.6,28.7,28.95,9439,4673
2005-04-25,28.5,29.8,28.5,28.8,18210,4673
2005-04-26,29.0,30.4,28.75,30.4,48272,4673
2005-04-27,30.35,30.35,29.4,30.0,37195,4673
2005-04-28,29.5,30.45,29.35,29.5,26424,4673
2005-04-29,29.5,29.8,29.5,29.5,8035,4673
2005-05-02,29.75,30.45,29.55,30.1,17025,4673
2005-05-03,30.3,31.85,30.25,31.75,35160,4673
2005-05-04,31.8,31.95,31.1,31.25,26264,4673
2005-05-05,31.55,31.8,31.35,31.6,7030,4673
2005-05-06,31.65,33.0,31.5,32.55,55359,4673
2005-05-09,32.25,33.35,31.9,32.15,27320,4673
2005-05-10,31.9,32.5,31.35,32.0,9804,4673
2005-05-11,31.15,31.5,30.6,31.1,29489,4673
2005-05-12,31.0,31.05,29.2,30.0,26201,4673
2005-05-13,30.15,30.35,29.5,29.7,16353,4673
2005-05-16,29.5,31.1,29.0,30.0,36839,4673
2005-05-17,30.55,30.55,29.65,29.7,33484,4673
2005-05-18,29.75,29.95,27.25,28.65,93884,4673
2005-05-19,28.6,28.9,27.9,28.6,29311,4673
2005-05-20,28.5,28.8,27.8,27.85,32768,4673
2005-05-23,27.8,28.1,26.35,27.15,60729,4673
2005-05-24,27.05,29.0,27.05,28.5,23280,4673
2005-05-25,28.25,28.25,27.7,27.7,48805,4673
2005-05-26,28.4,28.4,27.65,28.05,38393,4673
2005-05-27,27.95,28.6,27.7,28.2,6621,4673
2005-05-31,27.9,28.3,27.5,27.5,21363,4673
2005-06-01,27.5,28.35,27.5,28.0,6915,4673
2005-06-02,27.75,28.1,27.4,27.7,14817,4673
2005-06-03,27.75,28.1,27.15,28.0,18360,4673
2005-06-06,27.65,28.2,27.45,27.85,8983,4673
2005-06-07,27.8,28.25,27.65,27.85,5446,4673
2005-06-08,28.05,29.0,27.95,28.45,4932,4673
2005-06-09,28.7,28.7,27.8,28.0,4735,4673
2005-06-10,28.55,28.55,27.65,28.1,8060,4673
2005-06-13,28.15,28.15,27.1,27.8,8040,4673
2005-06-14,27.55,28.0,27.55,28.0,5727,4673
2005-06-15,28.0,28.25,27.7,27.9,15500,4673
2005-06-16,27.95,28.95,27.9,28.4,36200,4673
2005-06-17,28.5,29.15,28.35,29.15,26657,4673
2005-06-20,28.4,29.0,28.4,28.75,13383,4673
2005-06-21,28.5,28.55,28.0,28.5,4716,4673
2005-06-22,28.0,28.6,28.0,28.3,2730,4673
2005-06-23,28.7,28.8,28.25,28.3,4954,4673
2005-06-24,28.0,28.6,27.5,28.2,18509,4673
2005-06-27,28.35,28.4,27.5,27.9,7919,4673
2005-06-28,27.9,28.0,27.35,27.6,7724,4673
2005-06-29,27.5,28.5,27.5,28.0,20492,4673
2005-06-30,28.05,28.05,26.4,26.45,36247,4673
2005-07-01,27.1,29.95,27.1,29.95,26676,4673
2005-07-05,29.55,29.85,27.9,29.0,40026,4673
2005-07-06,29.05,29.5,28.55,29.25,13829,4673
2005-07-07,28.85,30.25,27.7,29.85,26188,4673
2005-07-08,29.95,30.85,29.95,30.5,39857,4673
2005-07-11,31.15,31.25,30.6,30.95,17836,4673
2005-07-12,30.9,31.35,30.35,30.7,12615,4673
