Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,12.1,12.5,11.2,11.89,4743,1793
2005-02-28,11.1,12.3,11.1,12.3,3134,1793
2005-03-01,11.0,11.9,11.0,11.9,5688,1793
2005-03-02,11.99,12.0,11.6,11.98,769,1793
2005-03-03,11.82,12.25,11.75,11.9,4260,1793
2005-03-04,11.75,12.25,11.75,12.25,4132,1793
2005-03-07,12.25,12.45,12.0,12.25,7076,1793
2005-03-08,12.25,13.7,12.25,12.85,4046,1793
2005-03-09,12.8,12.8,12.05,12.5,3906,1793
2005-03-10,12.8,12.8,11.95,12.0,20780,1793
2005-03-11,11.85,11.85,11.75,11.75,2400,1793
2005-03-14,12.1,12.2,12.0,12.0,260,1793
2005-03-15,12.05,12.15,11.95,12.15,1450,1793
2005-03-16,12.45,12.45,11.85,11.85,5120,1793
2005-03-17,11.85,11.85,11.8,11.8,205,1793
2005-03-18,12.2,12.25,12.15,12.25,2215,1793
2005-03-21,12.0,12.0,11.75,11.95,3107,1793
2005-03-22,11.85,12.5,11.7,12.1,2885,1793
2005-03-23,12.06,12.3,11.55,11.55,5285,1793
2005-03-24,11.2,11.95,10.0,11.9,53674,1793
2005-03-28,11.6,11.9,11.0,11.9,2759,1793
2005-03-29,11.6,11.79,11.25,11.79,40927,1793
2005-03-30,11.15,11.45,10.95,11.3,1920,1793
2005-03-31,11.1,12.0,11.0,11.85,2779,1793
2005-04-01,11.25,11.25,11.0,11.1,1100,1793
2005-04-04,11.05,11.2,10.75,11.0,4176,1793
2005-04-05,11.1,11.1,11.0,11.05,480,1793
2005-04-06,11.15,11.28,11.15,11.15,170,1793
2005-04-07,11.0,11.1,10.75,10.8,2280,1793
2005-04-08,10.85,10.95,10.85,10.95,492,1793
2005-04-11,10.8,10.95,10.8,10.85,120,1793
2005-04-12,10.9,11.25,10.9,11.05,5460,1793
2005-04-13,11.2,11.2,11.0,11.0,4180,1793
2005-04-14,11.0,11.0,10.65,10.75,18000,1793
2005-04-15,10.75,10.8,10.75,10.8,3100,1793
2005-04-18,10.8,11.0,10.75,11.0,1720,1793
2005-04-19,10.9,10.9,10.35,10.9,5223,1793
2005-04-20,10.7,10.7,10.55,10.55,665,1793
2005-04-21,10.6,10.6,9.95,10.2,2943,1793
2005-04-22,10.05,10.05,9.25,9.45,44970,1793
2005-04-25,10.25,10.3,9.05,9.15,28079,1793
2005-04-26,9.4,11.25,9.4,10.0,58498,1793
2005-04-27,10.25,10.5,9.75,10.1,4700,1793
2005-04-28,10.1,10.1,9.5,9.95,1260,1793
2005-04-29,10.05,10.05,9.45,9.45,1780,1793
2005-05-02,9.6,9.65,8.5,9.45,5007,1793
2005-05-03,9.7,10.0,9.4,9.4,2670,1793
2005-05-04,9.25,9.5,9.25,9.45,1095,1793
2005-05-05,10.0,10.0,8.75,9.3,7011,1793
2005-05-06,10.25,11.75,10.0,11.75,57862,1793
2005-05-09,11.65,12.65,11.0,12.45,55566,1793
