Date,Open,High,Low,Close,Volume,stock_id
2011-06-15,100.0,101.5,85.5,90.5,47650,3039
2011-06-16,92.0,98.5,90.5,95.5,39790,3039
2011-06-17,100.5,102.5,84.5,101.0,39964,3039
2011-06-20,95.0,99.0,94.0,98.5,14392,3039
2011-06-21,95.5,97.5,94.5,97.0,24025,3039
2011-06-22,95.5,102.0,95.5,97.5,26398,3039
2011-06-23,94.5,96.5,92.5,95.0,32079,3039
2011-06-24,95.0,102.5,92.5,99.5,527716,3039
2011-06-27,97.0,99.0,95.5,98.5,33843,3039
2011-06-28,98.5,100.5,98.0,99.5,23972,3039
2011-06-29,98.0,99.0,97.5,98.0,19615,3039
2011-06-30,83.0,84.5,77.5,79.0,162443,3039
2011-07-01,84.5,84.5,82.0,83.5,58287,3039
2011-07-05,82.5,83.0,79.5,80.0,38399,3039
2011-07-06,79.5,79.5,74.0,75.5,51045,3039
2011-07-07,76.0,76.0,73.5,75.0,35519,3039
2011-07-08,72.0,75.0,70.0,74.0,51505,3039
2011-07-11,72.5,72.5,69.0,70.0,37753,3039
2011-07-12,67.0,73.5,67.0,69.5,36435,3039
2011-07-13,71.5,72.0,70.5,71.0,17389,3039
2011-07-14,71.0,72.0,67.5,68.0,22549,3039
2011-07-15,69.5,70.5,69.0,69.5,19374,3039
2011-07-18,66.5,68.0,63.0,63.5,34343,3039
2011-07-19,67.5,67.5,65.5,67.0,23896,3039
2011-07-20,69.0,69.0,67.0,67.5,10909,3039
2011-07-21,68.5,76.5,67.5,76.5,60009,3039
2011-07-22,74.0,77.5,72.5,76.0,34249,3039
2011-07-25,71.5,74.5,71.0,73.5,22347,3039
2011-07-26,72.0,72.0,68.5,68.5,19768,3039
2011-07-27,68.5,69.5,64.0,65.0,24138,3039
2011-07-28,68.0,69.5,65.0,66.5,19939,3039
2011-07-29,66.5,68.0,65.5,67.5,15187,3039
2011-08-01,69.5,69.5,65.5,67.0,20238,3039
2011-08-02,65.5,65.5,63.0,63.0,20628,3039
2011-08-03,65.5,66.0,62.0,65.0,30937,3039
2011-08-04,62.0,62.0,58.0,58.5,60169,3039
2011-08-05,61.5,62.5,59.0,60.0,27634,3039
2011-08-08,56.0,57.0,50.0,52.5,58755,3039
2011-08-09,54.0,58.0,52.5,58.0,35417,3039
2011-08-10,55.0,56.0,52.0,52.5,31079,3039
2011-08-11,54.0,54.5,52.0,53.5,31474,3039
2011-08-12,55.5,56.0,54.0,54.0,23846,3039
2011-08-15,54.5,59.0,54.5,58.5,16957,3039
2011-08-16,57.5,58.5,56.5,57.5,23796,3039
2011-08-17,63.0,77.0,61.0,67.5,122932,3039
2011-08-18,65.0,65.5,60.0,60.0,49455,3039
2011-08-19,63.0,64.0,60.0,60.0,32934,3039
2011-08-22,63.0,63.5,58.5,61.0,36491,3039
2011-08-23,59.5,60.0,58.0,59.5,29524,3039
2011-08-24,59.0,60.0,58.5,59.0,15125,3039
2011-08-25,59.5,60.0,57.0,57.0,27102,3039
2011-08-26,57.0,57.5,56.0,57.0,21974,3039
2011-08-29,57.5,61.0,57.0,59.0,64361,3039
2011-08-30,57.5,58.0,57.0,57.0,26696,3039
2011-08-31,65.0,66.0,58.0,59.0,132008,3039
2011-09-01,63.0,64.0,59.5,59.5,47842,3039
2011-09-02,59.0,60.5,57.0,59.5,24310,3039
