Date,Open,High,Low,Close,Volume,stock_id
2008-12-29,2.25,2.25,2.25,2.25,40,910
2008-12-30,2.5,2.5,2.25,2.25,600,910
2008-12-31,2.25,2.25,2.0,2.0,1920,910
2009-01-07,3.125,3.125,3.125,3.125,200,910
2009-01-08,3.25,3.375,3.25,3.25,9120,910
2009-01-09,3.625,4.25,3.625,4.25,1860,910
2009-01-12,4.5,4.5,4.5,4.5,100,910
2009-01-13,3.75,3.75,3.0,3.0,720,910
2009-01-14,3.0,3.0,3.0,3.0,40,910
2009-01-15,3.5,4.25,3.5,3.75,1380,910
2009-01-20,3.5,3.5,3.5,3.5,200,910
2009-01-21,3.5,3.5,3.25,3.5,2040,910
2009-01-22,3.5,5.25,3.5,4.5,3896,910
2009-01-23,3.5,4.5,3.5,4.25,4440,910
2009-01-26,4.5,4.5,3.875,4.25,1800,910
2009-01-27,3.75,4.0,3.75,4.0,452,910
2009-01-28,3.75,4.25,3.75,4.25,640,910
2009-01-29,3.75,3.75,3.75,3.75,300,910
2009-01-30,3.75,3.75,3.75,3.75,34,910
2009-02-03,4.25,4.25,4.25,4.25,100,910
2009-02-04,3.75,3.75,2.5,3.5,23260,910
2009-02-05,3.5,4.25,3.0,3.75,3600,910
2009-02-06,3.0,3.5,3.0,3.5,1160,910
2009-02-09,2.75,3.25,2.75,3.25,5648,910
2009-02-10,2.75,3.125,2.625,3.0,6800,910
2009-02-11,2.625,2.75,2.5,2.75,4268,910
2009-02-13,2.75,4.5,2.5,3.75,11000,910
2009-02-17,3.75,3.75,2.5,2.75,9278,910
2009-02-18,2.75,2.75,2.625,2.75,2400,910
2009-02-19,2.75,2.75,2.75,2.75,3200,910
2009-02-20,2.75,3.25,2.5,3.25,4680,910
2009-02-24,2.75,2.875,2.625,2.725,4000,910
2009-02-25,2.5,2.5,2.5,2.5,1800,910
2009-02-26,3.75,3.75,2.5,2.75,3600,910
2009-02-27,2.5,3.5,2.5,3.5,500,910
2009-03-02,2.5,2.5,2.0,2.25,3356,910
2009-03-03,2.0,2.875,2.0,2.875,1240,910
2009-03-05,2.5,2.5,2.125,2.125,4581,910
