Date,Open,High,Low,Close,Volume,stock_id
2015-09-22,21.777,21.821,21.777,21.803,961734,6597
2015-09-23,21.821,21.848,21.795,21.848,432412,6597
2015-09-24,21.821,21.848,21.821,21.839,243468,6597
2015-09-25,21.864,21.944,21.848,21.944,344381,6597
2015-09-28,21.909,21.935,21.777,21.848,219114,6597
2015-09-29,21.864,21.864,21.811,21.821,228447,6597
2015-09-30,21.864,21.909,21.803,21.909,405305,6597
2015-10-01,21.9,21.9,21.811,21.839,139733,6597
2015-10-02,21.811,21.811,21.733,21.811,124587,6597
2015-10-05,21.811,21.83,21.724,21.742,139239,6597
2015-10-06,21.769,21.803,21.716,21.803,125158,6597
2015-10-07,21.821,21.839,21.749,21.795,147021,6597
2015-10-08,21.83,21.882,21.759,21.777,116388,6597
2015-10-09,21.811,21.83,21.769,21.83,79718,6597
2015-10-12,21.839,21.909,21.839,21.909,72167,6597
2015-10-13,21.909,21.909,21.83,21.882,105684,6597
2015-10-14,21.892,21.9,21.848,21.882,168775,6597
2015-10-15,21.909,21.909,21.811,21.856,155791,6597
2015-10-16,21.892,21.909,21.856,21.892,159776,6597
2015-10-19,21.909,21.944,21.864,21.935,148388,6597
2015-10-20,21.909,21.954,21.893,21.954,194838,6597
2015-10-21,21.954,22.023,21.935,21.996,165014,6597
2015-10-22,22.013,22.04,21.978,21.987,162623,6597
2015-10-23,22.023,22.04,21.954,21.996,261132,6597
2015-10-26,22.023,22.023,21.944,21.971,122652,6597
2015-10-27,21.971,21.996,21.954,21.961,138936,6597
2015-10-28,21.996,22.048,21.961,22.013,177543,6597
2015-10-29,22.04,22.04,21.987,22.013,169000,6597
2015-10-30,22.04,22.067,21.987,22.031,148501,6597
2015-11-02,22.085,22.155,22.04,22.12,241123,6597
2015-11-03,22.11,22.251,22.085,22.145,174238,6597
2015-11-04,22.172,22.226,22.137,22.172,240682,6597
2015-11-05,22.189,22.226,22.102,22.155,175037,6597
2015-11-06,22.172,22.172,21.954,22.023,139962,6597
2015-11-09,22.058,22.067,21.935,22.048,155020,6597
2015-11-10,22.11,22.189,22.023,22.172,254298,6597
2015-11-11,22.216,22.295,22.172,22.242,151349,6597
2015-11-12,22.242,22.259,22.181,22.216,98509,6597
2015-11-13,22.216,22.216,22.137,22.145,76526,6597
2015-11-16,22.145,22.207,21.978,22.102,192005,6597
2015-11-17,22.128,22.128,22.023,22.085,101129,6597
2015-11-18,22.093,22.11,22.058,22.085,109098,6597
2015-11-19,22.137,22.145,21.996,22.058,114338,6597
2015-11-20,22.085,22.12,22.048,22.075,82224,6597
2015-11-23,22.128,22.137,22.085,22.11,131647,6597
2015-11-24,22.137,22.145,22.075,22.085,89626,6597
2015-11-25,22.145,22.172,22.085,22.085,115818,6597
2015-11-27,22.128,22.155,22.102,22.155,28471,6597
2015-11-30,22.172,22.287,22.12,22.12,146908,6597
2015-12-01,22.164,22.226,22.137,22.172,162870,6597
2015-12-02,22.216,22.251,22.199,22.242,95756,6597
2015-12-03,22.251,22.251,22.085,22.11,148086,6597
2015-12-04,22.172,22.172,22.128,22.155,95547,6597
2015-12-07,22.189,22.189,22.102,22.181,231864,6597
2015-12-08,22.189,22.199,22.164,22.164,100607,6597
2015-12-09,22.189,22.216,22.181,22.199,97482,6597
2015-12-10,22.329,22.329,22.223,22.249,111357,6597
2015-12-11,22.276,22.276,22.195,22.195,108216,6597
2015-12-14,22.195,22.214,21.527,21.624,188157,6597
2015-12-15,21.624,21.811,21.232,21.499,245813,6597
2015-12-16,21.581,21.731,21.581,21.715,182680,6597
2015-12-17,21.741,21.973,21.741,21.839,151839,6597
2015-12-18,21.883,21.999,21.803,21.839,96105,6597
2015-12-21,21.999,22.026,21.918,21.973,94759,6597
2015-12-22,22.016,22.026,21.946,21.981,110264,6597
2015-12-23,22.016,22.052,21.973,21.999,124140,6597
2015-12-24,22.044,22.044,21.973,22.035,56070,6597
2015-12-28,22.098,22.195,22.016,22.124,61892,6597
2015-12-29,22.195,22.338,22.151,22.24,101302,6597
2015-12-30,22.267,22.464,22.168,22.373,87756,6597
2015-12-31,22.454,22.454,22.329,22.454,49992,6597
2016-01-04,22.356,22.497,22.204,22.48,116442,6597
2016-01-05,22.472,22.658,22.464,22.55,168609,6597
2016-01-06,22.543,22.55,22.356,22.472,111268,6597
2016-01-07,22.401,22.597,22.382,22.464,125128,6597
2016-01-08,22.56,22.56,22.356,22.41,187032,6597
2016-01-11,22.497,22.497,22.293,22.293,85696,6597
2016-01-12,22.32,22.382,22.044,22.115,127155,6597
2016-01-13,22.285,22.293,21.91,21.91,149466,6597
2016-01-14,21.91,22.177,21.901,22.141,149732,6597
2016-01-15,22.098,22.098,21.768,21.83,145178,6597
2016-01-19,22.186,22.186,21.883,21.937,138606,6597
2016-01-20,22.044,22.044,21.063,21.589,350512,6597
2016-01-21,21.687,21.821,21.527,21.811,110184,6597
2016-01-22,21.999,22.07,21.874,22.052,109791,6597
2016-01-25,22.115,22.115,21.594,21.668,161881,6597
2016-01-26,21.749,21.843,21.589,21.642,158070,6597
2016-01-27,21.741,21.804,21.668,21.749,88794,6597
2016-01-28,21.848,21.848,21.723,21.83,117499,6597
2016-01-29,21.883,22.115,21.848,22.105,155278,6597
2016-02-01,22.115,22.132,22.009,22.098,84972,6597
2016-02-02,22.105,22.105,22.035,22.052,100351,6597
2016-02-03,22.026,22.026,21.893,22.009,65947,6597
2016-02-04,22.052,22.052,21.918,21.963,81135,6597
2016-02-05,22.052,22.07,21.963,22.062,135815,6597
2016-02-08,22.026,22.026,21.668,21.811,85934,6597
2016-02-09,21.794,21.821,21.554,21.749,110304,6597
2016-02-10,21.918,21.963,21.657,21.839,91534,6597
2016-02-11,21.715,21.74,21.045,21.232,62136,6597
2016-02-12,21.624,21.805,21.382,21.695,49220,6597
2016-02-16,21.893,21.999,21.589,21.606,114099,6597
2016-02-17,21.839,22.016,21.839,21.999,86924,6597
2016-02-18,22.026,22.132,21.981,21.99,121740,6597
2016-02-19,21.981,22.016,21.848,21.918,138813,6597
2016-02-22,22.079,22.098,21.864,21.91,115565,6597
2016-02-23,21.981,22.026,21.687,21.839,68167,6597
