Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,20.4,21.3,20.4,21.25,11800,2666
2005-02-28,19.5,21.2,19.25,20.4,95200,2666
2005-03-01,20.45,21.18,20.45,20.89,30100,2666
2005-03-02,20.75,21.12,20.5,20.62,14000,2666
2005-03-03,20.75,21.17,20.74,21.11,17400,2666
2005-03-04,21.36,21.36,21.02,21.09,16100,2666
2005-03-07,21.0,21.01,20.63,20.68,12200,2666
2005-03-08,20.65,20.65,20.52,20.55,21400,2666
2005-03-09,20.5,20.5,20.2,20.36,7000,2666
2005-03-10,20.35,20.41,20.21,20.32,11500,2666
2005-03-11,20.3,20.3,19.89,19.99,15600,2666
2005-03-14,19.86,19.86,19.36,19.65,16400,2666
2005-03-15,19.9,20.37,19.9,20.16,18500,2666
2005-03-16,20.14,20.3,20.14,20.2,44300,2666
2005-03-17,20.2,20.38,20.12,20.32,6600,2666
2005-03-18,20.32,20.4,20.2,20.23,24500,2666
2005-03-21,20.11,20.19,20.05,20.08,10400,2666
2005-03-22,20.01,20.01,19.74,19.76,9000,2666
2005-03-23,19.77,19.77,19.15,19.16,10400,2666
2005-03-24,19.26,19.34,19.12,19.12,12300,2666
2005-03-28,19.15,19.21,19.15,19.17,14900,2666
2005-03-29,19.1,19.85,19.1,19.85,21100,2666
2005-03-30,19.8,20.2,19.52,20.0,20200,2666
2005-03-31,20.0,20.0,19.82,20.0,21600,2666
2005-04-01,19.9,19.97,18.56,19.1,55400,2666
2005-04-04,19.15,19.44,19.15,19.36,19100,2666
2005-04-05,19.3,19.61,19.3,19.61,10300,2666
2005-04-06,19.61,19.97,19.61,19.97,10300,2666
2005-04-07,19.95,20.12,19.83,20.05,5300,2666
2005-04-08,20.14,20.14,20.0,20.0,7200,2666
2005-04-11,19.75,20.0,19.75,19.97,12100,2666
2005-04-12,19.97,20.12,19.8,20.1,25200,2666
2005-04-13,20.15,20.39,20.15,20.31,8000,2666
2005-04-14,20.24,20.4,19.99,20.0,10200,2666
2005-04-15,20.05,20.05,18.37,18.37,14400,2666
2005-04-18,18.3,18.3,17.85,17.96,11400,2666
2005-04-19,18.06,18.1,17.95,18.0,16500,2666
2005-04-20,17.99,18.0,17.42,17.42,15900,2666
2005-04-21,17.43,17.76,17.43,17.64,33100,2666
2005-04-22,17.57,17.7,17.46,17.68,25000,2666
2005-04-25,17.6,17.82,17.6,17.82,15800,2666
2005-04-26,17.88,18.06,17.8,18.0,28200,2666
2005-04-27,17.99,18.09,17.96,18.0,8400,2666
2005-04-28,18.0,18.0,17.93,17.94,11700,2666
2005-04-29,17.9,17.99,17.85,17.85,15200,2666
2005-05-02,18.85,18.93,18.76,18.77,23800,2666
2005-05-03,18.77,18.77,18.51,18.52,15700,2666
2005-05-04,18.47,18.78,18.47,18.72,13000,2666
2005-05-05,18.7,18.7,18.14,18.15,8000,2666
2005-05-06,18.2,18.2,17.87,17.88,10800,2666
2005-05-09,17.75,18.0,17.71,17.81,16300,2666
2005-05-10,17.81,18.0,17.79,17.97,26400,2666
2005-05-11,17.95,18.05,17.9,17.93,8100,2666
2005-05-12,18.0,18.02,17.8,17.8,11800,2666
2005-05-13,17.8,17.8,17.12,17.12,8100,2666
2005-05-16,17.2,17.45,17.2,17.4,43000,2666
2005-05-17,17.4,17.4,17.18,17.38,10900,2666
2005-05-18,17.39,17.68,17.33,17.55,21000,2666
2005-05-19,17.6,17.73,17.45,17.5,8000,2666
2005-05-20,17.35,17.44,17.3,17.41,5100,2666
2005-05-23,17.4,17.42,17.0,17.01,16500,2666
2005-05-24,17.0,17.01,16.9,16.91,24600,2666
2005-05-25,17.25,17.25,16.9,16.9,32300,2666
2005-05-26,16.92,16.96,16.77,16.8,12800,2666
2005-05-27,17.1,17.1,16.82,16.94,20900,2666
2005-05-31,16.85,16.85,16.45,16.45,24900,2666
2005-06-01,16.2,16.6,16.2,16.46,35900,2666
2005-06-02,16.55,16.85,16.48,16.84,118400,2666
2005-06-03,16.9,17.28,16.58,16.65,25800,2666
2005-06-06,16.7,16.78,16.55,16.78,14500,2666
2005-06-07,16.85,17.6,16.72,17.5,38000,2666
2005-06-08,17.6,17.6,17.1,17.1,9300,2666
2005-06-09,17.05,17.11,16.95,17.05,23600,2666
2005-06-10,17.02,17.06,17.0,17.06,30200,2666
2005-06-13,17.1,17.29,17.1,17.25,28000,2666
2005-06-14,17.25,17.37,17.25,17.32,16100,2666
2005-06-15,17.42,17.52,17.42,17.51,22700,2666
2005-06-16,17.51,17.71,17.45,17.68,28800,2666
2005-06-17,17.84,17.85,17.71,17.8,39600,2666
2005-06-20,17.82,17.82,17.52,17.55,16800,2666
2005-06-21,17.55,17.56,16.96,17.0,23900,2666
2005-06-22,17.0,17.01,16.74,16.89,61300,2666
2005-06-23,16.83,16.91,16.5,16.62,51700,2666
2005-06-24,16.62,16.89,16.62,16.87,319300,2666
2005-06-27,16.87,17.0,16.84,16.97,10000,2666
2005-06-28,17.05,17.25,17.0,17.13,13100,2666
2005-06-29,17.24,17.24,16.82,16.94,14200,2666
2005-06-30,16.9,16.98,16.9,16.91,19800,2666
2005-07-01,16.96,16.99,16.9,16.99,11000,2666
2005-07-05,17.0,17.1,16.9,17.1,39200,2666
