Date,Open,High,Low,Close,Volume,stock_id
2006-12-12,38.082,38.082,38.082,38.082,0,6164
2006-12-13,39.668,40.412,38.113,38.395,8146262,6164
2006-12-14,37.932,39.668,37.464,37.619,3616267,6164
2006-12-15,37.464,38.082,35.909,37.306,1528814,6164
2006-12-18,37.153,37.215,34.604,35.877,1159598,6164
2006-12-19,35.443,35.94,34.974,35.598,1007105,6164
2006-12-20,35.291,36.373,35.161,36.315,602476,6164
2006-12-21,35.754,36.529,35.505,36.001,450274,6164
2006-12-22,35.754,36.065,35.472,35.781,537566,6164
2006-12-26,35.472,36.001,35.291,35.94,246671,6164
2006-12-27,35.781,36.502,35.754,36.373,314924,6164
2006-12-28,35.909,36.315,35.814,36.219,324861,6164
2006-12-29,35.968,36.686,35.968,36.686,377391,6164
2007-01-03,35.135,36.686,35.135,36.686,947794,6164
2007-01-04,35.909,36.373,35.909,36.065,525119,6164
2007-01-05,36.065,36.156,35.443,35.754,494112,6164
2007-01-08,35.598,35.909,34.974,35.161,575102,6164
2007-01-09,35.443,35.565,34.79,35.378,480571,6164
2007-01-10,35.192,35.754,35.006,35.54,730203,6164
2007-01-11,35.693,35.877,35.472,35.631,644416,6164
2007-01-12,35.472,36.065,35.257,36.001,597006,6164
2007-01-16,35.443,36.001,35.346,35.781,581052,6164
2007-01-17,35.754,36.343,35.754,36.219,616885,6164
2007-01-18,36.219,36.934,36.034,36.776,726051,6164
2007-01-19,36.529,37.464,36.373,37.464,1112188,6164
2007-01-22,37.464,37.464,36.156,36.373,488580,6164
2007-01-23,36.373,36.934,36.127,36.373,477644,6164
2007-01-24,36.315,36.776,36.251,36.686,363266,6164
2007-01-25,36.594,36.998,36.594,36.934,581987,6164
2007-01-26,36.748,36.934,36.439,36.529,338211,6164
2007-01-29,36.373,36.748,36.219,36.594,409070,6164
2007-01-30,36.594,36.748,36.47,36.623,623060,6164
2007-01-31,36.529,36.776,36.529,36.748,447216,6164
2007-02-01,36.717,36.903,36.623,36.686,373174,6164
2007-02-02,36.655,36.844,36.594,36.686,427564,6164
2007-02-05,36.529,36.81,35.443,36.251,474300,6164
2007-02-06,36.065,36.686,36.065,36.686,415405,6164
2007-02-07,36.47,37.401,36.47,37.215,1489187,6164
2007-02-08,36.998,37.28,36.594,36.998,416401,6164
2007-02-09,36.903,37.306,36.001,36.529,552554,6164
2007-02-12,36.219,36.876,35.909,36.405,376744,6164
2007-02-13,36.065,36.968,36.065,36.876,367254,6164
2007-02-14,36.686,36.934,36.405,36.717,329406,6164
2007-02-15,36.564,37.153,36.439,36.998,360147,6164
2007-02-16,36.686,36.998,35.321,36.502,381472,6164
2007-02-20,35.814,36.748,35.814,36.686,294628,6164
2007-02-21,36.686,36.686,36.127,36.529,282373,6164
2007-02-22,36.594,37.153,36.529,36.686,394724,6164
2007-02-23,36.405,36.529,35.631,36.281,312092,6164
2007-02-26,36.281,36.686,36.034,36.156,221389,6164
2007-02-27,35.909,36.127,32.583,34.974,665775,6164
2007-02-28,34.823,35.291,34.666,35.161,254325,6164
2007-03-01,35.291,35.346,34.384,34.756,246401,6164
2007-03-02,35.443,35.505,34.479,34.849,252878,6164
2007-03-05,33.98,34.292,33.298,33.89,381053,6164
2007-03-06,33.638,34.729,33.638,34.446,300995,6164
2007-03-07,34.262,34.666,34.139,34.572,231103,6164
2007-03-08,34.047,35.565,33.89,35.346,295432,6164
2007-03-09,35.505,35.909,35.291,35.909,391992,6164
2007-03-12,35.598,35.754,35.257,35.727,197589,6164
2007-03-13,35.443,35.631,34.849,34.974,175200,6164
2007-03-14,34.729,35.631,34.201,35.631,386585,6164
