Date,Open,High,Low,Close,Volume,stock_id
2016-11-11,4.25,4.25,4.2,4.2,605,7146
2016-11-14,4.0431,4.0431,4.0431,4.0431,600,7146
2016-11-18,4.0,4.0,4.0,4.0,100,7146
2016-11-21,4.0,4.0,4.0,4.0,150,7146
2016-11-22,4.0,4.0,4.0,4.0,100,7146
2016-11-23,4.0,4.0,2.9,3.54,871,7146
2016-11-29,3.5,3.5,3.0,3.0,3108,7146
2016-11-30,2.75,2.75,2.2,2.2,1353,7146
2016-12-01,2.75,3.5,2.6,3.0,48227,7146
2016-12-02,3.5,3.5,2.8103,3.4541,27017,7146
2016-12-05,3.5,3.5,2.55,3.0,5286,7146
2016-12-06,3.0,3.0,2.56,2.7409,5146,7146
2016-12-07,2.62,2.72,2.58,2.72,1669,7146
2016-12-08,2.65,2.79,2.51,2.74,2785,7146
2016-12-09,2.52,2.53,2.52,2.52,407,7146
2016-12-12,2.65,2.65,2.5928,2.6019,6083,7146
2016-12-13,2.6499,2.6499,2.5201,2.5263,2894,7146
2016-12-14,2.5201,2.5201,2.5201,2.5201,160,7146
2016-12-15,2.52,2.59,2.5073,2.59,4705,7146
2016-12-16,2.513,2.5185,2.48,2.5185,1100,7146
2016-12-19,2.59,2.61,2.25,2.57,12780,7146
2016-12-20,2.64,2.69,2.57,2.57,2014,7146
2016-12-21,2.65,2.99,2.27,2.27,3041,7146
2016-12-22,2.26,2.95,2.26,2.5296,2700,7146
2016-12-23,2.48,2.563,2.44,2.48,1990,7146
2016-12-27,2.4701,2.4701,2.4701,2.4701,2000,7146
2016-12-28,2.51,2.51,2.3,2.3546,2144,7146
2016-12-29,2.34,2.34,2.32,2.32,1226,7146
2016-12-30,2.35,2.35,1.9352,2.26,8640,7146
2017-01-05,2.05,2.3128,2.01,2.3128,1610,7146
2017-01-06,2.0997,2.2897,2.06,2.06,900,7146
2017-01-09,2.5,5.7321,2.1664,5.7,611316,7146
2017-01-10,7.4,15.5,7.25,8.5,2474050,7146
2017-01-11,7.2,7.4503,4.5,6.0,711043,7146
2017-01-12,5.4,6.87,5.0,5.62,340613,7146
2017-01-13,6.2,6.87,5.8,6.08,598033,7146
2017-01-17,6.19,6.19,5.7,5.75,172769,7146
