Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,2.4719,2.4876,2.4719,2.4819,183900,6495
2005-02-28,2.4876,2.4876,2.467,2.4773,267201,6495
2005-03-01,2.4773,2.4876,2.467,2.4819,495760,6495
2005-03-02,2.4773,2.4876,2.4512,2.4719,578480,6495
2005-03-03,2.4773,2.4773,2.4563,2.4773,355365,6495
2005-03-04,2.467,2.4819,2.4563,2.4773,401970,6495
2005-03-07,2.4719,2.4876,2.4719,2.4819,303903,6495
2005-03-08,2.4719,2.4773,2.4563,2.467,278659,6495
2005-03-09,2.467,2.467,2.436,2.4563,320988,6495
2005-03-10,2.4617,2.467,2.436,2.4461,494398,6495
2005-03-11,2.4512,2.4512,2.4102,2.4154,550906,6495
2005-03-14,2.405,2.436,2.3788,2.3846,654794,6495
2005-03-15,2.3998,2.3998,2.3225,2.3277,754800,6495
2005-03-16,2.3225,2.3225,2.2606,2.2761,790534,6495
2005-03-17,2.2708,2.3225,2.2708,2.3069,405266,6495
2005-03-18,2.2867,2.3277,2.2867,2.3277,334001,6495
2005-03-21,2.317,2.317,2.2505,2.2761,619843,6495
2005-03-22,2.2505,2.2813,2.2453,2.2554,373416,6495
2005-03-23,2.2198,2.2402,2.1785,2.204,616350,6495
2005-03-24,2.1942,2.2659,2.1942,2.2659,428376,6495
2005-03-28,2.2867,2.3069,2.1942,2.2453,464490,6495
2005-03-29,2.2453,2.2917,2.2347,2.2813,208356,6495
2005-03-30,2.2402,2.2606,2.2198,2.2505,586246,6495
2005-03-31,2.2606,2.2708,2.2453,2.2659,394002,6495
2005-04-01,2.2917,2.317,2.2659,2.2813,459246,6495
2005-04-04,2.2965,2.317,2.2761,2.3069,422741,6495
2005-04-05,2.3069,2.3382,2.2917,2.3382,191857,6495
2005-04-06,2.3277,2.369,2.3225,2.3633,327396,6495
2005-04-07,2.3487,2.3788,2.343,2.3741,282153,6495
2005-04-08,2.3533,2.3741,2.3327,2.3589,250302,6495
2005-04-11,2.343,2.3487,2.2965,2.3225,347198,6495
2005-04-12,2.2813,2.3327,2.2761,2.3069,315547,6495
2005-04-13,2.2917,2.3069,2.2708,2.2965,277877,6495
2005-04-14,2.2917,2.3022,2.2299,2.2554,251864,6495
2005-04-15,2.2402,2.2606,2.2141,2.2606,289340,6495
2005-04-18,2.2198,2.2813,2.2198,2.2708,361764,6495
2005-04-19,2.2761,2.317,2.2761,2.3069,281375,6495
2005-04-20,2.3069,2.3122,2.2554,2.3022,267201,6495
2005-04-21,2.3022,2.3122,2.2761,2.2917,261568,6495
2005-04-22,2.2813,2.3069,2.2761,2.3022,213797,6495
2005-04-25,2.2867,2.3122,2.2867,2.3069,248553,6495
2005-04-26,2.3069,2.317,2.2867,2.3022,289143,6495
2005-04-27,2.3122,2.3225,2.2965,2.3122,249333,6495
2005-04-28,2.317,2.3327,2.3022,2.3277,375945,6495
2005-04-29,2.3277,2.3277,2.3022,2.317,293026,6495
2005-05-02,2.317,2.3277,2.3122,2.3225,307205,6495
2005-05-03,2.3277,2.3327,2.3122,2.3277,232638,6495
2005-05-04,2.3277,2.3788,2.317,2.3788,584690,6495
2005-05-05,2.3788,2.3846,2.3277,2.3533,262543,6495
2005-05-06,2.343,2.3846,2.343,2.3589,235164,6495
2005-05-09,2.3589,2.3589,2.3382,2.343,286614,6495
2005-05-10,2.3382,2.343,2.2965,2.3069,269142,6495
2005-05-11,2.2965,2.3327,2.2965,2.3327,234967,6495
2005-05-12,2.317,2.3327,2.3022,2.3122,244278,6495
2005-05-13,2.317,2.3277,2.2867,2.2917,323510,6495
2005-05-16,2.2917,2.3022,2.2659,2.2867,313027,6495
2005-05-17,2.2761,2.2813,2.2606,2.2659,353998,6495
2005-05-18,2.2606,2.2813,2.2606,2.2813,289340,6495
2005-05-19,2.2813,2.2813,2.2659,2.2761,227002,6495
2005-05-20,2.2708,2.2813,2.2606,2.2761,273415,6495
2005-05-23,2.2813,2.2867,2.2659,2.2867,437707,6495
2005-05-24,2.2917,2.2965,2.2761,2.2917,405459,6495
2005-05-25,2.2761,2.2761,2.1525,2.1577,1831565,6495
2005-05-26,2.1629,2.204,2.1629,2.1883,1132500,6495
2005-05-27,2.1883,2.2606,2.1883,2.2453,757322,6495
2005-05-31,2.2453,2.2453,2.2198,2.2198,360803,6495
2005-06-01,2.2244,2.2453,2.2244,2.2244,367785,6495
2005-06-02,2.2141,2.2554,2.2141,2.2402,368959,6495
2005-06-03,2.2453,2.2659,2.2402,2.2554,525465,6495
2005-06-06,2.2554,2.2659,2.2554,2.2606,643918,6495
2005-06-07,2.2402,2.2505,2.2244,2.2347,539063,6495
2005-06-08,2.2347,2.2453,2.2244,2.2402,391867,6495
2005-06-09,2.2347,2.2453,2.2244,2.2402,279434,6495
2005-06-10,2.2299,2.2453,2.2141,2.2299,302735,6495
2005-06-13,2.2347,2.2453,2.2141,2.2347,164474,6495
2005-06-14,2.2453,2.2659,2.2198,2.2453,657714,6495
2005-06-15,2.2453,2.2554,2.2198,2.2347,337694,6495
2005-06-16,2.2198,2.2299,2.2198,2.2299,329926,6495
2005-06-17,2.2141,2.2299,2.2141,2.2244,284090,6495
2005-06-20,2.2299,2.2453,2.2141,2.2453,347591,6495
2005-06-21,2.2244,2.2505,2.2198,2.2505,384488,6495
2005-06-22,2.2554,2.2554,2.2453,2.2554,258460,6495
2005-06-23,2.2554,2.2606,2.2505,2.2554,324877,6495
2005-06-24,2.2505,2.2659,2.2402,2.2505,320023,6495
2005-06-27,2.2402,2.2606,2.204,2.2244,587800,6495
2005-06-28,2.2141,2.2347,2.204,2.2244,305847,6495
2005-06-29,2.2198,2.2347,2.2141,2.2347,260210,6495
2005-06-30,2.2347,2.2505,2.2244,2.2505,783348,6495
2005-07-01,2.2299,2.2554,2.2299,2.2453,195543,6495
2005-07-05,2.2299,2.2554,2.2244,2.2554,530135,6495
2005-07-06,2.2453,2.2554,2.2299,2.2554,310306,6495
2005-07-07,2.2244,2.2606,2.2244,2.2453,287782,6495
2005-07-08,2.2402,2.2606,2.2347,2.2347,357303,6495
2005-07-11,2.2141,2.2453,2.2093,2.2347,406238,6495
2005-07-12,2.2244,2.2505,2.2244,2.2453,444107,6495
2005-07-13,2.2141,2.2453,2.2141,2.2402,532652,6495
2005-07-14,2.2402,2.2453,2.2244,2.2347,582171,6495
2005-07-15,2.2299,2.2453,2.2244,2.2453,293026,6495
2005-07-18,2.2299,2.2402,2.2198,2.2299,274194,6495
2005-07-19,2.2347,2.2402,2.2244,2.2402,190107,6495
2005-07-20,2.2244,2.2347,2.2141,2.2244,270306,6495
2005-07-21,2.2198,2.2299,2.2093,2.2141,236518,6495
2005-07-22,2.2198,2.2244,2.2141,2.2244,258269,6495
2005-07-25,2.2244,2.2402,2.2198,2.2402,376725,6495
2005-07-26,2.2244,2.2402,2.2244,2.2299,244477,6495
2005-07-27,2.2402,2.2505,2.2347,2.2402,371281,6495
2005-07-28,2.2453,2.2708,2.2402,2.2708,509932,6495
2005-07-29,2.2606,2.2659,2.2505,2.2659,178462,6495
2005-08-01,2.2659,2.2708,2.2505,2.2606,235940,6495
2005-08-02,2.2505,2.2659,2.2505,2.2659,253998,6495
2005-08-03,2.2659,2.2659,2.2505,2.2606,166418,6495
2005-08-04,2.2554,2.2606,2.2402,2.2554,222734,6495
2005-08-05,2.2505,2.2554,2.2402,2.2554,164474,6495
2005-08-08,2.2453,2.2505,2.2347,2.2453,209129,6495
2005-08-09,2.2299,2.2505,2.2198,2.2453,229532,6495
2005-08-10,2.2453,2.2505,2.2299,2.2453,328362,6495
2005-08-11,2.2402,2.2453,2.2198,2.2347,263120,6495
2005-08-12,2.2244,2.2347,2.204,2.2244,430900,6495
2005-08-15,2.2198,2.2347,2.2141,2.2347,280207,6495
2005-08-16,2.2347,2.2402,2.2198,2.2347,284090,6495
2005-08-17,2.2347,2.2402,2.2198,2.2244,222734,6495
2005-08-18,2.2347,2.2347,2.2093,2.2198,370120,6495
2005-08-19,2.2141,2.2347,2.2141,2.2347,313412,6495
2005-08-22,2.2244,2.2402,2.2244,2.2347,241757,6495
2005-08-23,2.2402,2.2402,2.2198,2.2347,209129,6495
2005-08-24,2.2347,2.2347,2.2244,2.2299,202340,6495
2005-08-25,2.2299,2.2453,2.2244,2.2453,270892,6495
2005-08-26,2.2402,2.2453,2.2244,2.2402,232638,6495
2005-08-29,2.2402,2.2554,2.2244,2.2244,331666,6495
2005-08-30,2.2244,2.2402,2.2198,2.2198,227978,6495
2005-08-31,2.2244,2.2402,2.2198,2.2402,398085,6495
2005-09-01,2.2299,2.2453,2.2244,2.2347,208941,6495
2005-09-02,2.2299,2.2505,2.2299,2.2505,332828,6495
2005-09-06,2.2505,2.2505,2.2347,2.2505,223897,6495
2005-09-07,2.2402,2.2554,2.2299,2.2505,304486,6495
2005-09-08,2.2505,2.2606,2.2402,2.2554,233020,6495
2005-09-09,2.2453,2.2505,2.2402,2.2505,347008,6495
2005-09-12,2.2453,2.2505,2.2198,2.2402,450704,6495
2005-09-13,2.2299,2.2453,2.2244,2.2453,314192,6495
2005-09-14,2.2453,2.2453,2.2244,2.2402,312060,6495
2005-09-15,2.2347,2.2402,2.2244,2.2402,287006,6495
2005-09-16,2.2402,2.2453,2.2244,2.2299,271470,6495
