Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,19.118,20.059,18.948,19.735,1322518,1939
2005-02-28,19.717,20.095,19.462,19.744,769922,1939
2005-03-01,19.673,19.804,19.376,19.528,354096,1939
2005-03-02,19.418,19.528,19.093,19.324,620402,1939
2005-03-03,19.471,19.708,19.263,19.587,726431,1939
2005-03-04,19.673,19.717,19.401,19.614,698260,1939
2005-03-07,19.605,20.392,19.578,20.222,770854,1939
2005-03-08,20.273,20.472,19.846,20.401,439204,1939
2005-03-09,20.401,20.532,20.189,20.323,412783,1939
2005-03-10,20.256,20.658,19.938,20.139,760100,1939
2005-03-11,20.139,20.541,20.059,20.445,275073,1939
2005-03-14,20.401,20.699,20.314,20.615,303480,1939
2005-03-15,20.572,20.856,20.358,20.856,270981,1939
2005-03-16,20.769,20.873,20.015,20.358,641446,1939
2005-03-17,20.273,20.498,19.889,20.481,468427,1939
2005-03-18,20.58,20.699,20.401,20.401,831876,1939
2005-03-21,19.989,20.13,19.462,20.041,625546,1939
2005-03-22,20.103,20.103,19.376,19.479,651498,1939
2005-03-23,19.368,19.487,19.127,19.333,295295,1939
2005-03-24,19.308,19.779,19.118,19.779,315171,1939
2005-03-28,19.762,19.813,19.504,19.804,194993,1939
2005-03-29,19.587,19.762,19.29,19.744,543012,1939
2005-03-30,19.735,19.971,19.504,19.889,240002,1939
2005-03-31,19.804,20.273,19.804,20.103,822644,1939
2005-04-01,20.148,20.436,19.562,20.305,307336,1939
2005-04-04,20.139,20.189,19.804,20.059,332938,1939
2005-04-05,20.015,20.427,19.971,20.365,194526,1939
2005-04-06,20.282,20.282,19.401,19.418,200370,1939
2005-04-07,19.804,19.804,19.085,19.315,200606,1939
2005-04-08,19.229,19.673,19.193,19.673,237429,1939
2005-04-11,19.632,19.717,19.632,19.673,75287,1939
2005-04-12,19.673,19.673,19.453,19.665,166705,1939
2005-04-13,19.605,19.657,18.843,18.86,156649,1939
2005-04-14,18.834,19.043,18.735,18.776,414068,1939
2005-04-15,18.801,18.809,18.434,18.649,112226,1939
2005-04-18,18.178,18.178,17.195,17.706,1131032,1939
2005-04-19,17.706,17.963,17.563,17.732,164247,1939
2005-04-20,17.706,17.836,17.279,17.348,173018,1939
2005-04-21,17.339,17.563,16.896,17.013,348019,1939
2005-04-22,16.929,16.937,16.16,16.169,544416,1939
2005-04-25,16.124,17.33,15.996,17.092,307803,1939
2005-04-26,17.109,17.706,17.066,17.117,355502,1939
2005-04-27,17.117,17.364,17.066,17.151,497655,1939
2005-04-28,17.195,17.39,17.1,17.313,234507,1939
2005-04-29,17.364,17.493,17.109,17.493,281500,1939
2005-05-02,17.451,18.074,17.364,17.801,196044,1939
2005-05-03,17.706,17.955,17.58,17.697,111292,1939
2005-05-04,17.68,17.767,17.416,17.749,125085,1939
2005-05-05,17.854,18.391,17.854,18.264,202126,1939
2005-05-06,17.339,17.339,14.97,16.954,2974934,1939
2005-05-09,16.843,17.057,16.51,16.679,206568,1939
2005-05-10,16.723,16.852,16.476,16.594,312480,1939
2005-05-11,16.636,16.67,16.082,16.244,423888,1939
2005-05-12,16.285,16.32,15.715,16.005,434642,1939
2005-05-13,16.005,16.021,15.697,16.005,309907,1939
2005-05-16,15.944,16.467,15.826,16.398,361345,1939
2005-05-17,16.449,16.594,16.253,16.433,104160,1939
2005-05-18,16.458,16.767,16.424,16.723,665995,1939
2005-05-19,16.697,17.109,16.594,16.987,110941,1939
2005-05-20,16.987,17.186,16.679,16.887,135022,1939
2005-05-23,16.852,16.922,16.594,16.809,166585,1939
2005-05-24,16.723,16.818,16.398,16.723,385660,1939
2005-05-25,16.67,16.723,16.253,16.645,47696,1939
2005-05-26,16.679,17.013,16.51,16.67,46412,1939
2005-05-27,16.67,16.809,16.67,16.809,46290,1939
2005-05-31,16.767,17.238,16.67,17.057,87091,1939
2005-06-01,17.057,17.109,16.602,16.697,106029,1939
2005-06-02,16.67,16.946,16.67,16.896,121459,1939
2005-06-03,16.861,17.066,16.75,16.987,378763,1939
2005-06-06,16.937,17.074,16.679,17.022,126137,1939
2005-06-07,17.013,17.066,16.611,16.697,130931,1939
2005-06-08,16.663,16.878,16.636,16.878,197684,1939
2005-06-09,16.827,16.827,16.636,16.759,38343,1939
2005-06-10,16.67,16.767,16.62,16.741,106499,1939
2005-06-13,16.759,16.784,16.654,16.784,113981,1939
2005-06-14,16.767,17.109,16.67,16.887,327794,1939
2005-06-15,16.852,16.852,16.554,16.562,221530,1939
2005-06-16,16.407,16.546,16.211,16.424,628468,1939
2005-06-17,16.424,16.843,16.381,16.843,253326,1939
2005-06-20,16.759,17.109,16.723,17.066,96209,1939
2005-06-21,17.066,19.571,17.066,19.571,682243,1939
2005-06-22,19.52,19.537,18.86,19.035,662369,1939
2005-06-23,19.035,19.185,18.99,19.169,211709,1939
2005-06-24,19.246,19.41,19.11,19.376,459193,1939
2005-06-27,19.16,19.202,18.718,18.809,273319,1939
2005-06-28,18.818,19.202,18.792,18.913,575746,1939
2005-06-29,18.869,18.887,18.735,18.86,685048,1939
2005-06-30,18.86,18.99,18.801,18.869,283605,1939
2005-07-01,18.904,19.185,18.735,19.16,48631,1939
2005-07-05,19.16,19.16,18.691,18.852,78793,1939
2005-07-06,18.948,19.418,18.939,19.41,75287,1939
2005-07-07,19.324,19.673,19.29,19.605,116316,1939
2005-07-08,19.605,20.365,19.605,20.34,134321,1939
2005-07-11,20.427,20.445,19.614,19.889,119708,1939
2005-07-12,19.726,20.041,19.64,19.965,265132,1939
2005-07-13,19.881,19.956,19.831,19.913,59620,1939
2005-07-14,19.846,19.897,19.7,19.726,98314,1939
2005-07-15,19.673,19.717,19.246,19.462,74583,1939
2005-07-18,19.333,19.383,18.834,18.904,138997,1939
2005-07-19,18.99,19.043,18.769,18.809,146480,1939
2005-07-20,18.727,18.904,18.727,18.801,104745,1939
2005-07-21,18.709,18.735,18.264,18.305,206098,1939
2005-07-22,18.221,18.287,17.741,17.972,672656,1939
2005-07-25,18.014,18.64,17.972,18.264,41150,1939
2005-07-26,18.452,18.476,18.04,18.203,68504,1939
2005-07-27,18.203,18.203,17.229,17.27,214866,1939
2005-07-28,17.186,17.451,16.818,16.937,256602,1939
2005-07-29,16.253,16.347,15.407,16.276,1670537,1939
2005-08-01,16.276,16.458,15.577,16.253,519866,1939
2005-08-02,16.253,16.663,16.244,16.424,489353,1939
2005-08-03,16.294,16.594,16.253,16.519,185641,1939
2005-08-04,16.562,16.562,16.253,16.32,79961,1939
2005-08-05,16.268,16.365,16.124,16.178,984671,1939
2005-08-08,16.108,16.22,15.732,15.74,218376,1939
2005-08-09,15.689,15.749,15.473,15.473,443645,1939
2005-08-10,15.482,15.482,15.217,15.441,226442,1939
2005-08-11,15.338,15.653,15.294,15.294,238013,1939
2005-08-12,15.252,15.261,15.039,15.116,156298,1939
2005-08-15,14.627,14.627,13.559,13.9,1437666,1939
2005-08-16,13.9,14.567,13.576,14.132,954509,1939
2005-08-17,14.132,14.14,13.729,13.806,410096,1939
2005-08-18,14.328,14.328,14.012,14.029,478014,1939
2005-08-19,14.071,14.252,13.9,14.217,241287,1939
2005-08-22,14.217,14.243,13.978,13.987,355732,1939
2005-08-23,14.037,14.225,14.037,14.071,269460,1939
2005-08-24,14.054,14.277,14.021,14.114,142856,1939
2005-08-25,14.166,14.2,13.918,13.945,173718,1939
2005-08-26,13.874,14.063,13.729,13.788,100534,1939
2005-08-29,13.755,13.927,13.729,13.806,70491,1939
2005-08-30,13.815,13.84,13.653,13.695,170092,1939
2005-08-31,13.603,13.771,13.585,13.687,370231,1939
2005-09-01,13.687,13.687,13.19,13.26,311079,1939
2005-09-02,12.403,13.97,12.403,13.612,1443162,1939
2005-09-06,13.303,13.729,13.303,13.603,508294,1939
2005-09-07,13.514,13.78,13.345,13.489,200137,1939
2005-09-08,13.386,13.585,13.386,13.559,1177793,1939
2005-09-09,13.645,13.645,13.48,13.567,640977,1939
2005-09-12,13.621,13.788,13.603,13.704,164834,1939
2005-09-13,13.489,13.678,13.337,13.386,834098,1939
2005-09-14,13.345,13.43,13.345,13.412,873143,1939
2005-09-15,13.354,13.48,13.345,13.354,493327,1939
2005-09-16,13.37,13.455,13.37,13.394,71779,1939
2005-09-19,13.379,13.67,13.379,13.55,143674,1939
2005-09-20,13.505,13.585,13.386,13.421,392207,1939
2005-09-21,13.386,13.462,13.278,13.311,374908,1939
2005-09-22,13.345,13.412,13.295,13.394,47929,1939
2005-09-23,13.394,13.471,13.337,13.337,308738,1939
2005-09-26,13.386,13.462,13.199,13.345,147183,1939
2005-09-27,13.26,13.311,13.148,13.235,42904,1939
2005-09-28,13.235,13.824,13.235,13.712,599360,1939
2005-09-29,13.63,13.737,13.403,13.645,135022,1939
2005-09-30,13.678,13.712,13.497,13.687,68741,1939
2005-10-03,13.687,14.268,13.653,14.14,161442,1939
