Date,Open,High,Low,Close,Volume,stock_id
2016-07-13,9.35,9.434,9.15,9.31,33103,707
2016-07-14,9.28,9.5599,8.31,9.1,70032,707
2016-07-15,9.19,9.19,8.6501,8.8,7155,707
2016-07-18,8.7948,8.8,8.4,8.8,26584,707
2016-07-19,8.8,8.8,8.247,8.3,22985,707
2016-07-20,8.2,8.233,8.03,8.15,10122,707
2016-07-21,8.1499,8.15,8.11,8.14,4480,707
2016-07-22,8.0858,8.1,8.0101,8.1,6571,707
2016-07-25,8.15,8.15,8.0436,8.08,6679,707
2016-07-26,8.01,8.01,6.74,7.35,65753,707
2016-07-27,7.03,7.3066,7.01,7.05,9882,707
2016-07-28,7.1101,7.2799,6.9,6.9,19567,707
2016-07-29,6.83,6.8499,6.65,6.71,22055,707
2016-08-01,6.5,7.14,6.5,7.02,16956,707
2016-08-02,7.39,7.84,7.2216,7.43,27320,707
2016-08-03,7.8,7.918,7.41,7.41,20342,707
2016-08-04,7.65,7.8819,7.25,7.3,17031,707
2016-08-05,7.21,7.3747,6.935,6.95,8921,707
2016-08-08,6.75,6.9276,6.55,6.6,14132,707
2016-08-09,6.65,6.6811,6.25,6.33,25204,707
2016-08-10,6.25,7.469,6.25,6.55,27523,707
2016-08-11,6.6,6.94,6.34,6.83,21932,707
2016-08-12,6.72,7.03,6.69,6.73,41211,707
2016-08-15,6.9376,7.03,6.29,6.5496,34156,707
2016-08-16,6.37,6.8499,6.13,6.449,54768,707
2016-08-17,6.29,6.5916,6.1,6.35,28030,707
2016-08-18,6.37,6.4,6.2,6.2925,18370,707
2016-08-19,6.58,6.58,6.251,6.53,6689,707
2016-08-22,6.55,6.55,6.3,6.5499,5595,707
2016-08-23,6.54,6.59,6.3,6.4899,18504,707
2016-08-24,6.47,6.83,6.2,6.3,39201,707
2016-08-25,6.56,6.88,6.2,6.88,87182,707
2016-08-26,6.55,7.01,6.55,6.85,114581,707
2016-08-29,6.98,7.36,6.766,7.05,38319,707
2016-08-30,7.0,7.25,6.9,7.25,31199,707
2016-08-31,7.25,7.54,7.03,7.34,40270,707
2016-09-01,7.14,7.39,6.95,7.32,56393,707
2016-09-02,7.32,7.32,7.0703,7.32,13358,707
2016-09-06,7.26,7.32,7.0,7.16,48561,707
2016-09-07,7.163,7.5,6.95,7.399,74858,707
2016-09-08,7.3102,7.34,7.1,7.15,41003,707
2016-09-09,7.19,7.28,7.08,7.1,14791,707
2016-09-12,7.1,7.265,7.01,7.01,7549,707
2016-09-13,7.01,7.0688,6.4,6.62,41955,707
2016-09-14,6.52,6.705,6.25,6.402,34829,707
2016-09-15,6.34,6.98,6.3,6.7,35601,707
2016-09-16,6.95,6.95,6.31,6.87,13335,707
2016-09-19,6.93,6.93,6.52,6.65,11780,707
2016-09-20,6.7,6.9,6.57,6.71,131946,707
2016-09-21,6.72,6.8174,6.6,6.65,6697,707
2016-09-22,6.67,6.7935,6.51,6.52,6890,707
2016-09-23,6.51,6.6,6.4,6.4,10826,707
2016-09-26,6.4,6.59,5.52,6.01,43756,707
2016-09-27,6.17,6.2216,6.01,6.18,16293,707
2016-09-28,6.06,6.06,5.76,5.8,22619,707
2016-09-29,5.82,6.09,5.76,6.0,30759,707
