Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,5.5248,5.551,5.4991,5.5317,127520,6512
2005-02-28,5.5445,5.5638,5.5248,5.5568,178689,6512
2005-03-01,5.5638,5.5896,5.551,5.5702,212071,6512
2005-03-02,5.5896,5.6092,5.5702,5.6092,143750,6512
2005-03-03,5.6092,5.6219,5.5763,5.6154,238351,6512
2005-03-04,5.5638,5.6537,5.5638,5.6537,206820,6512
2005-03-07,5.6285,5.6537,5.6219,5.6285,100629,6512
2005-03-08,5.6484,5.6609,5.6285,5.6409,157045,6512
2005-03-09,5.6219,5.6285,5.5638,5.5763,98001,6512
2005-03-10,5.5702,5.6092,5.5248,5.5702,159365,6512
2005-03-11,5.5317,5.693,5.5317,5.5961,104650,6512
2005-03-14,5.6025,5.6025,5.5185,5.5568,78678,6512
2005-03-15,5.5445,5.5763,5.4991,5.5248,165555,6512
2005-03-16,5.4991,5.5375,5.4796,5.4796,76360,6512
2005-03-17,5.4671,5.5375,5.4671,5.4923,70172,6512
2005-03-18,5.4923,5.512,5.4796,5.4991,43591,6512
2005-03-21,5.512,5.512,5.4084,5.4084,238814,6512
2005-03-22,5.3954,5.4342,5.3502,5.3762,161527,6512
2005-03-23,5.3762,5.3825,5.3243,5.3502,89808,6512
2005-03-24,5.3502,5.3762,5.2856,5.3629,123504,6512
2005-03-28,5.4278,5.4923,5.3047,5.357,196922,6512
2005-03-29,5.4214,5.4539,5.357,5.3954,82852,6512
2005-03-30,5.331,5.4278,5.331,5.4278,93060,6512
2005-03-31,5.415,5.4601,5.4024,5.4601,153802,6512
2005-04-01,5.4539,5.5248,5.4539,5.4601,93978,6512
2005-04-04,5.4796,5.4991,5.415,5.4539,84708,6512
2005-04-05,5.415,5.512,5.415,5.4864,131073,6512
2005-04-06,5.5057,5.5317,5.4728,5.5185,56883,6512
2005-04-07,5.4864,5.5702,5.4728,5.5702,132153,6512
2005-04-08,5.5317,5.5763,5.5317,5.5702,74963,6512
2005-04-11,5.5185,5.5896,5.4671,5.4864,109440,6512
2005-04-12,5.4796,5.5702,5.447,5.512,142980,6512
2005-04-13,5.5057,5.5568,5.4923,5.551,82239,6512
2005-04-14,5.5568,5.5763,5.4991,5.5057,79916,6512
2005-04-15,5.5638,5.5638,5.4923,5.5317,66615,6512
2005-04-18,5.5445,5.5832,5.5317,5.5763,143446,6512
2005-04-19,5.5763,5.6092,5.551,5.6092,193054,6512
2005-04-20,5.5638,5.6349,5.5638,5.6025,106035,6512
2005-04-21,5.5961,5.7253,5.5961,5.6349,85324,6512
2005-04-22,5.6349,5.6537,5.5832,5.6537,68630,6512
2005-04-25,5.6409,5.6867,5.6025,5.6349,88571,6512
2005-04-26,5.6092,5.6609,5.5961,5.6484,109274,6512
2005-04-27,5.6736,5.6867,5.4991,5.4991,361853,6512
2005-04-28,5.5317,5.5896,5.4864,5.4991,165698,6512
2005-04-29,5.512,5.5568,5.4864,5.5057,122571,6512
2005-05-02,5.5317,5.5568,5.4991,5.5185,137104,6512
2005-05-03,5.4991,5.551,5.4991,5.551,102330,6512
2005-05-04,5.5375,5.6154,5.5375,5.5763,154264,6512
2005-05-05,5.5763,5.6285,5.5763,5.5961,106811,6512
2005-05-06,5.5961,5.6025,5.5568,5.5702,79450,6512
2005-05-09,5.5702,5.6025,5.5568,5.5961,197391,6512
2005-05-10,5.5568,5.5638,5.5057,5.5317,227060,6512
2005-05-11,5.512,5.5445,5.512,5.512,108824,6512
2005-05-12,5.5185,5.5375,5.5057,5.512,59505,6512
2005-05-13,5.512,5.5375,5.5057,5.5248,100789,6512
2005-05-16,5.5057,5.5568,5.5057,5.5375,139887,6512
2005-05-17,5.5248,5.5568,5.5248,5.5375,177456,6512
2005-05-18,5.5248,5.5702,5.5185,5.5638,169875,6512
2005-05-19,5.5638,5.5832,5.5375,5.5638,165854,6512
2005-05-20,5.5832,5.5961,5.5702,5.5832,48532,6512
2005-05-23,5.5896,5.6092,5.5763,5.5832,62440,6512
2005-05-24,5.6092,5.6219,5.5832,5.6154,95056,6512
2005-05-25,5.6349,5.6409,5.5896,5.5896,267413,6512
2005-05-26,5.6484,5.6673,5.6025,5.6285,267098,6512
2005-05-27,5.6092,5.6537,5.6092,5.6537,99545,6512
2005-05-31,5.6537,5.6867,5.6537,5.6736,66468,6512
2005-06-01,5.6805,5.7058,5.6537,5.6805,230160,6512
2005-06-02,5.6805,5.7192,5.6673,5.7127,169255,6512
2005-06-03,5.7253,5.7774,5.7127,5.7449,270035,6512
2005-06-06,5.7774,5.7837,5.7192,5.758,190901,6512
2005-06-07,5.758,5.8031,5.7385,5.7642,127834,6512
2005-06-08,5.7705,5.8031,5.7705,5.7774,126434,6512
2005-06-09,5.7969,5.8223,5.7774,5.8162,123504,6512
2005-06-10,5.7969,5.8031,5.7642,5.79,180387,6512
2005-06-13,5.7774,5.79,5.758,5.7642,96294,6512
2005-06-14,5.7774,5.8031,5.7774,5.8031,104794,6512
2005-06-15,5.79,5.8223,5.7642,5.8031,192291,6512
2005-06-16,5.8094,5.8872,5.8031,5.8612,107277,6512
2005-06-17,5.8872,5.8872,5.8483,5.8872,157663,6512
2005-06-20,5.8418,5.9135,5.8418,5.868,196153,6512
2005-06-21,5.868,5.919,5.868,5.9064,113454,6512
2005-06-22,5.9135,5.9389,5.8612,5.9389,289055,6512
2005-06-23,5.919,5.9648,5.919,5.952,158437,6512
2005-06-24,5.9263,5.9846,5.9263,5.9846,149632,6512
2005-06-27,5.9846,6.0363,5.958,6.0363,179309,6512
2005-06-28,5.9969,6.1007,5.9969,6.075,272201,6512
2005-06-29,6.0554,6.1334,6.0296,6.1334,230314,6512
2005-06-30,6.1142,6.1142,5.952,6.0681,170646,6512
2005-07-01,6.0428,6.0618,6.0296,6.0618,119637,6512
2005-07-05,6.0363,6.1199,6.0363,6.1199,124742,6512
2005-07-06,6.0877,6.1456,6.0877,6.1456,166629,6512
2005-07-07,6.1142,6.1265,6.0877,6.1142,249168,6512
2005-07-08,6.1199,6.1653,6.081,6.1653,183009,6512
2005-07-11,6.1456,6.1456,6.1068,6.1396,161527,6512
2005-07-12,6.0877,6.0944,5.958,5.9846,405132,6512
2005-07-13,5.9325,5.9775,5.919,5.9775,210065,6512
2005-07-14,5.9775,5.9905,5.9457,5.9775,169413,6512
2005-07-15,5.952,6.0038,5.952,5.9905,140045,6512
2005-07-18,6.0038,6.0038,5.8872,5.9263,283483,6512
2005-07-19,5.9263,5.9846,5.8292,5.9846,220113,6512
2005-07-20,5.919,5.9775,5.868,5.9775,157663,6512
2005-07-21,5.952,5.952,5.8553,5.952,124430,6512
2005-07-22,5.9325,5.958,5.8934,5.952,144060,6512
2005-07-25,5.952,5.9775,5.8934,5.952,151480,6512
2005-07-26,5.919,5.9969,5.919,5.9969,58730,6512
2005-07-27,5.9648,5.9846,5.9263,5.9648,88413,6512
2005-07-28,5.9648,5.9846,5.9263,5.9775,118088,6512
2005-07-29,5.9389,5.9775,5.919,5.9775,92439,6512
2005-08-01,5.9457,5.9846,5.9135,5.9457,73735,6512
2005-08-02,5.9263,5.9715,5.9263,5.9648,97219,6512
2005-08-03,5.958,5.9775,5.958,5.9648,48532,6512
2005-08-04,5.9775,5.9846,5.9648,5.9775,96144,6512
2005-08-05,5.9715,5.9846,5.9457,5.9648,51010,6512
2005-08-08,5.9457,5.9648,5.8553,5.9135,98467,6512
2005-08-09,5.8483,5.9002,5.8352,5.8805,190124,6512
2005-08-10,5.8162,5.8418,5.7969,5.8352,119949,6512
2005-08-11,5.8223,5.8934,5.8031,5.868,81150,6512
2005-08-12,5.8553,5.8553,5.8223,5.8553,115772,6512
2005-08-15,5.8553,5.8744,5.8292,5.8612,83002,6512
2005-08-16,5.8292,5.8292,5.6673,5.7385,567278,6512
2005-08-17,5.7319,5.758,5.7192,5.758,184095,6512
2005-08-18,5.7385,5.79,5.7385,5.7642,104489,6512
2005-08-19,5.7511,5.7705,5.6285,5.6736,323363,6512
2005-08-22,5.6349,5.6609,5.6025,5.6349,349337,6512
2005-08-23,5.693,5.693,5.6025,5.6409,329086,6512
2005-08-24,5.6349,5.6484,5.5961,5.6349,189820,6512
2005-08-25,5.6154,5.6285,5.5763,5.5961,180228,6512
2005-08-26,5.5832,5.6154,5.5702,5.6154,152104,6512
2005-08-29,5.5638,5.6219,5.5568,5.5961,140662,6512
2005-08-30,5.5896,5.6154,5.5832,5.6154,170646,6512
2005-08-31,5.6092,5.6154,5.5702,5.6092,230314,6512
2005-09-01,5.5832,5.6349,5.5832,5.6349,77131,6512
2005-09-02,5.6349,5.6609,5.6285,5.6609,87023,6512
2005-09-06,5.6609,5.6805,5.6285,5.6736,87170,6512
2005-09-07,5.6736,5.6805,5.6673,5.6805,102788,6512
2005-09-08,5.6673,5.6867,5.6609,5.6805,91044,6512
2005-09-09,5.6609,5.6673,5.6285,5.6673,89191,6512
2005-09-12,5.6349,5.6609,5.6219,5.6609,105569,6512
2005-09-13,5.6609,5.6805,5.6609,5.6736,76051,6512
2005-09-14,5.6154,5.6484,5.6154,5.6349,77596,6512
2005-09-15,5.6219,5.6219,5.5638,5.5832,81300,6512
2005-09-16,5.5832,5.5832,5.551,5.5832,84244,6512
2005-09-19,5.5568,5.5763,5.5445,5.5702,84091,6512
2005-09-20,5.5832,5.5832,5.5375,5.5638,36634,6512
2005-09-21,5.551,5.5832,5.5445,5.5832,114996,6512
2005-09-22,5.5896,5.5896,5.5317,5.5445,90889,6512
2005-09-23,5.5638,5.5638,5.5317,5.5568,160298,6512
2005-09-26,5.5961,5.5961,5.5057,5.551,121648,6512
2005-09-27,5.5185,5.5185,5.4671,5.512,132618,6512
2005-09-28,5.4864,5.5896,5.4728,5.5702,191051,6512
2005-09-29,5.6092,5.6092,5.512,5.5638,92439,6512
2005-09-30,5.5248,5.5961,5.5248,5.5961,98157,6512
2005-10-03,5.5961,5.6092,5.5832,5.6025,91350,6512
2005-10-04,5.5896,5.6092,5.5763,5.6092,58895,6512
2005-10-05,5.5832,5.6092,5.5763,5.5961,70332,6512
2005-10-06,5.5763,5.5961,5.551,5.5568,99703,6512
2005-10-07,5.551,5.551,5.5185,5.5445,82852,6512
2005-10-10,5.5763,5.5763,5.4409,5.5248,143909,6512
2005-10-11,5.512,5.5248,5.4991,5.4991,103404,6512
2005-10-12,5.4991,5.4991,5.4024,5.4278,74044,6512
2005-10-13,5.4342,5.4342,5.3697,5.3954,84708,6512
2005-10-14,5.4024,5.4278,5.357,5.3954,80840,6512
2005-10-17,5.3629,5.4084,5.3438,5.3954,86411,6512
2005-10-18,5.3888,5.3888,5.2788,5.3502,136949,6512
2005-10-19,5.3118,5.331,5.2788,5.331,107579,6512
2005-10-20,5.3047,5.3438,5.2983,5.3374,61059,6512
2005-10-21,5.3118,5.4671,5.3118,5.4671,76663,6512
2005-10-24,5.4278,5.4796,5.3762,5.4728,98614,6512
2005-10-25,5.4342,5.4728,5.415,5.4671,60749,6512
2005-10-26,5.4024,5.4024,5.3374,5.3629,105569,6512
2005-10-27,5.3118,5.4214,5.3118,5.3954,47605,6512
2005-10-28,5.3629,5.4671,5.3629,5.3954,116702,6512
2005-10-31,5.3697,5.4214,5.3697,5.3888,89342,6512
2005-11-01,5.3697,5.4671,5.3697,5.447,58895,6512
2005-11-02,5.4728,5.4796,5.4342,5.447,50709,6512
2005-11-03,5.4728,5.5057,5.3825,5.4214,160758,6512
2005-11-04,5.4024,5.4214,5.3697,5.3888,92439,6512
2005-11-07,5.3762,5.447,5.3697,5.4409,95056,6512
2005-11-08,5.4278,5.4601,5.3762,5.4214,116549,6512
2005-11-09,5.4342,5.4342,5.3374,5.3888,295543,6512
2005-11-10,5.2983,5.3629,5.2788,5.2788,272356,6512
2005-11-11,5.2788,5.3118,5.2788,5.2788,252106,6512
2005-11-14,5.2732,5.2732,5.2142,5.2271,276062,6512
2005-11-15,5.2271,5.2788,5.2208,5.2532,113302,6512
2005-11-16,5.2663,5.2732,5.234,5.2404,134326,6512
2005-11-17,5.2271,5.2597,5.2208,5.2404,116239,6512
2005-11-18,5.2468,5.2663,5.2142,5.2597,80064,6512
2005-11-21,5.2404,5.2597,5.2142,5.2271,57033,6512
2005-11-22,5.2142,5.2404,5.1756,5.2079,131235,6512
2005-11-23,5.2142,5.2404,5.2017,5.2271,136796,6512
2005-11-25,5.2404,5.2597,5.234,5.2404,18394,6512
2005-11-28,5.2404,5.2732,5.2404,5.2732,167404,6512
2005-11-29,5.2856,5.331,5.2404,5.2788,219492,6512
2005-11-30,5.2788,5.3047,5.2532,5.2788,133552,6512
2005-12-01,5.2983,5.3118,5.2271,5.2856,193682,6512
2005-12-02,5.2788,5.3118,5.234,5.2922,168793,6512
2005-12-05,5.2271,5.2922,5.2271,5.2663,161062,6512
2005-12-06,5.2597,5.2856,5.2404,5.2856,52402,6512
2005-12-07,5.2597,5.2922,5.2404,5.2404,78369,6512
2005-12-08,5.2404,5.2732,5.2404,5.2532,71560,6512
2005-12-09,5.2922,5.2922,5.2404,5.2856,130616,6512
2005-12-12,5.2468,5.2663,5.2208,5.2468,65694,6512
2005-12-13,5.2597,5.2597,5.1949,5.2079,109901,6512
2005-12-14,5.2079,5.2271,5.1884,5.2142,131850,6512
2005-12-15,5.2079,5.2208,5.1884,5.2079,107119,6512
2005-12-16,5.2079,5.2208,5.1949,5.2142,138340,6512
2005-12-19,5.2142,5.234,5.1949,5.2017,193682,6512
2005-12-20,5.1949,5.2208,5.1756,5.2017,187654,6512
2005-12-21,5.1822,5.2017,5.1822,5.1884,87796,6512
2005-12-22,5.1884,5.1884,5.1499,5.156,345312,6512
2005-12-23,5.1695,5.2017,5.156,5.1756,148236,6512
2005-12-27,5.1629,5.2079,5.156,5.1756,135405,6512
2005-12-28,5.1695,5.2208,5.1695,5.2079,359848,6512
2005-12-29,5.1822,5.2732,5.1822,5.2532,241446,6512
2005-12-30,5.2208,5.2856,5.2208,5.2468,231394,6512
2006-01-03,5.2468,5.3179,5.2468,5.3047,140501,6512
2006-01-04,5.3118,5.3629,5.3118,5.3629,123655,6512
2006-01-05,5.3438,5.447,5.3438,5.447,187961,6512
2006-01-06,5.4084,5.4671,5.4084,5.4671,65540,6512
2006-01-09,5.4728,5.4923,5.447,5.4864,92742,6512
2006-01-10,5.4671,5.4991,5.4539,5.4796,97535,6512
2006-01-11,5.4601,5.5057,5.4601,5.5057,121809,6512
2006-01-12,5.4214,5.4991,5.4024,5.4601,101711,6512
2006-01-13,5.4539,5.4796,5.4409,5.4409,108358,6512
2006-01-17,5.447,5.4671,5.4214,5.4214,122571,6512
2006-01-18,5.4024,5.4601,5.4024,5.4342,78369,6512
2006-01-19,5.4024,5.4728,5.4024,5.4409,97535,6512
2006-01-20,5.4024,5.4671,5.4024,5.4539,82540,6512
2006-01-23,5.447,5.4671,5.4342,5.4409,63528,6512
2006-01-24,5.4601,5.4864,5.447,5.4601,102634,6512
2006-01-25,5.4671,5.4923,5.4278,5.4539,211921,6512
2006-01-26,5.4601,5.4728,5.4278,5.4342,79140,6512
2006-01-27,5.4601,5.4796,5.447,5.4539,88109,6512
2006-01-30,5.551,5.5638,5.4342,5.447,117008,6512
2006-01-31,5.4601,5.512,5.4539,5.4671,241138,6512
2006-02-01,5.4671,5.4991,5.4601,5.4728,101248,6512
2006-02-02,5.4539,5.4991,5.4409,5.447,175135,6512
2006-02-03,5.447,5.4539,5.4084,5.415,158742,6512
2006-02-06,5.4214,5.4409,5.415,5.4409,153642,6512
2006-02-07,5.4342,5.4409,5.3954,5.4278,110516,6512
2006-02-08,5.4214,5.4796,5.4084,5.4409,123504,6512
2006-02-09,5.4796,5.4796,5.4539,5.4601,76663,6512
2006-02-10,5.4796,5.4923,5.4539,5.4864,65068,6512
2006-02-13,5.4601,5.4991,5.4601,5.4923,53636,6512
2006-02-14,5.447,5.5248,5.447,5.5057,153802,6512
2006-02-15,5.4796,5.5248,5.4671,5.4923,116702,6512
2006-02-16,5.4671,5.5375,5.4671,5.5317,147615,6512
2006-02-17,5.5185,5.551,5.5057,5.5375,97080,6512
2006-02-21,5.5445,5.5832,5.5057,5.5832,150398,6512
2006-02-22,5.5832,5.6092,5.5445,5.551,121032,6512
2006-02-23,5.5638,5.5638,5.5317,5.5375,135560,6512
2006-02-24,5.5702,5.6219,5.551,5.551,193522,6512
2006-02-27,5.5375,5.551,5.5185,5.5375,109274,6512
2006-02-28,5.512,5.5568,5.512,5.512,166779,6512
2006-03-01,5.5445,5.551,5.5185,5.5445,78678,6512
2006-03-02,5.551,5.5961,5.551,5.5763,95834,6512
2006-03-03,5.5445,5.5763,5.5445,5.5702,112998,6512
2006-03-06,5.5375,5.5568,5.5185,5.5185,109440,6512
