Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,10.059,10.059,9.936,10.048,37684,34
2005-02-28,10.128,10.128,9.993,10.028,25508,34
2005-03-01,10.07,10.07,9.86,10.024,49170,34
2005-03-02,10.07,10.07,9.906,10.012,20588,34
2005-03-03,10.07,10.07,10.005,10.035,14885,34
2005-03-04,10.053,10.059,10.012,10.048,56072,34
2005-03-07,10.053,10.614,10.048,10.07,65266,34
2005-03-08,10.07,10.07,10.053,10.053,41392,34
2005-03-09,10.053,10.128,10.04,10.082,34470,34
2005-03-10,10.04,10.048,9.742,9.82,25563,34
2005-03-11,9.82,9.93,9.742,9.93,18605,34
2005-03-14,9.936,10.087,9.936,10.012,27933,34
2005-03-15,9.943,10.028,9.936,9.965,14592,34
2005-03-16,9.936,9.936,9.889,9.93,8469,34
2005-03-17,9.882,9.889,9.756,9.889,25534,34
2005-03-18,9.749,10.005,9.742,9.993,79593,34
2005-03-21,9.977,9.993,9.807,9.965,15423,34
2005-03-22,9.965,9.993,9.836,9.936,6298,34
2005-03-23,9.993,9.993,9.707,9.848,48467,34
2005-03-24,9.742,9.993,9.742,9.86,49004,34
2005-03-28,9.896,9.896,9.702,9.736,11564,34
2005-03-29,9.702,9.742,9.69,9.736,18771,34
2005-03-30,9.943,10.018,9.644,9.736,27977,34
2005-03-31,9.644,9.702,8.6144,9.4045,60753,34
2005-04-01,9.0999,9.4964,9.0999,9.4926,10417,34
2005-04-04,9.421,9.421,9.0598,9.4045,13922,34
2005-04-05,9.1055,9.3929,8.895,9.2874,65650,34
2005-04-06,9.4664,9.4964,9.112,9.3968,15085,34
2005-04-07,9.2642,9.4664,9.1343,9.4664,7869,34
2005-04-08,9.4664,9.4664,9.2226,9.2584,10399,34
2005-04-11,9.2922,9.2922,9.0644,9.0999,20396,34
2005-04-12,9.0999,9.3687,9.0598,9.3687,25333,34
2005-04-13,9.509,9.562,9.4113,9.4964,20207,34
2005-04-14,9.4664,9.537,9.2051,9.4326,24044,34
2005-04-15,8.976,9.193,8.714,8.8605,55163,34
2005-04-18,8.7677,8.9415,8.7677,8.7778,11855,34
2005-04-19,8.9658,8.9658,8.8078,8.9304,16919,34
2005-04-20,9.1343,9.1343,8.6795,8.7195,26146,34
2005-04-21,8.6207,8.7677,8.4735,8.4797,40394,34
2005-04-22,8.5047,8.6913,8.4735,8.6091,34943,34
2005-04-25,8.4513,8.6207,8.3634,8.544,19000,34
2005-04-26,8.6731,8.6977,8.5216,8.5912,29884,34
2005-04-27,8.7614,8.8661,7.9887,8.7723,49367,34
2005-04-28,8.8718,8.9137,8.7431,8.7614,5894,34
2005-04-29,8.9602,8.9602,8.6731,8.7431,12313,34
2005-05-02,8.5975,8.7677,8.5912,8.7677,14559,34
2005-05-03,8.7677,8.7677,8.6261,8.6795,21434,34
2005-05-04,8.7076,8.7677,8.6144,8.7195,56633,34
2005-05-05,8.6849,8.9658,8.6849,8.9658,12754,34
2005-05-06,8.9713,8.9713,8.8875,8.9137,6072,34
2005-05-09,8.9137,8.9137,8.6207,8.7677,60389,34
2005-05-10,8.7677,8.9071,8.7614,8.8875,33054,34
2005-05-11,8.7723,8.9415,8.7723,8.9415,13874,34
2005-05-12,8.9239,9.0049,8.8875,8.9239,9185,34
2005-05-13,9.0598,9.0598,8.9481,8.976,16723,34
2005-05-16,9.0598,9.0598,8.895,8.895,24214,34
2005-05-17,8.8839,8.9658,8.8839,8.9658,9314,34
2005-05-18,9.0598,9.1055,9.0179,9.1055,14115,34
2005-05-19,9.1176,9.1176,9.03,9.0459,14175,34
2005-05-20,9.0412,9.1176,9.0235,9.1176,15967,34
2005-05-23,9.0878,9.0942,9.0179,9.0533,32902,34
2005-05-24,9.0598,9.0999,9.0533,9.0533,23075,34
2005-05-25,9.0598,9.0644,9.0114,9.0114,39053,34
2005-05-26,8.8839,9.0999,8.8839,9.0598,30883,34
2005-05-27,9.0598,9.0598,8.9415,8.99,21388,34
2005-05-31,9.0598,9.3339,9.0356,9.3097,39947,34
2005-06-01,9.3513,9.3745,9.2351,9.3571,42136,34
2005-06-02,9.3222,9.3968,9.3222,9.3513,16494,34
2005-06-03,9.3222,9.3571,9.2922,9.3571,62187,34
2005-06-06,9.3513,9.3793,9.2748,9.3687,84888,34
2005-06-07,9.3445,9.4664,9.1576,9.4616,90295,34
2005-06-08,9.4664,9.633,9.4326,9.4664,40443,34
2005-06-09,9.562,9.562,9.4568,9.4664,39997,34
2005-06-10,9.3445,9.4664,9.24,9.2922,27560,34
2005-06-13,9.3513,9.3513,9.0356,9.0701,20773,34
2005-06-14,8.9826,9.1055,8.9415,9.0598,29633,34
2005-06-15,8.9415,9.1055,8.9415,9.1055,26561,34
2005-06-16,9.1241,9.153,8.976,8.976,22347,34
2005-06-17,8.9713,8.9713,8.9071,8.9415,17755,34
2005-06-20,8.9415,9.2051,8.9415,9.2051,44001,34
2005-06-21,9.2051,9.4451,8.8314,9.0003,98634,34
2005-06-22,9.0598,9.0598,8.7614,8.7677,67224,34
2005-06-23,8.9016,8.9304,8.8251,8.8531,9195,34
2005-06-24,8.8314,8.8314,8.6731,8.6731,19570,34
2005-06-27,8.6731,8.7494,8.5511,8.5511,32623,34
2005-06-28,8.5912,8.6494,8.4043,8.4687,29223,34
2005-06-29,8.4043,9.2874,8.4043,9.112,109787,34
2005-06-30,9.0999,9.1883,8.9201,9.1055,17626,34
2005-07-01,9.1055,9.1055,9.0003,9.0114,69317,34
2005-07-05,8.9826,9.3222,8.9137,9.3222,86494,34
2005-07-06,9.3222,9.3222,9.2506,9.3164,26944,34
2005-07-07,9.0878,9.3164,9.0049,9.3164,49605,34
2005-07-08,9.2168,9.2874,9.1827,9.2226,44353,34
2005-07-11,9.0999,9.2351,9.0999,9.2351,51867,34
2005-07-12,9.1297,9.2226,9.1241,9.2168,29528,34
2005-07-13,9.2642,9.2642,9.0878,9.153,44962,34
2005-07-14,9.1752,9.2874,9.1752,9.2351,39633,34
2005-07-15,9.2806,9.2806,9.1576,9.2351,35347,34
2005-07-18,9.1482,9.2922,9.1482,9.1883,28876,34
2005-07-19,9.2922,9.2922,9.1176,9.2351,42025,34
2005-07-20,9.153,9.2584,9.0049,9.0114,146875,34
2005-07-21,8.9713,9.1241,8.9713,9.1176,62057,34
2005-07-22,9.112,9.1297,9.0644,9.1297,24554,34
2005-07-25,9.0701,9.1408,9.0598,9.1297,43682,34
2005-07-26,9.1297,9.1752,9.1241,9.1343,25958,34
2005-07-27,9.1176,9.1752,9.1176,9.1408,18984,34
2005-07-28,9.1343,9.1343,9.0235,9.1176,30984,34
2005-07-29,9.1176,9.1752,9.0598,9.1055,52168,34
2005-08-01,9.03,9.2351,9.03,9.1883,100904,34
2005-08-02,9.0878,9.2806,9.0878,9.2168,32215,34
2005-08-03,9.1752,9.2351,9.1576,9.1576,47746,34
2005-08-04,9.1482,9.24,9.1482,9.2284,41487,34
2005-08-05,9.1752,9.2284,9.1576,9.1697,23550,34
2005-08-08,9.2351,9.2748,9.0999,9.1482,36150,34
2005-08-09,9.0878,9.1408,9.0701,9.0878,40892,34
2005-08-10,9.0831,9.1482,9.0766,9.0766,16932,34
2005-08-11,9.0831,9.0831,8.8531,8.8531,22610,34
2005-08-12,8.8476,9.1408,8.714,9.1176,44853,34
2005-08-15,9.0831,9.0878,8.7723,8.9955,18958,34
2005-08-16,8.895,8.9826,8.8251,8.8792,39685,34
2005-08-17,8.8839,8.8839,8.5555,8.7494,17335,34
2005-08-18,8.585,8.8251,8.4097,8.8251,25516,34
2005-08-19,8.7331,8.8875,8.7331,8.8661,15749,34
2005-08-22,8.7778,8.9016,8.7677,8.8196,7227,34
2005-08-23,8.8379,8.8839,8.7841,8.8251,14666,34
2005-08-24,8.8792,8.8792,8.7841,8.7841,15566,34
2005-08-25,8.6977,8.8531,8.6977,8.8251,18865,34
2005-08-26,8.8251,9.3513,8.7076,8.8133,9582,34
2005-08-29,8.7076,8.8476,8.2353,8.5797,21966,34
2005-08-30,8.4735,8.6494,8.4735,8.5912,21121,34
2005-08-31,8.7268,8.8251,8.7031,8.7614,98067,34
2005-09-01,8.7431,8.8251,8.7431,8.8251,20356,34
2005-09-02,8.6795,8.8251,8.6795,8.8196,22259,34
2005-09-06,8.7677,8.9415,8.6386,8.9415,38768,34
2005-09-07,8.9415,8.9415,8.7677,8.8251,19947,34
2005-09-08,8.8014,8.9016,8.8014,8.8605,5797,34
2005-09-09,8.8531,8.9071,8.8531,8.895,4974,34
2005-09-12,8.7778,8.9071,8.7778,8.9016,16303,34
2005-09-13,8.9016,8.9955,8.6494,8.8718,14047,34
2005-09-14,8.8718,8.9713,8.8718,8.8792,13457,34
2005-09-15,8.9415,8.9415,8.6261,8.6667,16581,34
2005-09-16,8.6207,8.9071,8.6207,8.9016,56152,34
2005-09-19,8.7677,8.9415,8.4735,8.7841,29886,34
2005-09-20,8.6795,8.9658,8.6795,8.9602,30228,34
2005-09-21,8.7723,9.0003,8.7723,8.9955,29118,34
2005-09-22,9.0003,9.0598,8.9955,9.03,29118,34
2005-09-23,9.0598,9.0598,9.0049,9.0598,12152,34
2005-09-26,9.0878,9.1408,8.9137,8.9137,42390,34
2005-09-27,8.9137,9.0942,8.9137,9.0831,50833,34
2005-09-28,9.0878,9.1176,8.9137,9.0598,43704,34
2005-09-29,8.9201,9.0356,8.7494,8.7494,79769,34
2005-09-30,8.7677,8.7677,8.5797,8.585,20942,34
2005-10-03,8.5912,8.6913,8.2353,8.4735,36768,34
2005-10-04,8.6386,8.6386,8.4735,8.4735,34202,34
2005-10-05,8.4735,8.4922,8.0186,8.0951,49974,34
2005-10-06,8.0186,8.2056,8.0186,8.1647,48347,34
2005-10-07,8.037,8.2413,8.037,8.2413,33064,34
2005-10-10,8.2413,8.2583,8.0536,8.1943,9134,34
2005-10-11,8.107,8.2353,8.0824,8.124,22007,34
2005-10-12,8.0761,8.0761,7.8907,7.9544,35153,34
2005-10-13,7.9485,7.9485,7.8201,7.8955,16393,34
2005-10-14,7.8611,8.047,7.8611,8.047,20685,34
2005-10-17,7.9193,8.0128,7.9193,7.9485,7203,34
2005-10-18,7.9485,7.9485,7.8774,7.8907,19491,34
2005-10-19,7.8907,7.8907,7.8323,7.867,16457,34
2005-10-20,7.8201,7.8553,7.7972,7.8553,15677,34
2005-10-21,7.8611,7.9669,7.803,7.9669,15749,34
2005-10-24,7.9669,7.9669,7.867,7.9368,12427,34
