Date,Open,High,Low,Close,Volume,stock_id
2017-02-15,20.72,20.88,20.7,20.85,29127,1731
2017-02-16,20.84,20.84,20.77,20.79,22500,1731
2017-02-17,20.69,20.72,20.6806,20.72,10542,1731
2017-02-21,20.9035,20.9155,20.88,20.9098,26468,1731
2017-02-22,20.8299,20.892,20.821,20.88,23658,1731
2017-02-23,20.94,20.94,20.7505,20.8,26840,1731
2017-02-24,20.62,20.67,20.57,20.6598,22476,1731
2017-02-27,20.67,20.76,20.67,20.74,21229,1731
2017-02-28,21.2,21.2,20.5392,20.57,10984,1731
2017-03-01,20.84,20.96,20.84,20.96,20973,1731
2017-03-02,20.9099,20.9099,20.81,20.83,46189,1731
2017-03-03,20.81,20.83,20.77,20.8297,25179,1731
2017-03-06,20.79,20.79,20.704,20.77,16991,1731
2017-03-07,20.71,20.72,20.68,20.6836,19360,1731
2017-03-08,20.76,20.76,20.64,20.64,24206,1731
2017-03-09,20.7299,20.7299,20.6,20.61,14219,1731
2017-03-10,20.78,20.87,20.665,20.74,32510,1731
2017-03-13,20.9599,20.96,20.89,20.91,12191,1731
2017-03-14,20.8,20.8652,20.74,20.85,11110,1731
2017-03-15,20.95,21.1564,20.94,21.1564,19498,1731
2017-03-16,21.27,21.2799,21.13,21.1522,11915,1731
2017-03-17,21.13,21.14,21.09,21.1,17428,1731
2017-03-20,21.12,21.17,21.1,21.16,15004,1731
2017-03-21,21.24,21.24,20.7137,20.72,16141,1731
2017-03-22,20.64,20.75,20.58,20.73,15465,1731
2017-03-23,20.73,20.81,20.73,20.74,16750,1731
2017-03-24,20.77,20.825,20.77,20.7968,4943,1731
2017-03-27,20.65,20.75,20.5148,20.74,12725,1731
2017-03-28,20.8,20.95,20.8,20.9406,10711,1731
2017-03-29,20.99,21.13,20.99,21.13,13667,1731
2017-03-30,21.11,21.13,21.04,21.04,10800,1731
2017-03-31,21.0,21.08,21.0,21.08,19139,1731
2017-04-03,21.13,21.13,20.874,21.07,12440,1731
2017-04-04,20.9389,21.02,20.92,21.0101,21952,1731
2017-04-05,21.19,21.19,20.94,20.94,16445,1731
2017-04-06,20.92,21.0864,20.92,21.06,18648,1731
2017-04-07,21.0,21.03,20.94,20.97,10547,1731
2017-04-10,21.16,21.1899,21.08,21.12,17597,1731
2017-04-11,21.06,21.1147,20.95,21.09,11285,1731
2017-04-12,21.15,21.15,21.0198,21.02,13637,1731
2017-04-13,21.07,21.07,20.86,20.89,29344,1731
2017-04-17,21.0,21.09,20.93,21.09,6469,1731
2017-04-18,21.09,21.09,20.9136,20.95,17978,1731
2017-04-19,21.06,21.12,20.9,20.9059,14221,1731
2017-04-20,20.98,21.16,20.98,21.156,15885,1731
2017-04-21,21.2,21.2,21.105,21.13,16681,1731
2017-04-24,21.36,21.39,21.3432,21.3625,4358,1731
2017-04-25,21.53,21.66,21.53,21.6397,17151,1731
2017-04-26,21.5599,21.61,21.5264,21.54,34974,1731
2017-04-27,21.54,21.54,21.4177,21.5,14133,1731
2017-04-28,21.69,21.69,21.5099,21.52,29030,1731
2017-05-01,21.61,21.699,21.57,21.68,6620,1731
2017-05-02,21.83,21.83,21.6298,21.65,21547,1731
2017-05-03,21.7127,21.74,21.6725,21.73,16931,1731
2017-05-04,21.74,21.74,21.5874,21.67,13575,1731
2017-05-05,21.775,21.92,21.775,21.92,13345,1731
2017-05-08,22.0,22.03,21.93,22.03,16434,1731
2017-05-09,22.16,22.2,22.13,22.16,39078,1731
2017-05-10,22.1907,22.3899,22.1907,22.34,10380,1731
2017-05-11,22.26,22.37,22.16,22.34,24432,1731
2017-05-12,22.42,22.48,22.3978,22.48,13339,1731
2017-05-15,22.59,22.62,22.51,22.52,11777,1731
2017-05-16,22.61,22.68,22.58,22.6598,20431,1731
