Date,Open,High,Low,Close,Volume,stock_id
2016-08-10,4.0,4.04,3.94,3.99,670002,254
2016-08-11,4.0,4.0,3.94,3.95,346498,254
2016-08-12,4.0,4.0,3.85,3.89,489135,254
2016-08-15,4.01,4.02,3.9101,4.02,576136,254
2016-08-16,4.03,4.12,4.02,4.06,178999,254
2016-08-17,4.1,4.15,4.02,4.03,113463,254
2016-08-18,4.07,4.15,4.03,4.08,395186,254
2016-08-19,4.07,4.12,4.04,4.05,157568,254
2016-08-22,4.11,4.12,4.03,4.04,149333,254
2016-08-23,4.07,4.07,3.98,3.98,122581,254
2016-08-24,4.06,4.06,3.95,3.98,138150,254
2016-08-25,4.03,4.05,3.9501,3.97,91029,254
2016-08-26,3.95,3.97,3.94,3.94,81222,254
2016-08-29,4.0,4.0,3.75,3.79,244171,254
2016-08-30,3.85,3.9585,3.8,3.85,58466,254
2016-08-31,3.85,3.9,3.83,3.85,154891,254
2016-09-01,3.93,3.95,3.83,3.89,64720,254
2016-09-02,3.9,4.18,3.85,3.87,1018019,254
2016-09-06,3.91,3.94,3.8,3.91,142076,254
2016-09-07,3.92,3.99,3.85,3.97,145964,254
2016-09-08,3.9,4.05,3.87,3.97,80547,254
2016-09-09,3.92,4.025,3.85,3.95,66863,254
2016-09-12,4.0,4.005,3.77,3.85,126461,254
2016-09-13,3.8,3.8399,3.6901,3.73,115576,254
2016-09-14,3.88,3.9093,3.71,3.8,77541,254
2016-09-15,3.74,3.79,3.64,3.74,60885,254
2016-09-16,3.86,3.86,3.66,3.67,206682,254
2016-09-19,3.81,3.81,3.45,3.65,284161,254
2016-09-20,3.57,3.7,3.5501,3.62,89295,254
2016-09-21,3.62,3.685,3.55,3.63,110208,254
2016-09-22,3.62,3.65,3.4869,3.64,153315,254
2016-09-23,3.6,3.6,3.4601,3.55,123967,254
2016-09-26,3.58,3.67,3.51,3.6,114144,254
2016-09-27,3.66,4.25,3.66,4.1,1382901,254
2016-09-28,4.34,5.39,4.21,5.15,2238287,254
2016-09-29,5.06,5.07,4.55,4.65,903295,254
2016-09-30,4.79,4.85,4.61,4.7,399211,254
2016-10-03,4.84,5.3,4.74,5.3,741380,254
2016-10-04,5.71,5.8,5.0,5.33,925181,254
2016-10-05,5.46,5.61,5.15,5.49,445998,254
2016-10-06,5.65,5.65,5.3,5.44,207225,254
2016-10-07,5.48,5.4886,5.3,5.35,133533,254
2016-10-10,5.43,5.7,5.35,5.7,201710,254
2016-10-11,5.77,6.06,5.69,6.03,454851,254
2016-10-12,6.07,6.38,6.02,6.21,311530,254
2016-10-13,6.2,6.2,5.55,6.05,376557,254
2016-10-14,5.95,6.0,5.5503,5.76,443487,254
2016-10-17,5.82,6.0,5.82,5.97,111288,254
