Date,Open,High,Low,Close,Volume,stock_id
2010-08-12,4.0,4.0,4.0,4.0,0,3858
2010-08-13,4.05,4.35,3.6,3.98,277657,3858
2010-08-16,3.99,3.99,3.76,3.8,20033,3858
2010-08-17,4.0,4.0,3.85,3.85,2880,3858
2010-08-18,3.85,3.95,3.78,3.79,30660,3858
2010-08-19,3.76,3.76,3.66,3.72,6625,3858
2010-08-20,3.89,3.89,3.32,3.32,88614,3858
2010-08-23,4.06,4.06,3.3,3.34,8711,3858
2010-08-24,3.44,3.66,3.31,3.44,9751,3858
2010-08-25,3.6,3.6,3.25,3.3,24273,3858
2010-08-26,3.6,3.6,3.3,3.31,2056,3858
2010-08-27,3.27,3.5,3.27,3.46,17672,3858
2010-08-30,3.48,3.49,3.35,3.35,7880,3858
2010-08-31,3.3,3.79,3.3,3.64,4600,3858
2010-09-02,3.4,3.67,3.25,3.5,17125,3858
2010-09-03,3.56,3.78,3.51,3.51,14925,3858
2010-09-07,3.55,3.72,3.49,3.5,18300,3858
2010-09-08,3.46,3.8,3.46,3.66,2700,3858
2010-09-09,3.78,3.8,3.6,3.6,16864,3858
2010-09-10,3.55,3.84,3.55,3.55,6513,3858
2010-09-13,3.5,3.6,3.5,3.59,11900,3858
2010-09-14,3.5,3.63,3.45,3.63,14112,3858
2010-09-15,3.78,3.79,3.65,3.65,4000,3858
2010-09-16,3.66,3.66,3.66,3.66,1300,3858
2010-09-17,3.5,3.65,3.5,3.65,6000,3858
2010-09-20,3.55,3.79,3.55,3.67,2053,3858
2010-09-21,3.8,3.8,3.5,3.52,7106,3858
2010-09-22,3.78,3.78,3.4,3.46,3500,3858
2010-09-23,3.6,3.6,3.6,3.6,350,3858
2010-09-24,3.6,3.6,3.6,3.6,100,3858
2010-09-27,3.55,3.78,3.3,3.54,12195,3858
2010-09-28,3.47,3.47,3.45,3.45,296,3858
2010-09-29,3.5,3.5,3.5,3.5,8400,3858
2010-09-30,3.49,3.71,3.33,3.71,2700,3858
2010-10-04,3.73,3.74,3.41,3.6,13500,3858
2010-10-05,3.79,3.79,3.61,3.65,6118,3858
2010-10-06,3.7,3.7,3.52,3.52,5545,3858
2010-10-07,3.54,3.54,3.45,3.52,7900,3858
2010-10-08,3.4,3.64,3.4,3.54,3250,3858
2010-10-11,3.5,3.5,3.5,3.5,1000,3858
2010-10-12,3.7,3.7,3.5,3.59,9384,3858
2010-10-13,3.56,3.64,3.41,3.41,14676,3858
2010-10-14,3.59,3.6,3.45,3.57,2868,3858
2010-10-15,3.49,3.49,3.49,3.49,900,3858
2010-10-18,3.4,3.43,3.4,3.43,4100,3858
2010-10-19,3.58,3.59,3.3,3.35,20200,3858
2010-10-20,3.5,3.5,3.25,3.39,9311,3858
2010-10-21,3.5,3.5,3.49,3.5,10300,3858
2010-10-25,3.43,3.45,3.43,3.45,4900,3858
2010-10-26,3.6,3.6,3.5,3.5,1300,3858
2010-10-27,3.51,3.6,3.45,3.55,5350,3858
2010-10-28,3.48,3.5,3.48,3.5,4200,3858
2010-11-01,3.4,3.67,3.4,3.49,4350,3858
2010-11-03,3.68,3.68,3.59,3.59,2800,3858
2010-11-04,3.4,3.69,3.4,3.69,200,3858
2010-11-05,3.48,3.7,3.45,3.67,9767,3858
2010-11-08,3.67,3.67,3.67,3.67,144,3858
2010-11-09,3.45,3.65,3.45,3.65,315,3858
2010-11-10,3.66,3.66,3.48,3.48,1960,3858
2010-11-11,3.49,3.49,3.34,3.4,3657,3858
2010-11-12,3.4,3.74,3.4,3.5,10442,3858
2010-11-15,3.42,3.68,3.4,3.4,5301,3858
2010-11-16,3.56,3.66,3.56,3.56,1130,3858
2010-11-17,3.41,3.6,3.25,3.25,6000,3858
2010-11-18,3.57,3.57,3.33,3.4,1000,3858
2010-11-19,3.53,3.53,3.53,3.53,150,3858
2010-11-23,3.4,3.4,3.4,3.4,100,3858
2010-11-24,3.47,3.47,3.35,3.4,1136,3858
2010-11-26,3.58,3.58,3.58,3.58,100,3858
2010-11-29,3.36,3.6,3.36,3.6,1325,3858
2010-12-01,3.5,3.58,3.5,3.58,600,3858
2010-12-02,3.5,3.6,3.5,3.57,1100,3858
2010-12-03,3.41,3.58,3.25,3.5,6300,3858
2010-12-06,3.5,3.6,3.4,3.47,6610,3858
2010-12-08,3.57,3.57,3.57,3.57,100,3858
2010-12-09,3.5,3.5,3.31,3.31,2190,3858
2010-12-10,3.57,3.57,3.31,3.35,1450,3858
2010-12-13,3.4,3.57,3.38,3.4,11901,3858
2010-12-14,3.5,3.54,3.4,3.53,1150,3858
2010-12-15,3.5,3.5,3.5,3.5,500,3858
2010-12-16,3.53,3.53,3.31,3.53,6789,3858
2010-12-17,3.42,3.42,3.42,3.42,262,3858
2010-12-20,3.5,3.5,3.33,3.37,4200,3858
2010-12-21,3.36,3.38,3.36,3.38,800,3858
2010-12-23,3.35,3.35,3.35,3.35,600,3858
2010-12-27,3.26,3.38,3.26,3.38,2100,3858
2010-12-28,3.45,3.45,3.29,3.39,4111,3858
2010-12-29,3.54,3.54,3.3,3.3,1405,3858
2010-12-30,3.3,3.3,3.26,3.26,3970,3858
2010-12-31,3.3,3.55,3.3,3.55,11099,3858
2011-01-03,3.35,3.5,3.25,3.32,20941,3858
2011-01-04,3.34,3.34,3.29,3.29,8541,3858
2011-01-05,3.23,3.23,3.23,3.23,100,3858
2011-01-06,3.42,3.42,3.22,3.38,14500,3858
2011-01-07,3.35,3.35,3.22,3.22,3050,3858
2011-01-10,3.25,3.29,3.15,3.16,6890,3858
2011-01-11,3.02,3.3,3.02,3.15,7035,3858
2011-01-12,3.26,3.26,3.0,3.11,15180,3858
2011-01-13,3.16,3.16,2.94,3.05,12365,3858
2011-01-14,3.05,3.2,3.0,3.08,148644,3858
2011-01-18,3.12,3.15,3.0,3.15,28833,3858
2011-01-19,3.21,3.43,3.19,3.31,8200,3858
2011-01-20,3.31,3.31,3.3,3.3,1700,3858
2011-01-21,3.29,3.31,3.26,3.26,4600,3858
2011-01-24,3.3,3.4,3.26,3.4,4000,3858
2011-01-25,3.31,3.31,3.31,3.31,250,3858
2011-01-26,3.33,3.37,3.33,3.37,600,3858
2011-01-27,3.39,3.5,3.39,3.41,8344,3858
2011-01-28,3.45,3.5,3.45,3.45,14250,3858
2011-01-31,3.41,3.43,3.41,3.43,1200,3858
2011-02-01,3.42,3.42,3.31,3.32,1700,3858
2011-02-02,3.33,3.33,3.32,3.32,2500,3858
2011-02-03,3.35,3.35,3.32,3.32,1100,3858
2011-02-04,3.32,3.33,3.32,3.32,2196,3858
2011-02-07,3.6,3.6,3.47,3.51,4300,3858
2011-02-08,3.5,3.69,3.5,3.69,10480,3858
2011-02-09,3.74,3.75,3.35,3.61,10429,3858
2011-02-10,3.73,3.73,3.45,3.46,1987,3858
2011-02-11,3.51,3.72,3.45,3.5,4350,3858
2011-02-14,3.57,3.74,3.5,3.74,26500,3858
2011-02-15,3.65,3.65,3.5,3.55,53780,3858
2011-02-16,3.68,3.69,3.5,3.55,7723,3858
2011-02-17,3.54,3.7,3.54,3.7,2990,3858
2011-02-18,3.64,3.84,3.64,3.84,2370,3858
2011-02-22,3.82,3.84,3.6,3.6,2620,3858
2011-02-23,3.55,3.7,3.51,3.51,18400,3858
2011-02-24,3.57,3.63,3.56,3.63,2900,3858
2011-02-25,3.62,3.63,3.62,3.63,260,3858
2011-02-28,3.59,3.6,3.5,3.5,8630,3858
2011-03-01,3.59,3.68,3.52,3.6,3208,3858
2011-03-02,3.58,3.58,3.55,3.58,200,3858
2011-03-03,3.77,3.77,3.6,3.71,3320,3858
2011-03-04,3.74,3.8,3.63,3.63,1600,3858
2011-03-07,3.61,3.69,3.52,3.63,4366,3858
2011-03-08,3.62,3.62,3.53,3.53,1870,3858
2011-03-09,3.52,3.58,3.5,3.51,12800,3858
2011-03-10,3.52,3.52,3.52,3.52,100,3858
2011-03-11,3.51,3.66,3.5,3.51,7731,3858
2011-03-14,3.51,3.52,3.51,3.52,275,3858
2011-03-15,3.55,3.55,3.5,3.5,5727,3858
2011-03-16,3.5,3.55,3.5,3.5,5900,3858
2011-03-17,3.55,3.55,3.5,3.5,4100,3858
2011-03-18,3.48,3.48,3.48,3.48,5200,3858
2011-03-21,3.49,3.5,3.46,3.46,17300,3858
2011-03-22,3.47,3.47,3.46,3.46,230,3858
2011-03-23,3.46,3.46,3.38,3.38,10100,3858
2011-03-24,3.47,3.5,3.47,3.5,7139,3858
2011-03-25,3.5,3.5,3.5,3.5,100,3858
2011-03-29,3.39,3.39,3.38,3.38,759,3858
2011-03-30,3.46,3.48,3.46,3.48,500,3858
2011-03-31,3.32,3.32,3.3,3.3,5552,3858
2011-04-04,3.3,3.3,3.11,3.19,16400,3858
2011-04-05,3.13,3.16,3.12,3.16,10200,3858
2011-04-06,3.25,3.37,3.24,3.32,2255,3858
