Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,9.725,9.822,9.627,9.725,9450,420
2005-02-28,9.627,9.725,9.53,9.53,28855,420
2005-03-01,9.53,9.627,9.2383,9.4328,29791,420
2005-03-02,9.3355,10.114,9.3355,9.919,47241,420
2005-03-03,9.919,10.211,9.725,10.016,21214,420
2005-03-04,9.822,10.114,9.822,10.016,10623,420
2005-03-07,9.919,10.016,9.627,10.016,16700,420
2005-03-08,9.919,10.016,9.725,9.919,13646,420
2005-03-09,9.919,10.016,9.725,9.919,14582,420
2005-03-10,9.822,10.114,9.725,10.016,21636,420
2005-03-11,10.114,10.114,9.919,10.114,11075,420
2005-03-14,10.114,10.114,9.725,10.016,13708,420
2005-03-15,10.016,10.016,8.7521,9.53,61463,420
2005-03-16,9.53,9.919,9.4328,9.919,22664,420
2005-03-17,10.016,10.502,9.919,10.211,25862,420
2005-03-18,10.502,10.502,10.114,10.211,13944,420
2005-03-21,10.211,10.211,9.725,9.822,6520,420
2005-03-22,9.725,9.919,9.627,9.627,9029,420
2005-03-23,9.53,10.114,9.4328,9.4328,30161,420
2005-03-24,9.4328,9.822,9.0438,9.3355,29143,420
2005-03-28,9.2383,9.627,9.1411,9.3355,9790,420
2005-03-29,9.53,9.53,9.1411,9.1411,19569,420
2005-03-30,9.0438,9.0438,8.1686,9.0438,64445,420
2005-03-31,9.0438,9.53,8.7521,8.8493,37195,420
2005-04-01,8.8493,9.2383,8.7521,9.0438,6201,420
2005-04-04,8.9466,9.1411,8.8493,8.8493,7239,420
2005-04-05,8.8493,8.9466,8.7521,8.7521,12052,420
2005-04-06,8.7521,8.7521,8.5576,8.5576,15127,420
2005-04-07,8.4603,8.6548,8.3631,8.6548,17780,420
2005-04-08,8.5576,8.8493,8.4603,8.8493,5419,420
2005-04-11,8.5576,8.7521,8.3631,8.7521,8278,420
2005-04-12,8.4603,8.4603,7.5851,7.9741,45750,420
2005-04-13,8.3631,8.3631,7.7796,8.0714,18397,420
2005-04-14,7.7796,8.0714,7.7796,7.8769,9265,420
2005-04-15,7.7796,7.9741,7.4879,7.6824,11846,420
2005-04-18,7.4879,7.7796,7.3906,7.6824,11815,420
2005-04-19,7.5851,8.2658,7.3906,8.2658,16032,420
2005-04-20,8.2658,8.9466,7.7796,7.9741,26911,420
2005-04-21,8.0714,8.3631,7.6824,8.1686,16361,420
2005-04-22,8.0714,8.2658,7.8769,8.0714,8998,420
2005-04-25,8.0714,8.0714,7.5851,7.8769,11959,420
2005-04-26,7.9741,8.0714,7.8769,7.9741,8206,420
2005-04-27,8.0714,8.0714,7.9741,8.0714,15260,420
2005-04-28,8.1686,8.1686,7.8769,7.9741,11003,420
2005-04-29,7.9741,8.0714,7.6824,7.7796,22808,420
