Date,Open,High,Low,Close,Volume,stock_id
2012-01-31,2.5,2.54,2.5,2.54,1700,1195
2012-02-01,2.6,2.73,2.59,2.73,51792,1195
2012-02-02,2.8,2.81,2.71,2.71,17483,1195
2012-02-03,2.7,2.81,2.66,2.77,16550,1195
2012-02-06,2.88,2.88,2.56,2.65,31230,1195
2012-02-07,2.6,2.66,2.55,2.6,20869,1195
2012-02-08,2.58,2.65,2.52,2.61,28750,1195
2012-02-09,2.63,2.75,2.63,2.67,65744,1195
2012-02-10,2.7,2.7,2.55,2.55,25120,1195
2012-02-13,2.51,2.7,2.51,2.7,26465,1195
2012-02-14,2.66,2.66,2.54,2.57,26500,1195
2012-02-15,2.65,2.66,2.6,2.62,47950,1195
2012-02-16,2.62,2.62,2.57,2.58,7208,1195
2012-02-17,2.55,2.58,2.51,2.55,20600,1195
2012-02-21,2.56,2.58,2.5,2.52,30365,1195
2012-02-22,2.52,2.63,2.52,2.53,33000,1195
2012-02-23,2.56,2.63,2.49,2.62,84513,1195
2012-02-24,2.62,2.66,2.52,2.6,28708,1195
2012-02-27,2.6,2.67,2.6,2.64,58090,1195
2012-02-28,2.72,2.72,2.6,2.6,73635,1195
2012-02-29,2.65,2.66,2.56,2.56,31179,1195
2012-03-01,2.57,2.6,2.56,2.57,14735,1195
2012-03-02,2.55,2.62,2.55,2.6,24300,1195
2012-03-05,2.58,2.58,2.5,2.53,18795,1195
2012-03-06,2.52,2.52,2.5,2.5,23400,1195
2012-03-07,2.5,2.53,2.42,2.52,8013,1195
2012-03-08,2.53,2.56,2.46,2.5,60550,1195
2012-03-09,2.51,2.63,2.51,2.62,32925,1195
2012-03-12,2.61,2.63,2.55,2.58,31802,1195
2012-03-13,2.58,2.58,2.55,2.55,20400,1195
2012-03-14,2.38,2.55,2.38,2.48,17481,1195
2012-03-15,2.5,2.5,2.39,2.4,28509,1195
2012-03-16,2.41,2.41,2.35,2.38,23200,1195
2012-03-19,2.37,2.43,2.35,2.43,3624,1195
2012-03-20,2.36,2.5,2.34,2.34,23833,1195
2012-03-21,2.39,2.39,2.35,2.35,21900,1195
2012-03-22,2.33,2.34,2.3,2.31,15808,1195
2012-03-23,2.31,2.38,2.31,2.38,21650,1195
2012-03-26,2.38,2.38,2.34,2.36,69070,1195
2012-03-27,2.38,2.38,2.32,2.32,11364,1195
2012-03-28,2.3,2.31,2.27,2.29,15782,1195
2012-03-29,2.27,2.29,2.24,2.25,21984,1195
2012-03-30,2.25,2.4,2.25,2.36,31250,1195
2012-04-02,2.33,2.39,2.31,2.31,69700,1195
2012-04-03,2.35,2.35,2.25,2.3,30010,1195
2012-04-04,2.3,2.3,2.23,2.23,11400,1195
2012-04-05,2.23,2.24,2.19,2.22,17075,1195
2012-04-09,2.23,2.3,2.1,2.21,117244,1195
2012-04-10,2.23,2.23,2.1,2.15,48094,1195
2012-04-11,2.14,2.17,2.07,2.17,42800,1195
2012-04-12,2.2,2.3,2.18,2.25,55850,1195
2012-04-13,2.27,2.37,2.25,2.35,28645,1195
2012-04-16,2.35,2.35,2.25,2.25,18030,1195
2012-04-17,2.26,2.26,2.18,2.22,18300,1195
2012-04-18,2.2,2.2,2.17,2.2,14077,1195
2012-04-19,2.15,2.18,2.13,2.13,29487,1195
2012-04-20,2.16,2.25,2.16,2.2,51076,1195
2012-04-23,2.22,2.31,2.15,2.16,23739,1195
2012-04-24,2.16,2.2,2.13,2.16,16045,1195
2012-04-25,2.15,2.21,2.08,2.21,87346,1195
2012-04-26,2.2,2.26,2.17,2.25,36780,1195
2012-04-27,2.31,2.31,2.24,2.25,19750,1195
2012-04-30,2.25,2.27,2.22,2.27,9603,1195
2012-05-01,2.27,2.34,2.27,2.28,15606,1195
2012-05-02,2.28,2.33,2.28,2.31,20500,1195
2012-05-03,2.31,2.4,2.26,2.26,24750,1195
2012-05-04,2.28,2.32,2.25,2.28,20775,1195
2012-05-07,2.3,2.35,2.22,2.35,43300,1195
2012-05-08,2.32,2.32,2.19,2.24,28750,1195
2012-05-09,2.24,2.29,2.13,2.21,58420,1195
2012-05-10,2.26,2.26,2.23,2.23,9821,1195
2012-05-11,2.25,2.25,2.17,2.24,41900,1195
2012-05-14,2.2,2.25,2.2,2.21,26300,1195
2012-05-15,2.23,2.32,2.02,2.02,49831,1195
2012-05-16,1.97,2.05,1.89,2.0,46302,1195
