Date,Open,High,Low,Close,Volume,stock_id
2005-02-25,11.679,11.782,11.62,11.727,210966,7082
2005-02-28,11.821,11.821,11.612,11.671,310700,7082
2005-03-01,11.732,11.757,11.684,11.732,224023,7082
2005-03-02,11.684,11.816,11.679,11.806,264579,7082
2005-03-03,11.841,11.847,11.714,11.772,244559,7082
2005-03-04,11.827,11.926,11.764,11.853,364489,7082
2005-03-07,11.827,11.931,11.8,11.816,240035,7082
2005-03-08,11.811,11.841,11.732,11.786,255352,7082
2005-03-09,11.737,11.806,11.694,11.72,240905,7082
2005-03-10,11.691,11.744,11.626,11.732,220017,7082
2005-03-11,11.744,11.782,11.646,11.651,179285,7082
2005-03-14,11.707,11.714,11.62,11.701,229593,7082
2005-03-15,11.737,11.764,11.574,11.626,224715,7082
2005-03-16,11.594,11.62,11.509,11.534,174409,7082
2005-03-17,11.444,11.528,11.426,11.528,261092,7082
2005-03-18,11.563,11.563,11.469,11.509,107570,7082
2005-03-21,11.486,11.528,11.431,11.475,230461,7082
2005-03-22,11.444,11.451,11.274,11.294,280592,7082
2005-03-23,11.255,11.359,11.249,11.3,242646,7082
2005-03-24,11.274,11.419,11.274,11.406,202956,7082
2005-03-28,11.406,11.406,11.282,11.282,244909,7082
2005-03-29,11.264,11.391,11.249,11.274,134031,7082
2005-03-30,11.274,11.391,11.274,11.365,114707,7082
2005-03-31,11.337,11.475,11.337,11.451,183119,7082
2005-04-01,11.475,11.509,11.413,11.469,169018,7082
2005-04-04,11.419,11.426,11.337,11.406,93126,7082
2005-04-05,11.439,11.492,11.365,11.469,142904,7082
2005-04-06,11.534,11.546,11.451,11.479,142038,7082
2005-04-07,11.479,11.528,11.451,11.457,219672,7082
2005-04-08,11.486,11.515,11.406,11.406,143954,7082
2005-04-11,11.439,11.503,11.419,11.479,152656,7082
2005-04-12,11.451,11.509,11.37,11.462,168667,7082
2005-04-13,11.462,11.486,11.337,11.388,130550,7082
2005-04-14,11.413,11.451,11.359,11.419,210095,7082
2005-04-15,11.451,11.479,11.306,11.352,177373,7082
2005-04-18,11.341,11.503,11.314,11.413,159095,7082
2005-04-19,11.431,11.594,11.431,11.486,237942,7082
2005-04-20,11.341,11.479,11.314,11.359,189212,7082
2005-04-21,11.391,11.419,11.352,11.388,187813,7082
2005-04-22,11.382,11.413,11.337,11.396,129154,7082
2005-04-25,11.376,11.382,11.219,11.244,209046,7082
2005-04-26,11.282,11.365,11.181,11.306,304614,7082
2005-04-27,11.259,11.306,11.205,11.259,158914,7082
2005-04-28,11.274,11.282,11.205,11.27,101122,7082
2005-04-29,11.306,11.327,11.226,11.27,139084,7082
2005-05-02,11.274,11.327,11.259,11.274,123066,7082
2005-05-03,11.306,11.388,11.274,11.327,169713,7082
2005-05-04,11.365,11.419,11.314,11.419,143954,7082
2005-05-05,11.419,11.419,11.337,11.406,166927,7082
2005-05-06,11.419,11.419,11.341,11.396,169886,7082
2005-05-09,11.376,11.439,11.365,11.401,194950,7082
2005-05-10,11.406,11.413,11.37,11.406,164490,7082
2005-05-11,11.382,11.451,11.376,11.426,165529,7082
2005-05-12,11.396,11.426,11.376,11.413,179979,7082
2005-05-13,11.413,11.413,11.306,11.391,168667,7082
2005-05-16,11.365,11.413,11.32,11.327,189723,7082
2005-05-17,11.365,11.419,11.331,11.419,206268,7082
2005-05-18,11.426,11.451,11.391,11.406,184849,7082
2005-05-19,11.37,11.413,11.359,11.376,176503,7082
2005-05-20,11.365,11.426,11.365,11.401,177722,7082
2005-05-23,11.401,11.426,11.365,11.388,177722,7082
2005-05-24,11.413,11.475,11.391,11.469,234809,7082
2005-05-25,11.431,11.457,11.391,11.419,180328,7082
2005-05-26,11.401,11.444,11.341,11.341,228201,7082
2005-05-27,11.345,11.426,11.341,11.401,140987,7082
2005-05-31,11.439,11.439,11.359,11.419,233766,7082
2005-06-01,11.376,11.444,11.376,11.406,179635,7082
2005-06-02,11.396,11.426,11.382,11.406,156136,7082
2005-06-03,11.396,11.413,11.352,11.365,189552,7082
2005-06-06,11.388,11.406,11.327,11.391,268401,7082
2005-06-07,11.413,11.413,11.341,11.388,208874,7082
2005-06-08,11.391,11.413,11.37,11.413,270497,7082
2005-06-09,11.391,11.419,11.382,11.406,165882,7082
2005-06-10,11.413,11.451,11.406,11.419,179635,7082
2005-06-13,11.444,11.451,11.391,11.406,175636,7082
2005-06-14,11.451,11.475,11.401,11.469,189897,7082
2005-06-15,11.492,11.54,11.469,11.503,183119,7082
2005-06-16,11.475,11.509,11.451,11.479,185373,7082
2005-06-17,11.486,11.54,11.462,11.54,225238,7082
2005-06-20,11.534,11.559,11.486,11.509,192340,7082
2005-06-21,11.426,11.486,11.388,11.419,265972,7082
2005-06-22,11.419,11.462,11.376,11.406,179635,7082
2005-06-23,11.382,11.419,11.345,11.401,307572,7082
2005-06-24,11.391,11.401,11.3,11.388,235331,7082
2005-06-27,11.388,11.391,11.274,11.274,252907,7082
2005-06-28,11.337,11.413,11.306,11.413,200340,7082
2005-06-29,11.413,11.462,11.391,11.391,186249,7082
2005-06-30,11.479,11.62,11.419,11.509,193210,7082
2005-07-01,11.563,11.563,11.451,11.528,86684,7082
2005-07-05,11.563,11.581,11.503,11.54,152656,7082
2005-07-06,11.553,11.594,11.509,11.581,163611,7082
2005-07-07,11.546,11.667,11.534,11.641,126541,7082
2005-07-08,11.694,11.903,11.626,11.792,134897,7082
2005-07-11,11.853,11.853,11.671,11.732,210442,7082
2005-07-12,11.737,11.86,11.684,11.827,187286,7082
2005-07-13,11.772,11.898,11.772,11.86,162397,7082
2005-07-14,11.916,11.926,11.827,11.833,226445,7082
2005-07-15,11.806,11.931,11.782,11.883,149693,7082
2005-07-18,11.937,11.937,11.806,11.87,199652,7082
2005-07-19,11.92,11.92,11.816,11.866,233596,7082
2005-07-20,11.744,11.827,11.72,11.821,222801,7082
2005-07-21,11.883,11.883,11.691,11.701,326025,7082
2005-07-22,11.732,11.764,11.654,11.707,200518,7082
2005-07-25,11.72,11.782,11.707,11.782,188513,7082
2005-07-26,11.792,11.847,11.732,11.847,240374,7082
2005-07-27,11.847,11.86,11.786,11.821,159628,7082
2005-07-28,11.86,11.883,11.811,11.876,150044,7082
2005-07-29,11.96,11.96,11.786,11.889,164317,7082
2005-08-01,11.916,11.96,11.876,11.931,82331,7082
2005-08-02,11.979,11.979,11.827,11.876,230461,7082
2005-08-03,11.811,11.91,11.811,11.898,125501,7082
2005-08-04,11.876,11.903,11.8,11.833,181905,7082
2005-08-05,11.806,11.86,11.744,11.786,127935,7082
2005-08-08,11.8,11.853,11.744,11.8,158568,7082
2005-08-09,11.816,11.916,11.772,11.903,164317,7082
2005-08-10,11.96,11.96,11.876,11.937,158568,7082
2005-08-11,11.92,11.992,11.816,11.866,226445,7082
2005-08-12,11.841,11.903,11.821,11.876,101481,7082
2005-08-15,11.876,11.931,11.827,11.898,119238,7082
2005-08-16,11.916,11.937,11.87,11.916,184336,7082
2005-08-17,11.841,11.937,11.833,11.931,161876,7082
2005-08-18,11.916,11.96,11.883,11.948,116451,7082
2005-08-19,11.954,11.985,11.816,11.86,243863,7082
2005-08-22,11.772,11.811,11.694,11.737,185896,7082
2005-08-23,11.714,11.806,11.701,11.757,151083,7082
2005-08-24,11.764,11.821,11.707,11.732,171457,7082
2005-08-25,11.737,11.768,11.701,11.727,185198,7082
